,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,10.000000,,,6.982626,3.731833,0.100000,0.100000,,,,,,,,,,,,,,,,,,0.100000,,,,0.100000,10.000000,,,,1.280906,,,,,,,,,,,,,,,,,,,,,,
R7,,,6.430353,10.000000,,0.100000,,,0.100000,,0.948139,8.117803,,,,,,,,,,,,,,,,,,0.100000,0.100000,,,1.697691,0.100000,,,1.826538,0.100000,,0.700951,,0.100000,2.594718,0.616800,9.949987,0.100000,,,,,,,,,
R8,,10.000000,5.452456,10.000000,0.100000,7.732568,,6.219430,0.100000,,0.100000,9.013575,,,,,,,,,,,,,0.100000,,,,0.960021,4.445298,0.100000,0.100000,,,0.100000,,0.100000,1.762549,0.100000,,9.983416,8.457047,,,3.992554,8.795305,,4.249659,,0.100000,,,,,1.011374,
L1,0.100000,10.000000,0.100000,0.100000,3.108894,0.479872,0.100000,6.790186,1.031305,1.979907,1.190358,,,,,,0.100000,0.100000,,,,,,,10.000000,0.100000,0.100000,,0.100000,8.906422,,0.100000,,10.000000,,,,0.988874,8.280558,,,,0.100000,,,,,,,,,10.000000,,,,
L2,10.000000,,3.266462,0.100000,0.100000,0.555492,6.288497,0.100000,0.100000,0.100000,0.100000,0.100000,,,,,0.961066,0.924669,3.501483,,,,,,0.100000,5.901849,9.884023,,5.439913,0.933203,,,,3.039545,,0.100000,0.100000,,0.100000,,0.610179,,,,0.100000,,,,,,,5.654728,,,,
L3,,0.100000,0.100000,0.100000,9.501322,,,,5.886157,,0.100000,0.290698,,,,,6.960441,10.000000,10.000000,0.656691,,,,,10.000000,,,,2.413171,0.100000,0.100000,,0.100000,,10.000000,1.047023,,0.964000,0.100000,10.000000,0.100000,1.022761,8.950931,0.100000,10.000000,0.183254,1.315312,1.262917,,,,,0.953514,,0.100000,10.000000
L4,4.952170,,,3.621160,0.100000,0.264471,0.100000,10.000000,0.100000,,,0.306253,,,,,1.375397,0.100000,0.100000,3.964379,,,,,,0.100000,,,,10.000000,10.000000,0.104916,,,,0.784457,10.000000,,,,,,8.517590,,,,,,,,,0.918162,,,,
L5,,,,3.523523,3.490405,,,10.000000,1.833049,4.526060,0.184128,0.100000,,,,,0.100000,0.904611,0.100000,,,,,,6.553725,1.146607,10.000000,,0.100000,2.732900,0.100000,9.299760,,8.198906,1.872993,1.854422,10.000000,0.169054,0.100000,,0.100000,4.575409,1.520062,,4.018306,,,,0.100000,2.593303,0.255899,0.254177,,10.000000,,
Mi1,,8.806835,9.916555,3.690026,5.230346,,,0.100000,0.100000,0.100000,10.000000,0.141756,0.458006,0.100000,3.588648,5.851538,0.100000,0.100000,0.479347,,,,,,7.926548,0.436700,7.673449,3.745855,0.100000,3.387003,0.100000,3.147066,7.182337,,0.504025,9.088009,10.000000,0.100000,1.207111,,0.100000,6.177834,2.140053,,,0.100002,,0.100000,1.008413,9.618235,8.794526,4.056021,0.100000,2.967124,0.100000,9.665519
Tm3,,,,2.818777,0.100000,,,,0.100000,0.479527,0.100000,0.100000,10.000000,0.100000,7.102187,1.139445,,,0.100000,,,0.976717,,0.956371,,0.100000,0.100000,0.100000,1.041246,10.000000,9.607126,4.884362,,,1.590208,6.477072,0.282481,,,9.636277,,,0.100000,,,,0.100000,,7.114938,3.030559,2.430128,0.843716,,0.122941,,
