idx,cell,a_in,a_out,v_th,a_gt,bias_gt,tau_lp,tau_hp,v_rest,a_slow,v_pre,v_onset
0,R1-6,1.931195,3.908067,-40.807517,0.969483,0.000000,10.000000,197.259211,-50.000000,0.000000,-29.084564,-29.084423
1,R7,1.931195,6.286717,-45.736917,0.964205,0.000000,10.000000,206.648317,-50.000000,0.000000,-32.544760,-32.544692
2,R8,1.931195,8.465989,-41.848554,0.975413,0.000000,31.318546,190.391895,-50.000000,0.000000,-32.426858,-32.426865
3,L1,1.931195,0.744870,-39.855815,4.318726,0.000000,10.000000,211.245917,0.600000,0.600000,1.277138,1.284070
4,L2,1.931195,3.429653,-49.660758,3.160770,0.000000,10.000000,193.574751,0.600000,0.600000,-17.693236,-17.694249
5,L3,1.931195,9.689817,-55.574368,7.761668,0.000000,10.000000,207.524239,-50.000000,0.000000,-51.603151,-51.604794
6,L4,1.931195,0.841431,-64.259024,0.185087,0.000000,14.317273,195.826568,-20.000000,1.000000,-20.000000,-20.000194
7,L5,1.931195,2.642975,-55.182780,0.496784,0.000000,10.000000,186.005272,-20.000000,1.000000,-20.000000,-19.999938
8,Mi1,1.931195,1.990402,-60.167797,0.859246,0.000000,20.207921,195.678111,-50.000000,0.000000,-29.598423,-29.595758
9,Tm3,1.931195,2.393559,-34.908969,0.574997,0.000000,10.000000,197.593447,-50.000000,0.000000,-27.675754,-27.674053
10,Mi4,1.931195,2.393580,-34.816248,0.909283,0.000000,10.000000,208.715090,-50.000000,0.000000,-21.910367,-21.883674
11,Mi9,1.931195,2.825195,-48.272565,0.723539,0.000000,25.051320,204.176131,-50.000000,0.000000,-35.826096,-35.848288
12,T4a,1.931195,4.649674,-51.281547,0.967501,0.000000,10.000000,195.098003,-50.000000,0.000000,-46.685662,-46.685711
13,T4b,1.931195,6.917637,-59.001221,0.967426,0.000000,10.000000,203.804729,-50.000000,0.000000,-51.395752,-51.394620
14,T4c,1.931195,0.100000,-48.084901,1.017868,0.000000,38.877568,202.963313,-50.000000,0.000000,-54.560537,-54.565804
15,T4d,1.931195,7.018264,-48.686452,1.014945,0.000000,10.000000,196.833754,-50.000000,0.000000,-41.452071,-41.448590
16,Tm1,1.931195,0.232802,-52.771500,1.950876,0.000000,16.524349,208.544518,-50.000000,0.000000,-19.519370,-19.520674
17,Tm2,1.931195,2.386741,-57.384958,0.619130,0.000000,10.000000,194.381967,-50.000000,0.000000,-41.227937,-41.219390
18,Tm4,1.931195,1.324977,-41.989086,1.058364,0.000000,10.000000,197.137687,-50.000000,0.000000,-24.329650,-24.324827
19,Tm9,1.931195,0.663123,-65.802278,0.372210,0.000000,33.470924,190.635563,-50.000000,0.000000,-39.897519,-39.903717
20,T5a,1.931195,0.602362,-49.085122,1.044883,0.000000,48.627238,196.437411,-50.000000,0.000000,-50.274001,-50.273353
21,T5b,1.931195,5.209545,-50.281138,1.004325,0.000000,42.516696,200.699957,-50.000000,0.000000,-41.389252,-41.392236
22,T5c,1.931195,3.507927,-43.491013,0.954300,0.000000,41.987571,195.786395,-50.000000,0.000000,-47.131666,-47.132499
23,T5d,1.931195,6.358701,-48.797335,0.987322,0.000000,18.617667,209.083408,-50.000000,0.000000,-35.576866,-35.583828
24,T1,1.931195,4.465750,-69.987063,1.040748,0.000000,57.265892,204.770531,-50.000000,0.000000,-61.640211,-61.639513
25,T2,1.931195,2.289369,-51.575328,1.038921,0.000000,32.636759,192.446388,-50.000000,0.000000,13.768409,14.130457
26,T2a,1.931195,8.651778,-70.000000,0.957395,0.000000,10.000000,209.168365,-50.000000,0.000000,-49.714255,-49.724591
27,T3,1.931195,9.727963,-69.935228,1.013900,0.000000,22.860082,196.944019,-50.000000,0.000000,-44.031965,-44.030101
28,C2,1.931195,3.311093,-45.993801,0.975458,0.000000,10.000000,206.499514,-50.000000,0.000000,-48.309426,-48.307829
29,C3,1.931195,2.433504,-48.449713,0.959082,0.000000,10.000000,207.264591,-50.000000,0.000000,-42.657550,-42.660855
30,Lawf1,1.931195,1.699453,-54.776848,1.018959,0.000000,10.000000,202.461580,-50.000000,0.000000,-49.540563,-49.534617
31,Lawf2,1.931195,1.867310,-48.483015,1.024014,0.000000,34.667594,197.681677,-50.000000,0.000000,-45.230622,-45.226471
32,Dm3v,1.931195,7.312114,-50.408507,1.018073,0.000000,10.000000,192.633037,-50.000000,0.000000,-42.317386,-42.339189
33,Lai,1.931195,0.837895,-49.275132,0.985582,0.000000,41.112097,192.044987,-50.000000,0.000000,-106.254325,-106.247342
34,Mi10,1.931195,3.269754,-52.558843,0.972632,0.000000,13.168426,199.315498,-50.000000,0.000000,-58.895118,-58.891160
35,Mi13,1.931195,2.157013,-53.467178,1.000735,0.000000,15.624349,207.293723,-50.000000,0.000000,-50.072198,-50.072319
36,Mi14,1.931195,5.611326,-44.203093,1.049214,0.000000,10.000000,209.295225,-50.000000,0.000000,-37.170688,-37.181681
37,Mi15,1.931195,10.000000,-55.384301,1.038988,0.000000,61.274342,204.520487,-50.000000,0.000000,-59.689025,-59.693347
38,Mi2,1.931195,9.582654,-48.842220,0.963764,0.000000,31.713484,209.631500,-50.000000,0.000000,-43.356550,-43.352398
39,Tm16,1.931195,0.100000,-48.687688,0.966348,0.000000,41.565601,195.722273,-50.000000,0.000000,-72.089359,-72.146538
40,Tm20,1.931195,5.682157,-62.562788,0.994603,0.000000,10.000000,205.026586,-50.000000,0.000000,-65.981753,-65.987427
41,Tm21,1.931195,5.077764,-54.472328,0.954344,0.000000,14.700278,192.453088,-50.000000,0.000000,269.909758,291.093643
42,Tm27,1.931195,2.857177,-51.806666,0.961693,0.000000,15.579366,199.917487,-50.000000,0.000000,-40.248327,-40.227994
43,Tm5a,1.931195,10.000000,-66.730488,0.981051,0.000000,10.000000,200.342989,-50.000000,0.000000,-57.263245,-57.275443
44,Tm5b,1.931195,3.572933,-53.485159,1.010054,0.000000,19.362425,208.253921,-50.000000,0.000000,-58.365294,-58.473736
45,Tm5c,1.931195,9.993826,-41.444009,1.024547,0.000000,10.000000,198.591316,-50.000000,0.000000,-36.926040,-36.912607
46,Tm5f,1.931195,8.063530,-49.253044,1.014742,0.000000,10.000000,193.934619,-50.000000,0.000000,-47.177181,-47.185038
47,TmY10,1.931195,7.748962,-51.352350,1.048593,0.000000,10.000000,209.493452,-50.000000,0.000000,-43.535956,-43.547422
48,TmY11,1.931195,3.434078,-53.605758,1.042034,0.000000,10.000000,203.717186,-50.000000,0.000000,-42.966625,-43.032969
49,TmY14,1.931195,3.459001,-51.839357,1.028414,0.000000,12.640910,202.977946,-50.000000,0.000000,-35.698100,-35.754422
50,TmY15,1.931195,3.759463,-46.470149,0.971012,0.000000,10.000000,192.680529,-50.000000,0.000000,-24.479105,-24.508731
51,TmY3,1.931195,7.212394,-39.300210,0.979638,0.000000,10.000000,205.349427,-50.000000,0.000000,-21.897149,-21.935439
52,TmY4,1.931195,6.001291,-44.469820,0.974852,0.000000,10.000000,196.991450,-50.000000,0.000000,-34.335711,-34.347660
53,TmY5a,1.931195,4.088440,-49.317042,0.993771,0.000000,10.090224,207.603705,-50.000000,0.000000,63.000797,66.445592
54,TmY9q,1.931195,2.691344,-39.407400,1.008475,0.000000,10.000000,207.849711,-50.000000,0.000000,-33.396672,-33.389284
55,TmY9q__perp,1.931195,5.913851,-45.767557,0.958283,0.000000,10.000000,193.125391,-50.000000,0.000000,-41.772964,-41.784865
