,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,10.000000,,,3.288157,2.058257,0.147608,0.100000,,,,,,,,,,,,,,,,,,0.100000,,,,0.357731,1.191793,,,,1.762512,,,,,,,,,,,,,,,,,,,,,,
R7,,,1.975587,10.000000,,0.421688,,,0.100000,,0.100000,1.635604,,,,,,,,,,,,,,,,,,0.100000,0.100000,,,0.670885,5.420048,,,8.865696,3.975308,,9.281023,,2.141672,2.632204,1.399166,2.781255,2.240926,,,,,,,,,
R8,,0.671889,3.037286,10.000000,0.100000,0.341867,,0.100000,0.100000,,0.100000,1.282494,,,,,,,,,,,,,1.676461,,,,1.004156,0.100000,0.100000,0.100000,,,0.100000,,0.100000,2.654844,1.785810,,5.651174,3.387278,,,0.527600,0.228109,,2.701447,,0.100000,,,,,1.015599,
L1,0.100000,0.100000,0.100000,0.100000,5.218517,0.154858,0.100000,1.213198,1.240967,3.484205,0.100000,,,,,,0.100000,0.100000,,,,,,,10.000000,0.100000,0.100000,,0.100000,0.100000,,0.285589,,9.355001,,,,9.901683,9.428913,,,,1.109703,,,,,,,,,1.062643,,,,
L2,10.000000,,0.100000,0.100000,1.403886,0.100000,0.775811,0.100000,0.682757,0.100000,0.100000,0.255669,,,,,0.691733,0.316342,1.557695,,,,,,0.157659,10.000000,0.100000,,6.463973,2.150639,,,,2.006166,,0.100000,1.155301,,7.650949,,0.100000,,,,0.100000,,,,,,,4.647174,,,,
L3,,0.100000,2.706854,0.100000,0.100000,,,,0.100000,,0.100000,1.728119,,,,,0.778675,10.000000,10.000000,4.631046,,,,,1.615793,,,,0.522290,10.000000,0.614746,,0.100000,,1.528192,3.337610,,10.000000,0.100000,0.383158,0.100000,0.969712,0.235204,0.100000,2.508373,3.867039,0.100000,8.925658,,,,,0.976901,,0.100000,0.524967
L4,0.100000,,,0.100000,0.100000,0.100000,0.100000,10.000000,6.117593,,,2.594545,,,,,1.467017,1.614466,0.100000,2.844615,,,,,,2.413530,,,,4.088631,10.000000,6.712525,,,,10.000000,10.000000,,,,,,0.101415,,,,,,,,,2.246314,,,,
L5,,,,8.827295,7.090411,,,1.704800,1.984701,3.894291,0.100000,2.379664,,,,,0.100000,0.144346,0.100000,,,,,,9.151683,0.634197,1.922174,,0.100000,0.100000,0.587725,0.740414,,4.473688,0.289090,0.100000,0.100000,2.636074,1.279658,,0.100000,8.689163,4.672249,,9.904313,,,,0.100000,4.183582,0.118253,0.824142,,10.000000,,
Mi1,,0.100000,5.057679,2.169511,0.100000,,,0.100000,0.100000,0.100000,10.000000,0.369224,0.100000,0.100000,0.100000,1.357332,0.100000,3.543386,1.568569,,,,,,8.874735,3.330938,0.100000,0.100000,0.523143,0.100000,0.160986,0.318056,2.496590,,2.869112,0.100000,10.000000,1.237929,1.149805,,1.551512,9.774367,2.339665,,,9.948962,,0.100000,0.957326,9.933739,1.726560,2.871058,0.100000,10.000000,0.100000,0.100000
Tm3,,,,7.992429,0.100000,,,,0.100000,1.803281,0.100000,3.423295,6.041775,2.494467,0.100000,8.374150,,,0.100000,,,0.978480,,1.001471,,0.100000,0.100000,0.100000,0.962346,9.937149,4.860707,0.963467,,,2.428336,0.100000,2.843106,,,1.045473,,,1.594911,,,,0.100000,,0.100000,4.432811,1.246392,0.100000,,0.949475,,
Mi4,,,,,5.222720,7.028046,,0.100000,0.420883,10.000000,0.100000,0.649423,0.100000,0.100000,2.744438,0.616265,0.100000,0.506073,3.520096,0.388592,,,,,0.100000,,5.933980,,0.974321,0.100000,4.365823,3.106524,7.697910,,1.229557,,0.100000,,0.100000,2.230074,0.685947,,1.143037,0.276867,1.933027,8.930088,3.546618,2.849894,0.523352,,10.000000,5.169429,0.997500,0.811842,,
Mi9,,,,,,0.585913,1.315953,,2.289501,0.100000,3.535559,,0.100000,3.625718,4.167819,2.974356,0.100000,6.112979,3.946400,0.100000,,,,,,0.100000,2.384471,0.100000,0.967763,,1.778822,1.209282,0.100000,,2.432349,,2.559229,1.142056,,2.187385,9.998738,6.071807,4.213140,0.100000,0.294254,,1.008739,,0.100000,1.006920,,3.140071,0.100000,2.782245,5.496539,
T4a,,,,,,,,,,,,5.940417,1.724688,1.010325,0.100000,0.968498,,,,,10.000000,,,,,,,,,0.437731,,,,,,0.100000,,,,,,,5.460770,,,,,,,0.100000,,,,,4.144102,0.100923
T4b,,,,,,,,,0.100000,,9.891600,5.127610,0.100000,0.100000,,0.984200,,,,,,9.813079,,,,,,,,,,,,,,0.100000,,,,,,,0.116484,,,,,,0.100000,9.644906,3.025377,,,,,
T4c,,,,,,,,,,,,0.100000,,,0.161564,,,,,,,,2.492336,0.957106,,0.968415,,,,,,,,,,,,,,,,,,,,,,,,3.809080,1.644158,,0.992468,2.028458,,
T4d,,,,,,,,,0.100000,,,,,,0.985861,10.000000,,,,,,,,0.100000,,,,,,,,,,,,,,,,,,,,,,,,,,6.577551,5.386907,,3.718261,0.100000,,
Tm1,,,,,0.100000,,,2.738965,9.326813,0.100000,1.020480,2.752178,,,1.013713,,2.304339,0.100000,0.100000,10.000000,0.466577,0.100000,0.100000,5.385817,1.114456,0.100000,4.708043,4.880003,0.100000,1.110334,,1.195887,8.094072,,2.155853,4.642601,,10.000000,10.000000,0.468098,0.100000,2.283254,0.125356,10.000000,,,10.000000,10.000000,,9.999825,,0.207300,10.000000,0.100000,5.595172,5.740413
Tm2,,,,0.100000,0.100000,,,0.250538,1.038711,6.959155,0.887693,3.808379,0.100000,,0.100000,,0.100000,,0.100000,0.100000,0.590896,3.050277,2.073334,6.302945,6.310973,4.136340,0.608373,4.363504,,4.450564,0.100000,9.576072,6.317118,,,0.844589,,,6.408498,,,5.840960,0.385458,,,,,,0.100000,2.138057,0.110500,5.301533,0.100000,7.865753,0.100000,10.000000
Tm4,,,,,10.000000,,,,0.100000,0.100000,9.993583,,,,,,10.000000,7.756641,2.489821,,0.124058,8.037408,0.100000,2.147385,10.000000,0.988996,2.064302,0.100000,0.100000,2.283660,,3.840147,,,0.814479,3.619939,2.942989,,2.564918,,,2.029416,10.000000,,,,,,7.309169,0.100000,4.481888,10.000000,,10.000000,,10.000000
Tm9,,,,,,0.100000,,,,,0.100000,7.319791,,,,,0.108879,0.100000,0.100000,10.000000,0.100000,0.100000,0.100000,2.887333,,0.100000,0.100000,,,,,,0.100000,,,,,,,,8.205273,10.000000,,,,10.000000,1.810303,,,0.100000,10.000000,,10.000000,,0.100000,0.733287
