idx,cell,a_in,a_out,v_th,a_gt,bias_gt,tau_lp,tau_hp,v_rest,a_slow,v_pre,v_onset
0,R1-6,2.197147,3.833319,-40.694818,0.969483,0.000000,10.000000,197.259211,-50.000000,0.000000,-29.178105,-29.178228
1,R7,2.197147,9.073986,-41.934894,0.964205,0.000000,10.000000,206.648317,-50.000000,0.000000,-30.979183,-30.975697
2,R8,2.197147,9.220828,-37.761078,0.975413,0.000000,35.246056,190.391895,-50.000000,0.000000,-31.327621,-31.325259
3,L1,2.197147,0.630213,-36.595381,4.706412,0.000000,10.000000,229.146198,0.600000,0.600000,5.422612,5.469515
4,L2,2.197147,2.906621,-49.351854,3.092339,0.000000,10.000000,204.756936,0.600000,0.600000,-18.071342,-18.061356
5,L3,2.197147,9.980061,-55.277449,9.038526,0.000000,10.000000,207.524239,-50.000000,0.000000,-51.476891,-51.475737
6,L4,2.197147,0.874508,-70.000000,0.150399,0.000000,13.271305,216.660748,-20.000000,1.000000,-20.000000,-20.000190
7,L5,2.197147,2.092581,-58.857339,0.270352,0.000000,10.000000,199.380888,-20.000000,1.000000,-20.000000,-20.002347
8,Mi1,2.197147,2.089159,-61.155502,0.956160,0.000000,17.848048,195.678111,-50.000000,0.000000,-28.073461,-28.165574
9,Tm3,2.197147,2.300090,-30.000000,0.475307,0.000000,10.000000,197.593447,-50.000000,0.000000,-25.788452,-25.821526
10,Mi4,2.197147,1.827670,-30.000000,1.097720,0.000000,10.000000,208.715090,-50.000000,0.000000,-13.589342,-14.076645
11,Mi9,2.197147,2.714816,-49.438641,0.699893,0.000000,23.646153,204.176131,-50.000000,0.000000,-37.075915,-37.164998
12,T4a,2.197147,4.059899,-52.093560,0.967501,0.000000,10.000000,195.098003,-50.000000,0.000000,-45.634014,-45.610051
13,T4b,2.197147,8.042492,-59.670375,0.967426,0.000000,10.000000,203.804729,-50.000000,0.000000,-52.056576,-52.043627
14,T4c,2.197147,0.100001,-48.084912,1.017868,0.000000,38.877568,202.963313,-50.000000,0.000000,-53.889249,-53.882224
15,T4d,2.197147,7.943718,-44.795290,1.014945,0.000000,10.000000,196.833754,-50.000000,0.000000,-38.805948,-38.752842
16,Tm1,2.197147,0.317504,-53.473178,1.983214,0.000000,16.804646,208.544518,-50.000000,0.000000,-19.022751,-19.012642
17,Tm2,2.197147,1.916362,-57.937417,0.655371,0.000000,10.000000,194.381967,-50.000000,0.000000,-40.803266,-40.736139
18,Tm4,2.197147,1.962280,-36.811434,0.887614,0.000000,10.000000,197.137687,-50.000000,0.000000,-27.799354,-27.777319
19,Tm9,2.197147,0.890805,-70.000000,0.375617,0.000000,36.319216,190.635563,-50.000000,0.000000,-39.979120,-40.015975
20,T5a,2.197147,1.139304,-47.469510,1.044883,0.000000,10.000000,196.437411,-50.000000,0.000000,-48.619726,-48.610777
21,T5b,2.197147,4.414881,-47.491741,1.004325,0.000000,41.013082,200.699957,-50.000000,0.000000,-45.070237,-45.073343
22,T5c,2.197147,5.475451,-38.808483,0.954300,0.000000,29.879183,195.786395,-50.000000,0.000000,-43.425190,-43.418795
