,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,9.939825,,,3.032768,1.788231,0.137424,0.100000,,,,,,,,,,,,,,,,,,0.100000,,,,0.676184,1.627020,,,,1.762132,,,,,,,,,,,,,,,,,,,,,,
R7,,,0.842699,10.000000,,0.253337,,,0.100000,,0.100000,0.883042,,,,,,,,,,,,,,,,,,0.100000,0.100000,,,0.670885,5.420048,,,4.837224,4.600944,,3.980931,,1.398342,2.215862,1.579406,3.206762,2.322743,,,,,,,,,
R8,,0.306739,3.249802,10.000000,0.100000,0.264555,,0.100000,0.100000,,0.100000,1.170160,,,,,,,,,,,,,4.074195,,,,1.004156,0.100000,0.100000,0.100000,,,0.100000,,0.100000,2.455901,0.100000,,10.000000,0.100000,,,0.100000,0.100000,,4.092426,,0.100000,,,,,1.015599,
L1,0.100000,0.100000,0.100000,0.100000,5.404884,0.237079,0.100000,0.630983,1.643682,3.276493,0.100000,,,,,,0.100000,0.100000,,,,,,,10.000000,0.100000,0.100000,,0.100000,0.100000,,0.100000,,9.354975,,,,10.000000,8.824499,,,,1.125414,,,,,,,,,0.100000,,,,
L2,10.000000,,0.100000,0.100000,0.791453,0.100000,0.618015,0.100000,1.245977,0.100000,0.100000,0.599374,,,,,0.741713,0.359912,1.363583,,,,,,0.100000,4.710813,0.100000,,6.950337,2.932931,,,,2.004364,,0.534538,1.029836,,9.791247,,0.100000,,,,0.100000,,,,,,,4.230750,,,,
L3,,0.100000,2.307757,0.100000,0.100000,,,,0.100000,,0.100000,1.362262,,,,,0.753845,10.000000,10.000000,4.070575,,,,,0.100000,,,,0.522260,10.000000,0.100000,,0.100000,,0.300804,0.926571,,10.000000,0.100000,0.383158,0.148990,0.969712,0.571549,0.100000,2.508373,3.441291,0.100000,8.528751,,,,,0.976901,,0.100000,9.352716
L4,0.100000,,,0.100000,0.100000,0.164249,0.100000,10.000000,10.000000,,,2.113790,,,,,2.155383,1.111270,0.100000,1.707234,,,,,,0.316109,,,,3.162933,10.000000,10.000000,,,,10.000000,10.000000,,,,,,0.523920,,,,,,,,,2.076154,,,,
L5,,,,7.770423,4.406228,,,0.509274,2.387346,4.016007,0.100000,2.810434,,,,,3.201694,2.644009,0.100000,,,,,,10.000000,0.100000,10.000000,,0.100000,0.100000,1.550378,0.299391,,4.473243,0.291171,0.493438,1.849589,1.976492,1.235311,,0.100000,9.951955,5.812902,,8.799312,,,,10.000000,2.669370,1.632238,1.773312,,10.000000,,
Mi1,,0.100000,3.377455,5.699100,0.567748,,,0.749229,0.100000,0.100000,10.000000,0.100000,0.436446,0.100000,0.100055,1.496756,0.100000,2.293585,2.211433,,,,,,0.100000,0.100000,0.100000,0.100000,0.198557,0.100000,0.889936,0.507096,0.100000,,4.912335,0.100000,7.466428,0.607625,2.111738,,1.296290,5.027818,2.256738,,,10.000000,,0.100000,0.957326,3.619128,0.100000,2.214065,1.168499,10.000000,0.100000,0.100000
Tm3,,,,9.827947,0.100000,,,,0.100000,1.549617,0.100000,2.676927,5.047329,0.434102,0.100001,7.432834,,,0.100000,,,0.978480,,1.001471,,0.100000,0.100000,0.100000,0.962346,10.000000,4.626798,0.857918,,,2.427086,0.100000,2.298767,,,1.045473,,,0.100000,,,,0.100000,,0.100000,3.735253,1.076402,0.100000,,0.795813,,
