idx,cell,a_in,a_out,v_th,a_gt,bias_gt,tau_lp,tau_hp,e_leak,a_h,v_pre,v_onset
0,R1-6,0.498138,1.735133,-49.152979,1.020215,0.000000,39.644154,194.842472,-50.000000,0.500000,-40.049327,-40.037973
1,R7,0.498138,0.365932,-49.267035,0.976151,0.000000,38.901839,192.345545,-50.000000,0.500000,-40.153966,-40.143096
2,R8,0.498138,0.976092,-50.380875,1.003843,0.000000,40.862739,205.512823,-50.000000,0.500000,-40.059177,-40.048167
3,L1,0.498138,0.238010,-49.299569,0.374244,0.000000,38.397917,196.348121,-20.000000,0.013463,-22.773104,-22.794089
4,L2,0.498138,1.808158,-50.617470,0.403354,0.000000,39.610398,208.660214,-20.000000,0.057506,-23.425084,-23.449967
5,L3,0.498138,1.814670,-50.835770,1.816149,0.000000,38.919144,193.616497,-50.000000,0.500000,-49.971532,-49.971957
6,L4,0.498138,1.947063,-50.960814,0.100000,0.000000,38.692354,198.500403,-50.000000,0.000000,-49.094642,-49.095882
7,L5,0.498138,1.925648,-50.888148,1.491049,0.000000,39.293348,194.142819,-50.000000,0.959582,-49.899858,-49.900182
8,Mi1,0.498138,1.690940,-50.747796,1.619641,0.000000,39.723519,193.920110,-50.000000,0.500000,-49.969497,-49.969399
9,Tm3,0.498138,1.380736,-50.459996,1.673558,0.000000,38.537757,209.156008,-50.000000,0.500000,-49.946579,-49.946406
10,Mi4,0.498138,0.548024,-49.581062,0.100000,0.000000,41.793522,195.177223,-50.000000,0.500000,-50.136410,-50.137174
11,Mi9,0.498138,1.896362,-50.987833,0.100000,0.000000,39.413551,194.399337,-50.000000,0.500000,-49.888235,-49.888210
12,T4a,0.498138,0.718764,-49.626941,1.004155,0.000000,39.553047,203.992967,-50.000000,0.500000,-49.981052,-49.981034
13,T4b,0.498138,0.493785,-49.644809,1.019261,0.000000,39.926466,200.311069,-50.000000,0.500000,-49.985425,-49.985415
14,T4c,0.498138,0.514799,-49.650366,0.985721,0.000000,38.792866,194.987327,-50.000000,0.500000,-49.980936,-49.980916
15,T4d,0.498138,1.789407,-50.924178,1.049187,0.000000,41.154164,202.908563,-50.000000,0.500000,-49.972023,-49.971981
16,Tm1,0.498138,1.597183,-50.593047,0.100000,0.000000,39.836810,208.946720,-50.000000,0.500000,-44.762021,-44.768851
17,Tm2,0.498138,1.644754,-50.570427,0.460399,0.000000,39.129582,198.851000,-50.000000,0.500000,-46.700049,-46.704374
18,Tm4,0.498138,1.461953,-50.424786,0.121381,0.000000,38.794330,201.263902,-50.000000,0.500000,-47.581582,-47.584720
19,Tm9,0.498138,1.463209,-49.581239,0.136353,0.000000,39.031996,210.750644,-50.000000,0.500000,-49.971185,-49.971160
20,T5a,0.498138,1.828450,-50.673084,0.976403,0.000000,40.144184,196.462386,-50.000000,0.500000,-49.916893,-49.916694
21,T5b,0.498138,2.004126,-51.006912,0.995848,0.000000,40.592397,191.831828,-50.000000,0.500000,-49.832134,-49.831717
22,T5c,0.498138,1.959072,-50.996017,0.963877,0.000000,40.272922,199.767771,-50.000000,0.500000,-49.816936,-49.816488
23,T5d,0.498138,1.948622,-50.987615,0.961560,0.000000,40.036464,191.181514,-50.000000,0.500000,-49.830220,-49.829810
24,T1,0.498138,1.690959,-50.925281,1.015198,0.000000,40.165481,206.398235,-50.000000,0.500000,-47.032956,-47.037770
25,T2,0.498138,1.970462,-50.955381,0.992648,0.000000,40.122288,198.004753,-50.000000,0.500000,-49.758010,-49.757477
26,T2a,0.498138,1.993012,-50.961561,0.960666,0.000000,38.834158,198.354453,-50.000000,0.500000,-49.671975,-49.671171
27,T3,0.498138,2.019061,-50.978232,0.952988,0.000000,40.114023,208.055421,-50.000000,0.500000,-49.643441,-49.642595
28,C2,0.498138,1.770457,-49.831268,0.987360,0.000000,39.041526,194.161593,-50.000000,0.500000,-50.091074,-50.090939
29,C3,0.498138,1.883960,-49.944435,1.034795,0.000000,40.027956,199.730846,-50.000000,0.500000,-50.144658,-50.144429
30,Lawf1,0.498138,1.939096,-50.978956,1.043093,0.000000,40.992836,190.317566,-50.000000,0.500000,-49.992222,-49.992207
31,Lawf2,0.498138,1.853866,-50.659861,1.024725,0.000000,40.280521,204.965088,-50.000000,0.500000,-49.929134,-49.928963
32,Dm3v,0.498138,1.799777,-49.758230,0.951048,0.000000,39.825633,201.483591,-50.000000,0.500000,-49.810468,-49.809974
33,Lai,0.498138,1.672095,-50.629935,1.041540,0.000000,39.809333,207.531546,-50.000000,0.500000,-51.107046,-51.115697
34,Mi10,0.498138,1.379810,-49.581239,1.000187,0.000000,41.112408,196.607410,-50.000000,0.500000,-50.017991,-50.018031
35,Mi13,0.498138,0.563466,-49.581239,0.974117,0.000000,39.417371,202.492513,-50.000000,0.500000,-49.994191,-49.994188
36,Mi14,0.498138,1.455475,-49.582229,1.025314,0.000000,40.185443,193.053431,-50.000000,0.500000,-49.918196,-49.918001
37,Mi15,0.498138,0.711134,-49.735346,1.036918,0.000000,39.383833,201.759036,-50.000000,0.500000,-50.074898,-50.075341
38,Mi2,0.498138,0.629467,-49.581238,1.011532,0.000000,39.180400,192.167880,-50.000000,0.500000,-49.971181,-49.971124
39,Tm16,0.498138,0.576066,-49.581239,0.994227,0.000000,40.856551,193.327677,-50.000000,0.500000,-50.001796,-50.001802
40,Tm20,0.498138,1.974518,-50.248749,0.977667,0.000000,38.477207,206.034070,-50.000000,0.500000,-49.717336,-49.718065
41,Tm21,0.498138,2.032442,-50.961971,0.957694,0.000000,39.933761,201.705361,-50.000000,0.500000,-49.720459,-49.719750
42,Tm27,0.498138,0.573558,-49.581239,0.980687,0.000000,41.095194,208.100247,-50.000000,0.500000,-49.984148,-49.984127
43,Tm5a,0.498138,1.002182,-49.776470,1.001581,0.000000,39.918947,198.830869,-50.000000,0.500000,-50.013850,-50.013951
44,Tm5b,0.498138,0.706439,-49.744508,0.968696,0.000000,40.089143,194.765793,-50.000000,0.500000,-50.026983,-50.027151
45,Tm5c,0.498138,1.900661,-50.953079,1.017811,0.000000,40.684315,202.809740,-50.000000,0.500000,-49.976687,-49.976704
46,Tm5f,0.498138,0.595769,-49.581239,0.970656,0.000000,39.986031,193.758472,-50.000000,0.500000,-49.993179,-49.993167
47,TmY10,0.498138,0.570748,-49.581239,1.046856,0.000000,39.628695,206.139458,-50.000000,0.500000,-49.996141,-49.996139
48,TmY11,0.498138,0.610481,-49.581239,0.956674,0.000000,40.523185,206.570237,-50.000000,0.500000,-50.094018,-50.094178
49,TmY14,0.498138,1.524509,-50.443056,0.972131,0.000000,41.166835,208.001875,-50.000000,0.500000,-49.814853,-49.814426
50,TmY15,0.498138,1.918261,-51.003422,1.014836,0.000000,40.043195,197.858415,-50.000000,0.500000,-49.731005,-49.730311
51,TmY3,0.498138,0.362289,-49.302043,0.971191,0.000000,39.934929,192.932303,-50.000000,0.500000,-49.898237,-49.898233
52,TmY4,0.498138,0.627070,-49.593898,1.042935,0.000000,40.889971,207.951889,-50.000000,0.500000,-49.951699,-49.951604
53,TmY5a,0.498138,0.619810,-49.581239,1.038959,0.000000,40.558529,203.995408,-50.000000,0.500000,-49.954865,-49.954743
54,TmY9q,0.498138,0.545219,-49.483124,1.010814,0.000000,40.341698,190.385395,-50.000000,0.500000,-49.962428,-49.962339
55,TmY9q__perp,0.498138,0.567600,-49.531398,0.987241,0.000000,39.534460,206.344130,-50.000000,0.500000,-49.955315,-49.955199
