idx,cell,a_in,a_out,v_th,a_gt,bias_gt,tau_lp,tau_hp,e_leak,a_h,v_pre,v_onset
0,R1-6,1.423789,1.903668,-50.000000,0.952768,0.000000,40.000000,170.862805,-50.000000,0.000000,-30.125283,-30.104731
1,R7,1.423789,5.526546,-50.000000,0.986327,0.000000,40.000000,170.862805,-50.000000,0.000000,-30.215762,-30.192200
2,R8,1.423789,3.337092,-50.000000,0.966335,0.000000,40.000000,170.862805,-50.000000,0.000000,-40.703121,-40.751706
3,L1,1.423789,0.690305,-50.000000,1.474869,0.000000,40.000000,170.862805,-20.000000,0.864796,-27.425438,-27.433015
4,L2,1.423789,4.699792,-50.000000,0.100000,0.000000,40.000000,170.862805,-20.000000,0.814118,-21.675426,-21.725107
5,L3,1.423789,10.000000,-50.000000,2.784888,0.000000,40.000000,170.862805,-50.000000,0.000000,-62.730125,-62.828827
6,L4,1.423789,1.872223,-50.000000,0.100000,0.000000,40.000000,170.862805,-50.000000,0.431234,-31.817629,-31.916240
7,L5,1.423789,5.759647,-50.000000,10.000000,0.000000,40.000000,170.862805,-50.000000,0.933224,-42.426401,-42.454577
8,Mi1,1.423789,2.095189,-50.000000,0.245221,0.000000,40.000000,170.862805,-50.000000,0.000000,-27.650993,-26.992552
9,Tm3,1.423789,1.377235,-50.000000,0.223225,0.000000,40.000000,170.862805,-50.000000,0.000000,-13.911500,-12.709373
10,Mi4,1.423789,1.959600,-50.000000,0.404092,0.000000,40.000000,170.862805,-50.000000,0.000000,-21.587615,-20.697903
11,Mi9,1.423789,10.000000,-50.000000,1.412331,0.000000,40.000000,170.862805,-50.000000,0.000000,-58.735294,-59.106576
12,T4a,1.423789,4.685571,-50.000000,0.950008,0.000000,40.000000,170.862805,-50.000000,0.000000,-48.419406,-47.904199
13,T4b,1.423789,5.553483,-50.000000,0.989616,0.000000,40.000000,170.862805,-50.000000,0.000000,-38.387243,-37.607850
14,T4c,1.423789,7.544610,-50.000000,1.030124,0.000000,40.000000,170.862805,-50.000000,0.000000,-59.444807,-59.240784
15,T4d,1.423789,5.287936,-50.000000,0.953725,0.000000,40.000000,170.862805,-50.000000,0.000000,-42.774897,-41.792380
16,Tm1,1.423789,1.859155,-50.000000,0.323022,0.000000,40.000000,170.862805,-50.000000,0.000000,13.569925,12.970230
17,Tm2,1.423789,2.949218,-50.000000,1.004592,0.000000,40.000000,170.862805,-50.000000,0.000000,27.797653,27.634450
18,Tm4,1.423789,1.134850,-50.000000,0.411895,0.000000,40.000000,170.862805,-50.000000,0.000000,-3.859120,-5.022646
19,Tm9,1.423789,10.000000,-50.000000,0.898828,0.000000,40.000000,170.862805,-50.000000,0.000000,-55.798380,-56.104425
20,T5a,1.423789,3.947233,-50.000000,1.012128,0.000000,40.000000,170.862805,-50.000000,0.000000,-13.552198,-13.306610
21,T5b,1.423789,8.428795,-50.000000,0.981302,0.000000,40.000000,170.862805,-50.000000,0.000000,-0.110939,-0.022993
22,T5c,1.423789,9.340345,-50.000000,1.031311,0.000000,40.000000,170.862805,-50.000000,0.000000,-37.049754,-37.130205
23,T5d,1.423789,8.092723,-50.000000,0.952852,0.000000,40.000000,170.862805,-50.000000,0.000000,31.957863,32.013649
24,T1,1.423789,5.666770,-50.000000,0.975207,0.000000,40.000000,170.862805,-50.000000,0.000000,-62.106033,-62.659006
25,T2,1.423789,4.442728,-50.000000,1.012351,0.000000,40.000000,170.862805,-50.000000,0.000000,8.057363,8.798995
26,T2a,1.423789,4.850910,-50.000000,1.012403,0.000000,40.000000,170.862805,-50.000000,0.000000,16.654442,16.791830
27,T3,1.423789,1.782114,-50.000000,0.976962,0.000000,40.000000,170.862805,-50.000000,0.000000,27.638235,27.475669
28,C2,1.423789,5.106581,-50.000000,1.001473,0.000000,40.000000,170.862805,-50.000000,0.000000,-36.367452,-36.189141
29,C3,1.423789,5.136604,-50.000000,1.013448,0.000000,40.000000,170.862805,-50.000000,0.000000,-37.319491,-37.167464
30,Lawf1,1.423789,3.812178,-50.000000,1.032300,0.000000,40.000000,170.862805,-50.000000,0.000000,-48.157021,-48.080328
31,Lawf2,1.423789,3.654611,-50.000000,1.049656,0.000000,40.000000,170.862805,-50.000000,0.000000,-31.544772,-31.591348
32,Dm3v,1.423789,5.995425,-50.000000,1.010753,0.000000,40.000000,170.862805,-50.000000,0.000000,-16.483322,-16.816244
33,Lai,1.423789,4.041681,-50.000000,0.950369,0.000000,40.000000,170.862805,-50.000000,0.000000,-52.686151,-52.806278
34,Mi10,1.423789,7.921279,-50.000000,0.960192,0.000000,40.000000,170.862805,-50.000000,0.000000,-47.660845,-47.549943
35,Mi13,1.423789,4.409681,-50.000000,1.004097,0.000000,40.000000,170.862805,-50.000000,0.000000,-51.128624,-51.067275
36,Mi14,1.423789,4.962114,-50.000000,0.971720,0.000000,40.000000,170.862805,-50.000000,0.000000,-47.396644,-47.384747
37,Mi15,1.423789,8.378477,-50.000000,1.037915,0.000000,40.000000,170.862805,-50.000000,0.000000,-47.976583,-47.944914
38,Mi2,1.423789,3.432937,-50.000000,0.953004,0.000000,40.000000,170.862805,-50.000000,0.000000,-36.767956,-36.741845
39,Tm16,1.423789,0.100000,-50.000000,0.955764,0.000000,40.000000,170.862805,-50.000000,0.000000,-63.656457,-64.122318
40,Tm20,1.423789,9.788866,-50.000000,0.968156,0.000000,40.000000,170.862805,-50.000000,0.000000,-55.478487,-55.926530
41,Tm21,1.423789,4.887666,-50.000000,1.048529,0.000000,40.000000,170.862805,-50.000000,0.000000,33.308930,33.729972
42,Tm27,1.423789,4.009697,-50.000000,0.986049,0.000000,40.000000,170.862805,-50.000000,0.000000,-37.391534,-36.675215
43,Tm5a,1.423789,0.100000,-50.000000,1.011837,0.000000,40.000000,170.862805,-50.000000,0.000000,-57.681298,-57.849420
44,Tm5b,1.423789,9.816900,-50.000000,1.023617,0.000000,40.000000,170.862805,-50.000000,0.000000,-66.471913,-66.738635
45,Tm5c,1.423789,10.000000,-50.000000,0.981259,0.000000,40.000000,170.862805,-50.000000,0.000000,-55.584449,-55.543849
46,Tm5f,1.423789,6.297735,-50.000000,1.024638,0.000000,40.000000,170.862805,-50.000000,0.000000,-39.761440,-39.678597
47,TmY10,1.423789,8.552063,-50.000000,1.023408,0.000000,40.000000,170.862805,-50.000000,0.000000,-48.987358,-48.949052
48,TmY11,1.423789,9.320407,-50.000000,0.961579,0.000000,40.000000,170.862805,-50.000000,0.000000,-44.560344,-44.528288
49,TmY14,1.423789,5.793934,-50.000000,1.045559,0.000000,40.000000,170.862805,-50.000000,0.000000,-54.571143,-54.028560
