,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,10.000000,,,3.846468,0.390604,1.105372,9.206286,,,,,,,,,,,,,,,,,,9.756082,,,,10.000000,3.344780,,,,10.000000,,,,,,,,,,,,,,,,,,,,,,
R7,,,9.292201,10.000000,,2.164556,,,0.100000,,0.407205,3.027909,,,,,,,,,,,,,,,,,,0.119308,0.975234,,,0.972065,0.100000,,,0.123649,4.251141,,7.222054,,0.100000,5.534915,1.651259,2.885303,0.100000,,,,,,,,,
R8,,0.100000,10.000000,10.000000,0.100000,5.309395,,0.786044,0.100000,,0.100000,6.097365,,,,,,,,,,,,,1.563597,,,,6.142607,3.054672,1.054589,8.280422,,,0.100000,,10.000000,0.100000,10.000000,,8.097485,3.442752,,,10.000000,7.225780,,0.955200,,0.100000,,,,,1.005884,
L1,0.100000,0.100000,4.900338,1.258747,9.724490,0.100000,10.000000,0.209013,1.946490,1.502568,2.266304,,,,,,0.100000,10.000000,,,,,,,6.385022,0.100000,8.224590,,0.100000,0.100000,,0.100000,,0.100000,,,,0.100000,4.766417,,,,0.100000,,,,,,,,,0.100000,,,,
L2,6.255601,,5.909444,0.100000,10.000000,1.715690,8.852592,3.374661,0.100000,0.100000,0.100000,3.895158,,,,,2.203658,1.423868,4.591106,,,,,,0.787182,0.100000,7.464951,,10.000000,3.981359,,,,0.100000,,10.000000,0.100000,,0.100000,,0.350759,,,,1.502428,,,,,,,0.251955,,,,
L3,,0.100000,8.779105,10.000000,9.939048,,,,4.260958,,0.100000,10.000000,,,,,0.100000,0.996614,10.000000,10.000000,,,,,0.100000,,,,1.033589,10.000000,0.100000,,10.000000,,10.000000,10.000000,,1.020454,10.000000,10.000000,10.000000,0.977110,0.100000,9.359215,0.995906,0.100000,0.100000,0.100000,,,,,1.037129,,0.100000,0.100000
L4,10.000000,,,0.105497,0.100000,3.631405,0.100000,10.000000,0.100000,,,0.100000,,,,,3.674704,6.844595,0.184809,2.140962,,,,,,6.152966,,,,0.622533,0.100000,9.518957,,,,1.741317,10.000000,,,,,,0.100000,,,,,,,,,6.854490,,,,
L5,,,,0.100000,0.100000,,,4.536254,4.805479,6.100408,3.037795,0.100000,,,,,6.411816,2.389116,0.100000,,,,,,10.000000,7.091774,6.291675,,9.862446,7.111546,0.100000,0.100000,,0.100000,10.000000,7.268555,0.100000,6.242933,7.561037,,8.947613,0.672295,3.935470,,8.835618,,,,0.369248,0.110661,10.000000,3.556822,,0.489665,,
Mi1,,10.000000,0.100000,10.000000,0.100000,,,0.100000,8.638962,1.989744,9.722029,0.100000,0.160112,4.448363,1.003054,8.370542,8.362218,10.000000,0.100000,,,,,,6.910033,0.100000,1.493237,2.157803,0.100000,1.713672,0.100000,0.100000,4.243771,,10.000000,0.100000,10.000000,5.296694,0.100000,,10.000000,0.100000,1.214754,,,0.100000,,0.100000,1.005472,10.000000,1.294425,0.439543,0.100000,6.985625,0.100000,4.102930
Tm3,,,,0.100000,0.100000,,,,3.803740,0.100000,10.000000,0.100000,6.525903,4.308444,4.564684,3.388509,,,6.947512,,,1.048217,,1.025642,,0.100000,2.775030,0.954237,9.938792,10.000000,0.100000,0.100000,,,10.000000,0.100000,0.243211,,,0.951579,,,0.100000,,,,0.871835,,0.100000,0.798441,0.100000,0.446623,,7.570353,,
