,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,10.000000,,,3.478920,0.292485,1.098960,10.000000,,,,,,,,,,,,,,,,,,8.157572,,,,10.000000,3.448608,,,,10.000000,,,,,,,,,,,,,,,,,,,,,,
R7,,,9.014498,10.000000,,2.230984,,,0.100000,,0.527771,2.555195,,,,,,,,,,,,,,,,,,0.404392,0.960358,,,0.959273,0.100000,,,0.100000,5.130750,,7.234805,,0.100000,2.107120,0.288483,10.000000,0.100000,,,,,,,,,
R8,,0.100000,10.000000,10.000000,0.437569,5.496241,,0.100000,0.100000,,0.100000,5.691715,,,,,,,,,,,,,6.681948,,,,5.788556,2.111481,0.100000,10.000000,,,0.100000,,10.000000,0.100000,10.000000,,6.169962,10.000000,,,10.000000,7.650661,,0.973184,,0.172288,,,,,1.003062,
L1,0.100000,0.100000,0.100000,2.528979,8.127817,0.100000,6.415616,0.117329,1.978018,1.805669,0.699133,,,,,,0.100000,0.100000,,,,,,,0.100000,0.100000,0.100000,,0.100000,0.100000,,0.100000,,3.405733,,,,0.100000,10.000000,,,,0.100000,,,,,,,,,1.288492,,,,
L2,5.473418,,10.000000,0.100000,10.000000,1.606768,9.209270,3.851847,0.100000,0.100000,0.100000,4.115350,,,,,1.989272,1.586702,2.973326,,,,,,0.694084,0.100000,0.100000,,10.000000,5.807489,,,,0.100000,,4.216114,1.282578,,0.100000,,0.769625,,,,0.359992,,,,,,,0.100000,,,,
L3,,0.100000,10.000000,10.000000,7.134201,,,,10.000000,,0.100000,10.000000,,,,,0.100000,1.031850,10.000000,0.100000,,,,,0.100000,,,,0.992948,10.000000,0.100000,,10.000000,,10.000000,2.292079,,0.952348,10.000000,2.359612,10.000000,1.009868,0.100000,0.100283,0.969982,0.100000,0.100000,0.100000,,,,,0.992577,,10.000000,10.000000
L4,10.000000,,,0.100000,0.100000,4.974964,0.100000,10.000000,0.100000,,,0.100000,,,,,7.750915,7.262211,0.374057,1.818391,,,,,,8.714063,,,,1.859953,0.100000,10.000000,,,,6.215754,10.000000,,,,,,0.377586,,,,,,,,,7.169973,,,,
L5,,,,0.100000,0.100000,,,6.806753,5.403941,7.274921,3.471045,0.100000,,,,,6.674874,3.361047,0.100000,,,,,,10.000000,7.188614,2.477476,,9.961299,6.851686,5.398386,0.100000,,0.100000,10.000000,8.028190,0.100000,3.891538,9.601869,,10.000000,2.934503,3.456295,,6.703350,,,,0.100000,0.100000,9.622318,2.819918,,0.319200,,
Mi1,,10.000000,0.100000,10.000000,0.100000,,,0.100000,8.830922,1.936687,9.975811,0.100000,2.177308,0.100000,0.271084,5.097828,4.198342,10.000000,0.100000,,,,,,2.707829,0.100000,2.554105,2.055340,0.100000,1.722890,0.100000,2.116797,5.714576,,10.000000,0.100000,10.000000,2.617149,0.100000,,10.000000,0.100000,1.633390,,,0.105599,,0.425411,1.036893,7.716693,0.112589,1.167098,0.100000,0.100000,0.271865,4.023827
Tm3,,,,0.100000,0.100000,,,,4.505010,0.100000,10.000000,0.100000,3.156319,9.053269,0.246961,0.100000,,,6.162853,,,1.007879,,1.049469,,0.100000,3.400985,0.100000,9.999859,10.000000,0.100000,0.100000,,,10.000000,4.269722,0.638394,,,0.991647,,,0.100000,,,,10.000000,,10.000000,0.146840,0.100000,1.089919,,7.914940,,
Mi4,,,,,10.000000,0.100000,,0.100000,0.100000,1.311972,1.385158,1.161847,0.100000,0.100000,6.713740,10.000000,4.549184,0.100000,0.207677,3.039508,,,,,0.182993,,10.000000,,1.425487,0.100000,8.985441,0.100000,8.361845,,0.102154,,2.035442,,10.000000,1.156525,5.265015,,2.175513,3.873868,6.246968,9.417447,0.100000,0.100000,0.398110,,0.100000,1.836910,0.999181,8.512089,,
Mi9,,,,,,0.467101,0.100000,,10.000000,0.218429,0.100000,,7.541293,8.699828,10.000000,10.000000,8.199631,10.000000,10.000000,6.995997,,,,,,0.100000,0.100000,1.067000,0.100000,,10.000000,10.000000,0.100000,,0.445949,,0.100000,9.727812,,0.100000,1.500209,0.100000,0.100000,1.049460,0.731391,,1.029409,,10.000000,1.021100,,10.000000,0.100000,0.100000,0.978019,
T4a,,,,,,,,,,,,4.339128,0.100000,0.990283,1.010488,0.950664,,,,,6.595244,,,,,,,,,0.476496,,,,,,5.074881,,,,,,,0.554052,,,,,,,9.197136,,,,,1.364855,0.100000
T4b,,,,,,,,,9.716799,,0.100000,0.100000,0.100000,9.989495,,0.966834,,,,,,0.100000,,,,,,,,,,,,,,0.100021,,,,,,,10.000000,,,,,,0.100000,5.466504,0.100000,,,,,
T4c,,,,,,,,,,,,8.489240,,,4.072431,,,,,,,,0.159587,0.968677,,1.038495,,,,,,,,,,,,,,,,,,,,,,,,0.100000,8.199034,,8.809697,8.152111,,
T4d,,,,,,,,,0.268561,,,,,,1.016447,0.100000,,,,,,,,10.000000,,,,,,,,,,,,,,,,,,,,,,,,,,9.979295,3.469024,,9.901828,0.100000,,
Tm1,,,,,0.100000,,,0.285640,2.692042,0.100000,3.772470,0.100000,,,0.952644,,0.100000,0.100000,0.100000,0.100000,6.497779,7.281279,0.100000,0.100000,7.768089,10.000000,7.954000,7.890917,10.000000,3.817658,,7.704782,6.394284,,0.298834,3.159804,,0.100000,3.989833,0.236950,0.219985,7.756431,0.100000,0.100046,,,0.100000,3.349511,,10.000000,,0.100000,10.000000,0.100000,4.387300,0.679745
Tm2,,,,0.100000,0.100000,,,6.710247,0.100000,10.000000,4.528892,0.100000,10.000000,,2.147707,,0.100000,,0.100000,0.100000,1.853470,0.228021,0.477874,6.241077,0.100000,2.121256,6.474344,8.448308,,0.100000,0.100000,1.127579,5.793161,,,0.100000,,,0.100000,,,0.344157,7.359858,,,,,,2.622369,9.983169,0.100000,2.146063,10.000000,10.000000,0.100000,0.100000
Tm4,,,,,10.000000,,,,0.100000,3.181089,0.100000,,,,,,10.000000,10.000000,0.983028,,0.100000,10.000000,6.727497,7.868163,6.122338,10.000000,0.100000,0.100000,2.665887,0.750162,,4.471653,,,9.234641,4.301898,1.228848,,3.961142,,,10.000000,4.813602,,,,,,10.000000,0.940310,3.903687,0.100000,,9.322086,,4.286790
Tm9,,,,,,10.000000,,,,,1.943248,0.100000,,,,,0.100000,0.100000,10.000000,1.006984,7.594060,10.000000,10.000000,5.446214,,4.974279,1.180420,,,,,,10.000000,,,,,,,,4.042591,0.100000,,,,9.125764,0.100000,,,0.100000,0.985043,,10.000000,,10.000000,0.102015
T5a,,,,,,,,,,,,,0.102966,,,,,3.377830,,,2.051186,10.000000,,,,0.100000,,,,,,,,,,,,,,,,,6.025818,,,,,,,3.837842,,,,5.895794,1.574277,0.100000
T5b,,,,,,,,,,,,,,0.100000,,,,,,,6.544544,6.950072,,,,6.321315,,,,,,,,,,,,,,,,,,,,,,,0.571032,3.321649,9.652984,,,0.223656,,
T5c,,,,,,,,,,,,,,,0.187093,,,,,,,0.981182,0.100000,1.001461,,0.100000,,,,,,,,,,,,,,,,,,,,,,,,6.942284,0.100000,,0.100000,0.100000,,
T5d,,,,,,,,,,,,,,,4.719106,1.024106,,,,,,,,10.000000,,7.893461,,,,,,,,,,,,,,,,,,,,,,,,3.481818,0.145334,,0.655806,4.761439,,
T1,0.100000,10.000000,0.100000,,2.864496,3.717568,,0.100000,,,,10.000000,,,,,9.293357,0.100000,0.100000,,,,,,,,,,,,,,,0.991841,,,,,,,2.858399,,,,,,,,,,,,1.027338,,,
