idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp,a_h,v_pre,v_onset
0,R1-6,0.956800,0.000000,1.534269,3.734173,-56.603908,-50.000000,40.000000,142.063857,0.000000,-36.785082,-36.765275
1,R7,0.953057,0.000000,1.534269,10.000000,-73.690785,-50.000000,40.000000,142.063857,0.000000,-53.789498,-53.767015
2,R8,1.001236,0.000000,1.534269,4.243508,-69.904708,-50.000000,40.000000,142.063857,0.000000,-50.014306,-49.991774
3,L1,0.218736,0.000000,1.534269,3.316805,-40.398546,-50.000000,40.000000,142.063857,1.000000,-40.398546,-40.393315
4,L2,3.180964,0.000000,1.534269,1.271083,-36.740723,-50.000000,40.000000,142.063857,0.986847,-37.927821,-37.952994
5,L3,0.908826,0.000000,1.534269,1.007537,-54.858123,-50.000000,40.000000,142.063857,0.000000,-54.894538,-54.902575
6,L4,0.283842,0.000000,1.534269,0.366842,-52.008228,-50.000000,40.000000,142.063857,1.000000,-52.008228,-52.008237
7,L5,0.320616,0.000000,1.534269,4.821545,-35.671653,-50.000000,40.000000,142.063857,0.976077,-35.818732,-35.815868
8,Mi1,0.125248,0.000000,1.534269,2.014996,-40.309425,-50.000000,40.000000,142.063857,0.000000,-34.003263,-33.943098
9,Tm3,0.132093,0.000000,1.534269,0.337995,-47.296206,-50.000000,40.000000,142.063857,0.000000,-26.975356,-26.722844
10,Mi4,0.407916,0.000000,1.534269,0.464591,-49.399536,-50.000000,40.000000,142.063857,0.000000,-13.452426,-13.232730
11,Mi9,0.311607,0.000000,1.534269,0.273883,-52.589945,-50.000000,40.000000,142.063857,0.000000,-52.654211,-52.655630
12,T4a,0.992606,0.000000,1.534269,0.566798,-51.281474,-50.000000,40.000000,142.063857,0.000000,-60.160188,-60.588931
13,T4b,1.002677,0.000000,1.534269,5.436947,-53.409726,-50.000000,40.000000,142.063857,0.000000,-31.418949,-31.113578
