,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,10.000000,,,0.895370,4.814704,0.100000,0.100000,,,,,,,,,,,,,,,,,,2.724211,,,,0.100000,0.978272,,,,1.916535,,,,,,,,,,,,,,,,,,,,,,
R7,,,10.000000,4.816032,,3.132085,,,0.233389,,0.100000,2.154892,,,,,,,,,,,,,,,,,,1.008967,1.568844,,,1.016297,1.017987,,,6.043788,0.100000,,2.036941,,4.875793,2.285511,3.232265,1.688689,2.712698,,,,,,,,,
R8,,0.557587,10.000000,10.000000,0.100000,5.526555,,0.100000,0.100000,,0.100000,3.802148,,,,,,,,,,,,,1.753596,,,,0.100000,0.987350,7.507199,0.727361,,,0.983519,,0.100000,1.314993,0.966025,,2.154691,2.183751,,,7.235828,1.757101,,0.100000,,0.183725,,,,,0.957341,
L1,0.100000,0.100000,9.342450,6.709086,9.466109,0.100000,0.100000,5.647449,1.212123,1.896424,10.000000,,,,,,0.100000,0.247861,,,,,,,1.686369,0.100000,0.100000,,7.770492,3.227938,,0.100000,,2.340124,,,,1.019773,10.000000,,,,10.000000,,,,,,,,,0.100000,,,,
L2,10.000000,,10.000000,0.662544,0.100000,8.675972,0.100000,1.228124,0.435283,0.100000,0.100000,2.842582,,,,,0.100000,0.100000,6.836982,,,,,,0.100000,0.848012,0.431901,,0.100000,0.341846,,,,0.100000,,0.100000,9.800193,,9.370808,,0.100000,,,,1.794558,,,,,,,10.000000,,,,
L3,,0.995614,1.010988,1.016045,0.960549,,,,1.012064,,0.986504,0.964201,,,,,0.988150,0.978343,0.975380,1.016432,,,,,1.041662,,,,1.002495,0.985645,0.956269,,0.960902,,0.992631,0.956820,,1.029494,1.001982,0.964950,1.033674,0.997532,1.039071,0.959134,1.033946,1.049827,1.001942,0.968018,,,,,0.962648,,1.046446,1.017217
L4,1.565236,,,0.419297,1.566143,0.392407,0.351392,0.966000,1.025574,,,0.376508,,,,,1.561172,0.418898,1.642685,1.559946,,,,,,1.562318,,,,1.049307,1.039023,0.394856,,,,0.433893,1.013069,,,,,,1.491686,,,,,,,,,1.608518,,,,
L5,,,,10.000000,2.785160,,,10.000000,0.100000,1.014576,3.566199,0.100000,,,,,0.100000,0.177330,0.531273,,,,,,0.100000,0.100000,1.955670,,0.100000,0.266566,0.100000,0.100000,,0.100000,1.019463,0.100000,0.100000,1.530961,0.100000,,0.100000,0.283496,0.460284,,10.000000,,,,7.185426,0.686366,7.213448,0.100000,,7.757684,,
Mi1,,3.435661,0.100000,10.000000,10.000000,,,7.812376,5.627891,1.704198,9.820207,0.100000,0.100000,7.820121,2.808942,7.348367,0.100000,0.225265,7.573178,,,,,,0.589086,0.100000,0.665604,0.100000,0.100000,0.169957,10.000000,1.450319,0.417136,,0.203756,3.869540,10.000000,8.437106,4.686125,,0.186443,0.100000,3.938755,,,1.027338,,10.000000,0.991103,8.617957,1.554346,0.568575,8.830964,0.100000,0.100000,9.300513
Tm3,,,,7.956481,10.000000,,,,8.584876,2.335405,10.000000,0.100000,3.858599,1.509537,3.683128,9.488996,,,2.203015,,,1.036831,,0.996269,,6.472592,0.100000,0.538934,1.042316,1.027605,2.487991,1.938367,,,0.162607,0.766833,2.159648,,,2.225822,,,0.100000,,,,10.000000,,7.908769,1.691233,2.139303,1.931948,,3.354268,,
Mi4,,,,,7.414795,0.100000,,4.285422,0.100000,0.100000,0.100000,0.100000,7.412079,0.100000,0.100000,0.100000,0.100000,0.100000,8.065275,0.100000,,,,,1.595847,,10.000000,,0.100000,1.037156,6.006825,7.769351,9.583334,,1.008913,,0.100000,,0.965074,2.174921,2.334016,,8.686433,1.986258,0.100000,1.947695,0.631649,1.218363,0.671047,,5.728804,5.156581,1.015925,3.093751,,
Mi9,,,,,,1.577949,1.682505,,0.177720,0.306324,0.335793,,1.817132,0.964921,1.861875,0.308767,0.379396,0.926193,0.585654,1.710231,,,,,,0.333865,0.234702,0.340171,1.043471,,1.645848,0.385827,0.959308,,1.003712,,0.205804,1.045848,,1.825546,0.894029,0.197526,0.286599,0.993186,0.373589,,1.031752,,0.222411,0.986081,,0.315698,0.993349,1.646172,1.043475,
T4a,,,,,,,,,,,,0.627649,0.100148,0.966448,2.009695,1.031780,,,,,6.918076,,,,,,,,,0.985050,,,,,,0.156814,,,,,,,0.326497,,,,,,,0.831711,,,,,0.309328,0.100000
T4b,,,,,,,,,4.900442,,10.000000,0.100000,1.855961,5.458368,,1.002055,,,,,,0.100000,,,,,,,,,,,,,,10.000000,,,,,,,3.608267,,,,,,0.100000,8.922905,5.997059,,,,,
T4c,,,,,,,,,,,,0.159540,,,0.100000,,,,,,,,10.000000,1.134878,,0.100000,,,,,,,,,,,,,,,,,,,,,,,,3.752333,10.000000,,0.100000,10.000000,,
T4d,,,,,,,,,6.878768,,,,,,1.017611,8.560483,,,,,,,,9.251520,,,,,,,,,,,,,,,,,,,,,,,,,,0.100000,0.100000,,0.650010,9.248382,,
Tm1,,,,,0.101863,,,1.268798,1.930795,2.298379,2.428127,0.101705,,,1.031352,,1.050524,0.100000,1.065727,0.149747,3.948602,8.793445,0.418041,0.497898,0.100000,0.914585,1.737541,1.884087,0.614882,1.039380,,0.128318,3.040144,,1.035517,0.100000,,1.015679,0.196003,0.100000,0.100000,0.100215,0.880885,0.953936,,,1.965914,2.686038,,0.988731,,0.100000,0.100000,0.488500,1.904234,2.209891
Tm2,,,,2.961928,0.189063,,,1.736675,2.168649,2.222223,2.399289,0.100000,2.068697,,0.100000,,1.205169,,1.723294,0.100000,2.780678,2.637421,0.374890,0.227774,0.100000,2.327784,2.304758,2.310632,,0.997897,0.460317,1.830610,2.964128,,,0.100000,,,0.124562,,,2.170624,2.687670,,,,,,2.255822,2.112145,0.100000,2.677816,0.447280,0.100000,0.245505,2.572378
Tm4,,,,,9.966395,,,,0.100000,3.663329,1.636697,,,,,,0.100000,0.100000,0.100000,,3.340881,0.100000,8.710397,0.100000,0.990530,1.251291,7.090186,8.169202,0.100000,0.100000,,8.006561,,,0.100000,3.852123,0.100000,,0.740034,,,10.000000,10.000000,,,,,,10.000000,1.192730,0.349063,6.856340,,0.100000,,8.528908
Tm9,,,,,,0.385833,,,,,1.616019,0.334656,,,,,1.610661,1.644511,1.636384,1.578873,1.589026,1.617540,0.418766,0.425873,,1.583284,1.620416,,,,,,1.593852,,,,,,,,0.382410,1.050475,,,,0.533040,1.588345,,,1.647032,0.449274,,1.010282,,1.620672,1.580932
T5a,,,,,,,,,,,,,0.100000,,,,,0.100000,,,5.569883,10.000000,,,,4.267285,,,,,,,,,,,,,,,,,3.049797,,,,,,,7.888551,,,,10.000000,1.429963,0.100000
T5b,,,,,,,,,,,,,,0.100000,,,,,,,0.100000,0.100000,,,,5.751323,,,,,,,,,,,,,,,,,,,,,,,0.100000,0.145092,7.356639,,,0.100000,,
T5c,,,,,,,,,,,,,,,0.100000,,,,,,,1.028343,0.100000,1.234412,,0.100000,,,,,,,,,,,,,,,,,,,,,,,,0.100000,2.350317,,0.100000,9.754905,,
T5d,,,,,,,,,,,,,,,0.100000,0.990342,,,,,,,,10.000000,,0.160349,,,,,,,,,,,,,,,,,,,,,,,,0.100000,0.100000,,0.100000,10.000000,,
T1,0.198694,1.303275,0.378554,,0.860499,0.429704,,1.625989,,,,0.100000,,,,,2.913388,0.100000,2.923425,,,,,,,,,,,,,,,0.982631,,,,,,,0.100000,,,,,,,,,,,,0.965297,,,
T2,,,,,,,,10.000000,6.828574,0.909979,,0.421162,,,,,0.100000,0.355073,0.225937,,,,,,,1.368832,0.100000,0.100000,,,,4.647256,,,,,8.815967,,,,,2.352260,4.095928,,9.648911,0.100000,,,3.208267,0.100000,0.100000,3.644667,,4.778353,0.960759,8.468641
T2a,,,,,,,,,7.968512,4.264072,,,,,,,7.089471,,7.177178,,,,,,,10.000000,5.357916,10.000000,0.100000,,,10.000000,1.498027,,0.521174,3.636497,,,,,0.100000,0.100000,,0.100000,6.724132,,0.100000,,,6.348427,0.751513,,0.100000,0.147664,0.100000,0.961150
T3,,,,,,,,,,7.999366,,,,,,1.003873,0.100000,,,,,,,,,1.272209,0.100000,0.100000,,0.967331,,6.682822,,,,,,,5.231765,,,0.100000,,,,,1.012220,,,,,,,0.100000,,1.998970
C2,5.684906,3.737719,9.402473,0.100000,0.100000,4.727814,0.100000,1.313721,0.587267,,0.915318,,,,,,0.100000,,,0.100000,,,,,0.991235,5.484828,0.100000,4.376535,0.952515,0.980616,,,,1.001292,,,,1.031200,0.100000,0.982908,,,3.217937,,,,,,,,,,,,,
C3,1.022838,,,1.173038,0.100063,0.969772,0.974347,5.414340,3.049128,0.969507,0.966971,1.644419,0.988422,1.026844,0.950465,1.029619,0.100000,1.020661,0.100000,2.737941,,,,,0.666001,2.150505,0.974875,1.010905,1.023730,,,,,1.046913,,1.010624,,1.040372,1.016571,,0.977633,1.012765,0.971302,,,,,,,1.005986,,,,,,
Lawf1,8.590048,,,10.000000,2.941757,0.110165,,9.324532,,7.737995,,0.100000,,,,,,,,,,,,,0.100000,,,,,,0.100000,,,0.100000,,,,,,,,,,,,,,,,,,,,,,
Lawf2,0.100000,,,10.000000,0.100000,0.100000,,8.359434,,,,,,,,,0.100000,0.100000,,0.100000,,,,,0.100000,,,,0.100000,0.100000,0.100000,,,0.100000,,0.399101,3.891257,,,,,,,,,,,,,10.000000,,,,1.430180,,
Dm3v,,,,,,,,,,,0.100000,3.978746,,,,,0.100000,5.630154,,,,,,,,,9.041755,,,,,,0.100000,,,,,,,,2.061670,1.004392,,,,,10.000000,,,,,,7.845419,0.100000,0.100000,0.100000
Lai,1.991015,,,0.967733,0.205162,0.340623,,0.977140,,,,,,,,,,,,,,,,,1.003430,,,,,0.999654,,,,2.200295,,,,,,,,,,,,,,,,,,,,,,
Mi10,,,,,,1.027372,,,,,3.494082,1.509274,1.042317,,0.987952,0.976656,,0.987454,1.020783,,,,,,,0.100000,,,,,0.100000,,,,0.100000,,0.100000,2.807567,,0.991863,,,1.021265,,0.100000,,,,1.017181,,,,,,,
Mi13,,,,,,,1.978191,0.100000,0.100000,0.100000,,0.100000,,,,,0.321783,1.822521,3.884979,0.100000,,,,,1.885036,2.094235,0.100000,,,,,,,,,,,,,,2.048816,,,,1.006065,,,,,,,,,0.988065,,
Mi14,,,,,9.491356,,,9.532280,,,,1.419220,,,,,0.100000,0.100000,0.590090,,,,,,0.238864,4.820786,,0.100000,,,,,,,,10.000000,,,,,1.027509,,5.697852,,,,,,,,,6.610541,,10.000000,,
Mi15,,,,,,,,,,,10.000000,,,,,,,,1.035911,,,,,,0.962965,,0.100000,,,0.989005,10.000000,,,,1.041074,,0.100000,10.000000,0.100000,,,10.000000,1.011165,1.030150,,1.001559,,,,,,,,0.100000,,
