,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,10.000000,,,4.243223,0.249423,0.937145,5.707373,,,,,,,,,,,,,,,,,,4.038085,,,,10.000000,1.531894,,,,0.100000,,,,,,,,,,,,,,,,,,,,,,
R7,,,3.029235,10.000000,,3.369769,,,0.100000,,0.100000,3.329425,,,,,,,,,,,,,,,,,,0.100000,0.968473,,,0.100000,0.857807,,,0.100000,10.000000,,10.000000,,0.100000,0.100000,0.174051,9.265156,0.969806,,,,,,,,,
R8,,7.697083,10.000000,10.000000,0.100000,5.972287,,0.100000,0.100000,,0.100000,6.488326,,,,,,,,,,,,,0.100000,,,,0.100000,0.100000,7.379301,0.100000,,,0.193758,,9.378054,0.100000,10.000000,,8.427409,4.267844,,,10.000000,9.416832,,4.683579,,0.108578,,,,,1.024116,
L1,0.100000,0.100000,1.376646,0.100000,2.019159,0.100000,0.100000,0.330833,2.768001,4.191805,2.088534,,,,,,0.100000,0.100000,,,,,,,10.000000,0.100000,10.000000,,0.100000,0.100000,,0.100000,,10.000000,,,,0.100000,0.100000,,,,0.100000,,,,,,,,,0.100000,,,,
L2,7.382972,,5.512881,2.679637,10.000000,3.848542,9.506917,2.078325,0.100000,0.100000,0.100000,4.098080,,,,,2.510864,1.249169,5.117867,,,,,,1.243992,0.100000,9.693607,,10.000000,0.678849,,,,7.833512,,6.351783,0.100000,,0.100000,,3.116578,,,,0.100000,,,,,,,0.100000,,,,
L3,,0.100000,10.000000,10.000000,6.086170,,,,0.100000,,0.100000,10.000000,,,,,8.946649,1.035051,10.000000,0.100000,,,,,8.789996,,,,0.100000,0.100000,0.100000,,9.100948,,10.000000,10.000000,,1.046305,0.100000,8.112250,10.000000,0.955913,0.100000,10.000000,1.047595,0.100000,10.000000,0.296873,,,,,1.048421,,10.000000,0.100000
L4,10.000000,,,0.100000,0.100000,6.946359,0.902047,10.000000,3.448605,,,0.339934,,,,,3.860918,9.620511,2.067688,3.000693,,,,,,8.903154,,,,0.900891,0.100000,10.000000,,,,2.554473,10.000000,,,,,,0.100000,,,,,,,,,6.953791,,,,
L5,,,,5.626331,0.100000,,,2.015682,5.602902,6.570931,2.540636,0.100000,,,,,10.000000,2.814793,0.100000,,,,,,10.000000,5.781877,0.100000,,5.591221,5.994420,0.100000,0.100000,,10.000000,10.000000,0.100000,10.000000,6.442837,4.870796,,8.539443,1.475250,2.416470,,5.576002,,,,0.142500,0.100000,9.543663,3.832023,,10.000000,,
Mi1,,0.160759,1.665238,2.358839,0.100000,,,0.100000,8.278065,2.018458,10.000000,0.100000,0.100000,2.594362,0.960801,6.344748,3.975557,10.000000,4.995346,,,,,,0.100000,1.501289,2.231962,0.100000,1.908756,2.493288,10.000000,0.100000,9.796693,,10.000000,0.100000,10.000000,0.427057,4.488873,,9.918680,6.995808,1.742812,,,0.185303,,4.759579,1.043985,0.100000,0.100000,1.035388,0.100000,0.100000,0.100000,0.100000
Tm3,,,,0.100000,0.100000,,,,2.793086,0.100000,1.919516,1.549949,3.631895,2.084283,0.310801,5.030274,,,4.377714,,,1.020804,,1.046001,,0.304604,0.100000,0.100000,0.100000,10.000000,0.100000,0.100000,,,3.694008,0.100000,0.100000,,,1.045785,,,0.769716,,,,7.471131,,0.100000,1.860537,0.100000,0.681824,,1.453654,,
Mi4,,,,,10.000000,0.100000,,0.100000,0.100000,0.100000,0.308678,0.957015,0.525870,0.100000,9.428128,10.000000,6.776446,3.409740,9.272469,2.661538,,,,,10.000000,,10.000000,,10.000000,0.100000,9.108576,10.000000,10.000000,,9.838957,,10.000000,,0.100000,0.100000,5.293957,,2.393803,0.100000,4.601628,1.074264,10.000000,2.510460,0.150762,,0.100000,0.502025,1.000873,10.000000,,
Mi9,,,,,,0.100000,0.100000,,0.100000,1.190722,0.213098,,0.100000,7.278752,10.000000,10.000000,0.405129,0.747680,1.962118,0.100000,,,,,,0.100000,10.000000,10.000000,4.242756,,0.100000,2.489861,10.000000,,0.100000,,0.100000,1.174165,,2.321150,10.000000,0.100000,0.100000,0.999095,1.068075,,1.041728,,0.100000,1.011035,,2.524225,0.100000,0.100000,0.100000,
T4a,,,,,,,,,,,,9.897350,0.100000,0.964283,1.031768,0.980705,,,,,1.996888,,,,,,,,,3.015333,,,,,,5.615561,,,,,,,0.100000,,,,,,,0.100000,,,,,0.962225,0.100000
