,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,10.000000,,,3.787960,3.065858,0.633031,0.100000,,,,,,,,,,,,,,,,,,2.794270,,,,1.016879,0.164459,,,,2.786835,,,,,,,,,,,,,,,,,,,,,,
R7,,,6.843470,10.000000,,3.057663,,,0.100000,,0.100000,1.945075,,,,,,,,,,,,,,,,,,0.100000,1.560821,,,0.986665,10.000000,,,3.624421,1.015898,,1.794687,,0.100000,2.277190,3.227126,1.219695,0.100000,,,,,,,,,
R8,,0.260564,6.539052,10.000000,0.100000,1.364033,,0.100000,0.100000,,0.100000,0.827933,,,,,,,,,,,,,1.076378,,,,0.957989,0.100000,9.952017,10.000000,,,0.270791,,3.030017,4.508525,1.000685,,1.910486,0.100000,,,0.770226,1.703035,,5.842455,,6.444461,,,,,0.975993,
L1,4.784503,6.558352,10.000000,0.100000,0.100000,5.219178,0.100000,1.781428,1.710691,2.056717,0.167829,,,,,,0.100000,0.632699,,,,,,,2.073459,0.100000,2.631300,,0.802027,6.556817,,10.000000,,1.001916,,,,3.158480,1.011220,,,,0.100093,,,,,,,,,4.608989,,,,
L2,6.646142,,7.118850,0.100000,0.100000,7.174992,7.927251,0.100000,0.100000,0.100000,0.113909,2.766713,,,,,0.557807,1.055600,5.381608,,,,,,0.100000,5.811496,0.100000,,0.511768,6.808336,,,,0.100000,,0.100000,0.100000,,0.261578,,0.100000,,,,1.532367,,,,,,,0.100000,,,,
L3,,0.100000,10.000000,0.100000,0.100000,,,,3.867922,,0.100000,0.100000,,,,,0.100000,0.989865,0.986195,7.187956,,,,,1.042730,,,,0.957078,0.100000,1.044002,,7.808338,,10.000000,1.028138,,0.964233,0.954667,0.100000,0.955205,0.986190,0.967182,0.982047,0.957450,0.100000,0.100000,0.100000,,,,,0.993937,,1.037347,1.011695
L4,10.000000,,,10.000000,0.100000,7.042037,0.100000,0.649587,1.936535,,,1.563437,,,,,0.100000,4.014296,6.581148,4.662996,,,,,,10.000000,,,,1.026955,0.267288,2.676073,,,,0.993179,0.952557,,,,,,2.058043,,,,,,,,,4.504779,,,,
L5,,,,0.398303,3.828859,,,0.568065,2.781855,8.757971,9.992257,0.100000,,,,,0.100000,0.100000,0.100000,,,,,,1.014623,5.466075,0.100000,,0.100000,4.361375,0.100000,0.100000,,0.100000,0.557338,1.037952,6.309486,0.100000,0.100000,,0.100000,0.100000,0.100000,,0.111731,,,,0.100000,7.192349,1.678454,8.933607,,10.000000,,
Mi1,,10.000000,2.919798,3.726968,10.000000,,,0.100000,9.438195,0.100000,10.000000,0.100000,0.100000,7.798466,0.100000,9.546621,0.100000,10.000000,2.536110,,,,,,0.695155,2.225556,7.295265,5.084871,0.100000,5.537997,10.000000,0.100000,0.241341,,3.471641,0.999813,10.000000,1.577788,0.100000,,0.477842,5.757330,8.528545,,,0.738422,,5.004492,1.027421,8.594096,8.986044,2.256396,9.995569,0.100000,0.100000,8.681998
Tm3,,,,9.834402,6.736954,,,,2.190645,1.791063,3.476853,0.100000,0.230141,5.917356,0.100000,9.654072,,,0.100000,,,0.992878,,1.012990,,5.472168,0.100000,4.641410,1.004174,10.000000,0.100000,1.590284,,,0.100000,0.100000,1.891479,,,10.000000,,,6.311635,,,,0.471480,,4.810176,0.641442,0.292925,4.177010,,9.311883,,
Mi4,,,,,0.100000,0.100000,,0.668242,0.100000,7.260731,0.100000,0.914281,8.570477,10.000000,3.263199,1.291313,0.723467,0.100000,0.100000,2.578232,,,,,1.636241,,10.000000,,1.009893,0.100000,7.800375,2.384898,0.100000,,2.716850,,8.612069,,1.027772,10.000000,2.247667,,2.244554,1.829259,0.123178,0.100000,2.906962,0.100000,0.898021,,1.988507,4.436092,1.013694,0.100000,,
Mi9,,,,,,1.657217,1.966224,,6.527752,9.351758,0.493065,,0.999427,10.000000,1.006702,0.100000,0.100000,10.000000,3.694528,1.466038,,,,,,0.100000,0.100000,0.328528,0.992845,,9.600460,0.275363,1.026677,,3.614692,,1.019236,0.972884,,6.145800,1.673434,0.100000,5.217071,0.993186,0.100000,,1.013232,,4.002352,1.006842,,6.067280,1.276506,10.000000,0.624359,
T4a,,,,,,,,,,,,4.590616,0.195634,1.033950,1.022732,1.030567,,,,,4.306148,,,,,,,,,0.100000,,,,,,1.047972,,,,,,,3.272652,,,,,,,10.000000,,,,,0.973489,1.256210
T4b,,,,,,,,,0.100000,,0.100000,0.100000,0.415674,3.475468,,1.015218,,,,,,0.100000,,,,,,,,,,,,,,0.976001,,,,,,,2.828825,,,,,,0.651686,4.388294,9.992451,,,,,
T4c,,,,,,,,,,,,0.100000,,,0.100000,,,,,,,,1.011894,0.957471,,1.006996,,,,,,,,,,,,,,,,,,,,,,,,8.918192,3.069262,,5.954445,0.100000,,
T4d,,,,,,,,,7.644060,,,,,,1.025069,7.191245,,,,,,,,6.911206,,,,,,,,,,,,,,,,,,,,,,,,,,0.166808,0.100000,,6.215822,3.181354,,
Tm1,,,,,0.100000,,,1.550386,2.061865,2.111886,2.545186,0.108500,,,0.954711,,1.150766,0.100000,0.100000,0.121088,3.921417,0.387588,0.562705,0.306073,0.100000,0.966781,2.624337,1.766772,1.022105,5.546793,,5.308166,3.370105,,0.100000,0.453785,,2.896854,0.100000,0.100000,0.100000,0.100000,1.282566,1.010507,,,8.073351,1.018771,,0.999647,,7.927339,4.856854,0.100031,1.670601,2.452369
Tm2,,,,10.000000,0.100000,,,1.075521,3.953688,10.000000,1.106142,0.522105,1.010237,,0.980853,,0.100000,,1.256720,0.678099,2.642517,0.356001,0.659070,0.234532,0.100000,1.192071,2.609272,2.340421,,9.263718,9.408383,1.331311,3.101813,,,0.963183,,,1.037721,,,0.431336,4.015723,,,,,,1.519224,10.000000,10.000000,1.585980,10.000000,10.000000,0.100000,0.792382
Tm4,,,,,2.676350,,,,5.142399,0.100000,0.100000,,,,,,10.000000,0.100000,4.027558,,0.103894,0.320536,0.100000,0.198812,1.020098,10.000000,0.100000,0.926285,0.997441,0.100000,,1.965703,,,0.100000,0.534673,10.000000,,0.958964,,,0.951109,0.613156,,,,,,0.100000,0.102637,0.100000,0.100000,,2.725995,,1.015086
Tm9,,,,,,1.001297,,,,,0.964264,0.100000,,,,,10.000000,1.028506,1.005162,0.969940,0.100000,0.984837,0.958996,0.992202,,0.100000,0.955069,,,,,,8.585292,,,,,,,,0.953379,0.991816,,,,1.001313,3.868062,,,0.970661,1.037895,,1.048874,,0.954881,1.095411
T5a,,,,,,,,,,,,,0.100000,,,,,2.031395,,,6.769513,0.685472,,,,7.171197,,,,,,,,,,,,,,,,,0.193274,,,,,,,6.328548,,,,3.118548,0.100000,2.660203
