idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp,a_h,v_pre,v_onset
0,R1-6,1.033837,0.000000,2.905642,3.978522,-49.456430,-50.000000,20.000000,129.993511,0.000000,-30.003520,-29.972514
1,R7,1.035604,0.000000,2.905642,9.721372,-79.136157,-50.000000,20.000000,129.993511,0.000000,-59.234555,-59.195604
2,R8,0.994437,0.000000,2.905642,6.891807,-69.870588,-50.000000,20.000000,129.993511,0.000000,-49.956696,-49.916879
3,L1,4.188380,0.000000,2.905642,1.453998,-23.331424,-50.000000,20.000000,129.993511,1.000000,-23.331424,-23.391672
4,L2,3.095760,0.000000,2.905642,1.711280,-23.865928,-50.000000,20.000000,129.993511,1.000000,-23.865928,-23.926520
5,L3,2.236648,0.000000,2.905642,0.342605,-60.835185,-50.000000,20.000000,129.993511,0.000000,-60.638839,-60.666270
6,L4,0.314271,0.000000,2.905642,0.742774,-51.810605,-50.000000,20.000000,129.993511,0.929769,-51.253561,-51.254842
7,L5,1.737579,0.000000,2.905642,3.667768,-39.142073,-50.000000,20.000000,129.993511,1.000000,-39.142073,-39.122003
8,Mi1,0.701170,0.000000,2.905642,1.027664,-36.678998,-50.000000,20.000000,129.993511,0.000000,-45.609970,-45.603431
9,Tm3,2.843414,0.000000,2.905642,0.727505,-44.830642,-50.000000,20.000000,129.993511,0.000000,-9.026724,-8.197079
10,Mi4,2.452769,0.000000,2.905642,1.200108,-50.477455,-50.000000,20.000000,129.993511,0.000000,-30.871179,-30.796195
11,Mi9,0.631409,0.000000,2.905642,3.581353,-55.687091,-50.000000,20.000000,129.993511,0.000000,-53.265957,-53.245743
12,T4a,1.005915,0.000000,2.905642,1.316995,-67.487113,-50.000000,20.000000,129.993511,0.000000,-66.669687,-66.557366
13,T4b,1.002019,0.000000,2.905642,2.823133,-13.999625,-50.000000,20.000000,129.993511,0.000000,-28.469558,-28.939828
14,T4c,1.043859,0.000000,2.905642,1.068879,-52.002649,-50.000000,20.000000,129.993511,0.000000,-54.561438,-54.589288
15,T4d,0.966827,0.000000,2.905642,9.801825,-53.002196,-50.000000,20.000000,129.993511,0.000000,-57.471725,-57.570906
16,Tm1,0.453387,0.000000,2.905642,0.100750,-55.833338,-50.000000,20.000000,129.993511,0.000000,-51.184615,-51.219556
17,Tm2,2.262975,0.000000,2.905642,0.451049,-64.825522,-50.000000,20.000000,129.993511,0.000000,-58.082859,-58.408563
18,Tm4,2.093706,0.000000,2.905642,4.446677,-77.856835,-50.000000,20.000000,129.993511,0.000000,-15.924040,-16.385796
19,Tm9,0.738593,0.000000,2.905642,1.172062,-56.744985,-50.000000,20.000000,129.993511,0.000000,-55.700297,-55.693636
20,T5a,0.991695,0.000000,2.905642,0.433325,-53.465728,-50.000000,20.000000,129.993511,0.000000,-57.377870,-57.537379
21,T5b,1.046611,0.000000,2.905642,9.817809,-2.972761,-50.000000,20.000000,129.993511,0.000000,-5.155022,-5.352735
22,T5c,0.986347,0.000000,2.905642,2.677330,-55.058691,-50.000000,20.000000,129.993511,0.000000,-53.817687,-53.823477
23,T5d,1.026332,0.000000,2.905642,3.126429,-52.003598,-50.000000,20.000000,129.993511,0.000000,-53.930848,-54.002234
24,T1,1.045718,0.000000,2.905642,1.727890,-54.969672,-50.000000,20.000000,129.993511,0.000000,-53.789199,-53.833029
25,T2,1.017889,0.000000,2.905642,1.457425,-41.692108,-50.000000,20.000000,129.993511,0.000000,-16.629281,-15.825873
26,T2a,1.007971,0.000000,2.905642,2.637325,-25.026051,-50.000000,20.000000,129.993511,0.000000,-19.637053,-19.625720
27,T3,0.984082,0.000000,2.905642,5.446059,-46.480312,-50.000000,20.000000,129.993511,0.000000,11.556821,11.728816
28,C2,1.046315,0.000000,2.905642,1.616138,-49.092974,-50.000000,20.000000,129.993511,0.000000,-51.169376,-51.187158
29,C3,1.021313,0.000000,2.905642,1.137775,-55.951072,-50.000000,20.000000,129.993511,0.000000,-56.072744,-55.297668
30,Lawf1,1.049608,0.000000,2.905642,1.259046,-61.327936,-50.000000,20.000000,129.993511,0.000000,-61.224184,-61.218775
31,Lawf2,1.018677,0.000000,2.905642,2.082783,-48.136167,-50.000000,20.000000,129.993511,0.000000,-25.396836,-25.082281
32,Dm3v,1.026375,0.000000,2.905642,5.774398,-41.683339,-50.000000,20.000000,129.993511,0.000000,-41.225411,-41.209598
33,Lai,1.020906,0.000000,2.905642,3.205034,-52.020368,-50.000000,20.000000,129.993511,0.000000,-123.146319,-123.622027
34,Mi10,0.985424,0.000000,2.905642,2.637905,-53.754101,-50.000000,20.000000,129.993511,0.000000,-53.501186,-53.556249
35,Mi13,1.044371,0.000000,2.905642,4.597884,-58.943437,-50.000000,20.000000,129.993511,0.000000,-58.203766,-57.011424
36,Mi14,1.028407,0.000000,2.905642,9.348830,-55.820719,-50.000000,20.000000,129.993511,0.000000,-47.719421,-47.665664
37,Mi15,1.045406,0.000000,2.905642,0.699676,-52.026556,-50.000000,20.000000,129.993511,0.000000,-51.908851,-51.916811
38,Mi2,0.988049,0.000000,2.905642,1.102233,-53.473952,-50.000000,20.000000,129.993511,0.000000,-53.238316,-53.273772
39,Tm16,1.032114,0.000000,2.905642,5.350822,-52.893331,-50.000000,20.000000,129.993511,0.000000,-68.896388,-69.062410
40,Tm20,1.027942,0.000000,2.905642,4.894414,-45.140402,-50.000000,20.000000,129.993511,0.000000,-40.250882,-40.275386
41,Tm21,1.019548,0.000000,2.905642,7.677232,-49.082399,-50.000000,20.000000,129.993511,0.000000,-15.885451,-14.726824
42,Tm27,1.043296,0.000000,2.905642,5.462776,-45.918921,-50.000000,20.000000,129.993511,0.000000,-48.952490,-49.099614
43,Tm5a,0.985820,0.000000,2.905642,10.000000,-21.987315,-50.000000,20.000000,129.993511,0.000000,-16.516690,-16.419929
44,Tm5b,0.971509,0.000000,2.905642,2.692049,-52.058418,-50.000000,20.000000,129.993511,0.000000,-53.944028,-53.954106
45,Tm5c,0.961171,0.000000,2.905642,1.482221,-58.908425,-50.000000,20.000000,129.993511,0.000000,-57.435846,-57.391710
46,Tm5f,1.005959,0.000000,2.905642,1.205292,-40.918909,-50.000000,20.000000,129.993511,0.000000,-2.519711,-2.161386
47,TmY10,1.013820,0.000000,2.905642,1.117057,-50.107712,-50.000000,20.000000,129.993511,0.000000,-49.035434,-49.006607
48,TmY11,1.032158,0.000000,2.905642,6.282061,-53.845165,-50.000000,20.000000,129.993511,0.000000,-52.536278,-53.002920
49,TmY14,1.044062,0.000000,2.905642,8.038820,-8.857193,-50.000000,20.000000,129.993511,0.000000,-59.348009,-61.652734
50,TmY15,1.036237,0.000000,2.905642,3.855853,-53.392181,-50.000000,20.000000,129.993511,0.000000,-8.244079,-8.476572
51,TmY3,0.987045,0.000000,2.905642,3.298330,-64.849844,-50.000000,20.000000,129.993511,0.000000,-72.756992,-73.096383
52,TmY4,1.006494,0.000000,2.905642,10.000000,-40.875402,-50.000000,20.000000,129.993511,0.000000,-45.879168,-45.231863
53,TmY5a,0.987946,0.000000,2.905642,7.648059,-38.708927,-50.000000,20.000000,129.993511,0.000000,-13.021856,-10.875143
54,TmY9q,0.964664,0.000000,2.905642,0.886748,-54.366693,-50.000000,20.000000,129.993511,0.000000,-53.694561,-53.671468
55,TmY9q__perp,0.991725,0.000000,2.905642,4.628291,-49.521511,-50.000000,20.000000,129.993511,0.000000,-45.320721,-45.180450
