,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,9.851553,,,3.986892,1.746955,0.100000,0.100000,,,,,,,,,,,,,,,,,,0.158230,,,,0.100000,6.940864,,,,1.013469,,,,,,,,,,,,,,,,,,,,,,
R7,,,6.432629,10.000000,,7.529286,,,0.100000,,0.100000,2.735865,,,,,,,,,,,,,,,,,,3.971410,0.964050,,,10.000000,0.100000,,,0.199455,3.722832,,2.059240,,0.100000,2.398330,2.288187,0.365553,10.000000,,,,,,,,,
R8,,0.100000,9.596413,10.000000,0.100000,2.837626,,1.143000,0.100000,,0.100000,1.169368,,,,,,,,,,,,,10.000000,,,,0.100000,2.397980,0.100000,5.293099,,,8.121212,,0.100000,0.712085,0.100000,,8.339319,10.000000,,,0.107260,6.141048,,2.280381,,1.740352,,,,,0.960056,
L1,0.100000,0.100000,0.100000,3.688912,0.100000,0.100000,0.100000,4.168917,0.772384,3.421504,5.179824,,,,,,0.100000,0.100000,,,,,,,10.000000,0.100000,0.450500,,1.456661,0.100000,,2.575055,,10.000000,,,,1.534684,10.000000,,,,9.192534,,,,,,,,,2.656976,,,,
L2,4.531032,,10.000000,0.265398,0.100000,9.649342,3.288298,2.630486,0.100000,0.100000,0.100000,0.715862,,,,,0.171832,0.382488,5.128112,,,,,,0.100053,0.583466,0.100000,,0.452719,0.380790,,,,6.665800,,0.100000,0.100000,,10.000000,,2.556626,,,,1.414914,,,,,,,4.149307,,,,
L3,,3.274501,1.068737,0.100000,7.312135,,,,0.735790,,0.100000,0.100000,,,,,1.007936,1.013436,10.000000,1.467696,,,,,0.358414,,,,0.100000,3.607696,0.100000,,10.000000,,10.000000,1.244188,,1.014886,10.000000,5.019607,0.115782,1.012413,0.100000,0.428538,1.041966,10.000000,2.261618,1.683326,,,,,0.952001,,7.449211,0.112147
L4,0.100003,,,9.999989,4.214130,0.563005,0.100001,10.000000,0.100000,,,0.545638,,,,,0.100000,0.528864,0.213184,0.157246,,,,,,0.100001,,,,0.100000,0.100000,3.874115,,,,0.127874,10.000000,,,,,,5.904859,,,,,,,,,0.100000,,,,
L5,,,,7.200765,4.217895,,,3.671066,0.100000,7.611066,3.246699,0.100000,,,,,0.100000,0.100000,0.641863,,,,,,10.000000,0.100000,0.100000,,1.239424,0.100000,0.100000,0.100000,,0.100000,1.259787,0.114306,0.100000,0.186149,0.100000,,0.100000,0.100000,0.100000,,0.320359,,,,5.395866,1.669980,0.100000,0.100000,,2.092767,,
Mi1,,9.998654,0.100000,1.363159,8.042288,,,0.100000,0.100000,1.143839,4.699522,0.100000,0.513251,0.400811,0.100000,0.291535,0.908750,5.866442,0.744142,,,,,,0.116199,0.100000,0.100000,0.100000,8.253136,3.869289,6.946692,6.097612,10.000000,,0.158964,0.152723,10.000000,1.180520,0.475924,,0.100000,2.022054,0.195010,,,0.100000,,5.508277,1.036832,6.520213,0.100000,0.152568,1.888693,0.100000,0.100000,0.235846
Tm3,,,,2.916541,0.100000,,,,0.100000,0.722306,2.464789,0.100000,4.422486,0.688216,0.100000,0.697793,,,0.100000,,,0.977721,,1.012446,,6.047890,0.649837,0.100000,2.529866,0.100000,0.100000,0.100000,,,0.130023,0.975554,0.100000,,,0.973346,,,9.979082,,,,9.953771,,0.175298,1.193520,0.100000,0.100000,,0.100000,,
