idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp,a_h,v_pre,v_onset
0,R1-6,0.974446,0.000000,1.647875,3.846226,-50.000000,-50.000000,10.000000,247.497922,0.000000,-30.110087,-30.050086
1,R7,1.012403,0.000000,1.647875,0.100000,-48.669829,-50.000000,10.000000,247.497922,0.000000,-28.905908,-28.845153
2,R8,1.001624,0.000000,1.647875,0.100000,-50.000000,-50.000000,10.000000,247.497922,0.000000,-30.146850,-30.084390
3,L1,2.157324,0.000000,1.647875,2.415431,-30.862652,-50.000000,10.000000,247.497922,0.912515,-34.408050,-34.518230
4,L2,2.858196,0.000000,1.647875,2.173961,-24.951485,-50.000000,10.000000,247.497922,0.851662,-32.607738,-32.806821
5,L3,5.390778,0.000000,1.647875,9.969442,-49.830458,-50.000000,10.000000,247.497922,0.000000,-71.851177,-72.320850
6,L4,0.100000,0.000000,1.647875,0.767472,-46.107473,-50.000000,10.000000,247.497922,0.000000,-44.221417,-44.264861
7,L5,9.298049,0.000000,1.647875,3.330727,-50.000000,-50.000000,10.000000,247.497922,0.995880,-50.017598,-50.029141
8,Mi1,1.012223,0.000000,1.647875,1.900259,-34.815564,-50.000000,10.000000,247.497922,0.000000,-47.739053,-47.572318
9,Tm3,0.333855,0.000000,1.647875,0.100000,-39.107395,-50.000000,10.000000,247.497922,0.000000,-47.012312,-46.875110
10,Mi4,0.214303,0.000000,1.647875,2.802239,-45.304790,-50.000000,10.000000,247.497922,0.000000,-45.217156,-45.212801
11,Mi9,0.218478,0.000000,1.647875,6.566209,-49.966750,-50.000000,10.000000,247.497922,0.000000,-50.011256,-50.059374
12,T4a,0.966162,0.000000,1.647875,0.100000,-50.000000,-50.000000,10.000000,247.497922,0.000000,-49.828654,-49.780144
13,T4b,1.024453,0.000000,1.647875,0.226298,-46.159476,-50.000000,10.000000,247.497922,0.000000,-45.938225,-45.897150
14,T4c,0.987367,0.000000,1.647875,0.100000,-50.000000,-50.000000,10.000000,247.497922,0.000000,-49.757251,-49.711584
15,T4d,0.977994,0.000000,1.647875,0.100000,-50.000000,-50.000000,10.000000,247.497922,0.000000,-49.759944,-49.721867
16,Tm1,1.600101,0.000000,1.647875,0.100000,-50.000000,-50.000000,10.000000,247.497922,0.000000,-27.718779,-28.196813
17,Tm2,1.328378,0.000000,1.647875,1.795470,-49.761240,-50.000000,10.000000,247.497922,0.000000,-32.314128,-32.665793
18,Tm4,0.317700,0.000000,1.647875,0.743147,-50.000000,-50.000000,10.000000,247.497922,0.000000,-39.629877,-39.854907
19,Tm9,0.100000,0.000000,1.647875,9.842777,-50.000000,-50.000000,10.000000,247.497922,0.000000,-50.659248,-50.668245
20,T5a,1.007062,0.000000,1.647875,0.280906,-48.085001,-50.000000,10.000000,247.497922,0.000000,-45.350863,-45.410522
21,T5b,1.012041,0.000000,1.647875,10.000000,-14.681258,-50.000000,10.000000,247.497922,0.000000,-9.291727,-9.326466
22,T5c,1.037761,0.000000,1.647875,0.100000,-50.000000,-50.000000,10.000000,247.497922,0.000000,-47.341380,-47.398439
23,T5d,0.990292,0.000000,1.647875,0.100000,-50.000000,-50.000000,10.000000,247.497922,0.000000,-47.803867,-47.853821
24,T1,1.016605,0.000000,1.647875,0.327061,-50.000000,-50.000000,10.000000,247.497922,0.000000,-36.530653,-36.909788
25,T2,1.047120,0.000000,1.647875,8.308928,-41.244319,-50.000000,10.000000,247.497922,0.000000,-31.925723,-31.965717
26,T2a,1.006936,0.000000,1.647875,0.809313,-40.309006,-50.000000,10.000000,247.497922,0.000000,-39.157859,-39.123500
27,T3,1.030666,0.000000,1.647875,0.100000,-45.550148,-50.000000,10.000000,247.497922,0.000000,-43.794423,-43.764662
28,C2,0.997858,0.000000,1.647875,1.272094,-43.734646,-50.000000,10.000000,247.497922,0.000000,-48.703576,-48.637805
29,C3,0.978515,0.000000,1.647875,0.100000,-39.680050,-50.000000,10.000000,247.497922,0.000000,-48.899078,-48.801846
30,Lawf1,1.000670,0.000000,1.647875,8.106980,-43.444411,-50.000000,10.000000,247.497922,0.000000,-43.383602,-43.383302
31,Lawf2,1.027793,0.000000,1.647875,0.193573,-50.000000,-50.000000,10.000000,247.497922,0.000000,-47.763259,-47.740938
32,Dm3v,1.010374,0.000000,1.647875,5.615584,-50.000000,-50.000000,10.000000,247.497922,0.000000,-49.080278,-49.095163
33,Lai,0.980684,0.000000,1.647875,10.000000,-34.496198,-50.000000,10.000000,247.497922,0.000000,-108.193758,-109.612579
34,Mi10,1.009614,0.000000,1.647875,0.100000,-50.000000,-50.000000,10.000000,247.497922,0.000000,-50.488872,-50.470796
35,Mi13,1.000556,0.000000,1.647875,4.720241,-49.706784,-50.000000,10.000000,247.497922,0.000000,-50.241294,-50.250782
36,Mi14,1.024584,0.000000,1.647875,9.321207,-36.727995,-50.000000,10.000000,247.497922,0.000000,-35.459397,-35.483679
37,Mi15,0.991588,0.000000,1.647875,0.100000,-47.656483,-50.000000,10.000000,247.497922,0.000000,-48.432074,-48.432319
38,Mi2,1.048776,0.000000,1.647875,3.168481,-50.000000,-50.000000,10.000000,247.497922,0.000000,-49.694138,-49.680066
39,Tm16,0.968729,0.000000,1.647875,0.100000,-50.000000,-50.000000,10.000000,247.497922,0.000000,-53.666679,-53.663398
40,Tm20,1.005681,0.000000,1.647875,10.000000,-49.474765,-50.000000,10.000000,247.497922,0.000000,-48.641031,-48.686976
41,Tm21,0.954141,0.000000,1.647875,0.579718,-48.944424,-50.000000,10.000000,247.497922,0.000000,-47.231107,-47.225792
42,Tm27,0.996256,0.000000,1.647875,9.019353,-49.984873,-50.000000,10.000000,247.497922,0.000000,-49.868973,-49.831854
43,Tm5a,1.011016,0.000000,1.647875,0.147968,-49.987864,-50.000000,10.000000,247.497922,0.000000,-50.615428,-50.622824
44,Tm5b,0.955068,0.000000,1.647875,8.234417,-49.652061,-50.000000,10.000000,247.497922,0.000000,-50.157807,-50.152731
45,Tm5c,0.969758,0.000000,1.647875,1.101976,-31.946168,-50.000000,10.000000,247.497922,0.000000,-31.144419,-31.142334
46,Tm5f,0.970510,0.000000,1.647875,6.351971,-49.820844,-50.000000,10.000000,247.497922,0.000000,-48.842450,-48.885059
47,TmY10,1.017120,0.000000,1.647875,0.100000,-48.343419,-50.000000,10.000000,247.497922,0.000000,-49.119650,-49.120079
48,TmY11,0.951051,0.000000,1.647875,3.650692,-49.598643,-50.000000,10.000000,247.497922,0.000000,-53.384566,-53.356621
49,TmY14,0.998589,0.000000,1.647875,3.437079,-46.549271,-50.000000,10.000000,247.497922,0.000000,-40.263157,-40.328563
50,TmY15,0.988885,0.000000,1.647875,1.630034,-42.491524,-50.000000,10.000000,247.497922,0.000000,-38.825569,-38.868336
51,TmY3,1.048280,0.000000,1.647875,5.791745,-44.252049,-50.000000,10.000000,247.497922,0.000000,-41.770667,-41.842084
52,TmY4,1.045189,0.000000,1.647875,7.620531,-2.084774,-50.000000,10.000000,247.497922,0.000000,1.736039,1.748442
53,TmY5a,0.968438,0.000000,1.647875,0.888693,-50.000000,-50.000000,10.000000,247.497922,0.000000,-45.309090,-45.307369
54,TmY9q,0.979918,0.000000,1.647875,0.100000,-50.000000,-50.000000,10.000000,247.497922,0.000000,-49.509478,-49.514041
55,TmY9q__perp,0.997732,0.000000,1.647875,4.822886,-50.000000,-50.000000,10.000000,247.497922,0.000000,-49.468529,-49.471789
