,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,10.000000,,,2.850935,2.982514,0.467291,2.843537,,,,,,,,,,,,,,,,,,0.100000,,,,0.100000,5.465566,,,,8.287844,,,,,,,,,,,,,,,,,,,,,,
R7,,,0.100000,3.756445,,0.525955,,,0.470406,,0.130900,10.000000,,,,,,,,,,,,,,,,,,0.100000,0.100000,,,10.000000,9.996064,,,0.100000,0.100000,,3.172284,,3.993687,9.996866,2.654559,10.000000,0.100000,,,,,,,,,
R8,,0.723862,7.953626,6.985438,0.100000,1.208717,,0.100000,0.100000,,0.100000,10.000000,,,,,,,,,,,,,0.100000,,,,1.792206,0.100000,1.758523,10.000000,,,1.383738,,10.000000,10.000000,0.100000,,7.733156,10.000000,,,0.243647,0.100000,,0.349924,,0.100000,,,,,0.978387,
L1,0.100000,9.256520,5.341035,5.670467,0.100000,5.275945,0.100000,2.715434,1.325275,0.184555,6.218560,,,,,,0.100000,10.000000,,,,,,,10.000000,10.000000,10.000000,,1.585641,1.220518,,4.668923,,7.211234,,,,0.100000,10.000000,,,,10.000000,,,,,,,,,0.100000,,,,
L2,10.000000,,0.100000,4.640680,10.000000,0.100000,10.000000,0.100000,0.100000,0.100000,1.215881,0.100000,,,,,1.025901,1.576869,2.390789,,,,,,0.100000,0.100000,3.045141,,0.100000,0.100000,,,,0.100000,,0.100000,7.567691,,10.000000,,0.100000,,,,0.100000,,,,,,,0.100000,,,,
L3,,0.100000,10.000000,0.100000,8.490032,,,,0.102752,,0.100000,6.496303,,,,,10.000000,10.000000,10.000000,2.650437,,,,,0.100000,,,,4.213764,0.667171,1.104825,,0.100000,,9.163769,1.418041,,1.109226,4.232752,0.333591,0.100000,1.032711,0.100000,10.000000,6.051667,10.000000,0.100000,6.664376,,,,,1.001964,,0.100000,9.911849
L4,6.513983,,,5.022767,10.000000,0.100000,7.683361,0.100000,4.106956,,,0.100000,,,,,0.100000,9.030605,5.740061,3.561000,,,,,,0.100000,,,,0.100000,0.100000,0.100000,,,,9.353884,10.000000,,,,,,0.100000,,,,,,,,,1.874821,,,,
L5,,,,0.100000,0.100000,,,9.886042,2.327587,0.577963,0.100000,10.000000,,,,,10.000000,10.000000,0.100000,,,,,,10.000000,4.034899,10.000000,,0.100000,3.969293,0.100000,0.100000,,5.411786,1.301748,0.100000,5.940289,2.418507,0.100000,,3.264453,10.000000,4.023620,,1.510095,,,,1.034118,0.100000,10.000000,5.204590,,10.000000,,
Mi1,,4.448727,0.100000,0.100000,10.000000,,,5.481072,4.155115,5.289494,0.100000,0.125770,0.641884,4.145916,4.019231,4.956380,7.495863,10.000000,6.056988,,,,,,0.100000,5.181028,7.983934,10.000000,0.100000,8.201186,0.100000,7.587912,2.034117,,0.100000,0.100000,10.000000,10.000000,3.997310,,0.100000,6.543283,0.100000,,,4.189556,,10.000000,1.046166,10.000000,5.485637,2.120911,0.100000,5.391025,6.210982,0.100000
Tm3,,,,0.100000,0.100000,,,,0.538296,1.809655,0.100000,0.100000,5.072504,2.663877,1.501471,6.944893,,,0.100000,,,1.014870,,0.993075,,8.517045,0.100000,0.100000,0.100000,9.984064,2.873284,0.100000,,,0.100000,2.062889,8.822580,,,4.663879,,,4.123375,,,,0.100000,,0.995723,7.365726,5.821865,0.100000,,6.178772,,
