idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp,a_h,v_pre,v_onset
0,R1-6,0.959865,0.000000,0.888700,3.500167,-50.000000,-50.000000,10.000000,216.765478,0.000000,-29.913613,-29.865079
1,R7,0.952735,0.000000,0.888700,4.321076,-50.000000,-50.000000,10.000000,216.765478,0.000000,-30.682859,-30.626558
2,R8,1.003948,0.000000,0.888700,7.325719,-50.000000,-50.000000,10.000000,216.765478,0.000000,-32.301284,-32.293737
3,L1,3.718063,0.000000,0.888700,1.866837,-25.703009,-50.000000,10.000000,216.765478,0.826793,-38.238618,-38.493555
4,L2,2.435342,0.000000,0.888700,3.611245,-24.867850,-50.000000,10.000000,216.765478,0.896549,-31.454516,-31.824287
5,L3,2.093777,0.000000,0.888700,9.688079,-46.115207,-50.000000,10.000000,216.765478,0.000000,-47.555002,-47.600858
6,L4,0.742827,0.000000,0.888700,10.000000,-49.195480,-50.000000,10.000000,216.765478,1.000000,-49.195480,-49.246101
7,L5,1.202563,0.000000,0.888700,0.282584,-46.535291,-50.000000,10.000000,216.765478,0.817120,-47.918405,-47.777533
8,Mi1,0.622994,0.000000,0.888700,2.628512,-44.765886,-50.000000,10.000000,216.765478,0.000000,-41.219765,-40.683385
9,Tm3,0.200491,0.000000,0.888700,3.029520,-44.726076,-50.000000,10.000000,216.765478,0.000000,-44.654773,-44.000135
10,Mi4,0.273804,0.000000,0.888700,5.352001,-47.341767,-50.000000,10.000000,216.765478,0.000000,-42.599317,-42.658684
11,Mi9,0.506429,0.000000,0.888700,4.214813,-50.000000,-50.000000,10.000000,216.765478,0.000000,-40.188085,-40.332819
12,T4a,1.000806,0.000000,0.888700,4.780463,-46.554594,-50.000000,10.000000,216.765478,0.000000,-43.186414,-42.522246
13,T4b,0.989162,0.000000,0.888700,4.272132,-50.000000,-50.000000,10.000000,216.765478,0.000000,-53.646278,-53.581253
14,T4c,0.979542,0.000000,0.888700,8.037924,-48.529928,-50.000000,10.000000,216.765478,0.000000,-45.375047,-44.507914
15,T4d,1.042899,0.000000,0.888700,6.064672,-44.782815,-50.000000,10.000000,216.765478,0.000000,-45.552449,-45.554868
16,Tm1,1.316416,0.000000,0.888700,1.395435,-43.467004,-50.000000,10.000000,216.765478,0.000000,-26.286992,-26.662353
17,Tm2,0.847045,0.000000,0.888700,4.781258,-40.245605,-50.000000,10.000000,216.765478,0.000000,-33.456283,-33.485423
18,Tm4,0.670393,0.000000,0.888700,5.249637,-49.920545,-50.000000,10.000000,216.765478,0.000000,-40.968182,-41.408465
19,Tm9,0.319621,0.000000,0.888700,6.900271,-24.369992,-50.000000,10.000000,216.765478,0.000000,-17.764061,-18.225427
