idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp,a_h,v_pre,v_onset
0,R1-6,1.044924,0.000000,1.675244,0.715128,-50.000000,-50.000000,10.000000,228.147511,0.000000,-30.098625,-30.040015
1,R7,1.043403,0.000000,1.675244,1.482095,-50.000000,-50.000000,10.000000,228.147511,0.000000,-30.165009,-30.102570
2,R8,1.027287,0.000000,1.675244,0.724526,-50.000000,-50.000000,10.000000,228.147511,0.000000,-31.094094,-31.064632
3,L1,0.429940,0.000000,1.675244,3.945414,-47.999150,-50.000000,10.000000,228.147511,0.945905,-48.413004,-48.429059
4,L2,1.264416,0.000000,1.675244,5.716648,-48.532227,-50.000000,10.000000,228.147511,0.984304,-48.752561,-48.867246
5,L3,0.118134,0.000000,1.675244,2.520815,-45.042512,-50.000000,10.000000,228.147511,0.000000,-46.527443,-46.778467
6,L4,0.305535,0.000000,1.675244,10.000000,-49.672110,-50.000000,10.000000,228.147511,0.974284,-49.643174,-49.694333
7,L5,0.150714,0.000000,1.675244,2.191504,-45.536850,-50.000000,10.000000,228.147511,0.000000,-47.079689,-47.043020
8,Mi1,0.311960,0.000000,1.675244,1.719329,-44.793079,-50.000000,10.000000,228.147511,0.000000,-44.324359,-44.205558
9,Tm3,0.205157,0.000000,1.675244,1.858870,-44.020674,-50.000000,10.000000,228.147511,0.000000,-46.369833,-46.221507
10,Mi4,0.200020,0.000000,1.675244,3.528725,-49.349554,-50.000000,10.000000,228.147511,0.000000,-46.351256,-46.096127
11,Mi9,0.300660,0.000000,1.675244,2.779334,-48.421971,-50.000000,10.000000,228.147511,0.000000,-44.166070,-44.845074
12,T4a,0.951164,0.000000,1.675244,5.701613,-50.000000,-50.000000,10.000000,228.147511,0.000000,-54.021176,-53.622199
13,T4b,1.025522,0.000000,1.675244,7.278114,-44.564966,-50.000000,10.000000,228.147511,0.000000,-42.087996,-41.773964
14,T4c,0.959063,0.000000,1.675244,9.100014,-47.702889,-50.000000,10.000000,228.147511,0.000000,-49.878002,-49.998424
15,T4d,1.011819,0.000000,1.675244,4.158049,-44.406778,-50.000000,10.000000,228.147511,0.000000,-42.694081,-42.452342
16,Tm1,0.339177,0.000000,1.675244,4.117764,-48.736163,-50.000000,10.000000,228.147511,0.000000,-48.551943,-48.619162
17,Tm2,1.365062,0.000000,1.675244,1.325623,-49.807647,-50.000000,10.000000,228.147511,0.000000,-40.707441,-40.938502
18,Tm4,0.748113,0.000000,1.675244,2.216728,-49.364807,-50.000000,10.000000,228.147511,0.000000,-42.507677,-42.749614
19,Tm9,0.180205,0.000000,1.675244,4.848325,-47.318291,-50.000000,10.000000,228.147511,0.000000,-46.593009,-47.040415
20,T5a,0.993573,0.000000,1.675244,5.060109,-44.527266,-50.000000,10.000000,228.147511,0.000000,-31.780054,-31.829266
21,T5b,1.024378,0.000000,1.675244,9.002229,-43.464440,-50.000000,10.000000,228.147511,0.000000,-38.845802,-38.860277
22,T5c,1.016201,0.000000,1.675244,2.207422,-43.602948,-50.000000,10.000000,228.147511,0.000000,-44.474266,-44.527228
23,T5d,1.021583,0.000000,1.675244,10.000000,-42.610710,-50.000000,10.000000,228.147511,0.000000,-37.819349,-38.603780
24,T1,0.999782,0.000000,1.675244,6.892299,-47.982436,-50.000000,10.000000,228.147511,0.000000,-51.386182,-51.522346
25,T2,0.974233,0.000000,1.675244,3.106784,-48.976696,-50.000000,10.000000,228.147511,0.000000,-44.296789,-44.221723
26,T2a,1.020675,0.000000,1.675244,5.409774,-42.152333,-50.000000,10.000000,228.147511,0.000000,-39.250967,-39.246627
27,T3,1.045666,0.000000,1.675244,1.916206,-47.307408,-50.000000,10.000000,228.147511,0.000000,-47.087225,-47.066275
28,C2,1.015953,0.000000,1.675244,5.179242,-43.107944,-50.000000,10.000000,228.147511,0.000000,-44.620759,-44.578792
29,C3,1.022233,0.000000,1.675244,3.672104,-45.816187,-50.000000,10.000000,228.147511,0.000000,-49.098935,-49.033156
30,Lawf1,0.974715,0.000000,1.675244,3.863018,-50.000000,-50.000000,10.000000,228.147511,0.000000,-49.733146,-49.240486
31,Lawf2,0.976300,0.000000,1.675244,2.737421,-48.093673,-50.000000,10.000000,228.147511,0.000000,-45.336605,-45.292333
32,Dm3v,1.024207,0.000000,1.675244,8.248651,-44.072417,-50.000000,10.000000,228.147511,0.000000,-38.820903,-38.980738
33,Lai,0.962768,0.000000,1.675244,5.368917,-47.640466,-50.000000,10.000000,228.147511,0.000000,-54.327181,-54.404647
34,Mi10,1.009231,0.000000,1.675244,6.848403,-48.131303,-50.000000,10.000000,228.147511,0.000000,-50.681920,-50.186548
35,Mi13,0.994215,0.000000,1.675244,2.991289,-48.339275,-50.000000,10.000000,228.147511,0.000000,-47.316009,-47.319137
36,Mi14,0.977752,0.000000,1.675244,2.571864,-49.241452,-50.000000,10.000000,228.147511,0.000000,-39.137170,-39.128498
37,Mi15,1.004296,0.000000,1.675244,10.000000,-47.906105,-50.000000,10.000000,228.147511,0.000000,-53.846090,-53.664621
38,Mi2,1.040077,0.000000,1.675244,6.905172,-45.753237,-50.000000,10.000000,228.147511,0.000000,-45.315083,-45.132430
39,Tm16,1.048345,0.000000,1.675244,0.100000,-50.000000,-50.000000,10.000000,228.147511,0.000000,-53.665035,-53.948772
40,Tm20,1.028148,0.000000,1.675244,4.695576,-44.630608,-50.000000,10.000000,228.147511,0.000000,-46.928212,-46.977057
41,Tm21,1.006219,0.000000,1.675244,3.237280,-46.250784,-50.000000,10.000000,228.147511,0.000000,-43.414029,-43.318561
42,Tm27,1.020491,0.000000,1.675244,4.172904,-46.786826,-50.000000,10.000000,228.147511,0.000000,-48.232504,-48.095422
43,Tm5a,0.950143,0.000000,1.675244,9.986918,-40.851669,-50.000000,10.000000,228.147511,0.000000,-47.672055,-47.768511
44,Tm5b,0.955153,0.000000,1.675244,5.384273,-47.136917,-50.000000,10.000000,228.147511,0.000000,-47.488522,-47.577813
45,Tm5c,0.999817,0.000000,1.675244,6.571411,-44.158370,-50.000000,10.000000,228.147511,0.000000,-41.379065,-41.993790
46,Tm5f,1.036123,0.000000,1.675244,8.906815,-50.000000,-50.000000,10.000000,228.147511,0.000000,-47.264675,-47.523724
47,TmY10,0.996375,0.000000,1.675244,4.619623,-44.438247,-50.000000,10.000000,228.147511,0.000000,-46.825032,-47.062776
48,TmY11,1.033768,0.000000,1.675244,5.673200,-47.399012,-50.000000,10.000000,228.147511,0.000000,-55.543391,-54.867735
49,TmY14,0.968647,0.000000,1.675244,5.024574,-46.710517,-50.000000,10.000000,228.147511,0.000000,-75.793799,-76.851380
50,TmY15,1.018025,0.000000,1.675244,5.155227,-47.696126,-50.000000,10.000000,228.147511,0.000000,-37.413403,-36.899245
