idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp,a_h,v_pre,v_onset
0,R1-6,1.031273,0.000000,2.727952,2.540938,-44.233506,-50.000000,10.000000,246.937763,0.000000,-23.656003,-23.619082
1,R7,1.004270,0.000000,2.727952,7.685615,-9.746716,-50.000000,10.000000,246.937763,0.000000,1.599023,1.631936
2,R8,0.961010,0.000000,2.727952,4.399708,-31.879662,-50.000000,10.000000,246.937763,0.000000,-23.508910,-23.538323
3,L1,4.385644,0.000000,2.727952,0.892215,-7.359653,-50.000000,10.000000,246.937763,0.964097,-12.038410,-12.130304
4,L2,2.784326,0.000000,2.727952,2.140830,-5.904681,-50.000000,10.000000,246.937763,0.858017,-17.279669,-17.440029
5,L3,0.669334,0.000000,2.727952,0.543345,-8.598234,-50.000000,10.000000,246.937763,0.000000,-4.200261,-2.863313
6,L4,0.566128,0.000000,2.727952,5.786385,-47.721914,-50.000000,10.000000,246.937763,1.000000,-47.721914,-47.736907
7,L5,1.178613,0.000000,2.727952,1.957037,-41.306161,-50.000000,10.000000,246.937763,0.758291,-45.310311,-45.302253
8,Mi1,0.754760,0.000000,2.727952,3.364685,-33.821303,-50.000000,10.000000,246.937763,0.000000,-39.508757,-39.475685
9,Tm3,0.566818,0.000000,2.727952,3.690636,-39.037484,-50.000000,10.000000,246.937763,0.000000,-36.907254,-36.908554
10,Mi4,1.278448,0.000000,2.727952,1.412424,-39.448533,-50.000000,10.000000,246.937763,0.000000,-9.644488,-9.468102
11,Mi9,0.841477,0.000000,2.727952,4.829771,-34.966168,-50.000000,10.000000,246.937763,0.000000,-28.256294,-28.078667
12,T4a,1.023917,0.000000,2.727952,4.408764,-45.688399,-50.000000,10.000000,246.937763,0.000000,-28.762585,-28.473376
13,T4b,0.974436,0.000000,2.727952,7.828268,-41.716349,-50.000000,10.000000,246.937763,0.000000,-32.097501,-31.208701
14,T4c,1.049449,0.000000,2.727952,6.271809,-28.712315,-50.000000,10.000000,246.937763,0.000000,-32.346475,-32.484599
15,T4d,1.031845,0.000000,2.727952,9.145400,-43.827755,-50.000000,10.000000,246.937763,0.000000,-32.864174,-32.907759
16,Tm1,1.340388,0.000000,2.727952,1.024539,-44.026950,-50.000000,10.000000,246.937763,0.000000,-27.687067,-27.886771
17,Tm2,0.880731,0.000000,2.727952,2.613436,-31.796585,-50.000000,10.000000,246.937763,0.000000,-28.549833,-28.702448
18,Tm4,0.866887,0.000000,2.727952,1.442481,-45.692622,-50.000000,10.000000,246.937763,0.000000,-29.669921,-29.936787
19,Tm9,0.257979,0.000000,2.727952,5.192747,-31.118674,-50.000000,10.000000,246.937763,0.000000,-34.343324,-34.372489
20,T5a,0.950574,0.000000,2.727952,5.041491,-44.478839,-50.000000,10.000000,246.937763,0.000000,11.463306,11.143749
21,T5b,1.041482,0.000000,2.727952,7.734495,-36.309153,-50.000000,10.000000,246.937763,0.000000,25.234334,25.299473
22,T5c,0.971372,0.000000,2.727952,7.856417,-31.857108,-50.000000,10.000000,246.937763,0.000000,-4.785166,-5.032111
23,T5d,0.951875,0.000000,2.727952,7.556343,-35.893452,-50.000000,10.000000,246.937763,0.000000,-43.017874,-43.177735
24,T1,1.010610,0.000000,2.727952,1.908072,-27.907849,-50.000000,10.000000,246.937763,0.000000,-32.483478,-32.194610
