,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,10.000000,,,2.655519,1.576178,0.471855,0.100000,,,,,,,,,,,,,,,,,,0.100000,,,,0.100000,2.111313,,,,0.294774,,,,,,,,,,,,,,,,,,,,,,
R7,,,1.297381,10.000000,,0.441982,,,0.100000,,0.100000,0.982258,,,,,,,,,,,,,,,,,,0.100000,0.256102,,,0.100000,9.527487,,,0.100000,0.100000,,0.454272,,0.100000,0.147482,0.100000,1.796564,0.100000,,,,,,,,,
R8,,1.093750,10.000000,10.000000,0.100000,0.986801,,0.100000,0.100000,,0.100000,2.874087,,,,,,,,,,,,,3.100568,,,,0.100000,0.100000,0.100000,0.100000,,,0.100000,,0.100000,0.100000,6.620431,,1.899964,0.100000,,,0.100000,0.100000,,4.304016,,0.100000,,,,,1.012673,
L1,0.100000,0.100000,0.100000,0.100000,4.685602,0.100000,0.100000,1.343644,0.551233,1.021719,1.512425,,,,,,0.100000,0.100000,,,,,,,10.000000,0.100000,10.000000,,1.149254,1.140000,,0.100000,,10.000000,,,,10.000000,10.000000,,,,0.100000,,,,,,,,,10.000000,,,,
L2,9.996992,,0.100000,0.100000,3.701222,0.100000,2.641254,0.100000,0.143283,0.100000,0.100000,0.985721,,,,,0.359559,0.484907,1.085735,,,,,,0.100000,8.979927,0.100000,,1.003423,0.256366,,,,4.173817,,1.746422,0.100000,,10.000000,,0.476221,,,,0.100000,,,,,,,1.178341,,,,
L3,,0.100000,0.911417,9.988200,0.100000,,,,0.100000,,0.100000,1.661071,,,,,8.012217,10.000000,10.000000,0.958455,,,,,0.100000,,,,0.100000,0.170028,0.100000,,0.100000,,10.000000,1.078155,,0.100000,2.597906,0.100000,0.100000,0.999273,0.947797,7.046275,0.100000,1.250783,9.620236,0.100000,,,,,1.022487,,0.100000,0.100000
L4,10.000000,,,0.100000,0.602000,0.100000,0.100000,0.100000,10.000000,,,0.100000,,,,,0.897278,0.100000,0.741310,0.496952,,,,,,9.898189,,,,0.100000,0.100000,0.100000,,,,10.000000,10.000000,,,,,,10.000000,,,,,,,,,0.283884,,,,
L5,,,,0.100000,0.100000,,,6.296504,0.897583,5.198505,0.100000,0.100000,,,,,0.100000,0.100000,0.100000,,,,,,10.000000,0.100000,10.000000,,0.100000,0.100000,0.100000,0.100000,,10.000000,10.000000,10.000000,10.000000,0.100000,6.585814,,5.106401,8.295412,0.100000,,0.100000,,,,0.100000,2.231153,0.100000,0.100000,,10.000000,,
Mi1,,5.987375,10.000000,0.100000,5.895048,,,0.100000,0.100000,0.100000,9.999619,0.100000,0.100000,3.652044,0.299992,3.634988,0.100000,10.000000,0.100000,,,,,,5.030639,0.100000,3.315244,0.698163,0.100000,0.100000,0.100000,7.427933,10.000000,,0.100000,0.100000,10.000000,0.100000,7.512516,,4.309386,10.000000,0.199655,,,10.000000,,0.100000,1.019596,0.100000,0.100000,6.010743,6.555784,7.473425,3.245710,0.100000
Tm3,,,,2.261283,0.100000,,,,0.100000,1.108148,0.100000,0.100000,8.925343,8.138449,4.087786,5.240114,,,0.100000,,,0.994370,,0.992474,,0.100000,0.100000,0.100000,0.100000,10.000000,6.954254,0.100000,,,10.000000,0.100000,0.469840,,,2.788029,,,0.100000,,,,0.100000,,0.100000,9.278120,5.133972,0.100000,,1.393328,,
Mi4,,,,,0.100000,10.000000,,9.996194,0.100000,5.511778,10.000000,1.359002,0.100000,3.908126,3.713884,5.304160,0.114637,0.988228,0.100000,2.160444,,,,,0.100000,,10.000000,,5.666239,10.000000,0.100000,10.000000,5.166883,,0.100000,,0.100000,,2.111018,1.491766,0.100000,,0.552290,10.000000,1.630067,9.963238,10.000000,4.179702,1.671065,,10.000000,2.385573,0.960393,2.645274,,
Mi9,,,,,,7.671599,7.710486,,0.100000,0.100000,1.484336,,0.845859,5.165626,3.578570,7.760142,0.100000,3.982201,3.507466,0.100000,,,,,,10.000000,10.000000,0.100000,0.100000,,5.790289,10.000000,10.000000,,5.354727,,2.094422,0.100000,,3.679727,10.000000,1.474264,0.100000,10.000000,9.000367,,1.027826,,0.100000,1.010802,,0.649685,0.100000,2.625900,7.290973,
