idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp,a_h,v_pre,v_onset
0,R1-6,0.981579,0.000000,2.713803,2.579957,-42.128928,-50.000000,10.000000,258.403916,0.000000,-21.586625,-21.552665
1,R7,0.961505,0.000000,2.713803,7.092310,-40.703961,-50.000000,10.000000,258.403916,0.000000,-25.721229,-25.720041
2,R8,1.008864,0.000000,2.713803,4.244871,-50.000000,-50.000000,10.000000,258.403916,0.000000,-34.946104,-34.930805
3,L1,3.979288,0.000000,2.713803,0.871315,-7.306780,-50.000000,10.000000,258.403916,0.952518,-13.070355,-13.188351
4,L2,2.640808,0.000000,2.713803,2.201501,-4.030112,-50.000000,10.000000,258.403916,0.845458,-16.809809,-16.979423
5,L3,0.745823,0.000000,2.713803,0.423459,-8.383536,-50.000000,10.000000,258.403916,0.000000,-3.018690,-1.835403
6,L4,0.562798,0.000000,2.713803,5.206115,-47.828187,-50.000000,10.000000,258.403916,0.971934,-47.618556,-47.638822
7,L5,1.185674,0.000000,2.713803,1.955466,-41.837531,-50.000000,10.000000,258.403916,0.826169,-45.117856,-45.121538
8,Mi1,0.684665,0.000000,2.713803,3.615377,-34.727682,-50.000000,10.000000,258.403916,0.000000,-40.365062,-40.334860
9,Tm3,0.580950,0.000000,2.713803,3.389160,-38.925579,-50.000000,10.000000,258.403916,0.000000,-38.155246,-38.135758
10,Mi4,1.209597,0.000000,2.713803,1.129719,-39.540130,-50.000000,10.000000,258.403916,0.000000,-11.346005,-11.229704
11,Mi9,0.821576,0.000000,2.713803,4.750266,-36.889887,-50.000000,10.000000,258.403916,0.000000,-30.410515,-30.292784
12,T4a,1.015550,0.000000,2.713803,4.208693,-44.269166,-50.000000,10.000000,258.403916,0.000000,-31.555104,-31.318609
13,T4b,0.998340,0.000000,2.713803,9.356585,-34.181918,-50.000000,10.000000,258.403916,0.000000,-70.622128,-70.908046
14,T4c,1.024133,0.000000,2.713803,2.813927,-32.124133,-50.000000,10.000000,258.403916,0.000000,-32.256981,-32.338592
15,T4d,1.004864,0.000000,2.713803,10.000000,-36.379383,-50.000000,10.000000,258.403916,0.000000,-10.213616,-10.286239
16,Tm1,1.308053,0.000000,2.713803,1.209239,-44.010774,-50.000000,10.000000,258.403916,0.000000,-29.047634,-29.270428
17,Tm2,0.878598,0.000000,2.713803,2.695160,-33.327896,-50.000000,10.000000,258.403916,0.000000,-26.954155,-27.218668
18,Tm4,0.826512,0.000000,2.713803,1.732192,-43.553836,-50.000000,10.000000,258.403916,0.000000,-26.689375,-27.007656
19,Tm9,0.244015,0.000000,2.713803,5.145798,-32.296108,-50.000000,10.000000,258.403916,0.000000,-36.618972,-36.623950
20,T5a,1.003445,0.000000,2.713803,7.124778,-27.348921,-50.000000,10.000000,258.403916,0.000000,-6.258124,-6.561775
21,T5b,0.997878,0.000000,2.713803,5.297628,-41.093656,-50.000000,10.000000,258.403916,0.000000,-12.975970,-13.156434
22,T5c,0.952798,0.000000,2.713803,6.648342,-37.106099,-50.000000,10.000000,258.403916,0.000000,3.201820,3.154158
23,T5d,0.985353,0.000000,2.713803,9.503163,-34.151723,-50.000000,10.000000,258.403916,0.000000,-31.558820,-31.666104
24,T1,0.954472,0.000000,2.713803,2.496967,-38.472526,-50.000000,10.000000,258.403916,0.000000,-37.836839,-37.119964
25,T2,0.982074,0.000000,2.713803,3.945601,-39.396890,-50.000000,10.000000,258.403916,0.000000,1.517904,1.562540
26,T2a,0.956409,0.000000,2.713803,10.000000,-39.477511,-50.000000,10.000000,258.403916,0.000000,-5.525389,-6.086940
27,T3,1.036665,0.000000,2.713803,1.824689,-41.886620,-50.000000,10.000000,258.403916,0.000000,-6.348468,-6.841260
28,C2,1.011461,0.000000,2.713803,4.388960,-31.879031,-50.000000,10.000000,258.403916,0.000000,-33.285397,-33.277381
29,C3,1.034761,0.000000,2.713803,2.010808,-36.909863,-50.000000,10.000000,258.403916,0.000000,-45.212209,-45.189478
30,Lawf1,1.010524,0.000000,2.713803,4.903025,-50.000000,-50.000000,10.000000,258.403916,0.000000,17.548980,18.595144
31,Lawf2,1.038087,0.000000,2.713803,4.700646,-50.000000,-50.000000,10.000000,258.403916,0.000000,-37.375472,-37.542633
32,Dm3v,1.003598,0.000000,2.713803,9.999505,-50.000000,-50.000000,10.000000,258.403916,0.000000,1.775176,1.343392
33,Lai,1.042581,0.000000,2.713803,3.792112,0.383722,-50.000000,10.000000,258.403916,0.000000,-23.696122,-23.915099
34,Mi10,0.950528,0.000000,2.713803,4.177266,-5.771905,-50.000000,10.000000,258.403916,0.000000,-42.194554,-42.924104
35,Mi13,0.955109,0.000000,2.713803,2.438701,-41.378030,-50.000000,10.000000,258.403916,0.000000,-60.280363,-60.651190
36,Mi14,1.025855,0.000000,2.713803,6.103313,-50.000000,-50.000000,10.000000,258.403916,0.000000,-34.129210,-34.179632
37,Mi15,0.976329,0.000000,2.713803,3.112890,2.648508,-50.000000,10.000000,258.403916,0.000000,2.564023,2.563783
38,Mi2,0.971720,0.000000,2.713803,7.746312,-50.000000,-50.000000,10.000000,258.403916,0.000000,-29.998414,-29.997645
39,Tm16,0.968882,0.000000,2.713803,2.354036,-2.016828,-50.000000,10.000000,258.403916,0.000000,-34.821368,-35.022798
40,Tm20,1.004862,0.000000,2.713803,2.151348,-30.184046,-50.000000,10.000000,258.403916,0.000000,-35.743211,-35.823681
41,Tm21,1.044529,0.000000,2.713803,6.775058,-42.291968,-50.000000,10.000000,258.403916,0.000000,-43.731997,-43.685576
42,Tm27,0.952323,0.000000,2.713803,9.286251,-31.148654,-50.000000,10.000000,258.403916,0.000000,-31.744704,-31.862602
43,Tm5a,1.014813,0.000000,2.713803,5.862599,-3.645211,-50.000000,10.000000,258.403916,0.000000,-32.223142,-32.302948
44,Tm5b,0.962876,0.000000,2.713803,4.585322,-1.743710,-50.000000,10.000000,258.403916,0.000000,18.412234,18.646860
45,Tm5c,0.961983,0.000000,2.713803,6.307969,-41.172700,-50.000000,10.000000,258.403916,0.000000,-39.797398,-39.869941
46,Tm5f,1.013185,0.000000,2.713803,4.427817,-48.686507,-50.000000,10.000000,258.403916,0.000000,-28.262022,-28.614893
47,TmY10,0.997887,0.000000,2.713803,10.000000,-29.208523,-50.000000,10.000000,258.403916,0.000000,-42.179604,-42.141056
48,TmY11,1.017228,0.000000,2.713803,4.740176,-0.561635,-50.000000,10.000000,258.403916,0.000000,5.348962,5.701216
49,TmY14,1.046982,0.000000,2.713803,3.962636,-50.000000,-50.000000,10.000000,258.403916,0.000000,12.614833,12.818006
50,TmY15,1.033085,0.000000,2.713803,3.163349,-50.000000,-50.000000,10.000000,258.403916,0.000000,2.045713,2.043292
51,TmY3,1.017458,0.000000,2.713803,4.190898,-34.778142,-50.000000,10.000000,258.403916,0.000000,-20.127095,-20.447919
52,TmY4,1.017504,0.000000,2.713803,9.202704,-16.667110,-50.000000,10.000000,258.403916,0.000000,9.774569,10.001505
53,TmY5a,0.975104,0.000000,2.713803,7.387767,-50.000000,-50.000000,10.000000,258.403916,0.000000,-25.810933,-25.573994
54,TmY9q,1.026720,0.000000,2.713803,2.090074,-50.000000,-50.000000,10.000000,258.403916,0.000000,-45.699327,-45.723337
55,TmY9q__perp,0.968566,0.000000,2.713803,7.330205,-50.000000,-50.000000,10.000000,258.403916,0.000000,-35.516084,-35.726095
