,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,10.000000,,,2.427659,1.523756,0.503837,0.100000,,,,,,,,,,,,,,,,,,1.609527,,,,0.100000,2.109287,,,,0.277468,,,,,,,,,,,,,,,,,,,,,,
R7,,,1.324648,10.000000,,0.565364,,,0.100000,,0.100000,1.867525,,,,,,,,,,,,,,,,,,0.100000,0.100000,,,2.831675,9.993797,,,0.100000,0.100000,,0.730297,,0.100000,2.621006,0.100000,0.195507,0.100000,,,,,,,,,
R8,,1.170317,10.000000,10.000000,0.100000,1.078279,,0.100000,0.100000,,0.100000,2.673206,,,,,,,,,,,,,0.100000,,,,0.100000,0.100000,0.100000,9.370658,,,0.100000,,0.100000,0.100000,10.000000,,3.021331,0.100000,,,0.100000,2.460171,,4.620952,,0.100000,,,,,0.956642,
L1,0.100000,0.100000,0.100000,0.100000,5.007378,0.277143,0.100000,1.564315,0.567370,1.191220,1.352283,,,,,,0.100000,0.100000,,,,,,,10.000000,0.100000,10.000000,,0.747756,1.147397,,0.466547,,0.700569,,,,10.000000,10.000000,,,,0.100000,,,,,,,,,10.000000,,,,
L2,9.999833,,0.100000,0.100000,2.930126,0.100000,2.665374,0.100000,0.152480,0.100000,0.100000,0.897111,,,,,0.339973,0.476747,1.063815,,,,,,0.100000,10.000000,0.100000,,0.477700,0.424352,,,,1.588240,,10.000000,0.100000,,3.211325,,0.252060,,,,0.100000,,,,,,,1.507281,,,,
L3,,0.100000,6.772130,1.166310,0.100000,,,,0.100000,,0.100000,1.781226,,,,,6.688110,10.000000,10.000000,0.942789,,,,,3.276378,,,,0.100000,1.259651,0.100000,,0.100000,,10.000000,0.100000,,5.368158,0.100000,0.100000,0.100000,1.038273,1.425757,6.121946,0.100000,1.942882,6.207554,0.100000,,,,,0.988666,,0.100000,10.000000
L4,10.000000,,,0.100000,0.724587,0.100000,0.192188,10.000000,10.000000,,,0.100000,,,,,0.100000,0.100000,0.773855,0.670660,,,,,,5.895123,,,,0.100000,0.100000,0.100000,,,,0.100000,10.000000,,,,,,10.000000,,,,,,,,,2.061563,,,,
L5,,,,0.100000,0.100000,,,6.074488,0.714775,5.084435,0.100000,0.100000,,,,,0.100000,0.100000,0.100000,,,,,,10.000000,0.100000,10.000000,,0.100000,0.100000,0.100000,0.100000,,9.819529,0.124375,0.100000,10.000000,3.436192,3.913121,,8.194811,9.999508,0.100000,,8.257982,,,,0.100000,8.936369,0.100000,0.100000,,10.000000,,
Mi1,,10.000000,0.100000,0.100000,7.315924,,,0.100000,0.100000,0.100000,9.723139,0.100000,0.100000,0.100000,0.100000,6.758206,0.100000,10.000000,0.100000,,,,,,0.100000,0.100000,3.067093,0.341821,0.100000,0.100000,0.100000,10.000000,10.000000,,1.555620,5.397223,10.000000,0.100000,8.730935,,6.439866,9.027122,0.100000,,,10.000000,,2.116126,1.024918,0.100000,10.000000,1.307905,0.100000,0.459600,0.100000,0.100000
Tm3,,,,2.073756,0.100000,,,,0.100000,1.287809,9.911078,0.227074,9.942299,0.100000,6.068143,0.109929,,,0.100000,,,0.983114,,0.963567,,0.100000,0.100000,0.100000,0.100000,10.000000,7.103179,1.628066,,,10.000000,0.100000,0.747945,,,5.962164,,,0.100000,,,,0.100000,,0.100000,4.116123,5.292412,0.100000,,2.927283,,
