idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp,a_h,v_pre,v_onset,v_spot_end,delta_v
0,R1-6,1.008676,0.000000,2.549430,1.480534,-42.390346,-50.000000,10.000000,247.309882,0.000000,-21.987356,-21.935226,-18.099675,3.835551
1,R7,0.983363,0.000000,2.549430,2.535699,-44.315729,-50.000000,10.000000,247.309882,0.000000,-30.444186,-30.484714,-27.712229,2.772486
2,R8,1.033166,0.000000,2.549430,1.409336,-50.000000,-50.000000,10.000000,247.309882,0.000000,-33.057329,-33.009068,-29.298624,3.710443
3,L1,1.244952,0.000000,2.549430,1.618549,-41.148252,-50.000000,10.000000,247.309882,1.000000,-41.148252,-41.175698,-45.035279,-3.859581
4,L2,1.152754,0.000000,2.549430,3.457230,-34.139700,-50.000000,10.000000,247.309882,0.900797,-37.263778,-37.304101,-42.120706,-4.816606
5,L3,0.358194,0.000000,2.549430,0.625245,-37.361859,-50.000000,10.000000,247.309882,0.000000,-35.025994,-34.697352,-32.859362,1.837989
6,L4,0.388109,0.000000,2.549430,2.420597,-37.512599,-50.000000,10.000000,247.309882,1.000000,-37.512599,-37.517952,-39.265268,-1.747316
7,L5,0.973928,0.000000,2.549430,2.651381,-41.885013,-50.000000,10.000000,247.309882,0.463943,-46.557290,-46.570105,-44.153022,2.417084
8,Mi1,0.823164,0.000000,2.549430,1.504064,-36.091770,-50.000000,10.000000,247.309882,0.000000,-39.514284,-39.531890,-36.554661,2.977229
9,Tm3,0.392207,0.000000,2.549430,2.674365,-43.990929,-50.000000,10.000000,247.309882,0.000000,-38.963701,-39.088300,-33.934998,5.153302
10,Mi4,0.694724,0.000000,2.549430,1.968634,-32.929840,-50.000000,10.000000,247.309882,0.000000,-19.938246,-19.856834,-19.445267,0.411567
11,Mi9,0.575052,0.000000,2.549430,4.808345,-40.148484,-50.000000,10.000000,247.309882,0.000000,-38.433895,-38.399277,-38.608016,-0.208740
12,T4a,1.006232,0.000000,2.549430,3.199292,-50.000000,-50.000000,10.000000,247.309882,0.000000,-37.692857,-37.820203,-33.297660,4.522543
13,T4b,1.010500,0.000000,2.549430,10.000000,-40.136406,-50.000000,10.000000,247.309882,0.000000,-61.515896,-61.617176,-62.079885,-0.462709
14,T4c,0.961990,0.000000,2.549430,2.957727,-47.047694,-50.000000,10.000000,247.309882,0.000000,-36.652864,-36.795729,-32.160617,4.635112
15,T4d,1.043067,0.000000,2.549430,9.533096,-50.000000,-50.000000,10.000000,247.309882,0.000000,-30.519389,-30.582591,-23.071394,7.511197
16,Tm1,1.276517,0.000000,2.549430,1.389308,-41.830075,-50.000000,10.000000,247.309882,0.000000,-28.256952,-28.400007,-33.860088,-5.460080
17,Tm2,0.712694,0.000000,2.549430,1.539316,-35.235060,-50.000000,10.000000,247.309882,0.000000,-33.079487,-33.144122,-36.196067,-3.051945
18,Tm4,0.820082,0.000000,2.549430,2.251907,-43.793440,-50.000000,10.000000,247.309882,0.000000,-31.017336,-31.087507,-37.928653,-6.841146
19,Tm9,0.252045,0.000000,2.549430,3.672654,-22.677588,-50.000000,10.000000,247.309882,0.000000,-30.133549,-30.144239,-30.529826,-0.385587
20,T5a,1.017833,0.000000,2.549430,10.000000,-50.000000,-50.000000,10.000000,247.309882,0.000000,-42.701963,-42.663960,-46.759010,-4.095051
21,T5b,0.966067,0.000000,2.549430,4.099257,-30.407094,-50.000000,10.000000,247.309882,0.000000,-20.109462,-20.092119,-21.524673,-1.432554
22,T5c,1.005068,0.000000,2.549430,7.464071,-38.164362,-50.000000,10.000000,247.309882,0.000000,-35.291679,-35.247656,-36.274202,-1.026545
23,T5d,0.969279,0.000000,2.549430,3.123469,-38.866684,-50.000000,10.000000,247.309882,0.000000,-26.865548,-26.839839,-29.111256,-2.271418
24,T1,1.008756,0.000000,2.549430,2.717455,-16.317368,-50.000000,10.000000,247.309882,0.000000,-12.620993,-12.489854,-12.316011,0.173842
25,T2,0.976702,0.000000,2.549430,3.052649,-45.883089,-50.000000,10.000000,247.309882,0.000000,-29.490688,-29.315674,-36.200326,-6.884652
26,T2a,0.995940,0.000000,2.549430,8.777099,-50.000000,-50.000000,10.000000,247.309882,0.000000,-28.971950,-29.212949,-32.655112,-3.442163
27,T3,0.956328,0.000000,2.549430,2.310902,-41.604355,-50.000000,10.000000,247.309882,0.000000,-3.981941,-4.384773,-8.162680,-3.777907
28,C2,0.985145,0.000000,2.549430,3.080515,-33.749591,-50.000000,10.000000,247.309882,0.000000,-39.179152,-39.229498,-37.288565,1.940934
29,C3,0.975813,0.000000,2.549430,2.288148,-40.207554,-50.000000,10.000000,247.309882,0.000000,-46.726831,-46.753896,-44.514612,2.239284
30,Lawf1,1.012411,0.000000,2.549430,2.982740,-50.000000,-50.000000,10.000000,247.309882,0.000000,1.711613,1.640297,14.106383,12.466086
31,Lawf2,0.961223,0.000000,2.549430,2.091823,-46.751205,-50.000000,10.000000,247.309882,0.000000,-41.907061,-42.161205,-45.386983,-3.225778
32,Dm3v,0.961692,0.000000,2.549430,5.995811,-50.000000,-50.000000,10.000000,247.309882,0.000000,-17.055280,-17.353979,-23.930398,-6.576418
33,Lai,1.033924,0.000000,2.549430,3.556422,-36.135789,-50.000000,10.000000,247.309882,0.000000,-44.863134,-44.969381,-46.899285,-1.929904
34,Mi10,1.031497,0.000000,2.549430,6.772048,-38.774987,-50.000000,10.000000,247.309882,0.000000,-48.623763,-48.982314,-48.610885,0.371429
35,Mi13,1.023890,0.000000,2.549430,2.269247,-40.478610,-50.000000,10.000000,247.309882,0.000000,-40.758467,-40.881609,-41.894184,-1.012575
36,Mi14,0.961922,0.000000,2.549430,3.470952,-50.000000,-50.000000,10.000000,247.309882,0.000000,-23.506889,-23.635227,-23.128895,0.506332
37,Mi15,0.965201,0.000000,2.549430,5.128549,-30.992289,-50.000000,10.000000,247.309882,0.000000,-30.655328,-30.650960,-30.660398,-0.009438
38,Mi2,0.951689,0.000000,2.549430,10.000000,-50.000000,-50.000000,10.000000,247.309882,0.000000,-43.797991,-43.876508,-42.151674,1.724834
39,Tm16,0.962732,0.000000,2.549430,9.330585,-35.633764,-50.000000,10.000000,247.309882,0.000000,-48.918794,-49.010715,-50.301241,-1.290526
40,Tm20,0.999484,0.000000,2.549430,3.071368,-43.044877,-50.000000,10.000000,247.309882,0.000000,-49.374116,-49.431585,-51.684532,-2.252948
41,Tm21,1.017964,0.000000,2.549430,10.000000,-47.248565,-50.000000,10.000000,247.309882,0.000000,-75.116193,-75.029506,-73.947329,1.082176
42,Tm27,0.994809,0.000000,2.549430,6.114535,-36.266909,-50.000000,10.000000,247.309882,0.000000,-36.992274,-36.956438,-38.186996,-1.230559
43,Tm5a,0.988488,0.000000,2.549430,7.099553,-35.231431,-50.000000,10.000000,247.309882,0.000000,-48.561784,-48.535484,-49.726265,-1.190781
44,Tm5b,1.027579,0.000000,2.549430,5.774022,-36.104131,-50.000000,10.000000,247.309882,0.000000,-31.244108,-31.165392,-31.723972,-0.558580
45,Tm5c,1.028528,0.000000,2.549430,7.443366,-37.374613,-50.000000,10.000000,247.309882,0.000000,-32.186566,-32.206091,-32.276116,-0.070025
46,Tm5f,1.015198,0.000000,2.549430,4.962054,-46.641143,-50.000000,10.000000,247.309882,0.000000,-42.460840,-42.569023,-43.477946,-0.908923
47,TmY10,0.951634,0.000000,2.549430,7.125970,-28.826334,-50.000000,10.000000,247.309882,0.000000,-41.892180,-41.835832,-42.315730,-0.479897
48,TmY11,1.004118,0.000000,2.549430,10.000000,-33.912699,-50.000000,10.000000,247.309882,0.000000,-105.513804,-106.822532,-108.524479,-1.701948
49,TmY14,1.043106,0.000000,2.549430,2.315411,-50.000000,-50.000000,10.000000,247.309882,0.000000,-16.887488,-16.790672,-8.892441,7.898230
50,TmY15,1.013277,0.000000,2.549430,2.478597,-50.000000,-50.000000,10.000000,247.309882,0.000000,-20.610305,-21.153505,-8.326137,12.827368
51,TmY3,0.976849,0.000000,2.549430,8.912573,-37.792036,-50.000000,10.000000,247.309882,0.000000,-30.923206,-31.102478,-34.713610,-3.611132
52,TmY4,1.029187,0.000000,2.549430,10.000000,-34.432320,-50.000000,10.000000,247.309882,0.000000,-50.364315,-50.859084,-48.384360,2.474723
53,TmY5a,1.007730,0.000000,2.549430,6.359087,-44.902673,-50.000000,10.000000,247.309882,0.000000,-27.954622,-28.314817,-25.716020,2.598797
54,TmY9q,1.002279,0.000000,2.549430,4.968565,-50.000000,-50.000000,10.000000,247.309882,0.000000,-36.975083,-37.149972,-39.629415,-2.479443
55,TmY9q__perp,1.012826,0.000000,2.549430,6.512482,-50.000000,-50.000000,10.000000,247.309882,0.000000,-35.009151,-35.092876,-38.251850,-3.158974
