,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,9.839430,,,1.784657,1.786053,0.370028,0.100000,,,,,,,,,,,,,,,,,,0.100000,,,,10.000000,3.969422,,,,2.942688,,,,,,,,,,,,,,,,,,,,,,
R7,,,1.393977,8.781707,,1.574265,,,0.100000,,0.100000,2.156656,,,,,,,,,,,,,,,,,,0.100000,10.000000,,,1.980339,2.532623,,,0.100000,10.000000,,3.770487,,0.100000,4.667139,0.100000,9.988543,7.180430,,,,,,,,,
R8,,0.100000,10.000000,10.000000,0.100000,1.194572,,0.100000,0.100000,,0.100000,2.335037,,,,,,,,,,,,,9.945321,,,,0.100000,0.100000,0.100000,0.100000,,,3.501092,,0.100000,0.100000,0.100000,,6.834791,3.188121,,,8.967117,2.476653,,10.000000,,0.100000,,,,,1.048023,
L1,0.100000,0.100000,0.100000,0.100000,4.671361,0.100000,0.100000,1.464835,1.492204,2.124308,0.100000,,,,,,0.100000,0.100000,,,,,,,10.000000,10.000000,7.321155,,4.132877,0.100000,,7.254933,,4.371080,,,,10.000000,10.000000,,,,10.000000,,,,,,,,,10.000000,,,,
L2,10.000000,,0.100000,0.100000,5.787197,0.229701,5.445798,0.100000,0.100000,0.100000,0.100000,0.371235,,,,,0.160410,0.303355,0.663916,,,,,,0.100000,0.100000,0.100000,,6.462510,0.100000,,,,0.100000,,1.442264,5.442996,,0.100000,,0.100000,,,,10.000000,,,,,,,4.075204,,,,
L3,,0.100000,0.100000,0.100000,0.100000,,,,1.072583,,0.100000,0.520361,,,,,2.585097,6.559659,10.000000,2.904408,,,,,0.252758,,,,0.100000,1.561408,0.100000,,0.100000,,0.100000,0.100000,,0.100000,0.100000,10.000000,0.100000,0.992438,2.181504,9.706112,10.000000,0.179891,3.234221,10.000000,,,,,1.042939,,0.100000,0.104861
L4,10.000000,,,0.100000,2.722584,0.100000,1.091901,0.100000,6.662941,,,0.100000,,,,,0.100000,0.111491,0.172779,0.317819,,,,,,0.100000,,,,0.100000,10.000000,10.000000,,,,10.000000,10.000000,,,,,,0.163281,,,,,,,,,0.100000,,,,
L5,,,,0.100000,5.192952,,,6.642169,2.049415,1.568330,0.100000,0.100000,,,,,0.100000,0.100000,0.100000,,,,,,0.100000,0.100000,10.000000,,0.100000,0.100000,0.100000,0.100000,,0.139167,10.000000,5.221106,10.000000,0.100000,10.000000,,10.000000,1.207640,0.336870,,0.158345,,,,0.100000,0.128153,10.000000,0.100000,,10.000000,,
Mi1,,10.000000,0.100000,0.100000,0.100000,,,0.100000,0.100000,0.100000,7.186029,0.100000,8.194379,9.999546,1.494995,8.173937,0.100000,0.100000,0.100000,,,,,,0.100000,0.100000,3.889964,0.100000,0.100000,0.956569,6.598961,10.000000,7.898963,,0.100000,0.100000,10.000000,9.946146,10.000000,,10.000000,0.100000,0.548135,,,10.000000,,0.100000,0.952839,0.102001,3.330943,0.100000,5.990480,1.208104,0.100000,3.981899
Tm3,,,,1.164429,0.100000,,,,0.100000,1.185362,0.100000,0.100000,8.830437,6.218018,1.063414,9.484220,,,0.100000,,,1.022221,,1.020440,,0.100000,3.441433,0.100000,0.100000,10.000000,10.000000,6.176981,,,1.406383,8.745602,1.946218,,,3.756570,,,0.100000,,,,0.100000,,5.099923,0.626931,0.799814,0.100000,,7.196936,,
Mi4,,,,,0.100000,10.000000,,3.696878,0.100000,0.994907,10.000000,0.826722,10.000000,2.150326,0.100000,6.177100,0.372016,0.100000,0.100000,3.413143,,,,,0.100000,,0.100000,,10.000000,10.000000,0.100000,10.000000,10.000000,,0.100000,,0.100000,,0.100000,1.566269,0.100000,,5.308533,6.042827,4.604476,10.000000,0.100000,9.992692,2.262698,,0.391676,4.406102,0.976804,10.000000,,
Mi9,,,,,,7.222487,10.000000,,0.100000,0.415672,1.350180,,9.989354,6.908360,6.889162,10.000000,0.100000,5.199392,2.269131,0.100000,,,,,,2.564492,10.000000,0.100000,4.593441,,6.278067,0.116953,8.974121,,1.287891,,10.000000,0.100000,,3.605239,10.000000,2.449417,0.100000,4.206854,0.139257,,1.036937,,1.393041,1.034501,,2.065450,10.000000,4.694653,6.478194,
T4a,,,,,,,,,,,,0.284336,0.628631,1.045930,10.000000,0.993212,,,,,10.000000,,,,,,,,,1.236374,,,,,,0.689172,,,,,,,10.000000,,,,,,,10.000000,,,,,6.835052,0.100000
