idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,v_th_ca,a_ca,tau_ca,tau_lp,tau_hp,a_h,v_pre,v_onset,v_spot_end,delta_v
0,R1-6,1.011428,0.000000,0.759568,1.285318,0.595828,-100.000000,-50.000000,0.953516,349.479279,10.000000,192.755951,0.000000,114.882042,114.883087,115.255753,0.372665
1,R7,1.033373,0.000000,0.759568,1.284273,0.204811,-100.000000,-50.000000,1.005010,350.618164,10.000000,192.755951,0.000000,118.550003,118.550919,118.941269,0.390350
2,R8,1.009436,0.000000,0.759568,1.381292,0.731057,-100.000000,-50.000000,1.018241,351.878204,10.000000,192.755951,0.000000,122.293709,122.294800,122.691162,0.396362
3,L1,1.452217,0.000000,0.759568,1.377635,0.375052,-100.000000,-50.000000,0.443816,351.677795,10.000000,192.755951,0.918612,44.131088,44.131012,44.119991,-0.011021
4,L2,1.448190,0.000000,0.759568,0.663276,0.032255,-100.000000,-50.000000,0.521401,348.853333,10.000000,192.755951,0.161205,28.533764,28.531681,28.486856,-0.044825
5,L3,1.431742,0.000000,0.759568,0.679855,-0.666605,-100.000000,-50.000000,0.491009,348.776459,10.000000,192.755951,0.000000,39.078735,39.077805,39.057789,-0.020016
6,L4,1.298269,0.000000,0.759568,0.714875,-0.050313,-100.000000,-50.000000,0.631520,351.957550,10.000000,192.755951,0.770956,63.066837,63.066811,63.066528,-0.000282
7,L5,1.310520,0.000000,0.759568,0.686271,-0.543859,-100.000000,-50.000000,0.649289,352.532501,10.000000,192.755951,0.483360,57.848980,57.848503,57.846741,-0.001762
8,Mi1,1.268010,0.000000,0.759568,0.659782,0.060751,-100.000000,-50.000000,0.678205,351.643951,10.000000,192.755951,0.000000,52.825073,52.824142,52.818352,-0.005791
9,Tm3,1.297081,0.000000,0.759568,0.706801,-0.311150,-100.000000,-50.000000,0.666291,351.077820,10.000000,192.755951,0.000000,60.781040,60.780624,60.779266,-0.001358
10,Mi4,1.348036,0.000000,0.759568,1.371910,-0.345885,-100.000000,-50.000000,0.647016,351.592743,10.000000,192.755951,0.000000,61.261173,61.260849,61.254681,-0.006168
11,Mi9,1.271711,0.000000,0.759568,1.305473,-0.452274,-100.000000,-50.000000,0.673748,350.969330,10.000000,192.755951,0.000000,61.875660,61.875301,61.872437,-0.002865
12,T4a,0.988733,0.000000,0.759568,0.643545,-0.354920,-100.000000,-50.000000,1.042606,348.722198,10.000000,192.755951,0.000000,103.011551,103.011360,103.010353,-0.001007
13,T4b,0.956136,0.000000,0.759568,0.655145,-0.018727,-100.000000,-50.000000,1.048244,351.003632,10.000000,192.755951,0.000000,103.612144,103.611961,103.611015,-0.000946
14,T4c,1.025114,0.000000,0.759568,0.636681,0.085075,-100.000000,-50.000000,0.968731,351.634521,10.000000,192.755951,0.000000,96.591347,96.591217,96.590485,-0.000732
15,T4d,1.027742,0.000000,0.759568,0.480093,-0.582556,-100.000000,-50.000000,0.951964,349.521423,10.000000,192.755951,0.000000,94.375992,94.375916,94.375511,-0.000404
16,Tm1,1.332126,0.000000,0.759568,0.673242,0.137930,-100.000000,-50.000000,0.620187,351.847931,10.000000,192.755951,0.000000,58.773571,58.772743,58.766922,-0.005821
17,Tm2,1.324208,0.000000,0.759568,0.679212,-0.560129,-100.000000,-50.000000,0.603618,350.381897,10.000000,192.755951,0.000000,60.865063,60.864605,60.860931,-0.003674
18,Tm4,1.363043,0.000000,0.759568,0.760775,-0.270196,-100.000000,-50.000000,0.622518,349.112274,10.000000,192.755951,0.000000,59.583817,59.583363,59.580212,-0.003151
19,Tm9,1.346163,0.000000,0.759568,0.713968,-0.455081,-100.000000,-50.000000,0.603396,351.087402,10.000000,192.755951,0.000000,58.592850,58.592758,58.592239,-0.000519
20,T5a,0.984993,0.000000,0.759568,0.643266,-0.073182,-100.000000,-50.000000,1.033123,349.379242,10.000000,192.755951,0.000000,106.023911,106.023994,106.024391,0.000397
21,T5b,1.024976,0.000000,0.759568,0.519490,-0.710106,-100.000000,-50.000000,1.000131,351.751953,10.000000,192.755951,0.000000,101.456055,101.456131,101.456490,0.000359
22,T5c,0.954411,0.000000,0.759568,1.356577,0.757643,-100.000000,-50.000000,1.017956,349.469452,10.000000,192.755951,0.000000,107.457375,107.457542,107.458336,0.000793
23,T5d,0.980487,0.000000,0.759568,1.349500,0.247190,-100.000000,-50.000000,1.006129,347.827606,10.000000,192.755951,0.000000,105.802048,105.802246,105.803032,0.000786
24,T1,1.041593,0.000000,0.759568,0.711061,0.079347,-100.000000,-50.000000,1.010151,348.334473,10.000000,192.755951,0.000000,88.904579,88.903198,88.891068,-0.012131
25,T2,0.960745,0.000000,0.759568,0.703060,-0.275587,-100.000000,-50.000000,0.954649,348.479401,10.000000,192.755951,0.000000,98.188843,98.188866,98.188957,0.000092
26,T2a,0.960140,0.000000,0.759568,0.664220,-0.363120,-100.000000,-50.000000,1.042365,350.040497,10.000000,192.755951,0.000000,106.986526,106.986450,106.985909,-0.000542
27,T3,0.959783,0.000000,0.759568,0.710066,0.177273,-100.000000,-50.000000,1.037075,347.799530,10.000000,192.755951,0.000000,108.958580,108.958580,108.958374,-0.000206
28,C2,0.967682,0.000000,0.759568,1.305434,0.510648,-100.000000,-50.000000,0.954248,350.107422,10.000000,192.755951,0.000000,95.534653,95.534508,95.533981,-0.000526
29,C3,1.031206,0.000000,0.759568,1.387150,0.020080,-100.000000,-50.000000,1.014981,349.250702,10.000000,192.755951,0.000000,98.458244,98.457886,98.456596,-0.001289
30,Lawf1,0.976110,0.000000,0.759568,0.743770,0.067416,-100.000000,-50.000000,0.960531,347.647308,10.000000,192.755951,0.000000,100.082230,100.082397,100.083092,0.000694
31,Lawf2,1.024187,0.000000,0.759568,0.700678,-0.554265,-100.000000,-50.000000,1.029735,349.591797,10.000000,192.755951,0.000000,103.287453,103.287460,103.287476,0.000015
