,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,0.706441,,,0.600514,1.348576,1.275603,1.384459,,,,,,,,,,,,,,,,,,1.341481,,,,0.616395,0.691889,,,,0.661930,,,,,,,,,,,,,,,,,,,,,,
R7,,,0.606531,0.597576,,1.334173,,,1.377814,,1.373463,1.308365,,,,,,,,,,,,,,,,,,0.653921,1.481248,,,0.739569,1.313520,,,1.321970,0.603098,,1.304116,,1.296321,1.266004,1.351308,0.597691,1.307735,,,,,,,,,
R8,,0.678146,0.606984,0.652906,1.342106,1.257497,,1.328853,1.316220,,1.379918,1.327244,,,,,,,,,,,,,1.286939,,,,0.615892,0.605906,1.278234,1.252268,,,1.297571,,0.664727,1.311596,0.661171,,1.355893,0.739068,,,1.274170,0.628983,,1.351007,,1.366023,,,,,0.958632,
L1,0.681010,0.517615,0.588346,0.543960,1.366194,1.273796,1.314310,1.294325,1.342231,1.322129,1.336665,,,,,,1.308344,1.320213,,,,,,,1.457500,1.345291,1.314095,,0.660136,0.683226,,1.312628,,1.477455,,,,1.361025,0.639537,,,,1.551838,,,,,,,,,1.309569,,,,
L2,1.326400,,1.360226,1.331966,0.731246,0.757049,0.732447,0.666677,0.728050,0.725422,0.696301,0.689507,,,,,0.642235,0.673055,0.681179,,,,,,0.731171,0.750467,0.692314,,1.319322,1.290779,,,,1.321881,,1.320450,1.322237,,1.335042,,0.737948,,,,0.566200,,,,,,,0.739863,,,,
L3,,1.309730,1.354955,1.406735,0.719700,,,,0.702398,,0.669339,0.666817,,,,,0.648873,0.687735,0.677758,0.671854,,,,,0.750936,,,,1.321326,1.367257,0.777849,,1.295362,,0.729288,1.310904,,0.958620,1.310700,0.749440,0.695714,0.975560,0.722617,0.799252,0.771899,1.352202,0.725507,0.697957,,,,,0.975711,,0.754959,0.704680
L4,1.259539,,,1.369247,0.745768,0.674630,0.722820,0.509652,0.658575,,,0.686180,,,,,0.700509,0.682723,0.679931,0.634975,,,,,,0.725723,,,,1.347833,0.685121,0.503744,,,,1.379568,1.339942,,,,,,0.733578,,,,,,,,,0.701069,,,,
L5,,,,1.303955,0.684009,,,0.652102,0.676835,0.688249,0.672354,0.664035,,,,,0.681083,0.705500,0.653904,,,,,,0.701282,0.721137,0.681758,,1.349998,1.366809,1.238097,0.496449,,1.301019,0.737204,1.279160,1.351483,0.680893,1.315217,,0.745729,0.709686,0.726087,,0.686054,,,,0.504407,0.732266,1.309938,0.741994,,1.300376,,
Mi1,,1.347751,1.377750,1.319351,0.734350,,,0.677178,0.670006,0.708697,0.630970,0.712939,0.710152,0.726815,0.701525,0.542763,0.729756,0.661044,0.638348,,,,,,0.701532,0.726004,0.739612,0.752158,1.324459,1.330798,0.710536,0.756433,1.331373,,0.674748,1.278739,1.307877,0.721228,1.331460,,0.673783,0.687956,0.733264,,,1.341943,,0.692835,1.019717,0.653751,1.365392,0.679300,0.716255,1.327140,0.724084,0.724647
Tm3,,,,1.336556,0.676099,,,,0.650018,0.638787,0.508147,0.458546,0.686874,0.711227,0.682081,0.538994,,,0.710095,,,0.985109,,0.978673,,0.691557,0.746646,0.706540,1.365115,1.320229,0.725231,0.715848,,,0.752560,1.375318,1.348789,,,0.702854,,,0.749232,,,,0.779063,,0.738189,0.746706,1.359466,0.698173,,1.364671,,
