idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,v_th_ca,a_ca,tau_ca,tau_lp,tau_hp,a_h,v_pre,v_onset,v_spot_end,delta_v
0,R1-6,0.971445,17.039532,2.008715,2.025355,-3.142703,-100.000000,-100.000000,2.025355,351.826660,10.000000,211.477997,0.000000,17.002539,17.039532,22.041025,5.001493
1,R7,0.961297,7.681588,2.008715,3.640820,-10.957613,-100.000000,-100.000000,3.640820,350.410980,10.000000,211.477997,0.000000,7.624994,7.681588,13.025054,5.343466
2,R8,1.007220,7.843771,2.008715,2.872929,-8.428243,-100.000000,-100.000000,2.872929,350.533661,10.000000,211.477997,0.000000,7.803018,7.843771,13.026450,5.182679
3,L1,2.000000,-30.017223,2.008715,1.523671,-2.952083,-100.000000,-100.000000,1.523671,350.023773,10.000000,211.477997,0.892933,-29.822502,-30.017223,-38.980190,-8.962967
4,L2,2.000000,-27.252094,2.008715,2.135690,0.094016,-100.000000,-100.000000,2.135690,350.604950,10.000000,211.477997,0.897192,-27.051455,-27.252094,-35.850655,-8.598560
5,L3,0.500000,-10.696562,2.008715,1.664281,5.017964,-100.000000,-100.000000,1.664281,348.177887,10.000000,211.477997,0.000000,-10.267461,-10.696562,-12.853704,-2.157143
6,L4,0.743825,18.792059,2.008715,0.699323,-2.700225,-100.000000,-100.000000,0.699323,351.083679,10.000000,211.477997,0.409375,18.990503,18.792059,13.459666,-5.332393
7,L5,1.512876,-30.134647,2.008715,1.105743,-0.329159,-100.000000,-100.000000,1.105743,350.077942,10.000000,211.477997,0.395965,-30.345442,-30.134647,-22.641432,7.493216
8,Mi1,1.488240,-12.185339,2.008715,2.218749,0.900038,-100.000000,-100.000000,2.218749,349.877350,10.000000,211.477997,0.000000,-12.508357,-12.185339,-4.806267,7.379072
9,Tm3,0.500000,-9.767198,2.008715,0.831800,8.701455,-100.000000,-100.000000,0.831800,351.579102,10.000000,211.477997,0.000000,-10.071276,-9.767198,-5.108091,4.659107
10,Mi4,0.855565,1.643740,2.008715,1.916947,-4.615878,-100.000000,-100.000000,1.916947,348.375305,10.000000,211.477997,0.000000,1.082420,1.643740,5.476981,3.833241
11,Mi9,0.500000,-5.212858,2.008715,2.656704,-1.458863,-100.000000,-100.000000,2.656704,349.183350,10.000000,211.477997,0.000000,-4.534479,-5.212858,-7.933639,-2.720781
12,T4a,1.019143,50.000000,2.008715,2.029985,-1.382106,-100.000000,-100.000000,2.029985,352.351929,10.000000,211.477997,0.000000,106.686195,107.692223,117.272270,9.580048
13,T4b,1.033862,-7.328505,2.008715,4.650910,3.280448,-100.000000,-100.000000,4.650910,350.583771,10.000000,211.477997,0.000000,-7.140190,-7.328505,-8.161610,-0.833105
14,T4c,0.973006,6.067213,2.008715,3.590644,6.758640,-100.000000,-100.000000,3.590644,347.867401,10.000000,211.477997,0.000000,6.066920,6.067213,6.171581,0.104368
15,T4d,1.035921,21.140110,2.008715,3.625894,2.918616,-100.000000,-100.000000,3.625894,351.533539,10.000000,211.477997,0.000000,20.631912,21.140110,24.900991,3.760881
16,Tm1,1.098990,8.730971,2.008715,0.364203,-0.297438,-100.000000,-100.000000,0.364203,349.184875,10.000000,211.477997,0.000000,9.298244,8.730971,3.087080,-5.643892
