,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,10.000000,,,2.127381,2.115826,0.399168,2.263797,,,,,,,,,,,,,,,,,,0.100000,,,,10.000000,10.000000,,,,1.762809,,,,,,,,,,,,,,,,,,,,,,
R7,,,0.564921,10.000000,,1.595730,,,0.751894,,0.198971,2.186839,,,,,,,,,,,,,,,,,,0.100000,10.000000,,,1.733434,4.919375,,,0.100000,10.000000,,6.560516,,0.114950,0.292434,1.004186,0.312468,3.091878,,,,,,,,,
R8,,0.100000,1.547614,9.508378,0.100000,1.221109,,0.100000,0.100000,,0.100000,1.694344,,,,,,,,,,,,,0.100000,,,,0.100000,0.100000,0.100000,5.057126,,,4.546475,,0.100000,0.100000,10.000000,,6.072660,4.753627,,,0.112061,0.190869,,3.164983,,0.100000,,,,,0.958132,
L1,0.100000,0.100000,0.100000,0.100000,4.682034,0.773635,0.100000,2.562915,1.462483,1.949223,0.211175,,,,,,0.100000,0.100000,,,,,,,10.000000,1.431045,10.000000,,2.142618,0.100000,,0.100000,,2.571358,,,,9.369839,2.771656,,,,10.000000,,,,,,,,,10.000000,,,,
L2,10.000000,,0.100000,0.100000,0.111800,0.100000,7.262763,0.100000,0.100000,0.100000,0.126153,0.364818,,,,,0.641667,0.660719,1.677508,,,,,,0.100000,5.628642,10.000000,,10.000000,0.100000,,,,1.788550,,0.100000,0.987099,,0.100000,,0.100000,,,,10.000000,,,,,,,0.100000,,,,
L3,,1.524491,0.100000,0.100000,0.100000,,,,1.159205,,0.100000,0.703273,,,,,0.100000,8.291651,10.000000,3.727058,,,,,0.782623,,,,0.100000,5.549195,0.100000,,6.035834,,0.184294,4.758650,,0.100000,7.582049,0.100000,0.100000,0.998809,0.100000,0.100000,10.000000,0.119552,0.127698,0.799012,,,,,1.012440,,0.183210,0.500361
L4,0.629101,,,0.100000,1.597851,0.100000,8.154495,0.100000,7.743627,,,2.597372,,,,,2.175855,0.100000,0.193480,0.100000,,,,,,0.100000,,,,9.487935,0.100000,10.000000,,,,10.000000,10.000000,,,,,,0.100000,,,,,,,,,5.395105,,,,
L5,,,,1.923595,4.213690,,,6.881743,1.377271,0.100000,0.775082,0.100000,,,,,0.100000,0.390893,0.100000,,,,,,0.100000,6.549637,10.000000,,1.713735,0.100000,1.470090,0.100000,,2.153085,0.113637,6.898954,10.000000,4.991359,0.159281,,8.975797,3.624753,2.364563,,0.100000,,,,0.100000,8.624180,2.865222,0.774134,,7.048393,,
Mi1,,6.559627,1.025326,0.100000,0.100000,,,1.257089,0.100000,0.100000,4.503126,0.100000,5.004980,0.100000,0.100000,1.825859,0.100000,0.100000,0.100000,,,,,,0.185337,2.010987,4.072700,0.300061,7.435951,0.331917,10.000000,0.100000,6.157646,,0.115326,0.100000,10.000000,5.353481,2.717819,,9.656721,2.559795,5.813477,,,0.100000,,2.704499,0.972155,0.100000,0.272554,5.371707,0.100000,0.100000,0.100000,1.472677
Tm3,,,,0.516024,0.100000,,,,2.152530,1.345644,0.100000,0.100000,4.237514,0.100000,0.100000,3.165757,,,5.805934,,,0.965472,,1.035908,,2.864534,3.677457,0.216151,0.898015,7.531109,0.100000,0.797131,,,0.100000,0.100000,1.941759,,,3.295372,,,2.886502,,,,3.844343,,0.100000,2.462135,0.100000,2.074764,,2.094538,,
Mi4,,,,,1.399328,10.000000,,10.000000,0.100000,0.100000,1.416212,1.120166,3.319185,7.969706,1.136379,1.447178,2.804986,0.100000,7.970106,4.474158,,,,,0.100000,,0.100000,,10.000000,10.000000,10.000000,9.039497,0.100000,,4.689917,,0.134529,,0.100000,2.523718,0.100000,,0.100000,5.248752,4.189394,8.168200,0.100000,0.100000,3.448990,,3.702421,2.501385,0.976241,1.861752,,
Mi9,,,,,,3.319523,1.378168,,0.526582,0.824149,1.734576,,0.511837,0.100000,0.100000,2.614158,0.100000,5.428496,3.924552,0.100000,,,,,,10.000000,0.100000,0.100000,10.000000,,0.100000,1.125945,0.100000,,4.961755,,0.299967,0.976951,,1.183838,10.000000,2.097818,1.013370,0.100000,5.450537,,0.981858,,0.473683,1.045318,,7.607108,0.100000,4.453075,3.742622,
T4a,,,,,,,,,,,,0.550072,0.100000,0.975112,0.100000,0.996119,,,,,7.440574,,,,,,,,,2.619369,,,,,,0.100000,,,,,,,0.100000,,,,,,,7.617183,,,,,10.000000,1.969274
T4b,,,,,,,,,7.880515,,0.100000,2.463963,9.988167,2.795901,,1.045382,,,,,,1.128662,,,,,,,,,,,,,,6.140131,,,,,,,10.000000,,,,,,7.725651,0.247692,6.892815,,,,,
T4c,,,,,,,,,,,,3.820184,,,0.447379,,,,,,,,10.000000,0.100000,,10.000000,,,,,,,,,,,,,,,,,,,,,,,,7.384793,0.100000,,0.100000,10.000000,,
T4d,,,,,,,,,2.312210,,,,,,0.999617,4.400261,,,,,,,,10.000000,,,,,,,,,,,,,,,,,,,,,,,,,,8.094705,0.100000,,1.452916,1.896914,,
Tm1,,,,,0.100000,,,0.828510,1.245856,0.100000,0.100000,2.866792,,,1.040702,,0.100000,0.100000,0.100000,4.718971,0.100000,10.000000,6.128689,0.100000,5.847324,0.100000,2.759557,6.451744,0.100000,4.360402,,3.960984,3.102350,,0.100000,3.739257,,0.100000,6.747677,0.100000,0.100000,1.411294,1.487146,10.000000,,,0.100000,2.947120,,0.446223,,0.100000,2.061106,2.941955,0.370205,0.778956
Tm2,,,,0.100000,0.100000,,,1.755047,10.000000,0.100000,0.100000,1.176705,10.000000,,0.100000,,0.787325,,0.100000,9.997523,0.100000,0.114196,2.096083,0.100000,0.100000,1.369593,9.521944,9.686121,,0.100000,1.074665,2.735394,4.982969,,,8.497587,,,8.269378,,,0.564287,6.856277,,,,,,10.000000,0.100000,8.603767,0.100000,1.527372,10.000000,6.348983,2.681065
Tm4,,,,,10.000000,,,,9.479339,0.100000,0.100000,,,,,,0.459151,1.129840,0.100000,,0.100000,10.000000,0.100000,0.100000,10.000000,10.000000,0.100000,7.140877,0.100000,0.100000,,5.914940,,,0.293872,9.560663,3.400039,,0.100610,,,0.100000,10.000000,,,,,,10.000000,0.100000,1.305415,0.100000,,0.100000,,9.460140
Tm9,,,,,,0.100000,,,,,0.100000,0.100000,,,,,0.100000,0.100000,0.100000,10.000000,0.100000,2.248122,2.388866,0.100000,,2.854004,8.509709,,,,,,1.870400,,,,,,,,0.178991,6.877791,,,,9.591884,0.138145,,,0.100000,10.000000,,0.100000,,1.728824,0.100000
T5a,,,,,,,,,,,,,7.371842,,,,,0.100000,,,0.742712,0.100000,,,,0.100000,,,,,,,,,,,,,,,,,1.487145,,,,,,,0.447509,,,,3.084004,0.566338,0.998007
T5b,,,,,,,,,,,,,,0.100000,,,,,,,1.028628,2.304325,,,,0.100000,,,,,,,,,,,,,,,,,,,,,,,3.072155,1.424185,10.000000,,,0.100000,,
T5c,,,,,,,,,,,,,,,0.477323,,,,,,,1.003148,0.100000,0.100000,,0.100000,,,,,,,,,,,,,,,,,,,,,,,,5.801604,0.100000,,0.229139,8.704557,,
T5d,,,,,,,,,,,,,,,10.000000,0.977375,,,,,,,,9.106401,,9.291595,,,,,,,,,,,,,,,,,,,,,,,,0.360385,1.543933,,0.520054,9.221917,,
T1,7.780529,10.000000,0.100000,,0.125364,3.643374,,1.513286,,,,0.100000,,,,,1.581908,2.344332,2.792493,,,,,,,,,,,,,,,0.673737,,,,,,,5.760783,,,,,,,,,,,,1.028002,,,
T2,,,,,,,,10.000000,3.338205,7.758235,,5.774244,,,,,5.713480,0.100000,0.100000,,,,,,,1.845679,0.100000,0.100000,,,,0.777236,,,,,2.506871,,,,,3.106193,0.749970,,0.100000,0.100000,,,5.555018,6.074847,2.327661,0.100000,,0.100000,1.010325,6.053066
