cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,v_th_ca,a_ca,tau_ca,tau_lp,tau_hp,a_h,v_pre,v_onset,v_spot_end,delta_v,v_ca_pre,v_ca_onset,v_ca_spot_end,delta_v_ca,ca_pre,ca_onset,ca_spot_end,delta_ca
0,R1-6,0.990854,50.000000,1.606022,1.541448,0.853494,-100.000000,-100.000000,1.013228,351.302490,10.000000,200.756577,0.000000,20.593094,20.655561,32.306465,11.650904,122.188332,122.251617,134.056671,11.805054,122.188332,122.189461,122.741219,0.551758
1,R7,0.966257,50.000000,1.606022,1.676816,0.475799,-100.000000,-100.000000,1.004398,348.870056,10.000000,200.756577,0.000000,15.185469,15.218926,26.598045,11.379119,115.692062,115.725662,127.154839,11.429176,115.692062,115.692673,116.233864,0.541191
2,R8,1.047127,50.000000,1.606022,1.916897,0.570782,-100.000000,-100.000000,1.007586,350.717590,10.000000,200.756577,0.000000,20.178955,20.240620,31.980209,11.739590,121.090599,121.152740,132.981384,11.828644,121.090599,121.091698,121.645493,0.553795
3,L1,1.977069,5.973656,1.606022,1.972362,-0.525404,-100.000000,-100.000000,0.100000,348.112427,10.000000,200.756577,0.489809,-40.259472,-40.486347,-45.402748,-4.916401,5.974053,5.951365,5.459726,-0.491640,5.974053,5.973656,5.955821,-0.017835
4,L2,2.000000,0.064214,1.606022,0.100000,-1.197861,-100.000000,-100.000000,0.100000,348.676575,10.000000,200.756577,0.000000,-215.583481,-216.616852,-227.213623,-10.596771,0.064239,0.062859,0.053452,-0.009408,0.064239,0.064214,0.063806,-0.000409
5,L3,1.985544,4.208610,1.606022,0.100000,-1.281730,-100.000000,-100.000000,0.100000,348.421539,10.000000,200.756577,0.000000,-58.813156,-59.138199,-63.177925,-4.039726,4.209086,4.182091,3.864573,-0.317518,4.209086,4.208610,4.196186,-0.012424
6,L4,1.985681,9.845734,1.606022,0.100000,-1.408920,-100.000000,-100.000000,0.100000,349.025391,10.000000,200.756577,0.960585,-1.542659,-1.543634,-1.547482,-0.003848,9.845734,9.845637,9.845252,-0.000385,9.845734,9.845734,9.845716,-0.000018
7,L5,1.957116,2.739104,1.606022,0.100000,-0.934770,-100.000000,-100.000000,0.100000,344.161163,10.000000,200.756577,0.000000,-72.930565,-72.457016,-69.687653,2.769363,2.738302,2.784908,3.052958,0.268049,2.738302,2.739104,2.749534,0.010431
8,Mi1,1.879509,3.407030,1.606022,0.100000,-0.763247,-100.000000,-100.000000,0.100000,347.002014,10.000000,200.756577,0.000000,-65.972672,-65.537102,-63.530724,2.006378,3.406288,3.449884,3.650335,0.200451,3.406288,3.407030,3.415024,0.007993
9,Tm3,1.909819,6.433011,1.606022,0.100000,-1.043630,-100.000000,-100.000000,0.100000,347.215668,10.000000,200.756577,0.000000,-35.676048,-35.316963,-33.460197,1.856766,6.432395,6.468304,6.653980,0.185677,6.432395,6.433011,6.440461,0.007451
10,Mi4,1.906972,6.992796,1.606022,2.039788,-0.529681,-100.000000,-100.000000,0.100000,347.290802,10.000000,200.756577,0.000000,-30.070461,-30.160770,-31.464441,-1.303671,6.992954,6.983923,6.853556,-0.130367,6.992954,6.992795,6.987875,-0.004920
11,Mi9,1.856856,5.819148,1.606022,2.030366,-0.916768,-100.000000,-100.000000,0.100000,348.309601,10.000000,200.756577,0.000000,-41.808773,-41.790920,-41.702667,0.088253,5.819123,5.820908,5.829733,0.008826,5.819123,5.819148,5.819343,0.000195
12,T4a,1.039919,50.000000,1.606022,0.341098,-1.096730,-100.000000,-100.000000,0.960772,349.974396,10.000000,200.756577,0.000000,-10.916972,-10.917574,-10.885281,0.032293,85.588440,85.587852,85.618889,0.031036,85.588440,85.588417,85.589172,0.000755
13,T4b,0.996984,50.000000,1.606022,0.100000,-0.643915,-100.000000,-100.000000,0.959571,350.572174,10.000000,200.756577,0.000000,-12.254663,-12.254090,-12.212528,0.041562,84.197891,84.198441,84.238319,0.039879,84.197891,84.197891,84.198967,0.001076
14,T4c,0.993929,50.000000,1.606022,0.100000,-0.976594,-100.000000,-100.000000,1.026734,350.417084,10.000000,200.756577,0.000000,-9.369218,-9.366802,-9.339425,0.027377,93.053726,93.056213,93.084320,0.028107,93.053726,93.053764,93.054688,0.000923
15,T4d,1.018287,50.000000,1.606022,0.279764,-0.325875,-100.000000,-100.000000,0.975816,347.736847,10.000000,200.756577,0.000000,-3.244897,-3.239756,-3.229376,0.010381,94.415184,94.420197,94.430328,0.010132,94.415184,94.415268,94.415932,0.000664
16,Tm1,1.980711,5.640688,1.606022,0.100000,-0.685177,-100.000000,-100.000000,0.100000,350.231079,10.000000,200.756577,0.000000,-43.591267,-43.696117,-43.754833,-0.058716,5.640873,5.630389,5.624516,-0.005872,5.640873,5.640688,5.639735,-0.000953
17,Tm2,1.925589,8.800592,1.606022,0.100000,-0.828531,-100.000000,-100.000000,0.100000,350.800781,10.000000,200.756577,0.000000,-11.993781,-12.010828,-12.018855,-0.008027,8.800622,8.798918,8.798115,-0.000803,8.800622,8.800592,8.800443,-0.000150
18,Tm4,1.949725,6.618414,1.606022,0.204836,-1.319328,-100.000000,-100.000000,0.100000,347.896423,10.000000,200.756577,0.000000,-33.813992,-33.919529,-33.997108,-0.077579,6.618601,6.608047,6.600289,-0.007758,6.618601,6.618414,6.617399,-0.001015
19,Tm9,1.916688,8.541669,1.606022,0.100000,-1.524908,-100.000000,-100.000000,0.100000,349.179596,10.000000,200.756577,0.000000,-14.583631,-14.564082,-14.436087,0.127995,8.541636,8.543591,8.556391,0.012799,8.541636,8.541669,8.542144,0.000475
20,T5a,0.963707,50.000000,1.606022,0.100000,-0.945766,-100.000000,-100.000000,1.038989,350.140594,10.000000,200.756577,0.000000,-2.291719,-2.296667,-2.299581,-0.002914,101.517868,101.512718,101.509697,-0.003021,101.517868,101.517769,101.517311,-0.000458
21,T5b,0.987722,50.000000,1.606022,0.182924,-0.258842,-100.000000,-100.000000,1.048553,348.871307,10.000000,200.756577,0.000000,-0.139455,-0.141764,-0.143422,-0.001658,104.709122,104.706696,104.704964,-0.001732,104.709122,104.709084,104.708847,-0.000237
22,T5c,0.985505,50.000000,1.606022,1.156998,-0.581920,-100.000000,-100.000000,1.013214,348.810669,10.000000,200.756577,0.000000,0.203877,0.201567,0.200016,-0.001551,101.527939,101.525589,101.524033,-0.001556,101.527939,101.527885,101.527672,-0.000214
23,T5d,1.026158,50.000000,1.606022,1.836680,0.250199,-100.000000,-100.000000,0.958621,348.489410,10.000000,200.756577,0.000000,1.326481,1.323290,1.321033,-0.002257,97.133720,97.130661,97.128510,-0.002151,97.133720,97.133667,97.133369,-0.000298
24,T1,0.966910,31.163900,1.606022,0.100000,-1.478820,-100.000000,-100.000000,0.981205,350.611053,10.000000,200.756577,0.000000,-69.270615,-69.526115,-70.188240,-0.662125,31.167662,30.953300,30.456503,-0.496798,31.167662,31.163897,31.132349,-0.031548
25,T2,1.034340,50.000000,1.606022,0.100000,-1.389441,-100.000000,-100.000000,1.029930,348.283295,10.000000,200.756577,0.000000,-12.872176,-12.909108,-12.931141,-0.022033,89.735611,89.697563,89.674873,-0.022690,89.735611,89.734924,89.731392,-0.003532
26,T2a,0.956322,50.000000,1.606022,0.100000,-1.317575,-100.000000,-100.000000,0.982766,349.292114,10.000000,200.756577,0.000000,-5.846695,-5.860396,-5.865855,-0.005459,92.530693,92.517235,92.511864,-0.005371,92.530693,92.530457,92.529282,-0.001175
27,T3,0.960651,50.000000,1.606022,0.100000,-0.734960,-100.000000,-100.000000,0.981694,347.501160,10.000000,200.756577,0.000000,-2.177598,-2.181960,-2.183229,-0.001269,96.031677,96.027390,96.026138,-0.001251,96.031677,96.031593,96.031219,-0.000374
28,C2,0.991835,50.000000,1.606022,1.787227,0.394584,-100.000000,-100.000000,1.016814,349.878174,10.000000,200.756577,0.000000,-1.648944,-1.615235,-1.450947,0.164288,100.004730,100.039001,100.206055,0.167053,100.004730,100.005310,100.012085,0.006775
29,C3,0.988814,50.000000,1.606022,2.031400,1.009903,-100.000000,-100.000000,1.042013,347.839294,10.000000,200.756577,0.000000,0.390629,0.416163,0.537118,0.120955,104.608368,104.634995,104.761024,0.126030,104.608368,104.608833,104.614021,0.005188
30,Lawf1,1.044574,50.000000,1.606022,0.355275,-0.721428,-100.000000,-100.000000,0.974079,351.595459,10.000000,200.756577,0.000000,-3.367544,-3.352126,-3.362568,-0.010442,94.127602,94.142632,94.132454,-0.010178,94.127602,94.127869,94.128685,0.000816
31,Lawf2,0.991389,50.000000,1.606022,0.100000,-1.077226,-100.000000,-100.000000,1.027945,349.044098,10.000000,200.756577,0.000000,-1.535531,-1.533878,-1.532845,0.001032,101.216011,101.217720,101.218773,0.001053,101.216011,101.216042,101.216171,0.000130
32,Dm3v,1.012220,50.000000,1.606022,2.020251,1.235322,-100.000000,-100.000000,0.975000,350.604950,10.000000,200.756577,0.000000,2.143918,2.138440,2.133356,-0.005084,99.590286,99.584946,99.579987,-0.004959,99.590286,99.590195,99.589638,-0.000557
33,Lai,1.009605,14.191059,1.606022,0.841729,-0.128112,-100.000000,-100.000000,1.046829,349.040039,10.000000,200.756577,0.000000,-127.337669,-128.046402,-137.049774,-9.003372,14.193666,14.045687,12.611712,-1.433974,14.193666,14.191059,14.131047,-0.060012
34,Mi10,0.976330,50.000000,1.606022,0.208026,-0.677560,-100.000000,-100.000000,0.987280,347.885254,10.000000,200.756577,0.000000,-20.701023,-20.662975,-20.693096,-0.030121,78.290337,78.327896,78.298157,-0.029739,78.290337,78.291023,78.293068,0.002045
35,Mi13,1.020993,50.000000,1.606022,2.011604,1.235962,-100.000000,-100.000000,0.960291,351.367523,10.000000,200.756577,0.000000,1.558342,1.556599,1.553710,-0.002890,97.525566,97.523888,97.521118,-0.002769,97.525566,97.525543,97.525337,-0.000206
36,Mi14,0.989704,50.000000,1.606022,1.984243,0.893206,-100.000000,-100.000000,1.032420,348.640808,10.000000,200.756577,0.000000,4.008400,4.006719,4.015765,0.009046,107.380295,107.378571,107.387917,0.009346,107.380295,107.380264,107.380325,0.000061
37,Mi15,1.016099,50.000000,1.606022,0.100000,-0.903574,-100.000000,-100.000000,1.034466,350.035919,10.000000,200.756577,0.000000,-26.918453,-27.020014,-28.176653,-1.156639,75.600388,75.495338,74.298828,-1.196510,75.600388,75.598549,75.552032,-0.046516
38,Mi2,0.976668,50.000000,1.606022,2.026497,0.544842,-100.000000,-100.000000,1.032482,351.813293,10.000000,200.756577,0.000000,0.815670,0.813967,0.818107,0.004140,104.090363,104.088600,104.092896,0.004295,104.090363,104.090332,104.090279,-0.000053
39,Tm16,1.042941,50.000000,1.606022,0.100000,-1.170158,-100.000000,-100.000000,1.031888,352.459595,10.000000,200.756577,0.000000,-44.655571,-44.540619,-43.962395,0.578224,57.109280,57.227898,57.824558,0.596661,57.109280,57.111252,57.135246,0.023994
40,Tm20,1.035103,50.000000,1.606022,0.100000,-0.778914,-100.000000,-100.000000,1.020183,347.586914,10.000000,200.756577,0.000000,-28.415440,-28.472412,-29.254513,-0.782101,73.029343,72.971214,72.173332,-0.797882,73.029343,73.028282,72.997040,-0.031242
41,Tm21,0.961950,50.000000,1.606022,0.100000,-0.597072,-100.000000,-100.000000,0.954076,350.788666,10.000000,200.756577,0.000000,-17.868052,-17.903360,-17.921520,-0.018160,78.360153,78.326462,78.309143,-0.017319,78.360153,78.359558,78.356552,-0.003006
42,Tm27,1.044296,50.000000,1.606022,0.100000,-0.819637,-100.000000,-100.000000,1.017196,350.781891,10.000000,200.756577,0.000000,-10.300174,-10.291888,-10.242220,0.049668,91.242271,91.250710,91.301224,0.050514,91.242271,91.242416,91.244171,0.001755
43,Tm5a,1.049539,50.000000,1.606022,0.100000,-0.969874,-100.000000,-100.000000,0.961096,349.184906,10.000000,200.756577,0.000000,-20.382206,-20.453623,-21.510578,-1.056955,76.520355,76.451706,75.435867,-1.015839,76.520355,76.519127,76.480690,-0.038437
44,Tm5b,0.986858,50.000000,1.606022,0.100000,-1.183895,-100.000000,-100.000000,0.958816,352.395081,10.000000,200.756577,0.000000,-22.821123,-22.877193,-23.736462,-0.859268,74.000328,73.946571,73.122688,-0.823883,74.000328,73.999367,73.968384,-0.030983
45,Tm5c,1.048549,50.000000,1.606022,1.944115,1.393116,-100.000000,-100.000000,0.966862,348.749115,10.000000,200.756577,0.000000,0.849857,0.830487,0.695505,-0.134981,97.507904,97.489174,97.358673,-0.130501,97.507904,97.507584,97.502129,-0.005455
46,Tm5f,1.020743,50.000000,1.606022,0.100321,-1.068394,-100.000000,-100.000000,0.971478,348.884521,10.000000,200.756577,0.000000,-3.300055,-3.296654,-3.275425,0.021228,93.941872,93.945168,93.965790,0.020622,93.941872,93.941917,93.942688,0.000771
47,TmY10,1.041426,50.000000,1.606022,0.100000,-1.116731,-100.000000,-100.000000,0.987494,351.495239,10.000000,200.756577,0.000000,-11.762077,-11.733212,-11.589962,0.143250,87.134476,87.162956,87.304420,0.141464,87.134476,87.134949,87.140648,0.005699
48,TmY11,0.959851,13.081946,1.606022,0.100000,-0.621854,-100.000000,-100.000000,0.964300,348.325867,10.000000,200.756577,0.000000,-95.670647,-95.433342,-94.716385,0.716957,13.080546,13.162033,13.411901,0.249868,13.080546,13.081946,13.094751,0.012805
49,TmY14,1.029469,50.000000,1.606022,0.100000,-1.521597,-100.000000,-100.000000,0.966158,347.615021,10.000000,200.756577,0.000000,-31.206438,-31.307882,-31.369812,-0.061930,66.465439,66.367416,66.307587,-0.059830,66.465439,66.463676,66.454544,-0.009132
50,TmY15,1.038502,50.000000,1.606022,1.957641,0.546414,-100.000000,-100.000000,0.970090,350.834412,10.000000,200.756577,0.000000,8.045424,8.040316,8.064782,0.024467,104.813774,104.808815,104.832558,0.023743,104.813774,104.813683,104.813774,0.000092
51,TmY3,1.000094,50.000000,1.606022,0.100000,-0.861163,-100.000000,-100.000000,1.024153,348.676453,10.000000,200.756577,0.000000,-42.907166,-42.815929,-42.445347,0.370583,58.471806,58.565239,58.944778,0.379539,58.471806,58.473408,58.490318,0.016911
52,TmY4,1.009007,50.000000,1.606022,0.100000,-1.181292,-100.000000,-100.000000,1.015588,349.575256,10.000000,200.756577,0.000000,-17.809732,-17.861513,-17.889545,-0.028032,83.471474,83.418900,83.390411,-0.028488,83.471474,83.470535,83.465767,-0.004768
53,TmY5a,0.960399,50.000000,1.606022,1.941207,0.985287,-100.000000,-100.000000,1.034527,348.988464,10.000000,200.756577,0.000000,7.033516,7.042726,7.062021,0.019295,110.729042,110.738564,110.758522,0.019958,110.729042,110.729195,110.730400,0.001205
