cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,v_th_ca,a_ca,tau_ca,tau_lp,tau_hp,a_h,v_pre,v_onset,v_spot_end,delta_v,v_ca_pre,v_ca_onset,v_ca_spot_end,delta_v_ca,ca_pre,ca_onset,ca_spot_end,delta_ca
0,R1-6,0.967571,50.000000,1.587637,1.513892,0.802283,-100.000000,-100.000000,0.970185,351.536896,10.000000,210.641388,0.000000,20.543573,20.606071,33.463573,12.857502,116.949554,117.010193,129.484329,12.474136,116.949554,116.950630,117.532867,0.582237
1,R7,1.011809,50.000000,1.587637,1.881483,0.565800,-100.000000,-100.000000,0.974484,350.846680,10.000000,210.641388,0.000000,15.335921,15.369726,27.935661,12.565935,112.393044,112.426003,124.671295,12.245293,112.393044,112.393646,112.970047,0.576401
2,R8,0.998762,50.000000,1.587637,2.004370,0.565847,-100.000000,-100.000000,1.004291,351.281189,10.000000,210.641388,0.000000,20.144188,20.205730,33.167675,12.961945,120.659737,120.721542,133.739105,13.017563,120.659737,120.660820,121.268944,0.608124
3,L1,1.932518,5.263185,1.587637,1.769896,-1.281425,-100.000000,-100.000000,0.100000,347.330658,10.000000,210.641388,0.422428,-47.363541,-47.626362,-53.269444,-5.643082,5.263646,5.237364,4.673056,-0.564309,5.263646,5.263185,5.242681,-0.020504
4,L2,2.000000,0.073893,1.587637,0.100000,-0.827151,-100.000000,-100.000000,0.100000,350.478607,10.000000,210.641388,0.000000,-209.130905,-210.138504,-221.360123,-11.221619,0.073922,0.072226,0.061778,-0.010448,0.073922,0.073893,0.073424,-0.000469
5,L3,2.000000,4.152045,1.587637,0.100000,-0.507849,-100.000000,-100.000000,0.100000,347.805786,10.000000,210.641388,0.000000,-59.554348,-59.887287,-64.434067,-4.546780,4.152519,4.125729,3.775868,-0.349861,4.152519,4.152045,4.138515,-0.013530
6,L4,2.000000,9.843318,1.587637,0.100000,-1.340794,-100.000000,-100.000000,0.100000,350.257446,10.000000,210.641388,0.930351,-1.566800,-1.568127,-1.571929,-0.003803,9.843320,9.843188,9.842807,-0.000381,9.843320,9.843319,9.843297,-0.000022
7,L5,1.896811,3.900980,1.587637,0.100000,-0.726418,-100.000000,-100.000000,0.100000,345.624634,10.000000,210.641388,0.006068,-60.999035,-60.484238,-57.692692,2.791546,3.900096,3.951577,4.230731,0.279154,3.900096,3.900980,3.912030,0.011050
8,Mi1,1.906065,4.379185,1.587637,0.100000,-0.621054,-100.000000,-100.000000,0.100000,345.927368,10.000000,210.641388,0.000000,-56.216396,-55.735001,-53.776115,1.958885,4.378360,4.426500,4.622389,0.195889,4.378360,4.379186,4.387356,0.008171
9,Tm3,1.912031,7.199824,1.587637,0.100000,-1.476498,-100.000000,-100.000000,0.100000,350.652435,10.000000,210.641388,0.000000,-28.008291,-27.624475,-25.780815,1.843660,7.199171,7.237553,7.421919,0.184366,7.199171,7.199824,7.207360,0.007536
