cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,v_th_ca,a_ca,tau_ca,tau_lp,tau_hp,a_h,v_pre,v_onset,v_spot_end,delta_v
0,R1-6,0.999435,16.966623,2.239719,1.515804,-4.858286,-100.000000,-100.000000,0.983019,350.927734,10.000000,221.109344,0.000000,16.899366,16.966623,22.315201,5.348577
1,R7,1.040693,-50.000000,2.239719,5.157572,-7.989568,-100.000000,-100.000000,1.016472,349.223267,10.000000,221.109344,0.000000,-62.811962,-63.849880,-63.553406,0.296474
2,R8,0.965835,-1.323894,2.239719,3.180118,-11.862002,-100.000000,-100.000000,0.964708,349.439301,10.000000,221.109344,0.000000,-1.845394,-1.323894,4.566115,5.890009
3,L1,2.000000,-21.624165,2.239719,1.938785,-19.209848,-100.000000,-100.000000,0.994137,347.875458,10.000000,221.109344,0.994063,-21.444160,-21.624165,-35.093048,-13.468884
4,L2,2.000000,-19.721020,2.239719,2.309557,-19.024363,-100.000000,-100.000000,0.989983,351.873505,10.000000,221.109344,0.997760,-19.667107,-19.721020,-30.672216,-10.951197
5,L3,2.000000,-3.543627,2.239719,0.563935,-1.344318,-100.000000,-100.000000,1.017754,349.676880,10.000000,221.109344,0.000000,-3.615558,-3.543627,-5.577159,-2.033532
6,L4,0.891648,-1.071274,2.239719,0.290822,-1.593250,-100.000000,-100.000000,0.976538,351.096619,10.000000,221.109344,0.988026,-1.065301,-1.071274,-6.696361,-5.625087
7,L5,2.000000,-24.310230,2.239719,1.895941,-17.260838,-100.000000,-100.000000,0.985900,351.611023,10.000000,221.109344,0.913721,-24.353233,-24.310230,-12.963543,11.346687
8,Mi1,2.000000,-28.076818,2.239719,1.686491,-10.327461,-100.000000,-100.000000,1.042197,349.495819,10.000000,221.109344,0.000000,-28.077219,-28.076818,-20.749266,7.327553
9,Tm3,2.000000,-3.096049,2.239719,4.681399,1.770756,-100.000000,-100.000000,0.972680,348.907379,10.000000,221.109344,0.000000,-3.058467,-3.096049,7.105443,10.201492
10,Mi4,2.000000,-4.622039,2.239719,0.816538,-6.321496,-100.000000,-100.000000,0.999506,351.137756,10.000000,221.109344,0.000000,-4.591481,-4.622039,-3.217272,1.404767
11,Mi9,2.000000,-16.141485,2.239719,0.448993,-22.053349,-100.000000,-100.000000,1.044290,348.170410,10.000000,221.109344,0.000000,-16.095896,-16.141485,-20.032492,-3.891006
12,T4a,0.990815,50.000000,2.239719,3.914003,0.338837,-100.000000,-100.000000,0.968521,348.410553,10.000000,221.109344,0.000000,53.115982,52.054420,62.123928,10.069508
13,T4b,0.972352,27.380598,2.239719,0.451791,-1.273265,-100.000000,-100.000000,1.040188,350.479584,10.000000,221.109344,0.000000,27.377947,27.380598,30.181332,2.800734
14,T4c,0.973927,-26.503441,2.239719,1.249433,-9.474485,-100.000000,-100.000000,0.963439,351.255798,10.000000,221.109344,0.000000,-25.061872,-26.503441,-24.216536,2.286905
15,T4d,1.005380,-40.822102,2.239719,10.000000,11.604814,-100.000000,-100.000000,1.028144,350.619568,10.000000,221.109344,0.000000,-39.647655,-40.822102,-42.021133,-1.199032
16,Tm1,2.000000,16.586948,2.239719,0.553965,-2.648473,-100.000000,-100.000000,0.952801,350.100922,10.000000,221.109344,0.000000,16.431330,16.586948,10.758904,-5.828045
17,Tm2,2.000000,24.255602,2.239719,0.305978,-2.682048,-100.000000,-100.000000,1.014787,351.318451,10.000000,221.109344,0.000000,24.180000,24.255602,20.631321,-3.624281
18,Tm4,1.535687,5.657203,2.239719,1.229756,-1.029106,-100.000000,-100.000000,1.049834,347.696533,10.000000,221.109344,0.000000,5.394706,5.657203,-0.953246,-6.610449
19,Tm9,1.035251,-0.616049,2.239719,1.783877,-1.479182,-100.000000,-100.000000,0.978206,349.084808,10.000000,221.109344,0.000000,-0.635787,-0.616049,-1.736501,-1.120451
20,T5a,1.043995,50.000000,2.239719,4.698011,4.781576,-100.000000,-100.000000,0.970003,348.381989,10.000000,221.109344,0.000000,187.362411,189.330048,187.199295,-2.130753
21,T5b,1.026770,50.000000,2.239719,7.804647,3.321717,-100.000000,-100.000000,0.959071,349.738220,10.000000,221.109344,0.000000,219.914810,235.213120,284.619904,49.406784
22,T5c,0.960775,50.000000,2.239719,5.827064,-2.263542,-100.000000,-100.000000,0.997464,350.019867,10.000000,221.109344,0.000000,158.768723,159.155273,155.487808,-3.667465
23,T5d,1.048678,50.000000,2.239719,9.076293,10.692081,-100.000000,-100.000000,0.993709,351.785461,10.000000,221.109344,0.000000,78.419334,77.799423,74.434998,-3.364426
24,T1,0.980744,-14.476109,2.239719,0.527736,-6.998177,-100.000000,-100.000000,0.985498,352.098969,10.000000,221.109344,0.000000,-16.590263,-14.476109,-72.522476,-58.046368
25,T2,1.009824,50.000000,2.239719,1.318712,-2.537735,-100.000000,-100.000000,1.028654,352.148682,10.000000,221.109344,0.000000,461.117523,463.752686,482.088745,18.336060
26,T2a,1.024613,38.029095,2.239719,10.000000,9.382660,-100.000000,-100.000000,0.977171,347.761505,10.000000,221.109344,0.000000,38.100845,38.029095,39.749218,1.720123
27,T3,0.975720,50.000000,2.239719,1.671760,-2.597997,-100.000000,-100.000000,0.980117,351.215149,10.000000,221.109344,0.000000,63.432922,63.453030,69.208588,5.755558
28,C2,1.008394,-50.000000,2.239719,1.862146,-0.983553,-100.000000,-100.000000,0.990565,348.692657,10.000000,221.109344,0.000000,-108.235519,-108.485382,-85.418915,23.066467
29,C3,1.020365,-50.000000,2.239719,1.579604,-3.752782,-100.000000,-100.000000,0.995172,352.058777,10.000000,221.109344,0.000000,-119.436508,-119.810196,-80.105782,39.704414
30,Lawf1,0.957081,2.773557,2.239719,0.676046,-1.446582,-100.000000,-100.000000,0.998959,351.990051,10.000000,221.109344,0.000000,3.176736,2.773557,2.853818,0.080261
31,Lawf2,1.030617,7.412087,2.239719,1.240407,-3.189309,-100.000000,-100.000000,1.001129,349.866638,10.000000,221.109344,0.000000,8.105250,7.412087,7.362148,-0.049939
