cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,v_th_ca,a_ca,tau_ca,tau_lp,tau_hp,a_h,v_pre,v_onset,v_spot_end,delta_v,v_ca_pre,v_ca_onset,v_ca_spot_end,delta_v_ca,ca_pre,ca_onset,ca_spot_end,delta_ca
0,R1-6,1.025847,50.000000,1.835119,1.776831,-7.587174,-100.000000,-100.000000,1.010703,352.320007,20.347921,206.339890,0.000000,11.096717,11.131343,16.156273,5.024930,112.303551,112.338852,117.416443,5.077591,112.303551,112.304131,112.514359,0.210228
1,R7,0.995050,50.000000,1.835119,5.426633,-17.849970,-100.000000,-100.000000,1.025997,349.303345,10.000000,193.214462,0.000000,-44.950367,-45.240837,-40.298512,4.942326,56.480759,56.182743,61.253548,5.070805,56.480759,56.475552,56.719177,0.243626
2,R8,0.961918,50.000000,1.835119,5.021463,-24.482708,-100.000000,-100.000000,0.973246,351.104584,25.343004,203.002640,0.000000,-9.183057,-9.117146,-4.771116,4.346030,88.387215,88.451363,92.681122,4.229759,88.387215,88.388252,88.562759,0.174507
3,L1,2.000000,19.857801,1.835119,2.467659,-29.641527,-100.000000,-100.000000,0.282241,349.346161,10.000000,228.410950,1.000000,-29.641527,-29.712601,-42.424389,-12.711788,19.858032,19.837973,16.250185,-3.587788,19.858032,19.857800,19.743782,-0.114017
4,L2,2.000000,0.189885,1.835119,1.440573,-32.039883,-100.000000,-100.000000,0.156718,349.616974,10.000000,231.423615,0.306796,-282.828278,-284.309326,-295.696350,-11.387024,0.189937,0.187031,0.166954,-0.020077,0.189937,0.189885,0.189062,-0.000823
5,L3,2.000000,9.367889,1.835119,0.100000,-3.310017,-100.000000,-100.000000,0.153992,347.083923,10.831121,194.926773,0.000000,-39.165127,-39.238880,-40.545250,-1.306370,9.368095,9.356738,9.155567,-0.201171,9.368095,9.367890,9.361309,-0.006581
6,L4,1.734663,9.689591,1.835119,0.100000,-3.104084,-100.000000,-100.000000,0.100000,350.808289,10.000000,224.144775,1.000000,-3.104084,-3.104909,-3.138106,-0.033197,9.689591,9.689508,9.686190,-0.003319,9.689591,9.689590,9.689520,-0.000070
7,L5,2.000000,4.105438,1.835119,1.007086,-24.632029,-100.000000,-100.000000,0.153839,349.177246,10.000000,201.658524,0.291306,-73.320404,-73.429703,-66.371048,7.058655,4.105757,4.089297,5.173434,1.084136,4.105757,4.105438,4.129689,0.024251
8,Mi1,2.000000,2.433617,1.835119,0.497561,-18.562939,-100.000000,-100.000000,0.225137,350.787872,10.000000,197.708511,0.000000,-90.260864,-90.502876,-84.248505,6.254372,2.434329,2.395321,3.585580,1.190259,2.434329,2.433617,2.456124,0.022507
9,Tm3,2.000000,4.515024,1.835119,2.494855,0.296898,-100.000000,-100.000000,0.100000,350.637909,10.000000,194.660294,0.000000,-54.846210,-55.040447,-49.285019,5.755428,4.515379,4.495956,5.071498,0.575542,4.515379,4.515024,4.526884,0.011860
