,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,1.949379,,,0.173698,0.924109,0.100000,0.380781,,,,,,,,,,,,,,,,,,0.100000,,,,1.982174,0.904208,,,,1.774154,,,,,,,,,,,,,,,,,,,,,,
R7,,,0.628760,1.672472,,0.100000,,,2.039408,,1.449290,1.521330,,,,,,,,,,,,,,,,,,0.258340,0.100000,,,1.851746,1.742766,,,1.654386,0.471616,,1.629621,,1.428501,1.826926,1.298496,1.092464,1.592341,,,,,,,,,
R8,,1.972102,0.987483,0.183175,0.100000,0.100000,,0.100000,0.100000,,1.331811,1.439968,,,,,,,,,,,,,0.675613,,,,0.425475,0.233497,2.099050,2.085612,,,1.623387,,0.558993,1.666421,0.468347,,1.596518,0.327185,,,1.331215,0.832738,,1.353063,,1.473643,,,,,1.040278,
L1,1.878162,0.100000,0.133945,1.832326,1.524116,0.106959,1.689840,1.731525,0.410736,1.329752,0.106594,,,,,,1.325737,1.535432,,,,,,,1.205334,0.100000,1.820320,,1.636086,0.490345,,1.817091,,1.833787,,,,0.769039,1.642601,,,,0.100000,,,,,,,,,1.931110,,,,
L2,0.100000,,0.100000,1.670040,1.522236,1.857761,0.379488,0.181598,0.100000,0.725734,0.457984,0.668355,,,,,0.380865,0.400334,0.398659,,,,,,0.419386,0.100000,0.301579,,0.100000,1.645318,,,,0.229505,,1.548813,1.776482,,0.263968,,0.378428,,,,2.758196,,,,,,,0.794881,,,,
L3,,1.556019,1.025192,0.566604,0.668026,,,,1.197639,,0.253245,0.399545,,,,,0.750702,0.687516,0.149833,0.365024,,,,,1.712958,,,,1.820340,1.534362,0.100000,,1.421937,,0.219499,1.575149,,1.017974,1.449200,0.355824,0.357619,0.991825,0.286740,1.187972,2.120628,1.180911,0.456485,0.442867,,,,,0.997494,,0.328890,0.445975
L4,0.100000,,,1.874607,0.297989,1.823539,0.397713,0.100000,0.171250,,,0.428416,,,,,0.575508,0.367956,0.360341,0.341789,,,,,,0.369273,,,,1.478301,0.100000,0.100000,,,,1.647971,1.466944,,,,,,0.401198,,,,,,,,,0.517744,,,,
L5,,,,1.365705,0.522893,,,0.208390,0.336359,0.604090,0.416019,0.117221,,,,,0.285121,0.361012,0.271334,,,,,,1.964782,0.427580,0.159481,,0.551548,1.517697,0.100000,0.100000,,0.184693,0.360360,1.623385,1.667522,0.305367,1.565314,,0.432521,0.672275,0.375801,,0.383746,,,,0.160527,0.458744,1.666936,0.567586,,1.662895,,
Mi1,,0.100000,1.623799,1.703341,2.089475,,,0.351220,0.100000,0.602897,0.377552,0.354555,0.363118,0.407589,0.394578,1.771507,0.382814,0.589300,0.303438,,,,,,2.046749,0.532818,0.304981,0.379931,0.479265,1.577999,0.100000,0.267264,1.295873,,0.332752,1.623090,1.575941,0.381138,1.455476,,0.423162,0.865044,0.345067,,,1.424735,,0.447231,1.041402,0.375316,1.258013,0.528003,0.425329,1.412739,0.272244,0.552256
Tm3,,,,1.400599,3.041901,,,,1.270724,0.324807,0.100000,0.166771,0.314931,0.381552,0.343109,1.744608,,,0.561034,,,0.974447,,1.044858,,0.512068,0.218996,0.372462,0.100000,1.873997,0.576711,0.202296,,,0.381297,1.574235,1.514317,,,0.352473,,,0.415153,,,,0.418704,,0.226213,0.393119,1.333213,0.577582,,1.515656,,
Mi4,,,,,0.685989,0.100014,,2.265639,2.125652,1.103177,0.674646,1.551841,1.643652,1.686305,1.596636,1.969296,1.525634,1.443191,0.100000,1.487543,,,,,1.530226,,0.272514,,1.426942,2.426383,2.032306,1.827486,0.674177,,1.412658,,0.449231,,0.530433,1.612412,1.648959,,1.653900,1.199498,1.199547,0.266343,1.700952,1.588680,1.635715,,1.062592,1.361344,1.041824,0.544972,,
Mi9,,,,,,0.100000,1.639511,,2.699327,1.384350,1.478494,,1.631577,1.657382,1.657439,0.100000,1.555532,1.598859,1.459692,1.665190,,,,,,0.100000,1.119810,1.432961,2.053779,,0.443632,1.829172,0.703867,,1.656632,,0.400222,1.682365,,1.592335,1.664427,1.554337,1.542086,1.574653,0.904706,,1.001798,,1.570320,0.995082,,1.321317,0.257245,0.572675,0.463700,
T4a,,,,,,,,,,,,0.389657,0.334571,0.951460,0.741813,0.959476,,,,,0.449801,,,,,,,,,1.541971,,,,,,1.439763,,,,,,,0.291847,,,,,,,0.455501,,,,,1.451494,0.216236
T4b,,,,,,,,,2.360018,,0.100000,0.346616,1.680216,0.376887,,1.044840,,,,,,0.300783,,,,,,,,,,,,,,1.704242,,,,,,,0.749090,,,,,,0.243204,0.439110,1.208111,,,,,
