cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp,a_h,v_th_ca,a_ca,tau_ca,v_pre,v_onset,v_spot_end,delta_v,v_ca_pre,v_ca_onset,v_ca_spot_end,delta_v_ca,ca_pre,ca_onset,ca_spot_end,delta_ca
0,R1-6,1.025847,111.844620,3.138765,2.484368,-8.293459,-99.328094,21.928970,206.339890,0.000000,-100.000000,1.010703,352.320007,10.498861,10.530291,13.743006,3.212715,111.844078,111.877174,115.124969,3.247795,111.844078,111.844620,111.979774,0.135155
1,R7,0.995050,37.415878,3.138765,5.241133,-17.578087,-99.794205,10.188744,193.214462,0.000000,-100.000000,1.025997,349.303345,-65.045784,-65.975494,-63.958977,2.016518,37.428249,36.714561,38.756233,2.041672,37.428249,37.415874,37.488094,0.072220
2,R8,0.961918,80.340820,3.138765,5.288557,-28.009525,-97.091339,26.192474,203.002640,0.000000,-100.000000,0.973246,351.104584,-17.454363,-17.217072,-14.130949,3.086123,80.337204,80.568146,83.603294,3.035149,80.337204,80.340820,80.477692,0.136871
3,L1,2.000000,29.795649,3.138765,2.192614,-30.491339,-98.679413,10.632100,232.471039,1.000000,-85.281349,0.543837,386.086182,-30.491339,-30.703701,-51.880737,-21.177036,29.796839,29.681351,19.925900,-9.755451,29.796839,29.795649,29.476013,-0.319635
4,L2,2.000000,36.647186,3.138765,1.291717,-33.140945,-98.136246,10.997616,234.813858,1.000000,-83.860733,0.722570,376.797638,-33.140942,-33.323391,-43.443462,-10.120071,36.648602,36.516769,29.378988,-7.137781,36.648602,36.647186,36.409344,-0.237843
5,L3,1.999980,10.486847,3.138765,0.573477,-2.652811,-99.818016,11.167972,194.926773,0.000000,-100.000000,0.111283,308.799347,-5.755257,-6.233887,-7.877841,-1.643954,10.487854,10.434590,10.251646,-0.182944,10.487854,10.486847,10.477715,-0.009131
6,L4,0.500000,65.413338,3.138765,0.152752,-4.039751,-99.830139,10.495689,231.197662,0.993061,-98.324356,0.692043,372.236328,-3.802085,-3.821112,-7.196386,-3.375274,65.413437,65.400261,63.064430,-2.335831,65.413437,65.413330,65.358208,-0.055122
7,L5,2.000000,19.410471,3.138765,1.665211,-24.740768,-99.077911,10.419876,205.334152,0.996773,-95.766174,0.274891,386.255676,-25.155458,-25.057350,-1.239464,23.817886,19.410269,19.437239,25.984566,6.547327,19.410269,19.410471,19.560394,0.149923
8,Mi1,1.999944,7.082235,3.138765,1.172526,-18.949259,-98.809608,10.016836,197.708511,0.000000,-94.893082,0.114767,321.242645,-33.182568,-33.211933,-23.777985,9.433949,7.082332,7.078961,8.161668,1.082706,7.082332,7.082235,7.109135,0.026899
9,Tm3,1.992790,16.308083,3.138765,2.146888,0.099687,-98.868446,10.005400,194.660294,0.000000,-91.465408,0.178675,325.243713,-0.192656,-0.219083,5.513794,5.732877,16.308199,16.303478,17.327799,1.024321,16.308199,16.308081,16.332317,0.024237
