,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,6.745051,,,7.136434,3.381568,0.100000,0.100000,,,,,,,,,,,,,,,,,,0.100000,,,,0.100000,0.100000,,,,1.951527,,,,,,,,,,,,,,,,,,,,,,
R7,,,1.870153,10.000000,,0.100000,,,0.867499,,0.127495,0.100000,,,,,,,,,,,,,,,,,,0.816882,0.100000,,,1.997590,10.000000,,,0.100000,9.217081,,3.912606,,0.100000,0.100000,1.405327,0.100000,9.694478,,,,,,,,,
R8,,2.031174,4.885302,10.000000,0.970250,0.100000,,0.100000,0.100000,,0.100000,0.100000,,,,,,,,,,,,,8.528483,,,,0.100000,0.323378,7.264417,0.100000,,,0.100000,,10.000000,0.100000,0.110484,,5.198630,10.000000,,,9.331953,0.100000,,10.000000,,0.100000,,,,,0.964515,
L1,0.257397,0.223701,0.550645,0.152516,0.272288,0.304197,0.100000,2.391274,0.579948,0.504029,0.100000,,,,,,0.100000,0.100000,,,,,,,0.100000,0.756658,10.000000,,7.768548,5.813655,,10.000000,,2.081377,,,,0.100000,9.784475,,,,0.100000,,,,,,,,,0.567990,,,,
L2,5.933234,,0.163808,0.570978,0.253964,1.070776,6.898883,0.100000,0.324962,1.886118,0.102544,0.175999,,,,,0.100000,0.259294,0.100000,,,,,,0.100000,0.746539,5.559347,,0.100000,0.613465,,,,0.102027,,9.867849,0.100000,,2.310837,,9.856735,,,,10.000000,,,,,,,9.658665,,,,
L3,,0.100000,0.100000,9.974681,0.646512,,,,1.646349,,0.100000,0.140037,,,,,0.921854,6.044934,6.788651,0.339774,,,,,10.000000,,,,0.256462,0.100073,0.100000,,10.000000,,6.404610,8.519803,,9.974640,0.716195,10.000000,0.141842,0.961649,0.100000,10.000000,9.997585,6.719183,1.174794,0.525153,,,,,1.008767,,0.100000,10.000000
L4,5.499955,,,0.149908,0.100000,2.394208,10.000000,0.100000,0.209957,,,1.719208,,,,,0.112974,0.100000,0.100000,0.637542,,,,,,0.100000,,,,0.100000,0.100000,8.784576,,,,10.000000,0.100000,,,,,,10.000000,,,,,,,,,0.100000,,,,
L5,,,,2.090668,9.809098,,,2.007383,0.853740,0.426562,0.286819,0.100000,,,,,0.100000,0.100000,0.100000,,,,,,10.000000,0.100000,0.110050,,0.950073,5.126596,4.608075,0.100000,,0.100343,0.100000,9.925947,0.100000,0.100000,0.416188,,2.893446,0.740831,0.100000,,0.100000,,,,0.100000,0.100000,10.000000,0.100000,,6.650650,,
Mi1,,1.925358,9.324271,0.100000,0.100000,,,0.499950,0.100000,0.796346,1.388428,0.100000,0.435813,2.468348,0.543701,0.100000,0.259610,3.318366,0.100000,,,,,,8.391123,0.100000,0.100000,3.677377,3.214464,6.571849,5.574914,0.404827,0.100000,,0.100000,10.000000,9.031071,8.527106,1.787278,,6.431805,0.126161,6.176609,,,8.443306,,0.100000,0.971918,3.572623,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
Tm3,,,,0.100000,0.100000,,,,0.250415,0.100000,0.100000,0.100000,6.559861,0.245124,3.203488,0.100000,,,0.119784,,,0.962041,,1.033854,,1.235075,7.881029,1.828923,0.100000,3.887490,0.100000,3.034264,,,0.100000,9.957456,0.100000,,,9.370068,,,3.521004,,,,10.000000,,7.452724,2.341528,0.100000,9.321604,,0.100000,,
