,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,10.000000,,,3.974267,3.194700,0.100000,0.100000,,,,,,,,,,,,,,,,,,0.100000,,,,0.100000,0.100000,,,,2.113107,,,,,,,,,,,,,,,,,,,,,,
R7,,,0.100000,3.059334,,10.000000,,,0.100000,,0.100000,2.241254,,,,,,,,,,,,,,,,,,0.100000,0.382139,,,1.861730,2.514262,,,0.100000,10.000000,,7.743672,,0.100000,0.302242,0.824564,10.000000,0.100000,,,,,,,,,
R8,,0.100000,4.994692,10.000000,1.186478,0.123058,,0.100000,0.100000,,0.100000,0.100000,,,,,,,,,,,,,0.100000,,,,0.100000,4.972642,0.100000,0.100000,,,0.619691,,10.000000,0.299986,0.100000,,0.614752,0.682603,,,8.281189,2.148712,,9.272265,,0.100000,,,,,0.976845,
L1,0.100000,0.100000,0.100000,0.100000,0.747203,0.456712,0.100000,2.370731,0.561014,0.731091,0.100000,,,,,,0.100000,0.100000,,,,,,,1.379723,10.000000,10.000000,,10.000000,6.073855,,8.109509,,4.415044,,,,0.100000,10.000000,,,,0.100000,,,,,,,,,10.000000,,,,
L2,10.000000,,0.100000,0.100000,0.100000,0.647180,6.176842,0.100000,0.100000,0.100000,0.202519,0.100000,,,,,0.436851,0.892786,0.458263,,,,,,0.100000,0.100000,6.769841,,0.100000,0.100000,,,,1.167509,,0.100000,0.100000,,0.100000,,0.100000,,,,10.000000,,,,,,,5.343514,,,,
L3,,0.100000,0.100000,0.384647,4.316623,,,,0.100000,,0.100000,0.599388,,,,,0.556901,7.974761,10.000000,1.858990,,,,,10.000000,,,,6.462058,9.653695,0.100000,,2.387420,,9.460909,9.406597,,0.100000,0.552739,0.100000,0.100000,0.999866,0.100000,6.947576,10.000000,0.227607,0.100000,4.089224,,,,,0.992679,,4.181887,5.700060
L4,10.000000,,,0.100000,0.100000,0.620833,6.436366,0.100000,0.100000,,,0.100000,,,,,0.100000,0.100000,0.100000,0.100000,,,,,,0.100000,,,,0.100000,9.473549,7.014334,,,,10.000000,10.000000,,,,,,10.000000,,,,,,,,,0.100000,,,,
L5,,,,1.043010,0.100000,,,6.420001,2.791407,4.091323,3.999678,0.100000,,,,,0.100000,0.100000,0.100000,,,,,,3.171938,10.000000,0.100000,,0.100000,0.100000,0.100000,0.100000,,0.186914,0.100000,0.100000,10.000000,10.000000,6.319721,,0.100000,10.000000,0.100000,,0.100000,,,,0.100000,10.000000,1.155699,1.776587,,0.723697,,
Mi1,,8.909551,10.000000,0.100000,3.615931,,,0.100000,0.708347,1.113014,4.532224,0.100000,0.100000,3.403860,9.385909,3.256845,2.661134,10.000000,0.100000,,,,,,1.730666,0.100000,1.916901,0.100000,0.100000,0.100000,0.100000,0.100000,9.998113,,2.186040,10.000000,5.515409,5.717416,2.666078,,0.100000,9.983765,4.944794,,,0.100000,,10.000000,1.023211,0.100000,0.100000,0.100000,0.100000,0.200014,0.100000,0.339367
Tm3,,,,1.151973,0.100000,,,,0.731311,0.296578,0.100000,0.100000,0.100000,10.000000,4.957630,5.520608,,,0.100000,,,0.950213,,1.013070,,1.500776,7.380059,0.100000,0.100000,0.100000,0.100000,0.100000,,,0.100000,5.747893,0.100000,,,1.723599,,,8.481185,,,,10.000000,,10.000000,0.100000,0.100000,3.806221,,0.100000,,
Mi4,,,,,0.172748,10.000000,,0.176200,0.100000,0.431337,0.100000,0.167524,10.000000,0.100000,0.100000,0.100000,0.554014,0.377792,5.939107,0.753202,,,,,0.100000,,8.911290,,10.000000,10.000000,10.000000,10.000000,9.918886,,0.100000,,0.100000,,0.100000,10.000000,10.000000,,3.512458,0.100000,5.730928,3.452987,0.100000,2.937067,0.100000,,10.000000,0.100000,1.027669,0.595569,,
Mi9,,,,,,0.100000,0.100000,,0.100000,0.100000,1.384390,,0.100000,10.000000,6.816644,10.000000,0.100000,3.077979,1.639400,0.100000,,,,,,10.000000,0.100000,0.100000,0.100000,,2.336640,0.100000,9.435738,,0.100000,,0.100000,10.000000,,4.261517,10.000000,5.161070,0.100000,1.590372,0.100000,,1.038360,,0.107879,0.992988,,0.100000,0.100000,8.707886,0.100000,
T4a,,,,,,,,,,,,0.100000,2.022624,1.002058,0.100000,0.973375,,,,,10.000000,,,,,,,,,6.965920,,,,,,0.181230,,,,,,,0.100000,,,,,,,0.100000,,,,,10.000000,0.100000
T4b,,,,,,,,,0.100000,,0.100000,0.100000,10.000000,3.631342,,1.011347,,,,,,9.093614,,,,,,,,,,,,,,0.100000,,,,,,,10.000000,,,,,,0.100000,10.000000,0.580438,,,,,
T4c,,,,,,,,,,,,0.828300,,,8.207565,,,,,,,,0.557101,0.100000,,9.999812,,,,,,,,,,,,,,,,,,,,,,,,1.263259,0.100000,,10.000000,3.817975,,
T4d,,,,,,,,,0.163721,,,,,,1.041221,4.358751,,,,,,,,4.204336,,,,,,,,,,,,,,,,,,,,,,,,,,6.510379,7.847486,,3.416634,0.279967,,
Tm1,,,,,0.100000,,,0.921412,0.100000,0.100000,0.100000,0.328678,,,0.996461,,0.100000,0.100000,0.100000,0.348966,5.882212,9.866204,1.550871,2.836779,1.818289,0.100000,0.100000,6.523703,0.100000,2.144059,,10.000000,2.136299,,10.000000,0.100000,,0.100000,0.100000,10.000000,0.100000,0.100000,0.100000,4.831460,,,10.000000,10.000000,,5.305763,,0.720579,0.100000,0.989360,0.826450,0.100000
Tm2,,,,0.100000,0.100000,,,3.028239,9.357245,0.100000,0.100000,1.050648,9.364682,,0.727406,,0.498605,,0.100000,2.139718,4.453705,10.000000,9.577272,0.100000,0.100000,0.100000,2.311961,0.100000,,0.250448,2.887586,10.000000,9.967544,,,0.100000,,,0.100000,,,0.100000,0.100000,,,,,,0.100000,0.100000,0.100000,0.100000,4.188071,9.660021,0.100000,0.683784
Tm4,,,,,3.424646,,,,1.048370,0.100000,0.100000,,,,,,0.696077,0.100000,0.100000,,7.287913,2.544109,10.000000,0.100000,10.000000,0.100000,0.100000,10.000000,10.000000,0.459308,,0.444607,,,0.100000,0.100000,0.479126,,7.341802,,,0.100000,0.100000,,,,,,9.895540,0.100000,0.100000,0.100000,,0.533929,,10.000000
Tm9,,,,,,0.100000,,,,,0.100000,0.100000,,,,,0.100000,2.735806,0.100000,0.553291,4.492345,2.897621,0.100000,0.804032,,3.563675,0.991359,,,,,,0.677528,,,,,,,,2.984287,9.069323,,,,5.980717,0.100000,,,2.531312,0.335802,,10.000000,,10.000000,0.351154
T5a,,,,,,,,,,,,,0.100000,,,,,0.100000,,,9.112009,10.000000,,,,0.787869,,,,,,,,,,,,,,,,,6.845584,,,,,,,4.466527,,,,0.100000,0.253204,1.284041
T5b,,,,,,,,,,,,,,0.100000,,,,,,,7.965809,0.264903,,,,0.100000,,,,,,,,,,,,,,,,,,,,,,,0.100000,8.765257,0.100000,,,0.949843,,
T5c,,,,,,,,,,,,,,,7.070149,,,,,,,1.030378,9.175251,0.100000,,5.150129,,,,,,,,,,,,,,,,,,,,,,,,0.100000,0.100000,,0.506790,7.016430,,
T5d,,,,,,,,,,,,,,,1.364646,1.016845,,,,,,,,0.100000,,10.000000,,,,,,,,,,,,,,,,,,,,,,,,1.772183,7.118451,,0.100000,0.591359,,
T1,0.100000,10.000000,0.100000,,0.240737,0.157745,,0.100000,,,,1.670206,,,,,1.369235,3.394125,0.100000,,,,,,,,,,,,,,,0.109501,,,,,,,0.793387,,,,,,,,,,,,1.013097,,,
T2,,,,,,,,3.725898,0.689235,0.100000,,0.654070,,,,,0.100000,3.955865,1.687031,,,,,,,0.100000,0.100000,10.000000,,,,0.559103,,,,,10.000000,,,,,0.100000,5.185802,,0.100000,0.100000,,,0.100000,0.100000,0.100000,9.339972,,0.100000,1.032092,0.142477
T2a,,,,,,,,,0.100000,0.177310,,,,,,,0.100000,,0.100000,,,,,,,0.100000,0.100000,0.100000,9.999163,,,0.100000,7.898053,,3.638037,0.100000,,,,,0.739486,10.000000,,0.100000,5.716322,,0.100000,,,0.100000,9.113962,,0.100000,0.100000,0.100000,0.966290
T3,,,,,,,,,,0.139228,,,,,,0.952898,0.137075,,,,,,,,,0.121221,10.000000,2.082513,,8.464008,,4.177189,,,,,,,0.100000,,,0.100000,,,,,10.000000,,,,,,,0.709273,,0.100000
C2,0.100000,0.100000,0.100000,0.160393,0.100000,2.138710,0.287072,0.113453,0.100000,,0.100000,,,,,,0.200576,,,0.605385,,,,,0.100000,0.100000,1.717711,1.659194,0.100000,10.000000,,,,1.625427,,,,0.100000,8.048458,0.100000,,,9.676286,,,,,,,,,,,,,
C3,1.778889,,,0.100000,0.100000,6.398444,0.100000,0.100000,3.223562,2.703453,0.100000,4.548254,0.248594,0.100000,0.100000,0.100000,3.651405,1.135255,6.874804,4.089496,,,,,0.837880,2.033956,0.100000,3.294059,0.100000,,,,,2.567734,,10.000000,,10.000000,0.100000,,10.000000,0.100000,0.100000,,,,,,,8.169741,,,,,,
Lawf1,0.100000,,,0.603779,4.274118,0.875636,,0.100000,,8.651329,,0.100000,,,,,,,,,,,,,4.585588,,,,,,0.100000,,,0.113811,,,,,,,,,,,,,,,,,,,,,,
Lawf2,0.100000,,,8.219889,0.100000,0.144493,,1.365986,,,,,,,,,0.100000,0.100000,,0.100000,,,,,10.000000,,,,1.230912,1.121364,1.042663,,,0.100000,,3.645397,0.100000,,,,,,,,,,,,,9.999802,,,,0.100000,,
Dm3v,,,,,,,,,,,0.100000,0.100000,,,,,0.100000,0.492885,,,,,,,,,0.100000,,,,,,0.100000,,,,,,,,7.460201,0.100000,,,,,10.000000,,,,,,10.000000,0.100000,0.100000,0.100000
Lai,0.100000,,,9.174003,2.887619,0.100000,,0.938776,,,,,,,,,,,,,,,,,3.531532,,,,,1.402928,,,,1.899093,,,,,,,,,,,,,,,,,,,,,,
Mi10,,,,,,0.100000,,,,,0.100000,0.100000,10.000000,,10.000000,0.966223,,0.100000,10.000000,,,,,,,0.100000,,,,,0.100000,,,,1.822226,,0.100000,0.100000,,0.100000,,,0.100000,,3.554247,,,,9.862072,,,,,,,
Mi13,,,,,,,0.100000,10.000000,0.100000,0.100000,,0.391666,,,,,0.809675,0.733359,1.295210,0.100000,,,,,0.100000,0.100000,0.100000,,,,,,,,,,,,,,9.424786,,,,10.000000,,,,,,,,,0.997720,,
Mi14,,,,,0.100000,,,0.100000,,,,0.100000,,,,,0.100000,0.100000,0.100000,,,,,,10.000000,0.100000,,7.801935,,,,,,,,0.100000,,,,,1.042369,,0.100000,,,,,,,,,10.000000,,3.732088,,
Mi15,,,,,,,,,,,0.100000,,,,,,,,4.246012,,,,,,0.100000,,0.100000,,,0.100000,10.000000,,,,8.753643,,0.100000,0.100000,0.100000,,,10.000000,0.989691,10.000000,,8.443412,,,,,,,,1.100718,,
Mi2,,,,,,,,,0.529908,,,,,,,,4.027892,,3.834682,,,,,,,4.059962,7.686287,3.346570,,,,,,,,,4.864168,,,,0.355265,10.000000,0.100000,,,,,0.100000,,,,,,0.999680,,
Tm16,,,,,,,,,5.962401,,0.100000,0.610135,,,,,0.957185,0.101879,0.100000,4.401962,,,,,,10.000000,,,,10.000000,9.273213,0.100000,,,0.105000,,,,,,0.100000,10.000000,10.000000,,,0.100000,10.000000,0.100000,0.100000,0.100000,0.100000,,,4.356220,,8.295487
Tm20,,,,,,,,,,,1.420344,0.274273,,,,,0.427315,0.100000,,1.876408,,,,,7.581371,0.100000,10.000000,,,10.000000,,,,,,,,,1.862851,0.100000,0.100000,10.000000,0.980995,9.302986,,9.949309,7.784438,0.100000,0.101066,,,0.100000,10.000000,0.100000,0.992378,
Tm21,,,,,,,,,4.184990,,,,,,,,0.100000,,,,,,,,,9.262111,10.000000,,,,,,,,,,1.031220,,4.820180,,,5.356864,,,,,,,,,10.000000,,,0.100000,,
Tm27,,,,,,,,,,,0.425599,6.344869,,,,,,,0.100000,,,,,,,0.100000,,,,,,,,,9.565008,,,,,,,8.941764,10.000000,,,,,,,,0.100000,,,5.773302,,
Tm5a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.459070,,,9.738727,,0.512739,1.739436,,,,,,,10.000000,,
Tm5b,,,,,,,,,,,0.100000,,,,,,10.000000,,,,,,,,,,,,,,,,,,0.100000,,,3.888485,,0.100000,0.100000,,,10.000000,2.183959,10.000000,0.100000,,8.764563,,,0.100000,,0.100000,,
Tm5c,,,,,,,,0.100000,,,0.100000,,,,,,0.482945,,,,,,,,,,3.418394,,,,,,,,,0.100000,1.036241,1.172806,0.106968,,7.218256,1.424992,2.253802,2.858104,3.713730,0.100000,10.000000,10.000000,,,,0.100000,0.100000,3.251794,9.104030,
Tm5f,,,,,,,,,,,0.100000,,,,,,,,0.100000,,,,,,,,,0.592623,,,,,,,10.000000,,,,,,1.251526,,,7.667599,3.314599,,0.100000,2.116090,0.100000,,10.000000,,0.998523,6.094682,,
TmY10,,,,,,,,,,,0.583437,,,,,,,,,0.100000,,,,,,,9.158004,,,,0.100000,9.352513,2.013395,,,,,,0.100000,0.100000,0.100000,,,0.100000,,0.691230,10.000000,10.000000,3.292496,,,,0.100000,,2.780740,0.436314
