cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp,a_h,v_th_ca,a_ca,tau_ca,v_pre,v_onset,v_spot_end,delta_v,v_ca_pre,v_ca_onset,v_ca_spot_end,delta_v_ca,ca_pre,ca_onset,ca_spot_end,delta_ca
0,R1-6,0.951262,70.505272,0.698693,0.227349,-0.370877,-49.197536,12.665742,206.623306,0.000000,-50.000000,1.014192,351.342682,19.517712,19.572536,23.245905,3.673368,70.504326,70.559921,74.285431,3.725510,70.504326,70.505280,70.673920,0.168640
1,R7,1.009514,69.313629,0.698693,0.271297,-1.050937,-49.090553,15.020092,190.133575,0.000000,-50.000000,1.009848,347.616882,18.636854,18.684563,22.151297,3.466734,69.312798,69.360970,72.861847,3.500877,69.312798,69.313622,69.468895,0.155273
2,R8,1.004563,69.530441,0.698693,0.101688,-0.730667,-49.153008,10.389287,190.466446,0.000000,-50.000000,1.007872,345.386200,18.986261,19.046854,22.908627,3.861773,69.529358,69.590424,73.482597,3.892174,69.529358,69.530441,69.716690,0.186249
3,L1,1.760935,11.466988,0.698693,0.100000,-1.407250,-48.903614,12.036757,205.934311,1.000000,-35.971626,0.331757,350.723755,-1.407250,-1.407384,-1.430575,-0.023191,11.466988,11.466942,11.459249,-0.007693,11.466988,11.466988,11.466743,-0.000244
4,L2,1.680477,15.005733,0.698693,0.100000,-0.709462,-49.078770,12.129739,212.022949,0.998674,-62.687901,0.242116,353.546021,-0.710404,-0.710630,-0.740365,-0.029736,15.005733,15.005676,14.998478,-0.007198,15.005733,15.005733,15.005506,-0.000227
5,L3,1.846735,5.442882,0.698693,0.204855,-0.835536,-49.139530,10.910575,200.122650,0.000000,-54.427090,0.100000,349.731873,0.001690,0.003678,-0.001423,-0.005101,5.442878,5.443077,5.442567,-0.000510,5.442878,5.442882,5.442880,-0.000001
6,L4,1.848479,6.753850,0.698693,0.100000,-1.086321,-49.134022,10.016212,210.955887,1.000000,-57.833981,0.119015,344.756226,-1.086321,-1.086323,-1.086331,-0.000008,6.753850,6.753850,6.753850,0.000000,6.753850,6.753850,6.753850,0.000000
7,L5,1.639175,32.283260,0.698693,0.422202,-0.320421,-49.301929,10.011777,208.903839,0.498730,-46.521378,0.687632,337.468201,0.427009,0.429810,0.431451,0.001641,32.283226,32.285152,32.286282,0.001129,32.283226,32.283264,32.283443,0.000179
8,Mi1,1.851245,9.774683,0.698693,0.686511,-0.962093,-49.329174,10.000000,200.315598,0.000000,-46.415012,0.206642,337.660492,0.887384,0.891329,0.891303,-0.000026,9.774667,9.775482,9.775477,-0.000005,9.774667,9.774683,9.774743,0.000060
9,Tm3,1.759577,20.691959,0.698693,0.100000,-0.623767,-49.091957,10.000000,197.959015,0.000000,-33.347179,0.606089,336.763733,0.792878,0.798226,0.801298,0.003073,20.691900,20.695141,20.697004,0.001863,20.691900,20.691957,20.692268,0.000311
10,Mi4,1.826967,10.945135,0.698693,1.028841,-0.944796,-49.435032,10.000000,195.744522,0.000000,-38.980473,0.279650,336.853241,0.157811,0.179897,0.209447,0.029550,10.945029,10.951206,10.959470,0.008264,10.945029,10.945135,10.945889,0.000753
11,Mi9,1.711646,37.136940,0.698693,1.087075,-0.221510,-49.440712,10.000000,194.450516,0.000000,-56.907837,0.660125,344.590210,-0.650364,-0.654790,-0.659195,-0.004405,37.136990,37.134071,37.131161,-0.002911,37.136990,37.136936,37.136623,-0.000313
12,T4a,0.999971,49.972355,0.698693,0.100000,-1.076193,-49.134468,10.730271,203.064636,0.000000,-50.000000,1.038237,354.190430,-1.868035,-1.870541,-1.872298,-0.001756,49.972397,49.969795,49.967972,-0.001823,49.972397,49.972351,49.972107,-0.000244
13,T4b,0.973311,48.001869,0.698693,0.100000,-1.114794,-48.954002,10.961931,194.820099,0.000000,-50.000000,1.003054,354.483185,-2.144251,-2.147640,-2.150094,-0.002454,48.001923,47.998528,47.996063,-0.002464,48.001923,48.001865,48.001537,-0.000328
14,T4c,0.997946,46.438435,0.698693,0.306969,-1.125765,-49.155392,10.103387,203.008453,0.000000,-50.000000,0.962822,345.921173,-1.768399,-1.770640,-1.772168,-0.001528,46.438469,46.436314,46.434841,-0.001472,46.438469,46.438435,46.438225,-0.000210
