cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp,a_h,v_pre,v_onset,v_spot_end,delta_v
0,R1-6,0.996061,3.710157,2.837640,1.594958,-15.613306,-34.682083,10.000000,196.457962,0.000000,3.654830,3.710157,7.610428,3.900270
1,R7,1.046391,-14.009325,2.837640,10.000000,-32.961243,-17.152773,43.950516,196.682037,0.000000,-14.026143,-14.009325,-11.326238,2.683087
2,R8,0.981734,-0.372715,2.837640,4.505045,-20.221451,-29.838837,44.417873,194.446930,0.000000,-0.391451,-0.372715,2.279025,2.651740
3,L1,2.000000,-20.771135,2.837640,3.226665,-20.734446,-29.754314,15.978718,219.434250,1.000000,-20.734447,-20.771135,-24.533531,-3.762396
4,L2,1.900745,-28.881777,2.837640,3.944855,-22.607082,-27.563326,10.000000,218.421524,0.918347,-28.823269,-28.881777,-36.454605,-7.572828
5,L3,1.561752,-28.295467,2.837640,1.307379,-19.962896,-30.128077,10.000000,192.100845,0.000000,-28.164719,-28.295467,-31.533131,-3.237663
6,L4,0.833402,-12.846934,2.837640,0.433704,-12.734495,-37.581207,10.000000,220.790512,0.776777,-12.842224,-12.846934,-13.148959,-0.302025
7,L5,1.988452,-23.104237,2.837640,1.721058,-21.583082,-28.681486,10.000000,194.236832,0.959408,-23.123333,-23.104237,-15.589607,7.514629
8,Mi1,2.000000,-33.969681,2.837640,2.326746,-14.578684,-35.303001,10.000000,192.295456,0.000000,-33.885178,-33.969681,-26.048492,7.921188
9,Tm3,1.658466,-11.014823,2.837640,1.188249,-7.779396,-42.503086,10.000000,205.560059,0.000000,-10.978684,-11.014823,0.635633,11.650456
10,Mi4,2.000000,-18.792799,2.837640,2.887107,-20.312378,-29.958431,10.000000,202.027008,0.000000,-18.551737,-18.792799,-11.868997,6.923802
11,Mi9,2.000000,-33.338783,2.837640,7.031714,-23.053558,-26.658699,16.914663,205.682495,0.000000,-33.635044,-33.338783,-37.082573,-3.743790
12,T4a,0.983327,-26.615026,2.837640,2.009032,-19.536617,-30.166920,10.000000,208.683334,0.000000,-26.911465,-26.615026,-29.300589,-2.685562
13,T4b,1.029076,-0.263661,2.837640,0.868150,-3.235824,-46.642071,10.000000,194.497223,0.000000,-1.169417,-0.263661,1.107378,1.371039
14,T4c,0.999661,-9.668658,2.837640,0.100000,-3.360317,-46.240967,10.000000,199.616135,0.000000,-9.874822,-9.668658,-10.928354,-1.259696
15,T4d,0.990095,26.068012,2.837640,9.920849,19.254375,-69.210358,18.954878,206.991928,0.000000,26.172895,26.068012,31.988281,5.920269
16,Tm1,1.969515,-25.489504,2.837640,1.277518,-24.254829,-25.510731,11.805609,199.486298,0.000000,-25.487514,-25.489504,-26.209824,-0.720320
17,Tm2,2.000000,-27.705948,2.837640,3.548603,-28.701027,-21.429399,10.000000,198.897614,0.000000,-27.663916,-27.705948,-28.049759,-0.343811
18,Tm4,1.928379,-16.680929,2.837640,1.662668,-16.264837,-33.445660,10.000000,195.473221,0.000000,-16.645596,-16.680929,-17.380722,-0.699793
19,Tm9,0.979417,-4.466439,2.837640,1.556830,1.287195,-51.625233,10.000000,201.642517,0.000000,-4.691255,-4.466439,-7.744197,-3.277758
20,T5a,0.960158,102.733002,2.837640,4.174625,1.536915,-51.430393,26.011890,202.061081,0.000000,101.447014,102.733002,105.183983,2.450981
21,T5b,0.956090,200.000000,2.837640,8.590784,3.475825,-53.287418,15.950640,201.258499,0.000000,261.184082,285.649506,441.872986,156.223480
22,T5c,0.958969,2.479650,2.837640,3.389508,-1.667221,-48.337997,10.000000,200.828384,0.000000,2.491595,2.479650,2.293384,-0.186267
23,T5d,0.996830,32.062653,2.837640,6.238493,-2.571498,-47.347672,37.647034,194.253738,0.000000,31.999182,32.062653,31.401928,-0.660725
24,T1,1.028889,-75.276802,2.837640,0.532377,-8.404087,-41.751514,10.000000,209.269180,0.000000,-76.496658,-75.276802,-91.899551,-16.622749
25,T2,1.018010,-4.292146,2.837640,1.085099,-6.421482,-43.549114,27.274612,209.801865,0.000000,-4.486986,-4.292146,-2.333986,1.958160
26,T2a,1.031673,-25.451759,2.837640,1.821580,-14.908568,-34.831169,18.010580,209.424728,0.000000,-25.311285,-25.451759,-26.229136,-0.777376
27,T3,1.040668,-10.447655,2.837640,1.396791,-8.635717,-41.062336,33.731190,192.525299,0.000000,-10.439056,-10.447655,-10.875734,-0.428080
28,C2,1.017020,-23.412321,2.837640,1.488344,-1.464944,-48.457958,30.296131,194.550262,0.000000,-23.366943,-23.412321,-18.596006,4.816315
29,C3,1.043756,-26.415764,2.837640,1.170393,-1.465156,-49.006191,10.000000,199.010391,0.000000,-26.323057,-26.415764,-20.165964,6.249800
30,Lawf1,1.001418,107.364861,2.837640,0.289464,-8.093917,-41.810555,10.000000,199.115219,0.000000,98.383606,107.364861,136.264191,28.899330
31,Lawf2,1.032048,-16.131527,2.837640,2.241156,-1.741745,-48.681252,18.643526,193.738327,0.000000,-15.673154,-16.131527,-20.898066,-4.766539
32,Dm3v,0.973990,-6.064820,2.837640,2.188833,-3.436790,-46.570843,10.000000,209.530960,0.000000,-6.287363,-6.064820,-9.255704,-3.190884
33,Lai,0.966735,-126.724060,2.837640,0.100000,-1.423675,-48.961117,10.336946,208.772034,0.000000,-125.478012,-126.724060,-141.706055,-14.981995
34,Mi10,1.045217,26.069178,2.837640,1.604099,-13.570705,-36.023628,10.000000,199.972076,0.000000,22.819098,26.069178,36.579853,10.510675
35,Mi13,0.973812,-25.499174,2.837640,0.276209,-4.086795,-46.082054,21.398861,204.704849,0.000000,-24.999624,-25.499174,-29.630533,-4.131359
36,Mi14,0.960712,28.411970,2.837640,3.650314,-1.853468,-48.479656,27.035301,192.697067,0.000000,28.480818,28.411970,27.620220,-0.791750
37,Mi15,1.041262,-13.420580,2.837640,0.502960,-1.589781,-48.359055,33.159012,190.956635,0.000000,-13.366834,-13.420580,-13.564081,-0.143501
38,Mi2,0.994366,-10.783360,2.837640,2.681743,-6.795448,-43.153927,10.000000,200.813919,0.000000,-10.703245,-10.783360,0.572111,11.355470
39,Tm16,1.028054,-34.340191,2.837640,0.587737,-7.137399,-43.229446,10.000000,191.376984,0.000000,-35.496304,-34.340191,-47.944839,-13.604649
40,Tm20,1.045816,-38.933586,2.837640,1.491118,-11.029569,-38.834671,10.000000,205.976120,0.000000,-38.791634,-38.933586,-43.654209,-4.720623
41,Tm21,0.955446,-37.422741,2.837640,1.341456,-0.328187,-49.323792,10.000000,194.614410,0.000000,-37.601036,-37.422741,-43.876492,-6.453751
42,Tm27,1.002939,-3.707028,2.837640,0.141653,-10.396917,-39.586220,10.000000,192.027100,0.000000,-4.082103,-3.707028,-2.778248,0.928780
43,Tm5a,1.015933,-33.071270,2.837640,9.541594,8.943790,-59.101952,26.340673,198.666992,0.000000,-32.912735,-33.071270,-42.557205,-9.485935
44,Tm5b,0.959455,-9.194859,2.837640,3.681464,-1.985239,-47.710030,10.026707,199.724915,0.000000,-10.688708,-9.194859,-5.216286,3.978573
45,Tm5c,1.022993,-0.267707,2.837640,5.506223,3.277076,-53.355190,10.000000,203.092987,0.000000,-0.008681,-0.267707,-2.290469,-2.022762
