,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,8.952423,,,2.673089,1.088795,0.780356,2.010905,,,,,,,,,,,,,,,,,,6.424847,,,,7.617062,0.100000,,,,4.003765,,,,,,,,,,,,,,,,,,,,,,
R7,,,1.372703,9.641036,,1.014957,,,0.234608,,0.100000,0.100000,,,,,,,,,,,,,,,,,,0.100000,10.000000,,,0.100000,3.783534,,,0.100000,10.000000,,0.100000,,0.100000,0.708153,1.307937,0.314843,10.000000,,,,,,,,,
R8,,1.084070,3.638088,10.000000,0.100000,0.129375,,0.100000,0.100000,,0.100000,0.100000,,,,,,,,,,,,,0.100000,,,,0.100000,0.100000,0.100000,4.072539,,,0.255993,,10.000000,0.100000,7.034669,,2.744173,1.610505,,,0.400308,1.373672,,5.749797,,10.000000,,,,,1.044257,
L1,0.100000,0.100000,0.100000,0.100000,0.312556,0.100000,0.100000,1.977254,1.738104,3.349468,0.100000,,,,,,0.100000,0.100000,,,,,,,10.000000,1.770762,10.000000,,4.026893,2.674670,,10.000000,,5.951741,,,,10.000000,10.000000,,,,0.164810,,,,,,,,,10.000000,,,,
L2,5.249466,,8.761924,0.100000,0.331898,8.037289,4.602354,1.171347,0.100000,0.100000,0.100000,2.043034,,,,,0.735309,1.043708,2.374209,,,,,,0.100000,0.100000,9.996422,,9.201544,0.963317,,,,0.100000,,0.100000,0.160158,,0.100000,,9.219867,,,,0.100000,,,,,,,0.100000,,,,
L3,,0.100000,0.100000,0.100000,0.100000,,,,1.932672,,0.100000,0.289716,,,,,0.234160,0.920987,10.000000,2.151438,,,,,0.100000,,,,0.100000,9.842981,4.844022,,1.168036,,0.100000,1.799256,,2.707622,0.100000,10.000000,0.100000,0.983543,0.100000,5.580010,0.100000,2.230344,2.906191,8.061483,,,,,1.009994,,10.000000,0.100000
L4,5.974684,,,0.100000,0.100000,1.337592,0.100000,0.100000,0.100000,,,0.100000,,,,,0.442026,0.513551,0.100000,0.100000,,,,,,0.100000,,,,0.100000,10.000000,10.000000,,,,10.000000,10.000000,,,,,,3.609836,,,,,,,,,9.997321,,,,
L5,,,,5.670224,2.467033,,,0.100000,0.181791,1.114168,0.100000,0.100000,,,,,0.100000,0.100000,0.100000,,,,,,1.373509,0.100000,0.100000,,0.100000,0.100000,10.000000,0.249537,,0.807666,10.000000,10.000000,10.000000,7.885201,0.100000,,0.868362,0.273053,0.100000,,4.327521,,,,0.100000,3.075285,10.000000,0.100000,,10.000000,,
Mi1,,4.983222,10.000000,0.100000,10.000000,,,0.100000,0.794379,0.341885,5.983881,0.100000,2.264776,2.156207,2.081553,2.190381,0.100000,0.100000,7.714485,,,,,,2.979592,0.100000,7.570638,0.496797,2.386559,3.741744,10.000000,3.099488,0.130302,,0.100000,0.100000,0.100000,0.100000,10.000000,,10.000000,0.100000,3.610456,,,10.000000,,0.100000,0.972533,0.100000,0.100000,7.496373,3.075793,0.100000,0.200655,0.317689
Tm3,,,,0.100000,0.100000,,,,0.100000,0.917053,1.191555,0.296976,1.496517,2.026954,1.383829,1.886745,,,9.390377,,,1.001156,,1.016023,,3.661879,10.000000,3.124261,10.000000,10.000000,6.917248,0.100000,,,1.739360,10.000000,0.100000,,,3.858581,,,1.432531,,,,0.100000,,6.451630,4.920623,0.100000,10.000000,,7.301277,,
