,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,1.903418,,,0.100000,0.100000,0.100000,0.100000,,,,,,,,,,,,,,,,,,0.100000,,,,1.937796,1.981651,,,,2.176489,,,,,,,,,,,,,,,,,,,,,,
R7,,,1.887108,0.100000,,0.100000,,,0.100000,,0.100000,0.100000,,,,,,,,,,,,,,,,,,2.027388,0.100000,,,2.253817,0.100000,,,0.100000,1.976479,,0.100000,,0.100000,0.129636,0.100000,1.998339,0.114847,,,,,,,,,
R8,,1.950975,1.973144,0.100000,0.100000,0.100000,,0.100000,0.100000,,0.100000,0.100000,,,,,,,,,,,,,0.160785,,,,1.893322,2.065799,0.100000,0.100000,,,0.100000,,1.991856,0.100000,1.977789,,0.100000,0.645409,,,0.100000,2.034575,,0.100000,,0.100000,,,,,1.027050,
L1,1.735078,0.159488,0.216844,1.866874,1.915022,0.120036,2.005955,2.092244,1.834766,1.109087,0.100000,,,,,,0.100080,1.679115,,,,,,,1.817803,1.662399,1.843474,,0.100000,0.164693,,1.991111,,2.214206,,,,0.100000,1.970660,,,,0.190276,,,,,,,,,1.275813,,,,
L2,1.951944,,1.745731,0.100000,0.100000,1.319599,0.127635,0.100000,0.100000,0.100000,0.100000,0.100000,,,,,0.100000,0.100000,0.100000,,,,,,0.247957,0.100974,0.196896,,0.367236,1.805996,,,,0.100000,,1.752223,1.972597,,1.772280,,0.145257,,,,0.144992,,,,,,,0.167415,,,,
L3,,1.715309,1.805743,0.100000,0.100000,,,,0.147116,,0.104035,0.113244,,,,,0.100000,1.952404,0.100000,0.100000,,,,,0.100000,,,,1.783035,1.822811,0.100000,,0.592065,,0.135597,1.805616,,0.962653,1.772521,0.135813,0.183870,1.021299,0.192526,0.100000,0.121067,1.792636,0.236311,0.173402,,,,,1.045162,,0.240203,0.328973
L4,0.279749,,,1.671278,0.210084,1.862702,0.186276,0.100000,0.194927,,,0.270253,,,,,0.221323,0.131395,0.161454,0.159146,,,,,,2.195511,,,,2.101725,0.111273,0.463469,,,,0.117306,0.297885,,,,,,0.268727,,,,,,,,,2.238948,,,,
L5,,,,0.100000,1.840669,,,0.122207,1.896707,1.225600,0.168741,0.100000,,,,,0.296517,0.159513,0.104461,,,,,,1.725195,2.168213,0.202387,,0.291398,0.329546,0.100000,2.238379,,0.100000,0.100000,0.100000,2.033094,0.232517,0.100000,,0.233945,1.887455,0.220516,,0.155937,,,,0.180096,1.798779,0.257815,2.064182,,1.869437,,
Mi1,,0.232741,1.798859,1.110885,1.769481,,,2.329486,0.822172,1.505957,0.171285,0.160562,0.180124,0.281736,0.236041,0.220648,1.626897,1.816983,0.168622,,,,,,1.714445,2.091122,1.708919,0.298268,0.213252,0.267814,0.100000,0.317417,0.195663,,0.100000,0.189091,1.327067,0.266253,0.215925,,0.258836,1.881447,0.305345,,,0.100000,,0.177671,0.955178,1.772245,0.147398,2.216161,0.447564,0.226995,0.231113,1.717429
Tm3,,,,0.256968,0.193177,,,,2.085763,0.638656,0.144579,0.112190,0.207678,0.196596,0.196611,0.167568,,,1.906479,,,1.042453,,0.963099,,2.033082,2.394484,0.383312,0.265974,1.677527,1.001978,0.370339,,,0.100000,0.112692,0.334540,,,0.557366,,,0.263106,,,,1.694270,,1.867603,1.851183,0.207578,2.089095,,1.874259,,
Mi4,,,,,0.265803,0.100000,,0.480641,2.111865,0.100000,0.100000,0.898092,0.100000,0.100000,0.273945,0.376174,0.181143,0.100052,0.254544,1.215841,,,,,2.122427,,2.001846,,1.502285,0.330334,1.960019,1.762369,1.742824,,0.122212,,0.115605,,2.066420,1.951730,1.849994,,1.822689,0.481720,0.199288,0.193399,1.759619,1.728304,1.757423,,1.842709,0.100000,1.020683,0.100000,,
