cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp_rise,tau_hp_fall,a_h,v_pre_mean_cell,v_onset_mean_cell,v_sti_end_mean_cell,delta_v_mean_cell
0,R1-6,0.973150,8.738708,2.893309,2.150825,-1.968334,-48.261612,12.627429,199.991821,194.514114,0.440025,8.704979,8.738708,23.909718,15.171009
1,R7,0.988669,0.348521,2.893309,5.654431,-4.896316,-44.864498,10.000000,190.963013,210.767975,0.713721,0.326445,0.348521,12.510091,12.161570
2,R8,0.970440,5.502830,2.893309,3.952218,2.292675,-52.735611,24.597633,194.167114,220.122757,0.722170,5.499185,5.502830,16.840599,11.337769
3,L1,1.451636,-3.774405,2.893309,2.621580,-2.172701,-48.194210,13.125516,199.509491,201.931412,0.988992,-3.680391,-3.774405,-22.452181,-18.677776
4,L2,2.000000,-37.750301,2.893309,2.816697,-7.111238,-43.154682,10.000000,199.665817,215.882812,0.895982,-37.513004,-37.750301,-81.693375,-43.943073
5,L3,1.074953,-12.958266,2.893309,1.922968,-4.726265,-45.559422,10.036699,195.240463,198.262970,0.944580,-12.818971,-12.958266,-32.526241,-19.567975
6,L4,0.740877,1.515823,2.893309,1.093436,1.397522,-51.114704,13.093720,203.119186,181.967667,0.759212,1.586496,1.515823,-2.065856,-3.581678
7,L5,2.000000,-22.610628,2.893309,1.013936,-5.604916,-44.627052,21.383411,209.627258,217.175125,0.823106,-22.606838,-22.610628,4.648099,27.258728
8,Mi1,2.000000,-27.397995,2.893309,2.281155,-6.154942,-44.251835,18.142624,203.862915,164.802902,0.857341,-27.417627,-27.397995,10.951602,38.349597
9,Tm3,1.481936,-13.563766,2.893309,1.492874,-3.775944,-46.607399,11.394115,209.252258,208.627853,0.803494,-13.545418,-13.563766,11.039918,24.603683
10,Mi4,0.874149,6.653537,2.893309,4.726528,6.668008,-56.625977,14.282647,213.879272,190.736328,1.000000,6.668008,6.653537,23.895782,17.242246
11,Mi9,1.361270,-12.761210,2.893309,1.625908,-3.762017,-46.185116,10.052927,200.493530,222.928299,0.948279,-12.629172,-12.761210,-48.093876,-35.332665
12,T4a,0.784329,-8.551620,2.893309,1.276368,-8.306187,-41.648567,14.246593,206.141800,162.894485,0.976625,-8.546199,-8.551620,6.426340,14.977960
13,T4b,0.710247,-11.405815,2.893309,5.038931,-11.323956,-38.555317,13.386209,206.571564,166.309647,0.972837,-11.393368,-11.405815,2.283607,13.689423
14,T4c,0.690541,-3.083679,2.893309,0.100000,-2.958593,-47.228565,13.354991,202.949478,160.735672,0.975245,-3.071941,-3.083679,10.089729,13.173408
15,T4d,0.677051,-6.959091,2.893309,2.264187,-6.883040,-43.310486,15.632849,195.795502,164.404175,0.983161,-6.954264,-6.959091,5.814138,12.773229
16,Tm1,1.565089,-9.938277,2.893309,1.687791,-7.298239,-43.046131,12.140425,196.499069,230.012222,0.836854,-9.689911,-9.938277,-21.976627,-12.038350
17,Tm2,2.000000,-13.991448,2.893309,1.671708,-15.410027,-34.668217,16.189051,202.442764,211.041275,0.492240,-13.792455,-13.991448,-17.193388,-3.201940
18,Tm4,1.386377,-16.426853,2.893309,1.587438,-9.588591,-40.183769,12.076344,198.132416,205.634979,0.883622,-16.300467,-16.426853,-30.469749,-14.042896
19,Tm9,0.692344,12.406157,2.893309,3.640318,16.324074,-66.093803,12.385274,193.776764,160.243256,0.959033,12.448735,12.406157,-0.320630,-12.726788
20,T5a,0.960737,44.533379,2.893309,4.588455,8.227053,-58.623402,19.254395,217.705475,208.107117,0.106817,44.858921,44.533379,21.143785,-23.389593
21,T5b,0.981440,7.669180,2.893309,6.618037,7.047718,-57.150814,11.811742,186.042786,181.546600,0.884573,7.669500,7.669180,7.259876,-0.409304
22,T5c,0.974529,8.672253,2.893309,2.408832,8.676147,-58.390438,10.000000,189.053329,155.962601,1.000000,8.676147,8.672253,8.939365,0.267113
23,T5d,1.013884,43.589680,2.893309,1.762513,-6.159177,-44.257839,18.526970,197.787048,204.938980,0.085719,43.646828,43.589680,11.871722,-31.717957
24,T1,0.986469,-3.234299,2.893309,1.354309,-3.384333,-46.352661,10.000000,192.268784,213.172745,0.872751,-3.019531,-3.234299,-11.963286,-8.728987
25,T2,1.033637,-9.623273,2.893309,2.634429,-9.551265,-39.966251,12.073593,196.943985,221.154968,1.000000,-9.551265,-9.623273,40.151432,49.774705
26,T2a,0.981152,-10.858855,2.893309,2.798664,-10.814187,-38.850296,10.000000,196.729126,233.376785,1.000000,-10.814188,-10.858855,11.948624,22.807479
27,T3,1.034530,-19.737801,2.893309,5.288615,-19.615509,-30.789568,10.838522,202.464890,201.029785,1.000000,-19.615509,-19.737801,27.323452,47.061253
28,C2,1.005385,-25.093195,2.893309,1.279293,-1.488965,-48.997643,13.432518,197.400482,216.255615,0.311031,-24.944489,-25.093195,5.213534,30.306729
29,C3,0.980425,1.489977,2.893309,3.225162,0.987981,-50.692474,10.000000,224.605225,205.834503,0.975052,1.512874,1.489977,24.028551,22.538574
30,Lawf1,0.961722,32.242981,2.893309,3.775254,-5.328148,-44.410343,20.329779,211.093445,196.905075,0.000000,32.713917,32.242981,43.526001,11.283020
