cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp_rise,tau_hp_fall,a_h,v_pre_mean_cell,v_onset_mean_cell,v_sti_end_mean_cell,delta_v_mean_cell
0,R1-6,1.047503,-12.569613,3.122449,2.505244,-32.303307,-17.611217,10.000000,244.815857,150.030151,0.009946,-12.649302,-12.569613,7.161397,19.731010
1,R7,1.017861,-14.069329,3.122449,3.612907,-32.623615,-17.710499,70.423576,160.784012,218.073700,0.000000,-14.092854,-14.069329,3.657747,17.727076
2,R8,0.972778,2.829021,3.122449,0.100000,2.829674,-52.486382,82.318596,166.596344,100.000000,1.000000,2.829674,2.829021,10.006570,7.177549
3,L1,1.561972,-17.684246,3.122449,0.917051,1.035412,-50.687641,10.000000,216.678894,259.264587,0.249659,-16.527523,-17.684246,-89.149796,-71.465549
4,L2,2.000000,-48.354752,3.122449,1.800029,-17.817003,-32.619061,10.000000,183.291336,227.432098,0.260953,-46.440697,-48.354752,-189.693512,-141.338760
5,L3,0.723615,-28.779825,3.122449,1.075955,-20.419786,-29.743349,61.936398,252.035522,150.875015,0.427796,-28.547277,-28.779825,-74.168182,-45.388357
6,L4,0.500000,-25.035656,3.122449,0.116752,-24.874868,-24.952873,10.000000,332.019409,381.784088,0.631556,-24.990232,-25.035656,-26.074011,-1.038355
7,L5,1.237411,-25.420282,3.122449,0.532511,-21.492702,-28.214737,30.997810,127.670937,250.114639,0.904710,-25.945307,-25.420282,-11.032508,14.387774
8,Mi1,2.000000,-27.035540,3.122449,2.095737,-19.985989,-30.416361,47.235153,269.126740,298.150513,0.851951,-27.568235,-27.035540,8.243921,35.279461
9,Tm3,2.000000,-25.695984,3.122449,0.100000,-23.769938,-26.676743,41.258709,100.000000,100.000000,0.911913,-26.126392,-25.695984,6.956477,32.652461
10,Mi4,1.236465,-21.494629,3.122449,2.231969,-21.584743,-28.069456,47.808319,231.097214,306.961823,0.985090,-21.774281,-21.494629,-1.576254,19.918375
11,Mi9,1.339443,-24.076668,3.122449,6.942460,-17.580206,-32.135231,10.000000,111.872917,337.545197,0.223347,-23.366652,-24.076668,-52.519344,-28.442677
12,T4a,1.303225,-16.447536,3.122449,0.102075,-15.758661,-34.512108,42.487984,259.684906,100.000000,0.769337,-16.760561,-16.447536,18.615669,35.063206
13,T4b,1.227304,-27.998949,3.122449,4.166225,-26.779667,-23.084814,32.739109,264.131897,100.000000,0.671793,-28.397371,-27.998949,7.807879,35.806828
14,T4c,1.203665,-31.086252,3.122449,0.100000,-30.442518,-19.877766,34.086372,262.732849,100.000000,0.686815,-31.464579,-31.086252,3.620497,34.706749
15,T4d,1.108604,-24.936251,3.122449,3.848350,-24.682587,-25.622822,38.765263,283.962708,100.000000,0.818477,-25.162199,-24.936251,4.662343,29.598594
16,Tm1,2.000000,-24.952763,3.122449,0.567666,-25.045673,-25.092054,56.979721,248.940475,113.547295,0.999608,-25.054493,-24.952763,-25.503407,-0.550644
17,Tm2,2.000000,-25.103567,3.122449,0.363411,-25.124531,-25.340673,10.000000,164.821869,113.704292,0.975518,-25.330158,-25.103567,-21.825838,3.277729
18,Tm4,1.737986,-25.024065,3.122449,2.229898,-24.857265,-25.096075,10.000000,279.970123,116.763321,0.982930,-25.030092,-25.024065,-28.531916,-3.507851
