cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp_rise,tau_hp_fall,a_h,v_pre_mean_cell,v_onset_mean_cell,v_sti_end_mean_cell,delta_v_mean_cell
0,R1-6,1.014881,5.077892,1.794369,2.742370,-14.305263,-35.853294,21.011503,209.732971,195.015350,0.000000,5.030052,5.077892,24.596214,19.518322
1,R7,0.978277,10.832281,1.794369,6.583819,-7.784843,-42.456886,35.403172,190.113770,191.314667,0.000000,10.793430,10.832281,29.989943,19.157661
2,R8,0.971805,-2.474270,1.794369,9.121183,-14.286414,-35.676411,32.041878,193.166534,203.920563,0.000000,-2.468915,-2.474270,14.534737,17.009006
3,L1,2.000000,-12.506124,1.794369,2.451285,-12.450085,-37.743328,14.886082,203.406006,210.559494,1.000000,-12.450087,-12.506124,-45.527637,-33.021513
4,L2,2.000000,-26.948883,1.794369,2.861499,-19.449945,-30.512333,10.559925,220.220825,183.993011,0.916021,-26.909769,-26.948883,-55.410294,-28.461411
5,L3,1.997708,-30.871248,1.794369,2.624654,-21.921993,-27.900139,35.836037,217.945450,165.514359,0.895353,-30.794329,-30.871248,-53.610256,-22.739008
6,L4,0.825813,-15.015547,1.794369,2.537978,-15.480577,-34.443230,10.000000,203.944000,214.549744,0.602842,-14.973064,-15.015547,-16.411896,-1.396349
7,L5,1.701935,-1.243329,1.794369,2.041319,-1.274528,-49.123154,10.000000,212.417709,177.295517,1.000000,-1.274528,-1.243329,20.425657,21.668986
8,Mi1,2.000000,-34.117577,1.794369,4.548789,-15.720784,-34.180557,21.476841,223.428543,177.010223,0.455285,-34.062481,-34.117577,-2.956854,31.160722
9,Tm3,1.635414,-9.061806,1.794369,2.110571,-5.014882,-44.979858,10.000000,212.600937,186.868454,0.759772,-9.015194,-9.061806,14.682906,23.744712
10,Mi4,2.000000,0.270791,1.794369,1.328675,1.211418,-51.616383,10.000000,201.510300,198.206284,0.000000,0.564358,0.270791,33.078926,32.808136
11,Mi9,1.867479,-2.881254,1.794369,1.039765,0.865854,-50.670757,33.079830,206.969955,187.026749,0.000000,-2.909932,-2.881254,0.072249,2.953503
12,T4a,1.530965,-6.936511,1.794369,0.180632,-6.936468,-43.029678,31.364525,212.280472,238.635208,0.540037,-6.877711,-6.936511,14.123466,21.059976
13,T4b,1.484347,-7.513766,1.794369,1.300167,-7.651075,-42.578339,31.877853,205.912933,239.911728,0.492618,-7.453667,-7.513766,12.973998,20.487764
14,T4c,1.492116,-4.327696,1.794369,0.100000,-4.670103,-44.962101,32.331009,209.813217,225.581711,0.442616,-4.262681,-4.327696,16.674871,21.002568
15,T4d,1.877452,-11.302764,1.794369,1.807550,-11.697129,-37.905006,30.790808,221.500824,228.065231,0.424442,-11.219198,-11.302764,14.705073,26.007837
16,Tm1,2.000000,-27.319939,1.794369,3.570374,-22.668072,-27.252012,15.882520,220.335419,202.424301,0.626885,-27.399935,-27.319939,-32.762207,-5.442268
17,Tm2,1.334770,-6.537497,1.794369,0.100000,-6.519408,-43.947315,10.000000,198.313538,179.246033,1.000000,-6.519409,-6.537497,-7.339335,-0.801838
18,Tm4,2.000000,-25.571115,1.794369,5.083624,-24.508854,-25.581072,10.000000,207.304657,181.428589,0.780860,-25.599289,-25.571115,-31.115469,-5.544353
19,Tm9,1.005135,-6.101026,1.794369,0.100000,-6.193189,-44.198082,43.845249,207.283661,200.411102,0.000000,-6.085885,-6.101026,-6.936240,-0.835214
20,T5a,1.562160,-1.246195,1.794369,0.100000,-1.447005,-48.438362,10.000000,221.726227,180.856110,0.000000,-1.253032,-1.246195,-1.181697,0.064497
21,T5b,1.341665,0.171625,1.794369,0.295958,-0.259033,-50.102844,10.000000,205.478851,185.859177,0.000000,0.164323,0.171625,0.301608,0.129983
22,T5c,1.692092,-11.917210,1.794369,0.777093,-12.285850,-38.190968,12.133641,223.542557,190.761505,0.000000,-11.925512,-11.917210,-11.783719,0.133491
23,T5d,1.583578,1.427160,1.794369,1.840138,1.327281,-51.172226,10.431807,206.782547,181.558090,0.000000,1.421470,1.427160,1.483109,0.055949
24,T1,1.031994,-100.180611,1.794369,3.523652,-12.895144,-37.402748,18.882938,212.693192,187.811539,0.000000,-102.052429,-100.180611,-199.203003,-99.022392
25,T2,1.027314,3.863871,1.794369,1.311319,-11.347880,-38.623203,24.152634,225.989868,181.529495,0.000000,4.393172,3.863871,181.324921,177.461049
26,T2a,1.016243,-22.494104,1.794369,1.712976,-13.149273,-36.507172,26.356977,210.795135,208.588211,0.000000,-21.689663,-22.494104,90.968292,113.462397
27,T3,1.042100,-14.285291,1.794369,3.849677,-16.723675,-33.608894,10.000000,180.033752,219.023499,0.313609,-13.692863,-14.285291,74.492805,88.778096
28,C2,0.963928,-22.005789,1.794369,4.395620,1.688150,-51.249027,20.286596,207.642380,206.439209,0.000000,-21.945715,-22.005789,16.667395,38.673183
29,C3,1.040018,-33.247467,1.794369,4.408342,0.192298,-50.125298,10.000000,192.001526,205.989105,0.000000,-33.090912,-33.247467,-13.274330,19.973137
30,Lawf1,0.976616,-2.807797,1.794369,0.388339,-3.293107,-47.090313,17.238365,200.790314,192.957581,0.989455,-2.775084,-2.807797,6.845033,9.652830
31,Lawf2,1.029229,4.333580,1.794369,2.505158,4.369947,-54.377430,10.000000,176.130417,156.882477,1.000000,4.369946,4.333580,20.070984,15.737403
