,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,10.000000,,,2.570330,1.548354,2.269280,0.100000,,,,,,,,,,,,,,,,,,10.000000,,,,10.000000,4.855414,,,,3.572158,,,,,,,,,,,,,,,,,,,,,,
R7,,,1.626157,10.000000,,4.769513,,,0.100000,,0.163960,0.115288,,,,,,,,,,,,,,,,,,0.100000,10.000000,,,0.100000,0.100000,,,0.100000,7.376103,,0.100000,,0.100000,0.100000,3.723277,9.983356,9.998880,,,,,,,,,
R8,,0.418534,8.177081,10.000000,0.100000,3.656163,,0.100000,0.100000,,0.100000,0.100000,,,,,,,,,,,,,6.667454,,,,2.384103,0.263596,10.000000,10.000000,,,8.461074,,0.100000,0.100000,9.817445,,1.140415,0.140105,,,0.145346,7.096537,,5.089272,,10.000000,,,,,1.048718,
L1,0.100000,0.100000,0.100000,0.100000,0.100000,6.321720,0.100000,1.885930,1.949138,1.571476,0.368518,,,,,,0.100000,0.100000,,,,,,,10.000000,10.000000,10.000000,,4.424548,3.745621,,0.100000,,0.100000,,,,1.589180,10.000000,,,,0.100000,,,,,,,,,0.100000,,,,
L2,10.000000,,0.100000,0.100000,7.460031,0.100000,5.097509,0.100000,0.100000,0.100000,0.100000,1.578930,,,,,0.538173,1.136711,1.359674,,,,,,0.100000,0.100000,2.875329,,10.000000,0.100000,,,,3.222208,,10.000000,0.100000,,0.100000,,1.800296,,,,8.860483,,,,,,,7.516619,,,,
L3,,0.100000,1.680614,0.100000,0.100000,,,,2.062624,,1.414441,0.873706,,,,,4.712865,10.000000,10.000000,4.325689,,,,,4.386117,,,,0.100000,0.100000,10.000000,,0.115557,,10.000000,0.100000,,0.100000,0.100000,10.000000,0.100000,1.001467,0.100000,3.263652,0.100000,2.524885,10.000000,0.537791,,,,,1.013109,,4.440210,4.740386
L4,10.000000,,,0.100000,0.100000,0.100000,0.100000,0.100000,1.716504,,,0.261150,,,,,0.175845,1.212099,0.100000,0.100000,,,,,,0.100000,,,,0.100000,10.000000,0.100000,,,,6.172973,10.000000,,,,,,10.000000,,,,,,,,,8.359153,,,,
L5,,,,4.857454,6.281030,,,0.100000,0.100000,0.100000,0.100000,0.100000,,,,,0.181861,4.172859,0.100000,,,,,,0.100000,3.696916,0.100000,,1.673014,0.100000,7.696712,0.100000,,0.467207,10.000000,10.000000,0.100000,0.100000,0.100000,,5.502002,0.100000,10.000000,,2.926192,,,,0.100000,0.100000,10.000000,1.943032,,10.000000,,
Mi1,,0.455130,5.575120,0.916299,0.100000,,,4.248156,0.291925,1.719709,7.985341,3.475130,2.059073,2.236892,1.870754,2.066311,0.100000,2.016535,0.950115,,,,,,3.335425,3.876955,8.267920,6.971188,0.100000,0.100000,7.926794,7.846020,10.000000,,6.962600,10.000000,10.000000,10.000000,0.100000,,10.000000,0.100000,9.266199,,,8.156381,,5.390571,0.959993,10.000000,0.100000,10.000000,4.313286,0.100000,0.654223,4.138981
Tm3,,,,0.100000,0.100000,,,,0.100000,0.100000,0.100000,0.100000,0.323233,0.255218,0.366908,0.220878,,,3.451776,,,0.100000,,0.100000,,4.191104,10.000000,0.100000,0.100000,10.000000,0.100000,7.671326,,,0.100000,0.956183,1.503231,,,10.000000,,,6.177384,,,,0.395900,,0.100000,2.172102,3.746363,7.561467,,0.100000,,
Mi4,,,,,1.613130,0.100000,,0.100000,1.888552,0.100000,0.100000,0.307453,0.289753,0.158519,0.217576,0.172151,0.185283,0.327494,1.453327,0.100000,,,,,0.100000,,0.100000,,10.000000,4.565835,6.934806,0.100000,8.444153,,0.271003,,10.000000,,9.293215,7.413947,4.967456,,6.223232,1.694705,0.100000,2.504940,0.100000,1.705071,0.704841,,9.957623,6.043264,1.019480,10.000000,,
Mi9,,,,,,0.245456,1.872683,,0.100000,0.198921,0.190509,,0.100000,0.100000,0.100000,0.100000,0.100000,9.959583,0.998092,0.100000,,,,,,10.000000,0.100000,0.100000,10.000000,,0.100000,9.044478,9.763350,,0.100000,,10.000000,2.741011,,0.100000,9.222005,10.000000,3.580399,0.100000,0.100000,,1.039536,,3.191592,0.956526,,0.100000,0.100000,10.000000,4.705602,
T4a,,,,,,,,,,,,0.100000,0.100000,0.100000,0.100000,1.149115,,,,,0.100000,,,,,,,,,0.100000,,,,,,0.100000,,,,,,,1.200966,,,,,,,10.000000,,,,,0.100000,0.100000
T4b,,,,,,,,,0.263619,,9.898798,0.100000,0.100000,0.100000,,0.100000,,,,,,0.100000,,,,,,,,,,,,,,10.000000,,,,,,,2.035642,,,,,,10.000000,4.954145,1.113332,,,,,
T4c,,,,,,,,,,,,0.100000,,,0.100000,,,,,,,,0.100000,0.100000,,10.000000,,,,,,,,,,,,,,,,,,,,,,,,10.000000,0.100000,,10.000000,0.100000,,
T4d,,,,,,,,,0.100000,,,,,,0.100000,0.100000,,,,,,,,1.097246,,,,,,,,,,,,,,,,,,,,,,,,,,7.686255,10.000000,,8.232546,0.100000,,
Tm1,,,,,0.100000,,,0.100000,0.100000,0.100000,0.100000,0.781757,,,0.509827,,0.100000,0.100000,1.200731,5.232184,1.968898,2.104436,2.085974,2.111836,0.100000,0.564475,0.163442,1.811580,0.100000,1.084159,,0.100000,0.332692,,9.999044,0.100000,,0.100000,0.100000,10.000000,10.000000,10.000000,0.100000,3.100748,,,10.000000,10.000000,,10.000000,,10.000000,0.100000,5.840796,9.537641,0.100000
Tm2,,,,6.066885,0.100000,,,0.100000,10.000000,0.100000,3.042620,5.203179,0.844292,,5.400567,,0.100000,,0.100000,0.100000,2.136968,2.462531,2.475089,2.495073,0.100000,0.100000,0.838295,0.100000,,0.206726,0.100000,10.000000,0.100000,,,0.100000,,,0.100000,,,10.000000,0.100000,,,,,,9.862958,10.000000,10.000000,10.000000,0.100000,0.100000,10.000000,0.604437
Tm4,,,,,10.000000,,,,7.892480,0.100000,0.100000,,,,,,3.881400,10.000000,0.100000,,0.592625,0.100000,0.346169,0.384658,9.956304,10.000000,0.100000,0.100000,10.000000,0.100570,,0.100000,,,0.100000,3.607069,8.792043,,4.471289,,,10.000000,0.100000,,,,,,1.666080,1.354037,0.100000,0.100000,,2.275976,,0.100000
Tm9,,,,,,0.100000,,,,,2.032603,0.100000,,,,,0.100000,0.771949,8.692976,10.000000,0.100000,0.100000,0.100000,0.100000,,6.483922,0.100000,,,,,,6.196487,,,,,,,,10.000000,5.233449,,,,6.270674,4.589016,,,10.000000,3.312947,,0.100000,,3.757821,0.100000
T5a,,,,,,,,,,,,,0.100000,,,,,0.100000,,,0.100000,0.100000,,,,0.100000,,,,,,,,,,,,,,,,,0.100000,,,,,,,0.100000,,,,8.930554,10.000000,0.137847
T5b,,,,,,,,,,,,,,5.072510,,,,,,,4.235271,0.100000,,,,10.000000,,,,,,,,,,,,,,,,,,,,,,,9.900461,2.272390,0.100000,,,0.100000,,
T5c,,,,,,,,,,,,,,,10.000000,,,,,,,5.516475,0.100000,0.100000,,10.000000,,,,,,,,,,,,,,,,,,,,,,,,0.100000,6.132923,,10.000000,10.000000,,
