cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp_rise,tau_hp_fall,a_h,v_pre_mean_cell,v_onset_mean_cell,v_sti_end_mean_cell,delta_v_mean_cell
0,R1-6,0.968412,8.318461,1.947907,5.499522,-8.637488,-41.419189,22.519773,202.243286,191.226410,0.000000,8.326518,8.318461,11.204187,2.885726
1,R7,1.021988,-147.211609,1.947907,8.118407,4.301074,-54.611877,18.474913,205.969162,224.349487,0.110725,-146.616348,-147.211609,-154.178284,-6.966675
2,R8,1.013700,-4.737624,1.947907,9.998592,-5.621106,-44.558491,16.980398,265.782379,213.952286,0.955128,-4.743614,-4.737624,-2.807904,1.929720
3,L1,1.016014,-3.846873,1.947907,4.452824,-3.389289,-47.071617,15.300698,209.999741,231.239014,1.000000,-3.389289,-3.846873,-10.554943,-6.708071
4,L2,0.950820,-48.615860,1.947907,4.844759,10.675682,-60.798553,21.079908,208.510803,251.025589,0.387946,-48.239845,-48.615860,-55.162853,-6.546993
5,L3,0.987889,-63.249496,1.947907,1.041967,-0.586627,-49.462845,10.682131,200.366608,196.779221,0.344710,-62.580399,-63.249496,-68.936188,-5.686691
6,L4,1.026614,18.363377,1.947907,2.248958,-2.891571,-47.508118,46.355869,187.793457,203.396698,0.000000,19.051794,18.363377,13.874447,-4.488930
7,L5,1.043312,3.298325,1.947907,7.655844,3.650924,-53.440350,34.891556,137.502106,215.930206,1.000000,3.650924,3.298325,7.979388,4.681063
8,Mi1,0.993381,-58.442291,1.947907,2.131049,-2.206265,-47.844246,10.000000,226.837860,254.730759,0.606386,-58.385071,-58.442291,-26.642614,31.799677
9,Tm3,1.030949,-84.948738,1.947907,1.834073,0.322441,-50.678654,42.849285,246.190140,242.724777,0.000000,-84.735306,-84.948738,-47.218067,37.730671
10,Mi4,1.011506,58.584194,1.947907,4.531173,-4.239700,-46.209335,32.656624,232.230209,166.960846,0.000000,59.097584,58.584194,100.308723,41.724529
11,Mi9,0.951710,-4.384984,1.947907,0.100000,-1.732461,-48.212162,28.161942,175.771118,250.259033,0.992657,-4.660406,-4.384984,-109.947296,-105.562312
12,T4a,2.000000,-4.408757,1.947907,0.100000,-4.287220,-45.848701,46.694107,233.830093,286.659088,0.634976,-4.397955,-4.408757,0.982104,5.390860
13,T4b,0.953980,12.207996,1.947907,10.000000,12.211755,-61.804173,21.091419,209.472672,106.802490,1.000000,12.211755,12.207996,19.227589,7.019592
14,T4c,1.028173,-8.181059,1.947907,0.753031,-1.825204,-48.361732,17.041187,167.517242,209.294800,0.000000,-7.931437,-8.181059,18.106413,26.287472
15,T4d,0.980615,7.391303,1.947907,9.929624,7.378015,-57.434036,49.685802,204.190445,220.496429,1.000000,7.378014,7.391303,14.629886,7.238583
16,Tm1,0.981742,-6.622554,1.947907,3.220124,2.829300,-52.856144,21.383974,237.132996,250.947220,0.000000,-6.594870,-6.622554,-9.438955,-2.816401
17,Tm2,1.028978,13.873537,1.947907,1.382144,-2.754995,-47.134171,10.959380,254.778275,259.678589,0.004076,15.250858,13.873537,11.681777,-2.191760
18,Tm4,1.025303,-8.777205,1.947907,7.514607,0.332236,-50.115417,10.000000,211.988174,246.774872,0.687872,-8.440831,-8.777205,-14.526284,-5.749080
19,Tm9,0.968032,-32.578766,1.947907,5.078121,2.710946,-52.265621,18.929211,286.093475,131.216797,0.833621,-32.869732,-32.578766,-77.099159,-44.520393
20,T5a,0.963590,-0.662917,1.947907,4.472308,-0.391000,-49.607315,10.000000,188.364334,100.000000,1.000000,-0.391000,-0.662917,-2.935439,-2.272522
21,T5b,0.964046,64.062164,1.947907,8.537890,15.886177,-66.143700,41.985195,201.272507,188.359360,0.000000,64.567482,64.062164,60.337597,-3.724567
22,T5c,1.030808,109.779617,1.947907,4.713313,-0.761925,-49.040730,14.520644,203.481995,187.673431,0.000000,111.102318,109.779617,96.518402,-13.261215
23,T5d,1.042152,34.168484,1.947907,9.899709,18.490265,-68.800827,19.170675,204.038864,181.951309,0.557097,34.226402,34.168484,32.980175,-1.188309
24,T1,0.955156,-10.825064,1.947907,4.909660,8.051360,-58.420155,33.906342,198.710449,217.102463,0.000000,-10.305001,-10.825064,-23.603323,-12.778259
25,T2,0.997247,-15.973977,1.947907,1.338125,-17.696695,-31.948683,37.067101,241.755295,137.322021,0.953094,-15.947196,-15.973977,2.410608,18.384585
