,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,10.000000,,,4.099555,0.648776,1.646451,7.362999,,,,,,,,,,,,,,,,,,6.257972,,,,8.941528,1.994397,,,,0.151351,,,,,,,,,,,,,,,,,,,,,,
R7,,,2.963639,10.000000,,10.000000,,,10.000000,,3.295331,4.885484,,,,,,,,,,,,,,,,,,9.230974,0.100000,,,3.373505,1.917241,,,7.200102,0.100000,,7.868753,,9.922336,9.529922,4.641037,1.348096,3.636654,,,,,,,,,
R8,,8.752115,0.100000,9.125674,10.000000,0.100000,,0.100000,0.108621,,1.007017,0.754446,,,,,,,,,,,,,0.100000,,,,8.150343,9.560213,2.432898,10.000000,,,10.000000,,0.229263,4.573583,9.773689,,5.253408,10.000000,,,5.212563,3.333564,,1.077207,,0.100000,,,,,0.995095,
L1,10.000000,9.800076,10.000000,0.100163,0.100000,6.913304,9.805754,1.445471,3.793832,2.730371,0.100000,,,,,,10.000000,10.000000,,,,,,,0.101209,0.100000,0.100000,,9.938601,2.429617,,4.604169,,0.653737,,,,0.100000,10.000000,,,,0.797418,,,,,,,,,10.000000,,,,
L2,4.548938,,6.650746,9.929266,0.455555,2.211857,3.624012,0.417300,0.100000,0.100000,0.197838,10.000000,,,,,0.103979,0.106109,0.470243,,,,,,0.100000,0.572746,9.967294,,10.000000,0.100000,,,,8.967721,,4.799543,0.100000,,0.100000,,0.545954,,,,10.000000,,,,,,,8.649793,,,,
L3,,9.245683,0.100000,9.987395,7.326491,,,,0.920236,,0.669122,0.100000,,,,,0.100000,0.129812,3.814248,2.289961,,,,,0.100000,,,,0.100000,2.332791,9.958873,,0.100000,,0.105454,0.100000,,9.206413,0.821646,0.304178,2.220744,1.005332,1.538491,6.398050,0.671577,1.432045,10.000000,10.000000,,,,,1.016736,,1.344944,9.904510
L4,0.100000,,,0.500894,0.161594,0.494220,10.000000,0.100000,0.100000,,,0.216539,,,,,0.100000,1.610614,0.100000,1.465749,,,,,,3.022897,,,,8.136956,1.235346,9.916676,,,,0.552576,10.000000,,,,,,10.000000,,,,,,,,,2.034807,,,,
L5,,,,6.726268,0.118908,,,1.988104,2.799448,0.191862,0.908310,2.836515,,,,,0.100000,4.093103,3.047269,,,,,,0.100000,0.100000,10.000000,,1.798398,1.292959,0.100000,1.305284,,10.000000,0.132512,2.324703,4.827029,5.790748,0.100000,,2.348691,6.054026,1.385862,,0.100000,,,,4.425641,9.428808,0.100000,1.255545,,3.813717,,
Mi1,,6.905219,0.100929,2.902543,7.961138,,,7.148066,0.619489,1.995935,9.767461,0.100000,1.170320,0.436283,0.100000,0.467367,7.106552,0.821911,6.696259,,,,,,9.436389,5.859261,1.543805,0.753430,0.100000,0.100000,0.100000,2.990557,0.100000,,0.100000,0.100000,5.846128,2.594068,0.220001,,0.100000,5.448357,1.608926,,,2.000132,,10.000000,0.983551,0.100000,2.344049,4.396424,10.000000,0.100000,10.000000,0.100000
Tm3,,,,0.100000,10.000000,,,,1.733723,2.081610,0.255688,0.100000,0.696796,0.100000,3.568962,3.337833,,,9.997479,,,1.030173,,0.951099,,1.916032,9.260215,0.189571,4.149681,1.174727,9.468778,3.085548,,,10.000000,0.100000,2.961253,,,0.100000,,,9.897695,,,,0.127557,,2.756423,0.354027,0.100000,2.054427,,0.742986,,
Mi4,,,,,0.886439,0.110161,,0.944203,2.843645,0.246649,7.966681,1.404705,0.768036,0.563611,9.025899,10.000000,0.216786,0.100000,10.000000,10.000000,,,,,3.823930,,7.144880,,8.418430,1.677063,0.100000,0.100740,5.958400,,8.922668,,0.102817,,10.000000,0.189215,8.183318,,1.258201,0.251977,0.110481,9.312711,5.433225,10.000000,2.389193,,9.975880,5.192877,1.024743,8.171666,,
Mi9,,,,,,1.089796,2.141923,,1.583371,3.123771,4.538813,,1.293175,3.738691,5.718460,0.100000,0.100000,7.590992,0.565572,0.383246,,,,,,1.429785,0.100000,6.642415,1.242244,,1.411997,0.188981,0.100000,,0.171339,,7.277515,8.711066,,6.224413,9.272820,0.100000,0.100000,3.223742,8.118760,,0.968097,,1.031644,0.960492,,9.885494,10.000000,10.000000,7.524128,
