cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp_rise,tau_hp_fall,a_h,v_pre_mean_cell,v_onset_mean_cell,v_sti_end_mean_cell,delta_v_mean_cell
0,R1-6,0.968412,6.079097,3.756316,2.630469,-11.873075,-38.183571,13.082956,215.180542,144.546249,0.000000,6.080340,6.079097,8.905438,2.826342
1,R7,1.021988,-200.000000,3.756316,7.985023,4.466721,-54.777550,21.645588,204.712280,233.539520,0.018727,-266.962616,-267.791199,-284.664429,-16.873230
2,R8,1.013700,-6.545486,3.756316,9.638467,-6.546991,-43.632587,35.430847,408.486786,100.045525,1.000000,-6.546990,-6.545486,-4.257490,2.287996
3,L1,1.016014,-11.265411,3.756316,4.358955,-10.602830,-39.858124,10.000000,201.025543,343.651855,1.000000,-10.602830,-11.265411,1389.457764,1400.723175
4,L2,0.950820,-51.588627,3.756316,5.784676,16.934298,-67.056938,10.000000,205.024033,276.442139,0.000000,-51.112206,-51.588627,-88.646927,-37.058300
5,L3,0.987889,-86.889595,3.756316,3.698418,4.772473,-54.822006,11.614139,197.900513,192.835770,0.022023,-85.799583,-86.889595,-87.151588,-0.261993
6,L4,1.026614,12.182707,3.756316,3.817325,-3.382655,-47.017109,85.901115,330.713654,243.537888,0.522466,12.428437,12.182707,8.129704,-4.053003
7,L5,1.043312,2.955755,3.756316,3.734911,2.692569,-52.481995,62.027225,110.286575,304.804260,0.993814,3.142730,2.955755,630.192017,627.236261
8,Mi1,0.993381,-71.767792,3.756316,1.280045,0.686374,-50.736889,15.598982,285.540466,352.412445,0.440423,-72.800743,-71.767792,2972.573486,3044.341278
9,Tm3,1.030949,-84.157616,3.756316,3.016747,14.799571,-65.155792,99.967926,242.018784,243.295807,0.000000,-84.061630,-84.157616,-67.515076,16.642540
10,Mi4,1.011506,-33.794132,3.756316,3.884605,-10.730927,-39.718132,61.906399,232.337296,166.741577,0.000000,-32.981876,-33.794132,-12.245687,21.548446
11,Mi9,0.951710,-4.889447,3.756316,1.440890,1.394349,-51.338943,15.044131,170.437134,284.066650,0.000000,-5.532474,-4.889447,-14.489503,-9.600056
12,T4a,1.981377,-22.817358,3.756316,2.787792,-22.752563,-27.383333,67.666107,279.111450,466.755585,0.991908,-22.822105,-22.817358,196.067535,218.884893
13,T4b,0.953980,-11.499679,3.756316,3.799588,-10.480273,-39.112282,12.358619,212.990509,100.000000,0.547160,-11.231542,-11.499679,313.682220,325.181899
14,T4c,1.028173,-34.152683,3.756316,3.991586,4.764021,-54.950817,19.873356,100.000000,140.179581,0.000000,-33.262302,-34.152683,-13.345745,20.806938
15,T4d,0.980615,13.847659,3.756316,9.399057,29.601379,-79.657310,10.000000,147.358139,296.235931,0.191408,14.653377,13.847659,180.877441,167.029782
16,Tm1,0.981742,-6.562670,3.756316,2.360336,-9.618229,-40.408669,10.000000,236.629745,267.691711,0.028653,-6.689264,-6.562670,-4.915994,1.646676
17,Tm2,1.028978,-22.231871,3.756316,2.663713,1.646445,-51.535591,10.000000,287.805054,231.978195,0.568338,-20.985819,-22.231871,-9.347498,12.884373
18,Tm4,1.025303,-2.140921,3.756316,9.886808,-0.141674,-49.641441,10.000000,320.022278,347.904388,0.627323,-1.278723,-2.140921,0.328757,2.469678
19,Tm9,0.968032,-114.156235,3.756316,9.002665,-2.654979,-46.899723,10.000000,346.731110,135.489029,0.000000,-117.628319,-114.156235,-161.569733,-47.413498
20,T5a,0.963590,-5.333356,3.756316,1.973012,-10.221554,-39.777187,10.000000,100.000000,100.021194,1.000000,-10.221555,-5.333356,-4.145383,1.187973
21,T5b,0.964046,185.952744,3.756316,8.228185,-12.023566,-38.234001,49.213219,114.486977,296.529388,0.237895,185.423889,185.952744,184.528458,-1.424286
