cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp_rise,tau_hp_fall,a_h,v_pre_mean_cell,v_onset_mean_cell,v_sti_end_mean_cell,delta_v_mean_cell
0,R1-6,1.017814,12.790231,1.939241,1.226202,-6.926810,-43.510593,18.586174,210.430344,191.093521,0.000000,12.437938,12.790231,33.084934,20.294703
1,R7,0.997791,21.202919,1.939241,3.726069,1.360183,-51.215729,19.773607,206.400009,192.114700,0.000000,21.170252,21.202919,41.073215,19.870296
2,R8,0.960882,-12.080406,1.939241,1.868437,-11.408128,-38.453598,10.000000,178.688187,218.052719,1.000000,-11.408128,-12.080406,-3.064866,9.015540
3,L1,0.973170,-27.840858,1.939241,3.733977,0.868361,-50.979984,18.774429,185.774017,206.841980,0.076859,-26.797413,-27.840858,-54.808510,-26.967651
4,L2,0.985523,-39.421967,1.939241,1.554340,0.214889,-49.981380,18.177635,188.069443,200.990997,0.282095,-29.675657,-39.421967,-71.260674,-31.838707
5,L3,0.987845,30.298923,1.939241,0.968521,-0.233900,-49.615910,10.816738,199.466034,211.895309,0.000000,650.294250,30.298923,2.592735,-27.706188
6,L4,1.048726,-1.936749,1.939241,1.624146,-1.320207,-48.578728,17.474874,221.377853,194.367844,1.000000,-1.320207,-1.936749,-12.669187,-10.732438
7,L5,0.976278,-58.573532,1.939241,0.814931,-2.420671,-47.160816,18.766184,214.976364,198.898544,0.425715,-59.067608,-58.573532,-16.457232,42.116301
8,Mi1,1.996060,-12.132244,1.939241,1.290908,-7.516138,-42.284901,15.948626,200.225250,187.253311,1.000000,-7.516137,-12.132244,14.370433,26.502677
9,Tm3,0.959154,-26.143709,1.939241,1.671015,-1.697641,-47.920006,19.609062,201.596329,192.566513,0.614408,-26.763636,-26.143709,19.033613,45.177322
10,Mi4,2.000000,-18.473661,1.939241,3.323822,-0.146534,-49.837185,19.165262,206.453735,186.956802,0.187855,-29.492088,-18.473661,10.376293,28.849955
11,Mi9,1.037295,45.755074,1.939241,2.413785,-0.202212,-49.320366,28.806879,201.405960,200.749405,0.405180,193.691589,45.755074,-51.905472,-97.660545
12,T4a,1.282620,-0.627119,1.939241,1.049162,-0.089796,-49.792919,10.000000,205.987610,208.649277,0.971630,0.381922,-0.627119,11.674932,12.302052
13,T4b,1.040227,-10.559550,1.939241,5.144294,-1.225190,-48.445663,24.541365,190.976608,201.762421,0.000000,-12.082403,-10.559550,-25.841305,-15.281754
14,T4c,0.986749,-12.498374,1.939241,2.309381,-0.343314,-50.030304,13.011646,184.720245,201.853943,0.000000,-15.147601,-12.498374,-15.979416,-3.481042
15,T4d,1.027862,-1.800406,1.939241,2.626530,-0.909252,-48.244499,27.277973,204.042740,189.138916,0.843935,-9.152458,-1.800406,39.190075,40.990481
16,Tm1,1.037971,-74.305931,1.939241,3.463865,-2.360888,-47.280659,21.124014,217.804688,181.866974,0.296700,-125.024338,-74.305931,-30.307417,43.998514
17,Tm2,0.997107,-36.908306,1.939241,2.078363,-0.334161,-49.809654,25.038841,198.421494,191.528061,0.018339,-70.198006,-36.908306,10.033278,46.941584
18,Tm4,1.032297,5.097003,1.939241,3.588654,0.997718,-51.417217,10.000000,217.881653,195.240067,0.967318,1.243701,5.097003,5.543956,0.446952
19,Tm9,0.984710,0.887429,1.939241,1.486061,-0.464343,-49.743706,11.314168,192.010971,200.741699,0.812314,43.014797,0.887429,-26.305746,-27.193175
20,T5a,1.032758,28.774794,1.939241,1.351307,-0.243447,-49.432362,31.569777,203.244751,189.216736,0.000000,31.342976,28.774794,66.842850,38.068056
21,T5b,1.015530,13.712850,1.939241,2.129191,0.808357,-50.551891,19.465824,199.134659,200.389404,0.394778,14.553851,13.712850,34.788319,21.075469
22,T5c,1.015059,48.786488,1.939241,2.023591,-2.836497,-47.234013,14.270062,211.649139,197.957596,0.010985,52.961143,48.786488,84.098122,35.311634
23,T5d,1.012196,62.420616,1.939241,5.370019,2.114328,-52.135143,17.901180,214.082611,195.679443,0.060176,71.156540,62.420616,59.305000,-3.115616
24,T1,0.992362,0.219409,1.939241,3.761801,3.404251,-53.374111,10.296632,202.933624,192.735840,0.374777,52.645195,0.219409,-2.893840,-3.113248
25,T2,0.968901,17.346367,1.939241,3.988396,-6.231550,-43.693745,20.197126,199.952972,188.773331,0.151694,18.030539,17.346367,85.813774,68.467407
26,T2a,0.988060,22.540113,1.939241,7.606184,5.514725,-58.597256,22.052185,200.586472,201.414719,0.000000,26.595379,22.540113,55.474815,32.934702
27,T3,1.021428,-1.725201,1.939241,3.030987,-1.826277,-48.616951,19.294485,200.808578,185.239182,0.988324,-1.417345,-1.725201,40.045589,41.770790
28,C2,1.015125,-72.549423,1.939241,3.837436,-5.413332,-44.297787,10.778440,191.819778,195.338684,0.000000,-87.803528,-72.549423,-31.047174,41.502249
29,C3,0.992112,5.919027,1.939241,1.653934,0.583758,-50.930286,18.447964,201.353088,208.384796,0.000000,21.212128,5.919027,8.024689,2.105662
30,Lawf1,0.988750,97.210846,1.939241,3.341687,6.691989,-46.112701,10.000000,201.859909,199.980591,0.000000,2702.410645,97.210846,97.210968,0.000122
31,Lawf2,1.041425,-3.431190,1.939241,0.722138,-0.716532,-49.676231,10.432097,186.978714,210.080551,0.615502,-1.329415,-3.431190,-13.225014,-9.793823
32,Dm3v,1.004121,22.511213,1.939241,5.100955,-0.508067,-50.269402,15.045725,207.207718,187.972580,0.366980,26.359034,22.511213,55.530102,33.018888
33,Lai,1.018270,-69.996376,1.939241,6.628361,3.675294,-53.217117,12.646441,193.064575,197.485947,0.514277,-59.957390,-69.996376,-84.652954,-14.656578
34,Mi10,0.981732,68.073471,1.939241,7.567941,7.201334,-56.896183,10.238693,197.072418,203.222321,0.045035,85.600533,68.073471,73.099365,5.025894
35,Mi13,1.017649,-2.289656,1.939241,3.749408,1.735301,-51.959442,27.331463,184.446198,214.328842,0.700442,0.909880,-2.289656,-30.768169,-28.478513
36,Mi14,1.033110,19.350702,1.939241,5.657290,2.513222,-53.567295,10.339220,193.641205,225.204285,0.727729,17.888422,19.350702,27.733599,8.382896
37,Mi15,0.980546,-42.915806,1.939241,0.199672,-2.180957,-48.135368,15.319932,203.905106,192.787109,0.000000,-59.627888,-42.915806,-15.939610,26.976195
38,Mi2,0.979076,-0.677933,1.939241,1.068478,-1.079835,-48.873398,23.261351,178.679428,224.604965,0.565568,13.241728,-0.677933,-9.502838,-8.824906
39,Tm16,0.966516,-19.586178,1.939241,6.270539,2.927621,-52.974960,23.622887,183.544662,213.237335,0.484364,-18.235758,-19.586178,-69.504669,-49.918491
40,Tm20,0.953681,30.072979,1.939241,3.071983,-0.670132,-49.650650,26.070683,200.801712,208.185257,0.000000,98.134598,30.072979,-20.587727,-50.660706
41,Tm21,1.002720,53.314468,1.939241,6.606960,2.832175,-54.522675,19.319012,204.090958,213.043945,0.174994,61.894772,53.314468,72.907898,19.593430
42,Tm27,1.011917,1.694749,1.939241,1.976266,-1.203690,-48.744610,24.401760,213.628464,184.202103,0.007953,-7.848362,1.694749,46.576260,44.881510
43,Tm5a,1.027812,36.954418,1.939241,8.617980,7.496769,-57.169983,10.534968,182.722137,198.413956,0.652168,86.676895,36.954418,34.426739,-2.527679
44,Tm5b,0.964412,10.311712,1.939241,1.325399,-5.679498,-44.722519,10.000000,209.305084,204.404388,1.000000,-5.679497,10.311712,15.420693,5.108981
45,Tm5c,0.950145,30.250645,1.939241,2.265117,-1.429203,-48.768444,19.892838,191.799973,220.661896,0.546473,123.992134,30.250645,-11.140513,-41.391158
