,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,0.407078,,,1.159941,1.983990,0.902168,2.320379,,,,,,,,,,,,,,,,,,0.100000,,,,10.000000,4.358476,,,,3.157400,,,,,,,,,,,,,,,,,,,,,,
R7,,,0.133323,5.199567,,2.693588,,,0.100000,,0.446518,0.100000,,,,,,,,,,,,,,,,,,3.691013,0.100000,,,0.840520,0.100000,,,0.100000,1.564701,,8.668930,,0.100000,0.100000,2.309563,0.100000,0.133784,,,,,,,,,
R8,,0.100000,0.100000,0.515715,0.100000,3.147627,,0.339944,3.320354,,1.543485,0.113426,,,,,,,,,,,,,2.343188,,,,2.284468,1.694446,0.101312,9.818042,,,0.100000,,0.100000,0.547164,5.679776,,3.172163,10.000000,,,7.489659,0.100000,,5.882995,,0.100000,,,,,0.960153,
L1,5.383443,8.185047,10.000000,0.306081,0.100000,0.100000,8.968211,3.923101,1.297957,4.483876,0.100000,,,,,,3.970057,0.100000,,,,,,,5.285056,6.058702,2.003729,,9.243033,0.942358,,0.100000,,4.029791,,,,0.100000,4.015072,,,,4.912974,,,,,,,,,0.100000,,,,
L2,0.235475,,1.724830,3.166810,2.224710,0.100000,2.904942,0.100000,0.748144,1.482960,1.566308,2.650110,,,,,0.100000,0.100000,3.086734,,,,,,0.100000,0.100000,10.000000,,0.100000,1.335019,,,,2.921850,,3.811981,5.811535,,5.391503,,3.249104,,,,0.775387,,,,,,,0.446378,,,,
L3,,0.100000,0.790003,0.136247,10.000000,,,,0.311262,,0.100000,3.028640,,,,,0.100000,10.000000,0.212645,5.422093,,,,,5.125417,,,,1.689521,3.823394,9.124911,,0.257922,,0.701872,0.495956,,2.314279,3.413277,2.552057,1.810097,1.043521,6.857480,9.635976,0.887049,5.101295,10.000000,1.364053,,,,,1.029283,,0.100000,4.317884
L4,0.100000,,,0.100000,2.084952,0.159974,1.256112,0.825703,3.044482,,,3.324566,,,,,0.100000,4.142704,6.977650,10.000000,,,,,,3.114048,,,,0.100000,10.000000,0.803088,,,,0.100000,0.100000,,,,,,8.189062,,,,,,,,,0.840549,,,,
L5,,,,0.100000,0.100000,,,8.537840,1.829219,4.198331,1.034118,0.100000,,,,,10.000000,5.829995,0.100000,,,,,,2.895839,6.444429,0.747184,,4.988774,1.527889,0.155408,7.465658,,2.508353,0.100000,0.100000,8.223277,0.100000,0.100000,,0.326463,0.100000,4.207210,,0.100000,,,,6.034507,9.684268,1.310842,7.995357,,10.000000,,
Mi1,,0.100000,10.000000,0.342345,0.100000,,,1.081099,10.000000,0.100000,3.452693,0.100000,3.480869,0.100000,0.100000,3.216425,9.662603,9.318848,2.587524,,,,,,4.167976,0.100000,1.516445,3.577366,0.363218,2.516159,0.100000,3.696569,0.100000,,6.018362,0.100000,0.100000,0.100000,0.100000,,0.980111,6.514143,4.313570,,,0.100000,,3.271481,0.952127,2.837466,0.100000,0.991510,0.100000,0.100000,0.100000,6.238561
Tm3,,,,0.100000,2.685149,,,,3.238530,6.389936,2.366451,0.100000,2.456946,0.100000,0.125655,7.911953,,,0.100000,,,1.041547,,0.969485,,5.671084,7.819794,5.916071,9.873594,0.100000,4.158830,0.937990,,,0.785679,0.100000,0.100000,,,6.341543,,,7.133796,,,,4.738620,,0.100000,4.767828,0.100000,7.763978,,3.232157,,
Mi4,,,,,5.746341,6.000202,,9.205189,0.100000,0.100000,0.100000,3.151137,0.637851,10.000000,7.316895,1.592713,2.694069,5.705548,2.983861,1.267931,,,,,0.100000,,0.100000,,0.100000,10.000000,0.100000,0.100000,0.306114,,7.488989,,4.960549,,0.619355,2.402085,2.901140,,0.415024,0.100000,2.178897,2.118359,0.336596,0.100000,1.362643,,10.000000,0.345405,1.048453,7.989454,,
Mi9,,,,,,0.100000,7.697978,,0.229199,5.354055,1.483398,,0.000000,0.287105,0.702698,10.000000,10.000000,10.000000,3.517836,0.100000,,,,,,0.100000,0.956158,5.482283,0.100000,,0.100000,2.996134,10.000000,,0.100000,,0.100000,2.874108,,0.100000,8.051722,0.100000,10.000000,0.100000,6.105503,,0.974523,,6.798834,1.007573,,8.141752,9.544699,1.566082,10.000000,
T4a,,,,,,,,,,,,2.824567,0.100000,0.969324,1.504781,1.015198,,,,,1.445024,,,,,,,,,1.045376,,,,,,0.100000,,,,,,,5.042663,,,,,,,1.969572,,,,,5.332294,0.100000
T4b,,,,,,,,,10.000000,,1.423773,3.503506,0.530952,2.226709,,0.954785,,,,,,0.947755,,,,,,,,,,,,,,8.417562,,,,,,,0.100000,,,,,,0.100000,0.100000,10.000000,,,,,
T4c,,,,,,,,,,,,2.413444,,,0.100000,,,,,,,,4.666978,10.000000,,9.740296,,,,,,,,,,,,,,,,,,,,,,,,1.078564,2.575896,,10.000000,5.990583,,
T4d,,,,,,,,,4.524684,,,,,,1.034453,4.114202,,,,,,,,9.807972,,,,,,,,,,,,,,,,,,,,,,,,,,0.100000,0.100000,,7.818480,0.100000,,
Tm1,,,,,0.100000,,,2.550926,4.046491,0.100000,1.367685,0.100000,,,0.993989,,0.103309,10.000000,3.137167,0.100000,4.710469,6.911372,9.508412,0.166055,0.100000,0.465653,4.248791,4.249610,10.000000,0.100000,,0.195858,7.901727,,0.100000,0.100000,,1.121258,0.100000,4.465177,0.100000,0.919289,0.100000,6.572273,,,0.102104,4.937053,,0.486661,,1.284174,2.038141,0.100000,0.100000,0.548227
Tm2,,,,5.334045,0.100000,,,3.439855,8.640916,10.000000,0.216522,0.100000,0.100000,,0.100000,,0.100000,,9.885317,0.100000,8.844617,3.701527,8.695344,4.732019,10.000000,0.100000,0.100000,1.922576,,10.000000,6.469662,0.100000,10.000000,,,0.100000,,,0.100000,,,0.100000,2.943447,,,,,,0.100000,9.988653,0.100000,2.695590,6.980217,10.000000,0.100000,5.372304
Tm4,,,,,3.173042,,,,4.683715,7.129536,0.142902,,,,,,5.268377,0.100000,0.969287,,0.937834,2.890061,6.788613,7.873359,1.464370,10.000000,10.000000,0.100000,7.573819,2.942779,,0.100218,,,0.100000,4.832454,1.791864,,0.109491,,,0.100000,9.179826,,,,,,2.842707,2.444325,0.100000,2.654278,,0.320580,,0.388417
Tm9,,,,,,7.819293,,,,,4.241965,0.519895,,,,,0.100000,4.786910,2.130284,0.100000,0.100000,0.438946,0.541317,6.455101,,0.160798,7.415447,,,,,,6.774881,,,,,,,,7.169535,10.000000,,,,0.330824,0.100000,,,1.559317,5.849353,,0.320949,,10.000000,0.107083
T5a,,,,,,,,,,,,,2.157220,,,,,0.100000,,,1.904835,3.284071,,,,3.148262,,,,,,,,,,,,,,,,,0.100000,,,,,,,0.100000,,,,5.399601,6.991731,0.100000
T5b,,,,,,,,,,,,,,0.100000,,,,,,,2.008800,0.100000,,,,0.100000,,,,,,,,,,,,,,,,,,,,,,,0.100000,6.625022,0.100000,,,6.994063,,
T5c,,,,,,,,,,,,,,,10.000000,,,,,,,0.960053,0.100000,10.000000,,0.100000,,,,,,,,,,,,,,,,,,,,,,,,0.770195,0.100000,,6.156586,2.586496,,
T5d,,,,,,,,,,,,,,,10.000000,0.987151,,,,,,,,7.701315,,0.100000,,,,,,,,,,,,,,,,,,,,,,,,5.082007,0.100000,,9.593338,5.255686,,
T1,1.746440,4.685406,0.100000,,1.339544,6.751547,,4.434753,,,,0.110082,,,,,3.213229,9.320696,9.844734,,,,,,,,,,,,,,,7.697615,,,,,,,0.100000,,,,,,,,,,,,1.033176,,,
T2,,,,,,,,4.761867,3.258926,5.014351,,0.721348,,,,,0.100000,5.678155,3.177676,,,,,,,5.745613,6.358123,0.100000,,,,1.181588,,,,,2.906052,,,,,1.784854,0.100000,,0.100000,0.115773,,,0.198735,8.171421,0.100000,8.271578,,4.427421,1.011396,8.090259
T2a,,,,,,,,,3.780945,0.100000,,,,,,,0.100000,,0.100000,,,,,,,10.000000,10.000000,4.873070,10.000000,,,4.451825,7.164596,,10.000000,0.589260,,,,,0.100000,6.327825,,2.242530,4.896452,,8.643221,,,0.953122,1.726442,,0.100000,1.870196,0.185758,0.186252
T3,,,,,,,,,,2.781172,,,,,,0.958445,7.605699,,,,,,,,,0.100000,0.100000,9.250572,,10.000000,,0.200657,,,,,,,0.100000,,,10.000000,,,,,0.100000,,,,,,,1.553577,,7.760913
C2,0.100000,10.000000,0.100000,2.908056,4.574881,2.669450,10.000000,2.930265,2.199229,,0.171942,,,,,,7.783566,,,1.149391,,,,,0.100000,7.503175,7.058535,1.886348,1.625891,0.878993,,,,2.093278,,,,6.146445,0.100000,8.797585,,,7.786688,,,,,,,,,,,,,
C3,10.000000,,,0.100000,0.100000,1.712297,5.696501,2.756708,8.099060,1.512151,0.323801,0.100000,5.521380,0.100000,0.100000,0.113005,4.179511,6.554982,1.888293,0.316912,,,,,0.308620,3.386496,10.000000,0.100000,4.913766,,,,,0.633191,,1.573839,,0.161306,0.126669,,0.162087,10.000000,0.829150,,,,,,,0.100000,,,,,,
Lawf1,0.227103,,,0.254539,0.489614,2.200722,,0.238918,,0.100000,,1.049124,,,,,,,,,,,,,0.593393,,,,,,1.588590,,,3.915736,,,,,,,,,,,,,,,,,,,,,,
Lawf2,0.128959,,,3.020876,7.941260,0.100000,,0.100000,,,,,,,,,0.809032,0.100000,,0.100000,,,,,2.760975,,,,0.139066,7.528069,6.521081,,,1.676182,,6.164864,10.000000,,,,,,,,,,,,,0.100000,,,,1.637299,,
Dm3v,,,,,,,,,,,0.100000,7.970860,,,,,6.818240,10.000000,,,,,,,,,0.100000,,,,,,8.618792,,,,,,,,2.243292,3.715781,,,,,8.785850,,,,,,1.793260,8.448806,8.609512,1.285797
Lai,7.853754,,,0.100000,0.957379,1.651458,,0.100585,,,,,,,,,,,,,,,,,5.208742,,,,,10.000000,,,,0.208149,,,,,,,,,,,,,,,,,,,,,,
Mi10,,,,,,0.100000,,,,,0.100000,0.153796,0.355965,,0.100000,0.995728,,0.159505,2.859268,,,,,,,5.720535,,,,,9.065907,,,,2.435308,,1.434443,0.100000,,1.327150,,,4.439315,,7.706765,,,,0.236257,,,,,,,
Mi13,,,,,,,0.100000,4.768476,4.983139,2.548778,,0.100000,,,,,0.753875,0.100000,2.400430,0.100000,,,,,4.175488,0.100000,0.100000,,,,,,,,,,,,,,0.100000,,,,0.423300,,,,,,,,,1.047391,,
Mi14,,,,,0.100000,,,2.295088,,,,5.522675,,,,,5.873961,0.100000,0.465939,,,,,,10.000000,7.327475,,0.133000,,,,,,,,10.000000,,,,,1.020309,,0.100000,,,,,,,,,2.396107,,1.153906,,
Mi15,,,,,,,,,,,0.173706,,,,,,,,0.100487,,,,,,2.614982,,2.478721,,,2.188275,4.824058,,,,6.068178,,3.606008,4.351631,3.734097,,,0.100000,1.007267,0.100000,,0.467085,,,,,,,,7.113019,,
Mi2,,,,,,,,,2.854650,,,,,,,,0.966873,,1.289873,,,,,,,2.192060,0.100000,0.107621,,,,,,,,,0.131633,,,,0.100000,0.100000,0.100000,,,,,0.176803,,,,,,0.974161,,
Tm16,,,,,,,,,0.100000,,0.100000,5.981321,,,,,0.100000,10.000000,3.284661,7.569282,,,,,,0.100000,,,,0.606325,8.366281,1.198244,,,0.100000,,,,,,6.064949,2.372042,0.100000,,,10.000000,7.881370,0.100000,2.048751,0.153952,10.000000,,,0.100000,,0.383588
Tm20,,,,,,,,,,,1.636552,2.465245,,,,,8.458482,0.100000,,8.095949,,,,,9.067483,0.100000,0.100000,,,1.827631,,,,,,,,,2.067760,0.768829,2.466301,1.414710,1.040513,0.100000,,0.884282,0.961192,1.649025,4.907336,,,5.418042,2.549515,10.000000,1.030743,
Tm21,,,,,,,,,4.314867,,,,,,,,0.100000,,,,,,,,,10.000000,10.000000,,,,,,,,,,1.032681,,0.100000,,,4.868245,,,,,,,,,10.000000,,,1.238085,,
Tm27,,,,,,,,,,,0.100000,8.230126,,,,,,,0.100000,,,,,,,3.337593,,,,,,,,,5.276697,,,,,,,4.392084,10.000000,,,,,,,,0.100000,,,0.100000,,
Tm5a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.432551,,,8.140348,,0.100000,6.880955,,,,,,,6.351734,,
Tm5b,,,,,,,,,,,2.471279,,,,,,0.100000,,,,,,,,,,,,,,,,,,0.256368,,,1.636898,,0.100000,10.000000,,,8.255074,0.100000,0.108002,10.000000,,6.634264,,,4.004073,,5.397558,,
Tm5c,,,,,,,,3.178554,,,0.100000,,,,,,4.345016,,,,,,,,,,10.000000,,,,,,,,,9.103449,1.036970,5.272920,0.100000,,0.100000,0.100000,10.000000,1.918111,3.317466,2.611249,0.100000,5.529703,,,,0.102380,6.690328,0.100000,7.178153,
Tm5f,,,,,,,,,,,0.100000,,,,,,,,0.100000,,,,,,,,,6.729663,,,,,,,5.698298,,,,,,8.405841,,,10.000000,0.100000,,6.699481,7.653543,4.712331,,0.100000,,0.968701,3.354514,,
TmY10,,,,,,,,,,,0.612637,,,,,,,,,1.129591,,,,,,,0.100000,,,,4.100395,0.106496,4.914258,,,,,,1.186711,0.100000,10.000000,,,1.634956,,0.150930,7.653118,1.026839,0.100000,,,,7.215841,,5.071317,0.709626
TmY11,,,,,,,,,,,3.296003,0.100000,,,,,,,,,,,,,,6.006122,3.145614,,,,,,,,0.100000,0.100000,0.961561,,,0.100000,,,,,,0.100000,7.936066,,3.829008,3.990138,0.100000,,10.000000,10.000000,5.492380,4.664732
TmY14,,,,,,,,,,,,,,,7.623433,,3.868220,,,0.238553,,,,,,0.100000,,,,2.793467,,3.344012,,,,5.299173,,,,3.980726,,,,,,,,,,,,,,10.000000,,
TmY15,,,,,,,,,,,1.742158,,0.000000,0.100000,5.593132,2.849859,,,0.100000,5.966725,8.335034,3.122052,0.100000,3.196696,,0.100000,0.100000,10.000000,0.396609,,,,,,,,7.493683,,,0.100000,,,0.459883,,,,,,6.130315,0.115935,,0.100000,,3.633372,,
TmY3,,,,,,,3.219468,,0.100000,10.000000,0.288520,0.101844,,,0.983346,,,,0.100000,,,,,,,6.428750,8.478592,,,,7.739121,,,,,,7.322950,,,,,,0.100000,,,,,10.000000,0.100000,8.349315,0.100000,1.063391,,6.689980,,1.702314
TmY4,,,,,,,,,,,,,,,,,,,1.107855,,,,,,,,,,,,,,10.000000,,,7.971299,,,,,7.576289,,,,,,,,,,3.901469,,9.286023,4.567784,7.792575,6.362566
TmY5a,,,,,,,,,0.100000,0.100000,0.187690,,,,,2.394891,0.100000,10.000000,0.418499,,,,,0.268283,,10.000000,3.136362,6.484555,,,,4.886763,,,1.125942,,,,10.000000,0.100000,,1.060535,0.100000,1.043524,,,0.466465,0.100000,0.197142,0.100000,7.812965,10.000000,,,,
TmY9q,,,,,,,,,,,0.100000,,,,,,,,,,,,,,,,,,,,,,,,,9.302518,,,,,,1.983415,,,,,,,,7.025865,,,7.758221,1.034725,3.501139,1.908537
TmY9q__perp,,,,,,,,,,4.638037,0.100000,,,,,,,,,,,,,,,,,,,,,1.086956,0.100000,,,0.100000,,,1.957487,,,,,,,,,,,,,,4.462562,1.183958,,0.153449
