cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp_rise,tau_hp_fall,a_h,v_pre_mean_cell,v_onset_mean_cell,v_sti_end_mean_cell,delta_v_mean_cell
0,R1-6,0.994316,10.659085,2.743243,1.595950,-9.572991,-40.547359,20.529896,189.916138,197.162354,0.000000,10.605075,10.659085,29.992712,19.333627
1,R7,1.041204,-16.498726,2.743243,6.306778,-9.807743,-40.071644,26.875053,201.598648,209.373550,0.000000,-16.480341,-16.498726,-4.221820,12.276906
2,R8,0.981935,-9.017612,2.743243,2.768171,-9.019402,-41.001720,10.000000,184.340134,217.608597,1.000000,-9.019402,-9.017612,-1.586152,7.431459
3,L1,1.089773,-15.891521,2.743243,1.956318,-14.768931,-35.265499,18.963463,215.966614,208.621170,0.981649,-15.670982,-15.891521,-35.122272,-19.230751
4,L2,1.098882,-17.288641,2.743243,2.684122,-15.496684,-34.618069,18.894312,204.693649,187.553925,0.970668,-17.115904,-17.288641,-35.033440,-17.744799
5,L3,0.877308,-7.599434,2.743243,0.249736,-3.897925,-46.575214,10.000000,220.159592,191.410660,0.938895,-3.906155,-7.599434,-15.661944,-8.062510
6,L4,0.736219,5.931593,2.743243,0.964841,3.708946,-53.686134,10.000000,206.783554,192.937347,0.792540,5.998934,5.931593,0.082656,-5.848937
7,L5,0.870864,3.379877,2.743243,2.224451,3.566151,-54.045204,10.000000,196.849060,196.351822,1.000000,3.566151,3.379877,13.190209,9.810333
8,Mi1,2.000000,-31.945620,2.743243,2.597915,-4.701510,-45.411053,26.477516,211.717636,192.479919,0.000000,-32.818001,-31.945620,-4.403700,27.541919
9,Tm3,0.964391,2.609426,2.743243,2.454691,2.576126,-52.580330,10.000000,198.216202,191.389328,1.000000,2.576126,2.609426,3.851520,1.242093
10,Mi4,1.179928,-6.907476,2.743243,10.000000,4.957855,-55.445301,10.000000,221.723602,189.987701,1.000000,4.957855,-6.907476,7.791352,14.698828
