,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,3.650486,,,2.050594,1.318434,1.056566,1.698951,,,,,,,,,,,,,,,,,,0.100000,,,,10.000000,8.435318,,,,2.597484,,,,,,,,,,,,,,,,,,,,,,
R7,,,1.592757,5.165469,,6.053673,,,1.032499,,0.100000,4.019112,,,,,,,,,,,,,,,,,,0.100000,10.000000,,,2.167518,10.000000,,,2.064635,10.000000,,0.100000,,0.100000,6.004920,3.432779,7.632054,0.100000,,,,,,,,,
R8,,4.847639,0.100000,2.953201,0.100000,0.100000,,0.100000,0.358610,,2.955616,2.512080,,,,,,,,,,,,,0.110070,,,,3.043239,0.100000,1.615937,0.100000,,,10.000000,,1.548798,9.274788,0.100000,,0.713972,2.062770,,,0.100000,2.109533,,8.712144,,0.100000,,,,,0.959408,
L1,0.100000,7.454074,10.000000,0.100000,1.432590,1.285090,0.100000,1.921015,1.449051,0.100000,0.467479,,,,,,2.706222,0.100000,,,,,,,1.324624,10.000000,6.287442,,4.560798,3.366610,,10.000000,,1.876013,,,,9.408497,3.332526,,,,0.100000,,,,,,,,,9.605054,,,,
L2,6.338463,,3.850184,0.287186,5.287695,0.100000,4.518812,0.100000,0.100000,6.389862,1.975762,0.100000,,,,,0.100000,0.461451,0.647144,,,,,,0.100000,5.551317,10.000000,,0.100000,4.256726,,,,0.804086,,0.100000,10.000000,,5.359087,,9.119328,,,,10.000000,,,,,,,0.100000,,,,
L3,,4.765718,0.100000,1.378556,1.044398,,,,0.639148,,0.100000,0.145417,,,,,0.317057,1.035165,10.000000,0.873521,,,,,0.100000,,,,6.833887,0.100000,0.100000,,0.100000,,10.000000,0.100000,,1.042399,0.100000,9.516084,8.727400,0.966667,4.570356,3.291627,4.349052,0.539829,1.579735,6.694942,,,,,1.010020,,2.465337,0.100000
L4,0.548337,,,0.100000,0.100000,1.283448,0.100000,0.100000,1.322502,,,0.100000,,,,,0.226619,1.817366,0.100000,8.419573,,,,,,0.100000,,,,10.000000,0.100000,0.100000,,,,9.627254,10.000000,,,,,,0.100000,,,,,,,,,1.286921,,,,
L5,,,,2.733236,6.523876,,,1.722139,0.100000,0.377332,0.100000,3.909257,,,,,0.100000,4.596475,5.361389,,,,,,10.000000,0.100000,4.984379,,0.100000,0.100000,0.100000,0.100000,,0.100503,4.349308,0.192237,3.816977,0.100000,0.100000,,8.483329,6.291181,0.100000,,0.770544,,,,0.345118,0.709052,3.387069,0.100000,,8.978672,,
Mi1,,0.307035,3.959054,0.100000,0.100000,,,0.100000,3.296864,0.100000,4.140375,0.100000,2.621900,0.100000,0.100000,1.006458,5.004014,9.691367,10.000000,,,,,,0.100000,9.105909,9.808221,10.000000,6.194820,0.100000,0.100000,1.146896,0.100000,,0.479269,0.100000,8.045714,0.100000,0.100000,,5.277195,8.236501,1.441092,,,5.740728,,10.000000,0.967474,10.000000,0.100000,9.158047,1.811857,0.600299,2.341368,1.566973
Tm3,,,,2.289301,3.589392,,,,0.671480,0.100000,0.100000,0.100000,0.100000,5.479093,0.100000,0.100000,,,0.100000,,,0.966585,,1.024359,,0.100000,10.000000,9.454237,5.203382,10.000000,0.100000,10.000000,,,9.814484,6.097771,3.605716,,,10.000000,,,0.100000,,,,7.692110,,1.246822,1.046626,0.100000,0.100000,,9.208562,,
Mi4,,,,,0.100000,0.100000,,2.960620,2.987453,7.491940,0.100000,5.568797,0.105161,0.100000,0.100000,6.082164,10.000000,7.947297,10.000000,0.204139,,,,,5.003116,,0.631617,,0.100000,0.100000,10.000000,2.357401,5.667740,,0.376906,,0.100000,,2.152633,0.315177,0.100000,,6.212051,5.506440,0.751450,0.724411,0.100000,0.906749,3.402515,,0.100000,3.043053,1.005278,0.413372,,
Mi9,,,,,,0.100044,0.102870,,0.142732,2.288699,0.100000,,0.000000,4.769846,0.100000,2.162115,0.100000,3.843168,3.802140,0.102030,,,,,,3.418051,9.551796,1.292125,6.192348,,0.100000,1.840005,1.881213,,0.100000,,0.100000,1.736984,,0.100000,1.901392,0.100000,0.287734,0.844508,0.100000,,0.973774,,1.806969,0.954432,,9.301644,0.100000,4.129377,6.525502,
T4a,,,,,,,,,,,,0.100000,0.100000,0.973893,10.000000,1.020322,,,,,0.100000,,,,,,,,,0.100000,,,,,,0.100000,,,,,,,1.384344,,,,,,,5.612866,,,,,0.480342,4.705068
T4b,,,,,,,,,0.100000,,0.754173,0.100000,3.397664,5.210248,,0.975942,,,,,,5.683790,,,,,,,,,,,,,,0.100000,,,,,,,3.826232,,,,,,0.100000,2.989533,8.486040,,,,,
T4c,,,,,,,,,,,,0.100000,,,10.000000,,,,,,,,0.100000,1.288909,,0.100000,,,,,,,,,,,,,,,,,,,,,,,,0.100000,6.445961,,5.755231,4.968690,,
T4d,,,,,,,,,0.100000,,,,,,1.006609,1.723200,,,,,,,,3.998196,,,,,,,,,,,,,,,,,,,,,,,,,,0.445122,1.633413,,0.100779,5.407887,,
Tm1,,,,,1.610845,,,0.319011,0.100000,0.100000,4.804861,0.100000,,,0.950342,,0.100000,2.621914,3.297424,7.670840,4.979411,10.000000,4.960674,3.016137,10.000000,4.527647,3.677769,0.100000,0.100000,0.100000,,0.100000,3.244339,,0.100000,2.191010,,7.176966,0.100000,10.000000,10.000000,7.056539,6.893154,5.977854,,,10.000000,10.000000,,10.000000,,0.100000,0.100000,0.386259,1.976255,6.397372
Tm2,,,,0.100000,0.672995,,,0.257385,10.000000,5.975684,6.072272,0.100000,0.100000,,0.100000,,0.100000,,2.491856,9.921047,5.508131,10.000000,7.583778,4.545876,0.468393,0.100000,1.584170,8.155913,,0.100000,0.100000,10.000000,8.692198,,,0.100000,,,0.100000,,,6.880842,3.131711,,,,,,2.341850,6.670417,0.100000,1.656280,3.319388,0.100000,3.190202,5.415584
Tm4,,,,,7.501299,,,,1.715803,10.000000,3.160868,,,,,,6.075350,0.100000,3.027189,,10.000000,10.000000,6.829526,3.347195,0.100000,0.100000,3.311507,5.077906,0.100000,0.100000,,0.100000,,,9.332063,0.100000,0.100000,,8.931174,,,8.361465,10.000000,,,,,,0.100000,2.134189,0.100000,0.100000,,6.996397,,1.130697
Tm9,,,,,,0.100000,,,,,2.887342,0.100000,,,,,4.488624,7.924546,6.892612,5.956771,0.727031,10.000000,7.800811,1.008999,,0.493880,0.100000,,,,,,1.126657,,,,,,,,5.128366,1.267952,,,,10.000000,8.219030,,,0.100000,9.969388,,10.000000,,4.968091,3.881994
T5a,,,,,,,,,,,,,0.100000,,,,,10.000000,,,2.176237,0.100000,,,,0.468799,,,,,,,,,,,,,,,,,8.551938,,,,,,,2.808946,,,,2.242441,2.944533,4.620459
T5b,,,,,,,,,,,,,,0.100000,,,,,,,6.791031,8.423544,,,,1.346374,,,,,,,,,,,,,,,,,,,,,,,0.100000,7.204644,3.833500,,,7.012123,,
T5c,,,,,,,,,,,,,,,3.801670,,,,,,,1.022296,8.212587,1.491159,,0.100000,,,,,,,,,,,,,,,,,,,,,,,,0.382781,2.943825,,0.965731,10.000000,,
T5d,,,,,,,,,,,,,,,6.427091,1.041735,,,,,,,,0.100000,,9.907418,,,,,,,,,,,,,,,,,,,,,,,,0.945461,0.100000,,1.228990,8.788512,,
T1,2.423227,0.927895,8.589872,,0.705061,1.634352,,0.100000,,,,0.100000,,,,,9.812696,0.100000,1.276625,,,,,,,,,,,,,,,0.159443,,,,,,,4.800417,,,,,,,,,,,,1.010273,,,
T2,,,,,,,,0.100000,2.833745,0.100000,,0.125536,,,,,0.100000,2.999250,0.307575,,,,,,,4.614245,2.949296,0.476188,,,,1.251512,,,,,10.000000,,,,,5.291398,9.191372,,0.631649,0.100000,,,0.109180,8.066518,0.100000,2.784081,,6.249932,0.980930,3.309510
T2a,,,,,,,,,0.437412,2.419208,,,,,,,6.692112,,1.055769,,,,,,,0.921891,9.873114,0.100000,3.681412,,,10.000000,3.030189,,10.000000,0.100000,,,,,7.192938,6.141847,,1.095324,10.000000,,4.774633,,,3.896476,0.757823,,3.635000,8.646689,4.514841,6.966663
T3,,,,,,,,,,0.100000,,,,,,0.964935,2.154337,,,,,,,,,7.813081,3.540583,4.600720,,1.951478,,0.100000,,,,,,,0.100000,,,7.620339,,,,,6.130123,,,,,,,8.600640,,6.355648
C2,0.100000,0.100000,0.100000,1.548387,0.100000,5.448772,0.182086,0.444533,0.100000,,0.100000,,,,,,3.780863,,,0.100000,,,,,0.100000,0.134677,0.100000,9.433716,9.666447,10.000000,,,,1.905458,,,,0.560569,10.000000,9.601744,,,10.000000,,,,,,,,,,,,,
