cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp_rise,tau_hp_fall,a_h,v_pre_mean_cell,v_onset_mean_cell,v_sti_end_mean_cell,delta_v_mean_cell
0,R1-6,1.012862,18.922096,1.666284,1.538294,-0.980849,-49.153301,10.827403,209.502930,201.396240,0.000000,18.838898,18.922096,38.907982,19.985886
1,R7,1.043892,18.358379,1.666284,1.988534,-1.329478,-48.997059,11.844512,194.067215,198.701797,0.000000,18.278479,18.358379,38.309124,19.950745
2,R8,1.045922,3.453507,1.666284,0.325029,-1.050678,-49.266788,10.010077,190.655014,207.021927,0.734972,3.440666,3.453507,14.998292,11.544785
3,L1,0.778264,-6.396232,1.666284,1.972062,-0.743998,-48.995464,10.791927,193.688232,191.450989,0.898587,-6.298445,-6.396232,-16.075420,-9.679188
4,L2,0.900720,-0.490022,1.666284,0.676745,0.388722,-50.289581,10.906289,193.950272,200.222534,0.984579,-0.443451,-0.490022,-9.042859,-8.552837
5,L3,1.076088,-0.914834,1.666284,0.389604,1.264157,-50.940479,10.985632,205.512939,201.025269,0.863819,-0.884192,-0.914834,-4.692423,-3.777589
6,L4,0.500000,1.913011,1.666284,1.741978,1.058029,-50.776096,10.000000,195.394821,207.474594,0.566351,1.910770,1.913011,1.632742,-0.280269
7,L5,0.500000,-2.384821,1.666284,0.727229,-0.313110,-49.552532,10.386328,208.668976,194.501328,0.937607,-2.427884,-2.384821,1.791063,4.175884
8,Mi1,1.805098,-12.040468,1.666284,0.841241,-0.644213,-49.410736,10.851223,195.825562,193.319122,0.319203,-12.097743,-12.040468,-7.027817,5.012651
9,Tm3,0.980716,-0.944093,1.666284,0.750805,-0.751169,-49.728069,10.000000,207.159592,194.150772,0.925220,-0.956817,-0.944093,0.132819,1.076912
10,Mi4,1.713808,1.156981,1.666284,1.756207,1.151945,-50.844563,10.000000,200.452881,195.591370,0.739735,1.154744,1.156981,1.167258,0.010277
11,Mi9,1.043366,-14.816554,1.666284,0.383485,-0.360972,-49.179897,10.903867,197.818878,198.378479,0.000000,-14.744746,-14.816554,-15.442834,-0.626280
12,T4a,1.638326,-0.889141,1.666284,0.245953,-0.968203,-49.322659,10.990373,209.673019,197.471268,0.743353,-0.889712,-0.889141,-0.763259,0.125882
13,T4b,1.019886,4.505908,1.666284,1.759115,0.815381,-50.748989,10.810566,203.677155,199.257202,0.000000,4.492167,4.505908,5.168757,0.662849
14,T4c,1.027724,-1.066919,1.666284,0.241830,-0.744558,-49.259205,10.000000,201.790833,191.511749,0.555126,-1.066791,-1.066919,-0.973045,0.093875
15,T4d,0.985519,7.499351,1.666284,2.024478,0.828327,-51.006237,10.815757,208.139557,204.985138,0.000000,7.477458,7.499351,8.319321,0.819970
16,Tm1,0.973152,-0.444620,1.666284,0.184688,-0.626421,-49.530472,10.818515,208.644943,192.018829,0.889718,-0.446214,-0.444620,-0.536949,-0.092328
17,Tm2,1.009285,-0.063122,1.666284,0.168536,-0.439687,-49.805576,11.142009,201.855927,194.347687,0.875923,-0.065025,-0.063122,-0.144240,-0.081118
