cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp_rise,tau_hp_fall,a_h,v_pre_mean_cell,v_onset_mean_cell,v_sti_end_mean_cell,delta_v_mean_cell
0,R1-6,1.010376,13.958976,2.195176,2.339025,-1.181489,-48.363171,24.102072,200.441849,210.522842,0.000000,13.734992,13.958976,15.867414,1.908438
1,R7,0.986706,1.629696,2.195176,4.930148,1.629188,-51.546856,10.000000,204.282394,200.987885,1.000000,1.629188,1.629696,2.154587,0.524890
2,R8,0.962442,-12.111512,2.195176,2.801989,-8.708879,-41.442348,27.274803,197.933502,193.124252,0.000000,-12.103179,-12.111512,-11.126408,0.985105
3,L1,0.971646,-16.163748,2.195176,1.638944,0.989510,-51.035610,21.777880,201.816895,212.238510,0.735260,-15.669275,-16.163748,-16.667044,-0.503296
4,L2,0.975825,-97.105728,2.195176,0.100000,-0.800596,-49.047848,10.001427,209.605820,196.493362,0.000000,-97.125679,-97.105728,-97.686470,-0.580742
5,L3,0.968555,-15.345070,2.195176,2.437738,1.010458,-50.644726,19.894005,205.482544,191.382141,0.282218,-18.207441,-15.345070,1.316979,16.662049
6,L4,1.009874,5.792822,2.195176,7.061989,5.792525,-55.900791,13.469841,209.633514,197.927399,1.000000,5.792526,5.792822,5.796293,0.003471
7,L5,0.954394,-33.524849,2.195176,0.798415,-1.749116,-48.710026,21.496761,206.316483,190.523804,0.000000,-39.056450,-33.524849,-14.891315,18.633533
8,Mi1,1.804543,-1.183670,2.195176,2.495762,-1.682937,-47.954311,28.722523,213.797943,180.921997,0.959070,-1.623370,-1.183670,5.860418,7.044088
9,Tm3,0.958421,-49.489979,2.195176,3.284468,0.075524,-49.673058,23.708755,214.087051,200.188950,0.000000,-51.695988,-49.489979,-31.065737,18.424242
10,Mi4,1.837008,7.529819,2.195176,7.585227,8.004063,-58.051582,100.000000,194.558624,214.477585,0.955088,7.365513,7.529819,6.933512,-0.596307
11,Mi9,0.983839,-23.908484,2.195176,2.931990,-1.723026,-48.315765,20.947769,208.351151,196.919540,0.000000,-26.473642,-23.908484,8.875224,32.783708
12,T4a,1.647193,-0.682278,2.195176,0.112593,-1.249090,-49.019115,13.237134,211.356537,185.607925,0.955433,-0.825838,-0.682278,4.721887,5.404166
13,T4b,1.017108,66.302338,2.195176,10.000000,8.243397,-61.594280,10.029330,204.802704,202.881927,0.000000,65.901505,66.302338,71.244530,4.942192
14,T4c,0.968178,-1.743719,2.195176,0.757687,-3.825922,-46.482796,16.223850,216.334579,180.827347,0.000000,-2.299603,-1.743719,9.745132,11.488851
15,T4d,0.996897,-6.545669,2.195176,0.100000,-1.647717,-47.897453,10.000000,206.120193,201.319778,0.329880,-6.583421,-6.545669,-10.023163,-3.477494
