,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,1.130169,,,1.535442,1.859456,0.100000,0.346273,,,,,,,,,,,,,,,,,,3.328998,,,,0.143620,0.100000,,,,2.248675,,,,,,,,,,,,,,,,,,,,,,
R7,,,0.773871,1.042900,,0.100000,,,0.100000,,1.876647,0.100000,,,,,,,,,,,,,,,,,,0.100000,0.617881,,,9.976443,0.100000,,,1.632630,0.100000,,0.958425,,0.100771,1.989691,0.360329,8.362844,1.763617,,,,,,,,,
R8,,0.179052,5.853268,0.875999,2.439368,0.100000,,2.259971,0.100000,,3.348165,3.661364,,,,,,,,,,,,,0.100000,,,,0.233139,5.745011,4.581398,7.092704,,,0.100000,,3.948772,1.850461,1.370891,,0.100000,1.099317,,,0.100000,0.725010,,0.100000,,1.373072,,,,,0.958811,
L1,3.955092,0.785667,2.750276,2.335940,1.790813,3.469668,0.100000,1.890425,1.266240,2.228969,2.454648,,,,,,3.722337,0.744916,,,,,,,2.122766,0.100000,1.827250,,1.979228,2.299183,,0.100000,,0.813249,,,,0.436830,1.774369,,,,0.107663,,,,,,,,,0.238832,,,,
L2,0.100000,,0.158749,1.235904,1.912001,1.045154,0.100000,0.263009,1.676532,0.100000,0.149092,0.100000,,,,,0.205558,0.100000,0.438624,,,,,,0.100000,0.100000,1.775794,,0.157242,0.100000,,,,5.477143,,0.138648,0.100000,,1.717548,,0.100000,,,,0.248182,,,,,,,1.737045,,,,
L3,,0.100000,0.100000,3.899276,0.100000,,,,1.934996,,0.100000,6.521255,,,,,1.782166,0.100000,2.984309,0.100000,,,,,0.223707,,,,2.067104,8.798046,2.723631,,3.720920,,8.959969,0.137720,,1.006318,0.100000,0.100000,8.873984,0.973268,0.117620,0.100000,1.811032,6.191339,0.100000,0.100000,,,,,1.001829,,0.100000,0.864752
L4,1.391076,,,6.364788,0.100000,3.963517,0.885922,0.137559,0.100000,,,0.100000,,,,,4.866250,3.484239,0.141742,1.032830,,,,,,0.100000,,,,6.427917,8.322966,7.328711,,,,0.100000,3.513258,,,,,,2.002076,,,,,,,,,0.640944,,,,
L5,,,,0.399154,0.638223,,,0.515233,0.335903,0.139487,0.423578,1.952649,,,,,1.665507,0.981483,0.108705,,,,,,0.100000,1.154519,0.180538,,0.198033,2.223224,1.751099,0.850713,,6.305574,0.100000,0.100032,1.696072,0.191090,0.100000,,3.165693,0.110568,2.334611,,0.100000,,,,0.100000,0.652337,3.337379,0.225838,,5.416883,,
Mi1,,2.590477,2.017138,0.267982,0.100000,,,0.312809,0.100000,0.394128,0.132794,1.479100,0.574226,6.394253,0.344006,0.100000,1.125691,0.100000,0.100000,,,,,,2.067528,0.309323,0.136797,7.255879,0.174989,2.221750,5.214635,5.317387,0.100000,,0.100000,0.100000,4.031330,0.100000,0.113008,,2.443289,0.100090,0.255100,,,4.563439,,0.100000,0.969685,5.535654,0.199507,0.157027,1.986346,0.662919,6.544846,0.742702
Tm3,,,,0.215570,0.188613,,,,1.556326,1.230592,3.931887,3.681463,0.368204,10.000000,1.939064,0.101515,,,0.109927,,,1.004752,,1.014441,,0.319392,2.100474,8.787088,0.124738,6.467226,5.252075,0.108870,,,0.100000,0.100000,1.479712,,,0.100000,,,0.175348,,,,0.216774,,8.529204,2.027985,0.816925,0.138918,,0.951596,,
Mi4,,,,,2.515548,0.100000,,2.489324,10.000000,0.100000,0.104344,1.902319,5.328074,0.100000,1.483990,0.243163,1.332335,5.495851,0.118311,2.067319,,,,,6.034135,,0.100000,,0.100000,10.000000,0.100000,2.743129,0.602154,,1.430555,,0.884407,,0.111244,2.051004,0.237419,,1.829650,2.838172,0.274579,10.000000,1.890626,2.591183,0.100000,,8.951583,0.810653,1.018160,0.526156,,
Mi9,,,,,,10.000000,2.135572,,9.691303,1.061623,0.503247,,0.000000,0.100000,0.100000,2.407528,2.892273,0.100000,5.818449,0.179988,,,,,,10.000000,0.100000,4.334345,2.308206,,0.176175,0.100000,0.403019,,0.100000,,0.100000,1.849054,,1.301926,0.272802,0.100000,1.799962,1.655751,0.326174,,0.950528,,0.399736,1.016641,,1.185192,0.195986,7.070085,0.100000,
T4a,,,,,,,,,,,,0.535286,0.111518,1.002484,0.100000,0.986813,,,,,6.463264,,,,,,,,,2.817706,,,,,,0.100000,,,,,,,0.157018,,,,,,,1.677873,,,,,2.441890,0.263640
T4b,,,,,,,,,0.100000,,10.000000,3.812066,0.100000,10.000000,,0.988998,,,,,,1.669263,,,,,,,,,,,,,,1.536049,,,,,,,1.670399,,,,,,0.100000,5.762297,0.100000,,,,,
T4c,,,,,,,,,,,,0.112722,,,0.161502,,,,,,,,1.550072,0.287714,,1.741436,,,,,,,,,,,,,,,,,,,,,,,,1.226695,1.345437,,0.103793,0.100000,,
T4d,,,,,,,,,0.100000,,,,,,1.003402,0.101117,,,,,,,,1.506777,,,,,,,,,,,,,,,,,,,,,,,,,,0.852103,0.212867,,0.100000,6.599215,,
Tm1,,,,,0.440745,,,0.244561,0.105704,0.211089,0.480068,1.946188,,,0.956259,,0.652346,0.100000,0.321524,0.200091,3.060518,6.366668,4.634101,0.694971,0.100000,0.100000,0.100000,1.623880,2.990379,3.754097,,5.930051,10.000000,,0.100000,1.894013,,2.024523,0.162961,2.786176,0.202057,0.100000,0.264715,0.215192,,,0.191209,0.104116,,3.506010,,0.222870,0.103912,0.181456,6.015317,0.104323
Tm2,,,,3.408796,0.100000,,,0.352399,4.313076,0.116799,0.246768,2.122402,0.100000,,0.981378,,0.587464,,0.100000,4.962654,7.125766,9.822556,7.948081,0.100000,4.344591,2.883468,0.100744,8.381539,,4.063488,0.801423,1.722274,7.377931,,,2.216145,,,0.100000,,,0.115763,0.167346,,,,,,8.510563,1.088833,1.464043,1.256348,0.690620,0.100000,1.721483,0.658219
