cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp_rise,tau_hp_fall,a_h,v_pre_mean_cell,v_onset_mean_cell,v_sti_end_mean_cell,delta_v_mean_cell
0,R1-6,1.005536,8.837195,3.472635,1.835953,-10.568119,-14.287788,19.762871,198.840073,208.067657,0.000000,8.783401,8.837195,28.338343,19.501147
1,R7,0.974032,0.454945,3.472635,5.970888,-16.154192,-9.069752,30.311728,196.430405,195.129089,0.000000,0.500370,0.454945,10.710870,10.255925
2,R8,1.009237,-0.264281,3.472635,6.573196,-18.452997,-6.715773,28.405592,194.975784,198.487961,0.000000,-0.304147,-0.264281,17.875778,18.140059
3,L1,1.838232,-0.176979,3.472635,1.444709,1.212536,-26.707485,16.041809,212.280212,211.195297,0.972613,-0.063486,-0.176979,-39.129917,-38.952938
4,L2,1.898685,-15.470376,3.472635,3.223279,-10.349789,-14.702334,13.619520,226.452652,180.955292,0.896513,-15.471567,-15.470376,-45.228756,-29.758380
5,L3,1.601843,-17.521072,3.472635,2.043576,-10.653319,-14.497444,30.035732,232.278412,162.993912,0.786596,-17.433966,-17.521072,-31.075119,-13.554047
6,L4,1.208607,-11.096162,3.472635,2.162964,-10.998987,-14.047585,10.000000,198.785217,243.494934,0.729801,-11.091315,-11.096162,-11.854540,-0.758378
7,L5,1.357510,2.165472,3.472635,1.525935,2.157093,-27.436161,10.000000,192.639236,164.544083,1.000000,2.157093,2.165472,18.617702,16.452230
8,Mi1,2.000000,-23.619640,3.472635,2.781989,-6.083962,-18.622025,35.983242,254.992340,140.898285,0.576216,-23.686319,-23.619640,8.109413,31.729053
9,Tm3,1.337106,3.297903,3.472635,0.603187,5.786113,-30.723560,12.408262,235.057770,172.571152,0.822304,3.285269,3.297903,23.597498,20.299595
10,Mi4,1.674135,11.098701,3.472635,3.588476,11.244293,-36.416027,100.000000,166.107590,249.350082,0.987903,11.090847,11.098701,-0.381407,-11.480108
11,Mi9,2.000000,-6.333076,3.472635,4.759254,-0.792894,-24.187120,27.645554,194.451797,201.106110,0.000000,-6.264121,-6.333076,2.869699,9.202774
12,T4a,1.497883,-8.057210,3.472635,0.100000,-7.173205,-18.308510,10.000000,195.901627,259.588623,0.116252,-7.958906,-8.057210,19.890068,27.947278
13,T4b,0.953466,-25.787935,3.472635,4.092010,-16.294535,-8.723721,10.000000,181.498093,200.463043,1.000000,-16.294537,-25.787935,20.069780,45.857716
14,T4c,0.953102,-52.360947,3.472635,8.613376,-7.057356,-19.052238,10.000000,204.613693,182.226395,0.000000,-52.194134,-52.360947,-5.074350,47.286597
15,T4d,1.043649,-12.542865,3.472635,10.000000,11.679553,-36.896637,10.000000,214.091202,160.813431,0.415788,-11.511248,-12.542865,-21.085789,-8.542924
16,Tm1,1.042126,-75.315170,3.472635,2.561826,3.103104,-17.980125,21.765642,175.321075,237.685822,0.289008,-76.822250,-75.315170,-93.781204,-18.466034
17,Tm2,1.027261,-40.285625,3.472635,0.640255,-13.575984,-9.598267,22.418171,198.483917,197.404922,0.000000,-41.073212,-40.285625,-45.664749,-5.379124
18,Tm4,1.036475,-3.865779,3.472635,6.324047,-1.013608,-25.273966,10.000000,181.675766,222.792786,1.000000,-1.013608,-3.865779,-9.439693,-5.573914
19,Tm9,0.960149,-30.070694,3.472635,2.194589,-4.727194,-20.282488,10.789681,181.042343,227.324799,0.000000,-30.006193,-30.070694,-29.469193,0.601501
20,T5a,1.028177,2.540372,3.472635,10.000000,-8.391982,-17.014521,27.997375,179.001709,253.133011,0.737004,3.145519,2.540372,-2.960509,-5.500881
21,T5b,0.989120,0.436520,3.472635,10.000000,0.884167,-26.146000,10.000000,211.503891,246.495361,0.585810,0.942541,0.436520,-4.606606,-5.043126
22,T5c,1.046159,39.499634,3.472635,6.841916,15.397847,-32.912075,18.465107,186.963531,214.210602,0.506325,39.911350,39.499634,34.264591,-5.235043
23,T5d,0.957240,5.892982,3.472635,10.000000,-13.273298,-12.725062,49.203918,210.186966,214.425919,0.030732,6.400930,5.892982,0.296123,-5.596859
24,T1,1.037542,-1.878794,3.472635,2.421422,-4.055322,-11.726495,23.285620,197.262146,203.845459,0.000000,-1.852187,-1.878794,-0.259334,1.619460
25,T2,0.980003,-11.351360,3.472635,5.565575,-9.925174,-9.807774,13.480131,234.805252,223.861633,1.000000,-9.925173,-11.351360,64.914490,76.265850
26,T2a,0.978157,-26.807308,3.472635,9.583792,-14.166105,-9.751677,10.000000,227.017426,193.671234,0.106176,-26.402601,-26.807308,67.163971,93.971279
27,T3,1.022559,38.869991,3.472635,3.992189,6.335013,3.567703,10.000000,235.735138,263.730652,0.455642,40.628098,38.869991,96.297997,57.428005
28,C2,0.981134,-12.245134,3.472635,3.471074,-2.748054,-22.696865,29.780804,191.313202,207.339233,0.000000,-12.152848,-12.245134,-0.409635,11.835500
29,C3,0.974472,-16.363272,3.472635,3.871952,6.861335,-32.094135,27.526398,205.001465,206.263428,0.000000,-15.937810,-16.363272,3.952353,20.315624
30,Lawf1,1.042924,-12.029699,3.472635,1.531292,-12.246037,-12.049482,19.173290,214.721588,199.113510,1.000000,-12.246038,-12.029699,96.562233,108.591932
31,Lawf2,1.044926,7.185175,3.472635,5.261635,8.051572,-33.004807,10.086327,155.452301,175.504745,1.000000,8.051572,7.185175,12.236172,5.050996
32,Dm3v,1.047474,9.939249,3.472635,8.850976,8.554816,-33.274651,10.000000,196.187683,168.055267,0.749182,9.020172,9.939249,27.768667,17.829418
33,Lai,0.993391,-93.954254,3.472635,10.000000,9.122311,-33.931332,10.000000,205.752182,189.781754,0.000000,-93.850807,-93.954254,-96.208931,-2.254677
34,Mi10,1.026820,-11.867580,3.472635,5.312248,-10.894612,-14.602065,16.056145,214.436264,212.655487,0.918974,-11.581501,-11.867580,81.156868,93.024448
35,Mi13,1.020687,-8.422462,3.472635,6.229330,-10.050986,-15.796241,42.132442,202.671158,207.966019,0.000000,-2.999172,-8.422462,-37.452396,-29.029935
36,Mi14,1.047518,17.189152,3.472635,9.720967,-5.415795,-20.276442,33.487522,205.064545,207.798935,0.000000,17.831663,17.189152,23.990562,6.801411
37,Mi15,0.960302,-39.967182,3.472635,10.000000,-7.306666,-17.285858,10.000000,208.653137,202.697739,0.000000,-39.391773,-39.967182,-67.750259,-27.783077
38,Mi2,0.953028,-10.753697,3.472635,10.000000,-4.493596,-20.442596,10.000000,194.312302,228.056534,0.001518,-10.712459,-10.753697,-4.786440,5.967257
39,Tm16,0.993241,-41.067444,3.472635,4.501457,0.685884,-25.628487,35.542347,234.240662,158.595764,0.598431,-37.899113,-41.067444,-26.433319,14.634125
40,Tm20,0.982177,-30.662205,3.472635,2.742838,-2.450603,-17.291361,31.060024,245.807510,236.797607,0.032229,-30.396618,-30.662205,-28.598484,2.063721
41,Tm21,0.954322,-50.772297,3.472635,0.526610,-2.819979,-22.536409,19.725132,196.273712,206.850830,0.000000,-50.739540,-50.772297,-44.453442,6.318855
42,Tm27,0.985221,-6.971644,3.472635,10.000000,-6.995763,-18.350498,10.000000,203.718918,201.851395,1.000000,-6.995763,-6.971644,11.692944,18.664588
43,Tm5a,1.024851,-11.379766,3.472635,0.100000,-3.871933,-21.109196,21.478750,191.785690,196.612473,0.798760,-11.081662,-11.379766,-2.289803,9.089962
44,Tm5b,1.046641,-54.699001,3.472635,7.098686,-1.710808,-23.700037,22.695314,196.635742,205.332809,0.000000,-54.227623,-54.699001,20.277174,74.976175
45,Tm5c,0.998654,10.076946,3.472635,8.194196,4.592290,-29.297176,10.000000,205.182251,221.321960,0.727642,9.896492,10.076946,0.911622,-9.165324
46,Tm5f,1.048764,-13.274243,3.472635,6.549751,-3.367332,-23.713678,42.260006,207.735397,202.316925,0.000000,-13.040101,-13.274243,-6.145835,7.128408
47,TmY10,0.980370,10.020208,3.472635,6.570180,10.034512,-34.322849,10.000000,129.070526,292.339203,1.000000,10.034513,10.020208,10.507674,0.487466
48,TmY11,1.000431,-82.949211,3.472635,9.803519,2.114958,-27.861998,10.000000,227.044281,170.338989,0.663270,-64.237885,-82.949211,30.659117,113.608328
49,TmY14,0.980881,51.216782,3.472635,3.097790,-18.323423,-5.247480,15.563814,212.279205,209.843857,1.000000,-18.323421,51.216782,81.319489,30.102707
