cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp_rise,tau_hp_fall,a_h,v_pre_mean_cell,v_onset_mean_cell,v_sti_end_mean_cell,delta_v_mean_cell
0,R1-6,0.956904,10.385652,2.872666,1.913448,-8.999958,-16.275093,17.999304,197.569061,192.294342,0.000000,10.328834,10.385652,29.970184,19.584533
1,R7,0.993126,4.606974,2.872666,5.283700,-13.118855,-12.170942,20.795731,200.078934,206.410355,0.000000,4.592017,4.606974,20.119326,15.512352
2,R8,1.022359,0.348702,2.872666,5.893806,-16.553642,-8.440095,22.014217,206.304596,197.501083,0.000000,0.332683,0.348702,17.551203,17.202501
3,L1,1.773202,-4.452103,2.872666,1.691525,-2.183179,-23.042887,17.327038,200.339050,214.815842,0.960500,-4.365180,-4.452103,-33.414715,-28.962612
4,L2,2.000000,-17.833288,2.872666,3.067214,-9.188841,-15.586574,15.470225,209.005310,209.178436,0.857971,-17.708031,-17.833288,-46.584675,-28.751387
5,L3,2.000000,-18.424465,2.872666,1.856118,-8.035678,-16.608467,21.036959,208.189178,181.965546,0.728666,-18.302937,-18.424465,-28.896967,-10.472502
6,L4,1.005522,-1.788884,2.872666,0.387023,-1.717284,-23.440863,10.000000,198.454865,223.772171,0.738552,-1.774273,-1.788884,-2.217670,-0.428786
7,L5,1.198979,-2.753141,2.872666,2.495223,-2.902923,-22.158693,10.751396,211.889053,187.415878,1.000000,-2.902923,-2.753141,11.972169,14.725310
8,Mi1,1.920397,-23.630249,2.872666,2.762253,-4.200725,-21.014315,21.948601,194.000183,189.219467,0.000000,-23.636642,-23.630249,7.030445,30.660694
9,Tm3,1.067724,-0.714254,2.872666,1.080776,1.701193,-26.473347,15.703749,208.575363,185.376846,0.731282,-0.758681,-0.714254,15.398944,16.113198
10,Mi4,2.000000,-7.289796,2.872666,4.179005,-7.264595,-17.943657,100.000000,207.430771,193.654251,0.000000,-7.320105,-7.289796,4.663338,11.953134
11,Mi9,2.000000,-14.460507,2.872666,4.820599,-8.559454,-16.873001,19.782955,192.165985,190.329590,0.000000,-14.336318,-14.460507,-14.244980,0.215528
12,T4a,1.399138,-4.154005,2.872666,0.100000,-4.728526,-20.288790,14.707944,195.932846,217.364609,0.226634,-4.013527,-4.154005,24.422434,28.576439
13,T4b,0.968507,-17.758036,2.872666,2.213789,-5.381892,-20.080889,13.360298,206.366379,204.781708,0.130478,-18.014746,-17.758036,49.532448,67.290483
14,T4c,0.972873,-4.837029,2.872666,0.380834,-5.547660,-19.811934,10.000000,193.790207,197.084503,0.949678,-6.281353,-4.837029,40.922356,45.759384
15,T4d,1.006316,-10.401933,2.872666,6.996793,-10.392288,-14.175425,10.000000,209.237762,211.221054,0.979435,-10.490728,-10.401933,-9.016739,1.385194
16,Tm1,1.024500,-71.164886,2.872666,2.071484,-12.591562,-12.365356,17.358030,201.264038,201.958435,0.000000,-71.477852,-71.164886,-80.035934,-8.871048
17,Tm2,1.027926,-39.115486,2.872666,0.927799,-12.683394,-12.534136,18.283962,212.489960,202.765198,0.038531,-39.299229,-39.115486,-27.035378,12.080109
18,Tm4,1.005293,-2.193300,2.872666,0.742580,-3.009127,-21.021173,10.000000,191.915070,213.026825,1.000000,-3.009127,-2.193300,-2.378889,-0.185589
19,Tm9,1.005602,-8.200531,2.872666,2.579824,1.346316,-26.581776,28.477140,193.429062,210.484467,0.000000,-8.143209,-8.200531,-13.077631,-4.877100
20,T5a,1.020888,-3.487043,2.872666,3.085643,-3.980138,-21.022232,10.000000,204.022995,205.439743,1.000000,-3.980137,-3.487043,-2.340789,1.146254
21,T5b,1.045566,-14.432771,2.872666,4.798453,-14.536780,-11.056416,10.000000,205.997803,199.468262,1.000000,-14.536778,-14.432771,-13.079778,1.352993
22,T5c,1.017137,37.976158,2.872666,7.614779,3.028182,-27.949673,10.000000,214.409668,194.118347,0.000000,38.095055,37.976158,35.238045,-2.738113
23,T5d,0.962802,9.679708,2.872666,3.497499,-0.639754,-24.865057,22.668026,196.439560,229.460159,0.232650,9.195193,9.679708,6.975065,-2.704644
24,T1,1.032695,2.117515,2.872666,2.174690,2.798289,-27.355700,16.560291,206.576126,208.207169,0.000000,2.104042,2.117515,6.077694,3.960179
25,T2,0.994657,-25.332949,2.872666,2.725331,-12.391647,-12.112911,10.000000,201.139252,199.175446,0.041464,-26.197287,-25.332949,78.814987,104.147936
26,T2a,1.041062,-22.760229,2.872666,8.385135,-12.620337,-10.725993,10.000000,229.047943,196.969757,0.621169,-21.066303,-22.760229,60.355682,83.115911
27,T3,1.015176,-8.638917,2.872666,2.499868,-8.612821,-9.750578,10.000000,204.551620,218.804916,1.000000,-8.612821,-8.638917,76.062515,84.701432
28,C2,0.961604,-11.792989,2.872666,1.662795,-0.817612,-24.040171,22.141762,203.194565,203.473038,0.000000,-11.835824,-11.792989,-1.025037,10.767952
29,C3,0.953773,-12.226499,2.872666,3.643188,2.418409,-27.896893,21.218370,193.528275,208.112808,0.000000,-11.818210,-12.226499,-4.806197,7.420302
30,Lawf1,1.045015,-11.720313,2.872666,1.554388,-12.646796,-11.642264,19.227190,216.002182,193.032913,1.000000,-12.646796,-11.720313,89.136429,100.856742
31,Lawf2,0.982211,1.284380,2.872666,2.981023,1.300395,-26.702761,10.000000,185.518448,169.020645,1.000000,1.300395,1.284380,5.042552,3.758173
32,Dm3v,0.958134,-1.540238,2.872666,10.000000,-0.917689,-34.537762,10.000000,198.176682,201.845505,0.548255,-1.372281,-1.540238,2.122177,3.662415
33,Lai,1.017586,-90.854263,2.872666,4.800715,1.173463,-26.056061,10.000000,214.883392,217.014908,0.175562,-90.468170,-90.854263,-95.019264,-4.165001
34,Mi10,1.026941,-6.865115,2.872666,3.298074,-10.410116,-14.702168,16.189796,202.659393,198.240723,0.365069,-6.709637,-6.865115,36.755619,43.620734
35,Mi13,1.017696,-0.454401,2.872666,3.530438,1.567465,-26.643642,10.947377,186.599930,206.089920,0.782903,2.382618,-0.454401,-8.537573,-8.083172
36,Mi14,0.997672,8.500287,2.872666,6.464880,-1.017259,-24.790337,24.071321,189.345535,216.906647,0.000000,8.681347,8.500287,36.824665,28.324378
37,Mi15,1.003410,-7.040140,2.872666,1.876078,-1.020704,-24.034332,18.637548,204.707214,213.118774,0.291765,-7.571614,-7.040140,-8.376230,-1.336091
38,Mi2,1.039613,0.338777,2.872666,4.375132,0.286223,-25.446888,14.790708,182.700378,229.930222,1.000000,0.286223,0.338777,22.680851,22.342074
39,Tm16,1.028615,-46.133823,2.872666,5.814408,1.036120,-25.811304,10.487175,186.907104,222.237061,0.756155,-28.689936,-46.133823,-86.852921,-40.719097
40,Tm20,0.959185,-30.401352,2.872666,4.163025,-6.589131,-18.202770,19.976841,197.156647,199.548279,0.106309,-29.920134,-30.401352,-9.015334,21.386018
41,Tm21,1.048601,-1.332123,2.872666,3.788752,1.227449,-26.670546,10.000000,193.126114,208.674774,0.885612,-1.181274,-1.332123,-7.835898,-6.503776
42,Tm27,1.039591,-20.717041,2.872666,4.501899,-15.802335,-9.096463,38.581078,201.464157,190.850708,0.000000,-20.430721,-20.717041,72.078934,92.795975
43,Tm5a,1.029531,-9.067549,2.872666,5.579008,-1.417616,-24.635857,20.926727,205.322449,189.201477,0.000000,-10.132339,-9.067549,-4.696157,4.371391
44,Tm5b,1.021924,-36.050369,2.872666,6.570732,0.421587,-25.067263,17.579163,209.731430,196.298874,0.086569,-36.104710,-36.050369,-31.388407,4.661963
45,Tm5c,1.004449,-10.659709,2.872666,5.866755,0.010528,-24.494991,10.000000,189.971756,203.848358,0.035344,-9.964444,-10.659709,-25.569098,-14.909389
46,Tm5f,1.026935,7.566563,2.872666,6.884956,1.708451,-27.963171,16.759298,189.729218,194.588974,0.471601,7.393375,7.566563,57.126888,49.560326
47,TmY10,1.005560,-1.863001,2.872666,1.400655,-0.565319,-24.036606,17.082146,194.334045,209.681137,0.000000,-1.870154,-1.863001,-0.460294,1.402707
