,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,0.110074,,,1.146407,2.112725,0.940127,10.000000,,,,,,,,,,,,,,,,,,2.598501,,,,3.387358,3.420360,,,,2.380704,,,,,,,,,,,,,,,,,,,,,,
R7,,,0.100000,4.465976,,5.510824,,,2.315668,,0.114343,0.295025,,,,,,,,,,,,,,,,,,1.016335,0.100000,,,10.000000,0.100000,,,3.495404,9.556251,,0.984940,,0.100000,1.196901,2.344123,0.100000,0.258447,,,,,,,,,
R8,,0.242245,0.100000,2.262298,0.100000,2.739807,,0.100000,0.100000,,0.100000,3.231842,,,,,,,,,,,,,0.100000,,,,10.000000,10.000000,0.100000,7.838116,,,0.100000,,0.100000,0.100000,0.100000,,4.690016,1.801549,,,2.472474,0.100000,,2.213394,,9.369517,,,,,1.049698,
L1,8.793782,10.000000,10.000000,2.554210,1.216616,4.123916,0.100000,3.392410,1.610183,2.253881,8.957318,,,,,,2.176306,0.118324,,,,,,,0.106016,1.143163,8.727977,,0.100000,0.138740,,0.100000,,0.954854,,,,2.207287,0.121205,,,,2.575588,,,,,,,,,0.100000,,,,
L2,0.192374,,0.100000,4.013227,0.100000,0.535273,4.912066,0.132821,5.210500,1.150037,2.227618,2.402881,,,,,0.101642,0.716618,7.938570,,,,,,2.721015,3.127479,10.000000,,7.589382,10.000000,,,,1.056866,,1.082005,0.100000,,4.989011,,2.213863,,,,10.000000,,,,,,,0.100876,,,,
L3,,0.100000,0.100000,10.000000,9.457572,,,,0.100000,,0.100000,3.051375,,,,,3.387005,2.752880,5.623763,8.275425,,,,,3.163371,,,,9.682338,0.482293,2.053451,,9.244427,,1.441368,10.000000,,8.468185,10.000000,10.000000,1.601618,0.995910,0.100000,3.967551,4.387677,0.100034,3.702621,0.100000,,,,,0.956396,,0.127959,4.856405
L4,0.474808,,,6.592453,2.226495,0.365278,0.100000,0.100000,1.105432,,,1.994208,,,,,2.547479,6.166798,1.597503,6.457324,,,,,,0.524849,,,,5.441505,0.100000,1.730243,,,,10.000000,0.799189,,,,,,0.100000,,,,,,,,,3.827510,,,,
L5,,,,2.455817,0.558150,,,2.526308,0.980628,2.855476,1.219909,10.000000,,,,,4.232610,10.000000,9.258154,,,,,,8.815622,0.100000,3.489031,,0.100000,0.678624,0.100000,0.649207,,2.934018,4.430630,10.000000,6.965016,10.000000,0.930984,,0.100000,0.111086,1.247012,,0.265869,,,,5.832750,0.100000,7.664290,3.037663,,0.100000,,
Mi1,,8.773135,1.769031,0.100000,0.100000,,,0.155296,0.413962,0.523447,6.344454,2.782926,1.899211,5.384320,5.982205,10.000000,3.026054,4.621678,6.733238,,,,,,5.099442,1.156834,5.136163,2.390638,3.180237,3.947647,3.453050,0.154643,8.736150,,6.023254,10.000000,8.954186,10.000000,0.100000,,7.024599,9.761219,2.266135,,,1.913216,,10.000000,1.032590,0.485187,0.913949,8.030060,9.034292,10.000000,7.961066,9.260600
Tm3,,,,0.100000,0.219707,,,,10.000000,1.423022,10.000000,6.933386,0.752748,2.987926,0.100000,10.000000,,,4.765640,,,1.036955,,0.971052,,0.100000,0.100000,0.739900,0.100000,0.100000,4.301037,0.100000,,,2.746257,0.105391,3.330272,,,9.955059,,,0.782177,,,,0.800396,,7.845416,0.159795,1.772120,3.236257,,0.425170,,
Mi4,,,,,10.000000,8.502607,,9.278782,7.451769,0.100000,7.673269,1.715075,4.895550,3.854373,0.527235,4.828503,2.172697,9.387851,9.983205,1.346036,,,,,0.996562,,0.781764,,0.151647,0.114313,7.174169,9.137516,0.144275,,3.304626,,6.010482,,0.658397,4.994948,0.138180,,3.953771,0.100000,3.207566,7.372170,0.100000,0.438953,0.106196,,0.100000,0.698499,0.995675,3.106261,,
Mi9,,,,,,0.100000,10.000000,,8.793125,1.966388,3.303558,,0.546160,0.107544,5.490264,10.000000,0.661451,0.100000,9.791039,4.427074,,,,,,3.063008,9.178526,1.295506,7.320516,,0.123655,0.100000,1.275435,,0.518723,,10.000000,2.394674,,0.142199,10.000000,3.290115,0.265173,0.100000,0.632728,,1.041579,,1.449615,0.996649,,8.897775,5.414537,6.037636,0.103888,
T4a,,,,,,,,,,,,5.500771,9.757217,1.032257,0.162610,1.008870,,,,,10.000000,,,,,,,,,1.281802,,,,,,0.565013,,,,,,,9.724011,,,,,,,0.100000,,,,,2.283527,0.504277
T4b,,,,,,,,,6.661350,,10.000000,4.570081,4.580287,5.316164,,0.957186,,,,,,3.207828,,,,,,,,,,,,,,9.416571,,,,,,,0.218670,,,,,,0.816504,0.304365,0.984097,,,,,
T4c,,,,,,,,,,,,2.592901,,,7.372312,,,,,,,,0.100000,2.298102,,9.803907,,,,,,,,,,,,,,,,,,,,,,,,0.166957,5.064166,,0.100000,9.933747,,
T4d,,,,,,,,,0.576204,,,,,,0.979376,10.000000,,,,,,,,10.000000,,,,,,,,,,,,,,,,,,,,,,,,,,4.337443,10.000000,,9.430265,2.878944,,
Tm1,,,,,2.520687,,,2.150339,1.991419,0.100000,0.346493,2.937699,,,1.034700,,0.126836,3.600429,0.806350,0.520317,7.655235,0.100000,6.502098,4.597230,5.340101,1.118495,6.747951,0.660345,0.998331,0.100000,,1.739221,6.489769,,0.772687,2.880365,,2.828606,0.762074,3.975633,1.453111,0.801802,2.656224,5.477335,,,2.022156,10.000000,,0.216382,,10.000000,8.704728,10.000000,0.122246,4.217838
Tm2,,,,8.557049,5.394454,,,2.126962,0.390935,0.435235,2.618794,1.639199,0.100000,,10.000000,,3.051971,,0.156426,0.100000,10.000000,0.100000,10.000000,1.048279,4.981272,0.108680,7.998044,0.167133,,0.100000,0.100000,8.179078,4.853207,,,3.799706,,,0.100000,,,1.535013,5.195207,,,,,,10.000000,3.681124,5.837698,3.768488,0.483505,9.234900,10.000000,6.865890
Tm4,,,,,0.100000,,,,9.478501,9.093174,2.975286,,,,,,0.100000,0.100000,3.146327,,9.212339,9.335485,0.100000,0.100000,0.343016,0.100000,0.483666,7.253669,10.000000,3.249732,,7.258764,,,2.429300,0.443190,3.778377,,1.178075,,,0.100000,0.100000,,,,,,6.436081,0.839510,0.100000,4.336707,,0.692809,,9.133224
Tm9,,,,,,10.000000,,,,,1.807559,2.665785,,,,,0.100000,6.209950,4.267504,3.986763,3.870822,0.100000,2.498802,1.712565,,0.392602,1.183074,,,,,,9.376787,,,,,,,,10.000000,9.300724,,,,10.000000,4.313187,,,0.100000,10.000000,,1.033795,,2.384188,5.824891
T5a,,,,,,,,,,,,,3.267321,,,,,9.927217,,,6.493236,0.100000,,,,0.100000,,,,,,,,,,,,,,,,,6.559676,,,,,,,1.734382,,,,0.100000,10.000000,7.794258
T5b,,,,,,,,,,,,,,0.100000,,,,,,,2.855916,0.100000,,,,0.301545,,,,,,,,,,,,,,,,,,,,,,,0.202199,9.760180,3.488140,,,10.000000,,
T5c,,,,,,,,,,,,,,,0.624292,,,,,,,0.960981,1.255377,0.100000,,1.169533,,,,,,,,,,,,,,,,,,,,,,,,7.995559,5.802528,,10.000000,0.100000,,
T5d,,,,,,,,,,,,,,,0.100000,1.043516,,,,,,,,0.102220,,0.889725,,,,,,,,,,,,,,,,,,,,,,,,0.100000,2.263132,,8.434186,0.998110,,
T1,4.962834,7.472908,0.100000,,2.412046,2.968501,,6.864406,,,,0.302905,,,,,7.861493,6.749191,6.263895,,,,,,,,,,,,,,,10.000000,,,,,,,2.888125,,,,,,,,,,,,0.961890,,,
T2,,,,,,,,2.720080,6.519968,0.217424,,4.109160,,,,,10.000000,8.936252,9.954256,,,,,,,3.305624,9.951518,0.100000,,,,8.487100,,,,,10.000000,,,,,9.902939,0.100000,,3.406171,0.100000,,,0.808578,3.175629,6.066014,3.492551,,7.443027,0.950902,0.138097
T2a,,,,,,,,,1.123129,0.226061,,,,,,,1.640719,,4.233238,,,,,,,1.121752,10.000000,9.637100,5.538833,,,3.024188,7.266032,,0.134368,10.000000,,,,,9.723539,0.100000,,10.000000,2.648461,,1.189456,,,0.103521,0.451315,,9.806149,0.100000,10.000000,3.489779
T3,,,,,,,,,,0.866550,,,,,,1.015290,0.100000,,,,,,,,,8.174687,9.925879,0.824268,,8.623415,,10.000000,,,,,,,0.417097,,,6.023495,,,,,0.100000,,,,,,,1.160122,,0.100000
C2,0.100000,5.822529,10.000000,0.967773,1.630105,0.100000,7.637289,2.009795,0.617333,,4.465371,,,,,,0.100000,,,0.100000,,,,,0.933550,7.680577,3.365037,0.100000,7.733802,5.424566,,,,0.356052,,,,10.000000,1.329008,0.100000,,,5.220192,,,,,,,,,,,,,
C3,10.000000,,,1.778869,2.075460,0.130593,0.100000,1.627768,9.986136,0.323297,1.275927,1.460564,0.100000,0.222927,4.568312,1.371091,0.553551,0.527657,9.223249,2.583484,,,,,2.321891,9.999039,0.138687,0.100000,10.000000,,,,,0.331054,,3.253545,,3.927546,10.000000,,0.267891,10.000000,2.524463,,,,,,,10.000000,,,,,,
Lawf1,0.100000,,,5.683541,10.000000,2.467667,,0.916308,,6.174337,,9.237816,,,,,,,,,,,,,2.003211,,,,,,3.449336,,,2.162726,,,,,,,,,,,,,,,,,,,,,,
Lawf2,0.100000,,,8.924896,3.314624,0.376885,,3.720447,,,,,,,,,2.899019,0.100000,,0.100000,,,,,3.639812,,,,10.000000,1.247018,1.034752,,,9.576760,,0.238399,10.000000,,,,,,,,,,,,,2.480149,,,,0.100000,,
