cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp_rise,tau_hp_fall,a_h,v_pre_mean_cell,v_onset_mean_cell,v_sti_end_mean_cell,delta_v_mean_cell
0,R1-6,0.987349,21.041651,1.025523,0.958276,0.138014,-25.000000,10.792953,196.282013,204.037308,-0.029128,20.612745,21.041651,20.718836,-0.322815
1,R7,1.045095,18.719406,1.025523,1.021814,-0.405963,-25.000000,10.036059,194.851303,208.447937,0.007623,18.284920,18.719406,18.368650,-0.350756
2,R8,0.987867,19.195711,1.025523,0.961177,-0.036912,-25.000000,9.999461,202.068115,207.844543,0.037880,18.759272,19.195711,18.851826,-0.343885
3,L1,1.029072,-4.237406,1.025523,0.980367,0.021450,-25.000000,9.191083,204.887375,208.930405,0.491871,-4.121605,-4.237406,-4.208986,0.028419
4,L2,0.967903,-6.935187,1.025523,1.008234,0.310133,-25.000000,10.041037,205.213043,206.653656,0.467069,-6.780488,-6.935187,-6.899963,0.035224
5,L3,1.000139,-5.392082,1.025523,0.971742,0.214796,-25.000000,10.785791,190.342819,202.666275,-0.014762,-5.258589,-5.392082,-5.355749,0.036334
6,L4,0.995512,0.043853,1.025523,1.042122,-0.068124,-25.000000,9.899617,190.342316,200.213882,0.459427,0.048437,0.043853,0.044190,0.000337
7,L5,1.029754,-0.561664,1.025523,0.985870,-0.051046,-25.000000,10.103726,195.228760,209.921921,0.487496,-0.562258,-0.561664,-0.561913,-0.000249
8,Mi1,1.006593,-2.148526,1.025523,0.970123,-0.170005,-25.000000,10.269238,191.837799,207.703735,0.048340,-2.166231,-2.148526,-2.148188,0.000339
9,Tm3,1.014767,0.614185,1.025523,0.966458,-0.464205,-25.000000,10.292581,208.788849,209.346405,0.042672,0.580490,0.614185,0.611777,-0.002408
10,Mi4,0.970389,0.668222,1.025523,0.988113,0.162399,-25.000000,199.699661,202.065903,194.110596,0.007136,0.689768,0.668222,0.677808,0.009586
11,Mi9,0.997365,0.656271,1.025523,0.989987,-0.487085,-25.000000,10.716734,194.179443,195.797928,0.000872,0.689595,0.656271,0.659809,0.003538
12,T4a,0.996332,1.172677,1.025523,1.027740,-0.024833,-25.000000,9.121144,206.255966,198.152679,0.011558,1.165762,1.172677,1.172681,0.000004
13,T4b,0.989788,1.448115,1.025523,1.043323,0.423733,-25.000000,10.425018,192.823929,197.258087,-0.031735,1.441933,1.448115,1.448109,-0.000006
14,T4c,0.987081,1.141892,1.025523,0.983559,0.007935,-25.000000,9.359929,190.101196,209.032684,0.004009,1.135178,1.141892,1.141881,-0.000011
15,T4d,0.983313,0.549922,1.025523,1.008176,-0.431122,-25.000000,10.469712,203.867188,192.191269,0.020177,0.544152,0.549922,0.549941,0.000019
16,Tm1,0.993247,2.106849,1.025523,1.015342,-0.496407,-25.000000,9.315424,191.479355,207.205231,-0.048347,2.205518,2.106849,2.115684,0.008835
17,Tm2,1.021381,3.102545,1.025523,1.020700,-0.020221,-25.000000,9.922565,190.357529,204.401077,0.044570,3.163520,3.102545,3.108421,0.005876
18,Tm4,1.033833,1.737740,1.025523,1.043427,0.201690,-25.000000,9.145441,200.486252,198.168091,0.007501,1.784448,1.737740,1.741301,0.003561
19,Tm9,0.984389,0.599336,1.025523,1.049310,0.457281,-25.000000,9.537436,195.590103,198.190689,0.018471,0.610582,0.599336,0.600185,0.000849
20,T5a,0.991228,2.776742,1.025523,1.003555,0.400659,-25.000000,9.286908,199.243469,208.522125,-0.026909,2.771800,2.776742,2.777145,0.000403
21,T5b,0.950013,1.592205,1.025523,1.041801,-0.394930,-25.000000,9.960999,198.915909,190.068771,0.040765,1.587470,1.592205,1.592463,0.000257
22,T5c,1.005899,2.208670,1.025523,1.021625,-0.010665,-25.000000,10.644523,197.340668,196.644226,0.024968,2.203567,2.208670,2.208976,0.000306
23,T5d,1.000995,2.324860,1.025523,0.961427,0.340162,-25.000000,10.792205,196.516800,199.870697,0.009808,2.321395,2.324860,2.325200,0.000340
