,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,1.045089,,,1.035715,1.033816,1.020476,1.028343,,,,,,,,,,,,,,,,,,0.980530,,,,0.998148,0.956412,,,,0.967400,,,,,,,,,,,,,,,,,,,,,,
R7,,,1.030933,0.980894,,0.951012,,,1.023864,,0.974036,1.004752,,,,,,,,,,,,,,,,,,1.009893,0.976443,,,0.960693,0.979897,,,1.019230,1.047447,,1.006670,,0.953168,0.973584,0.990734,0.990491,0.953355,,,,,,,,,
R8,,0.988984,0.996912,0.995845,1.000819,1.033457,,0.950158,1.040346,,1.024692,0.997310,,,,,,,,,,,,,0.951835,,,,0.978470,1.010275,1.048206,0.972733,,,1.049332,,1.041741,0.992077,1.001355,,1.031583,0.984581,,,1.029408,1.044322,,1.031155,,1.008497,,,,,1.044874,
L1,0.970248,1.018693,1.013237,0.959639,1.004240,1.021972,0.954558,1.022130,1.020989,1.003321,0.955614,,,,,,0.955683,1.037352,,,,,,,1.015877,0.953981,1.029292,,0.958972,0.963646,,0.950855,,1.048004,,,,1.025199,1.030000,,,,1.003870,,,,,,,,,1.024161,,,,
L2,1.025712,,0.972679,1.012122,0.956737,0.982769,0.990335,0.984149,1.035438,0.990014,0.963944,0.976252,,,,,0.997494,1.016302,1.036052,,,,,,1.040526,1.033526,0.967789,,0.997028,0.957240,,,,0.994711,,0.997837,1.047250,,0.997401,,1.000000,,,,1.032035,,,,,,,0.995410,,,,
L3,,1.010131,0.988899,1.021584,1.028712,,,,1.045275,,1.041532,0.988958,,,,,0.969364,0.954523,0.959756,1.025248,,,,,0.980523,,,,0.980844,0.989882,1.033517,,1.010064,,0.955914,0.993822,,0.952853,0.964280,1.005480,0.989385,0.975109,0.976846,0.991867,1.045908,0.979083,1.011697,0.965970,,,,,1.006405,,1.018410,0.990169
L4,1.019610,,,1.015341,0.967079,1.008729,1.019691,0.989136,1.028887,,,0.964616,,,,,1.027315,1.047041,1.046946,0.953153,,,,,,1.035092,,,,0.995507,1.042066,1.040741,,,,1.002343,0.990265,,,,,,1.037013,,,,,,,,,0.967947,,,,
L5,,,,1.041730,1.036402,,,0.974910,1.007275,1.047487,0.996234,0.959158,,,,,1.025122,1.014354,0.997018,,,,,,0.963829,1.034180,1.016243,,1.003480,1.026455,0.975786,1.045145,,1.004774,0.964668,1.028191,1.036520,1.046148,1.034282,,1.014352,1.010186,1.034108,,0.962497,,,,1.014584,0.967651,0.957747,1.009071,,0.962076,,
Mi1,,1.015030,0.957682,1.030456,0.967822,,,1.027111,0.974107,0.997069,1.036048,0.973993,1.016906,1.019339,0.981443,0.999139,0.974313,0.964105,1.003327,,,,,,0.988332,0.969504,1.000386,1.045187,1.006448,1.002113,0.986479,0.963364,1.014008,,0.953009,1.021705,1.013067,1.041648,1.049768,,0.989059,0.979206,0.950150,,,1.001444,,1.009922,1.020063,0.989421,1.017155,0.993019,1.022883,1.006374,1.020290,1.046525
Tm3,,,,0.970083,1.040479,,,,1.017501,1.034809,1.017858,0.956835,0.987333,1.014561,1.041229,1.001463,,,0.987563,,,0.950064,,1.021077,,1.012871,0.991363,1.045941,1.016281,1.011172,0.979182,0.985349,,,1.012626,0.969878,1.017014,,,0.960703,,,0.955154,,,,1.032467,,1.049212,1.006010,1.001873,1.031250,,1.037055,,
