cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp_rise,tau_hp_fall,a_h,v_pre_mean_cell,v_onset_mean_cell,v_sti_end_mean_cell,delta_v_mean_cell
0,R1-6,1.048704,-3.776965,1.202050,0.100000,-3.733488,-21.143307,13.065409,207.748917,194.843903,1.000000,-3.733488,-3.776965,-3.739500,0.037465
1,R7,1.003470,6.394655,1.202050,5.247978,6.457943,-31.097345,25.383429,203.585342,196.545105,1.000000,6.457943,6.394655,6.442873,0.048217
2,R8,1.027532,-2.130718,1.202050,1.285177,-2.026696,-23.115200,10.000000,181.892212,202.897186,1.000000,-2.026695,-2.130718,-2.038831,0.091887
3,L1,1.007938,2.938340,1.202050,4.580108,2.941302,-27.869404,12.963421,208.495850,211.588425,1.000000,2.941303,2.938340,2.940604,0.002264
4,L2,1.009220,2.599492,1.202050,3.429084,2.600785,-27.348927,10.750754,198.437485,207.007370,1.000000,2.600785,2.599492,2.600948,0.001456
5,L3,0.963125,-24.299349,1.202050,2.440541,-3.217528,-21.397322,11.747689,207.290070,187.584152,0.000000,-24.180307,-24.299349,-24.296942,0.002407
6,L4,0.978297,-1.097082,1.202050,2.356617,-0.802630,-23.969196,10.000000,214.308899,206.467209,0.861439,-1.054680,-1.097082,-1.096106,0.000976
7,L5,0.957848,0.271456,1.202050,2.296423,0.267603,-25.546324,15.418059,194.351883,220.864655,1.000000,0.267603,0.271456,0.268522,-0.002934
8,Mi1,0.950831,-95.634254,1.202050,0.100000,-2.879143,-22.551233,11.700656,200.437958,196.914398,0.000000,-95.583099,-95.634254,-95.635277,-0.001022
9,Tm3,1.002857,-30.162495,1.202050,0.415253,-4.312298,-20.747532,17.876211,203.066422,201.224289,0.598444,-29.924820,-30.162495,-30.167448,-0.004953
10,Mi4,1.030892,16.266157,1.202050,3.756344,-6.164582,-19.159204,97.236183,217.028381,191.737381,0.029491,16.701239,16.266157,16.255955,-0.010202
11,Mi9,0.978968,-21.204617,1.202050,0.957792,-6.487691,-19.250242,27.227293,197.403473,205.942001,0.229875,-20.918987,-21.204617,-21.212494,-0.007877
