,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,0.157594,,,1.565322,0.100000,0.891525,4.736777,,,,,,,,,,,,,,,,,,1.200681,,,,5.914712,2.569261,,,,1.152818,,,,,,,,,,,,,,,,,,,,,,
R7,,,3.912017,8.343492,,0.100000,,,2.833438,,7.219536,0.100000,,,,,,,,,,,,,,,,,,3.737759,8.900663,,,0.179042,2.372580,,,0.834961,0.100000,,3.212062,,0.181925,6.425519,4.524874,8.595606,9.333500,,,,,,,,,
R8,,4.945190,0.301351,1.083463,0.100000,7.395729,,6.864961,1.087127,,8.031451,4.292175,,,,,,,,,,,,,5.647199,,,,1.927750,6.418014,10.000000,10.000000,,,0.100000,,6.799640,0.100000,4.008955,,2.834383,0.100000,,,0.100000,3.609770,,2.710492,,2.554722,,,,,0.985206,
L1,0.100000,0.444364,0.187463,1.600238,7.430830,6.610940,9.783578,2.357263,2.469019,2.657910,4.026956,,,,,,6.117012,0.984573,,,,,,,0.912861,10.000000,9.601460,,1.212357,0.341697,,4.466868,,0.188160,,,,0.517146,6.291576,,,,0.180262,,,,,,,,,10.000000,,,,
L2,0.409516,,0.100000,5.192424,1.181439,0.100000,4.658887,0.100000,0.407056,0.100000,0.849564,8.683375,,,,,0.423383,0.332050,0.402631,,,,,,2.309527,10.000000,1.546611,,0.130121,10.000000,,,,0.794824,,2.709274,0.170992,,0.195111,,0.808008,,,,0.309681,,,,,,,0.100000,,,,
L3,,0.100000,2.819667,7.124236,7.079741,,,,0.360404,,4.050802,0.107110,,,,,9.379556,6.803025,10.000000,2.797684,,,,,0.100000,,,,0.100000,8.308292,0.629770,,3.717060,,8.476678,2.056647,,6.918847,0.897363,3.388288,2.122424,0.981130,0.100000,2.232098,2.127467,9.990764,1.646800,0.681557,,,,,0.970711,,10.000000,0.100392
L4,1.188625,,,6.777043,0.337646,0.100000,0.100000,0.100000,0.210373,,,1.547823,,,,,5.952682,1.161113,0.166947,8.197888,,,,,,0.847238,,,,0.175896,4.145710,2.274143,,,,0.278179,0.100000,,,,,,1.893185,,,,,,,,,0.100000,,,,
L5,,,,1.889241,7.237311,,,8.078205,1.709233,1.213095,3.846442,10.000000,,,,,10.000000,4.244117,4.163053,,,,,,10.000000,1.371329,0.100000,,4.069561,0.100000,0.682543,0.100000,,8.524701,7.195735,4.108940,3.593564,2.398302,0.100000,,9.071955,6.191311,0.802497,,10.000000,,,,1.029954,4.357629,4.536574,0.434229,,0.463822,,
Mi1,,2.678926,10.000000,0.100000,2.573879,,,1.963838,0.100000,3.940092,6.881119,2.733715,1.524787,1.359841,1.238148,1.704010,0.174049,0.835548,1.526118,,,,,,2.544408,2.193228,7.104674,2.936317,9.573224,3.342290,0.100000,0.100000,0.116439,,2.935681,2.289863,8.161511,2.460052,10.000000,,10.000000,9.865395,7.309991,,,0.159879,,0.100000,0.974651,10.000000,0.100000,6.733671,0.100000,0.100000,8.794513,8.299677
Tm3,,,,0.442555,1.991737,,,,0.100000,7.723385,2.983696,0.781023,1.592874,2.268588,2.833186,1.375951,,,2.706289,,,0.997590,,1.015900,,1.482931,1.405353,4.169644,6.974909,5.338039,1.373153,0.101933,,,8.369492,1.968468,4.798147,,,3.258057,,,0.100000,,,,9.998559,,9.907865,5.081105,0.100000,4.622008,,5.827581,,
Mi4,,,,,10.000000,9.347171,,0.137705,9.987336,6.434968,10.000000,0.145068,6.465463,5.700499,0.100000,0.100000,5.155756,2.678136,3.951834,0.411146,,,,,2.974835,,2.457379,,1.551911,4.627653,10.000000,0.100000,0.857443,,0.100000,,0.100000,,6.821020,1.961525,0.321555,,1.414213,2.322712,1.468379,3.866641,5.800489,5.824943,2.200249,,8.127617,0.168756,0.967953,10.000000,,
Mi9,,,,,,8.702379,0.100000,,0.505458,0.434215,6.684353,,1.532529,3.128614,0.569613,5.008502,3.743224,2.691801,9.349259,1.655286,,,,,,0.100000,0.100000,10.000000,10.000000,,7.809736,0.233970,1.251446,,6.441288,,0.100000,8.511189,,0.100000,7.100777,10.000000,0.100000,1.163027,0.100000,,1.049435,,0.100000,1.039424,,6.038222,0.328427,10.000000,0.100000,
