cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp_rise,tau_hp_fall,a_h,v_pre_mean_cell,v_onset_mean_cell,v_sti_end_mean_cell,delta_v_mean_cell
0,R1-6,0.951982,20.922188,0.986358,0.953521,0.160576,-25.000000,10.697651,206.333435,193.472305,-0.038239,20.815357,20.922188,20.922668,0.000481
1,R7,1.025776,19.635828,0.986358,1.003855,0.032914,-25.000000,9.343097,191.474319,203.779129,-0.040004,19.550018,19.635828,19.636503,0.000675
2,R8,1.023643,20.241522,0.986358,1.011316,-0.318379,-25.000000,9.700996,197.453644,191.911987,-0.046485,20.140200,20.241522,20.242151,0.000629
3,L1,0.988729,-4.594160,0.986358,0.979248,-0.394257,-25.000000,10.115996,194.259506,199.472321,0.487089,-4.504925,-4.594160,-4.590255,0.003905
4,L2,1.048807,-6.314806,0.986358,0.963271,-0.243575,-25.000000,10.363614,198.003189,200.702133,0.526679,-6.210843,-6.314806,-6.309490,0.005317
5,L3,1.042535,-4.861436,0.986358,0.970554,0.445687,-25.000000,9.724982,206.580032,209.787994,-0.044039,-4.768519,-4.861436,-4.861667,-0.000231
6,L4,0.962791,0.179339,0.986358,0.959360,0.089721,-25.000000,10.310421,209.056808,194.022919,0.492616,0.182558,0.179339,0.179565,0.000225
7,L5,0.978990,-0.249908,0.986358,0.960258,0.165456,-25.000000,9.637614,193.623535,193.377335,0.501308,-0.253490,-0.249908,-0.250112,-0.000203
8,Mi1,0.952101,-1.840295,0.986358,1.013041,-0.011874,-25.000000,10.753417,201.751556,204.566147,-0.023842,-1.857774,-1.840295,-1.840848,-0.000553
9,Tm3,1.022026,1.409074,0.986358,0.980009,0.235322,-25.000000,10.083235,200.503189,207.049911,-0.005403,1.377784,1.409074,1.408710,-0.000364
10,Mi4,1.009535,0.446487,0.986358,0.978100,0.047079,-25.000000,199.789032,196.947464,203.062210,0.011064,0.456823,0.446487,0.443418,-0.003070
11,Mi9,1.004166,1.364581,0.986358,1.018801,0.343856,-25.000000,9.233010,201.505447,209.057541,0.043097,1.390642,1.364581,1.364901,0.000320
12,T4a,1.000000,1.139025,0.986358,1.017964,0.011651,-25.000000,10.835577,199.785095,193.566986,0.022630,1.132514,1.139025,1.138997,-0.000028
13,T4b,1.000000,0.954594,0.986358,0.985414,-0.022445,-25.000000,9.096704,190.578384,196.664429,-0.037053,0.948708,0.954594,0.954591,-0.000002
14,T4c,1.000000,1.279056,0.986358,1.004941,0.080276,-25.000000,9.102678,205.756775,208.287155,0.032213,1.272008,1.279056,1.279021,-0.000035
15,T4d,1.000000,0.731519,0.986358,0.961612,-0.276717,-25.000000,10.933326,195.246964,203.199585,-0.045155,0.725614,0.731519,0.731510,-0.000009
16,Tm1,0.990145,1.990908,0.986358,1.008743,-0.170871,-25.000000,10.634836,190.276886,204.683319,-0.000310,2.053399,1.990908,1.992055,0.001147
17,Tm2,1.017426,2.836629,0.986358,1.027774,-0.309409,-25.000000,9.826217,195.071121,198.331680,-0.039446,2.880033,2.836629,2.837450,0.000822
18,Tm4,1.039693,1.988711,0.986358,1.048242,0.443169,-25.000000,9.880009,194.999283,190.976517,-0.041875,2.022463,1.988711,1.989245,0.000534
19,Tm9,0.978385,-0.357750,0.986358,1.043353,-0.495206,-25.000000,10.069229,206.104599,203.503021,0.005943,-0.348467,-0.357750,-0.357677,0.000073
20,T5a,0.999865,2.675684,0.986358,1.004334,0.483147,-25.000000,9.431697,191.771759,199.868561,-0.001258,2.668632,2.675684,2.675738,0.000054
21,T5b,1.016870,2.151218,0.986358,0.964342,0.149850,-25.000000,10.596313,192.062592,202.608047,0.013908,2.144519,2.151218,2.151274,0.000056
22,T5c,0.966205,2.619569,0.986358,1.045374,0.431823,-25.000000,9.679801,206.391068,201.296829,-0.009437,2.612298,2.619569,2.619614,0.000045
23,T5d,1.012724,1.921968,0.986358,1.044218,0.057995,-25.000000,9.976746,195.760849,208.017929,-0.023575,1.916588,1.921968,1.922002,0.000034
24,T1,0.970532,-0.591994,0.986358,0.980503,-0.449263,-25.000000,9.285218,199.001801,191.152161,-0.012297,-0.537973,-0.591994,-0.591231,0.000763
25,T2,1.018411,3.810697,0.986358,0.998038,0.128501,-25.000000,10.273028,206.726349,199.487991,-0.003328,3.791159,3.810697,3.810725,0.000028
26,T2a,0.960016,3.362985,0.986358,1.013000,0.242227,-25.000000,9.376420,198.849152,204.660156,-0.035898,3.353845,3.362985,3.363005,0.000020
27,T3,1.035573,3.741527,0.986358,0.983979,-0.320611,-25.000000,9.700321,200.371307,209.775406,-0.023249,3.726501,3.741527,3.741555,0.000028
28,C2,0.968989,0.593674,0.986358,1.042660,0.347612,-25.000000,10.935666,197.147522,206.189865,-0.027498,0.577943,0.593674,0.593475,-0.000199
29,C3,0.993415,-0.684570,0.986358,1.020543,-0.257108,-25.000000,9.305828,205.384399,201.581070,-0.001502,-0.707320,-0.684570,-0.684956,-0.000385
30,Lawf1,1.020189,3.612621,0.986358,0.996076,0.065100,-25.000000,10.609849,190.195786,191.168808,0.028212,3.600033,3.612621,3.612623,0.000002
31,Lawf2,0.975111,0.978563,0.986358,0.971968,0.158277,-25.000000,10.661929,207.498840,200.926361,-0.029529,0.976319,0.978563,0.978575,0.000011
32,Dm3v,1.034631,1.667105,0.986358,1.022435,0.262172,-25.000000,9.624601,190.933350,208.360352,0.033931,1.665493,1.667105,1.667204,0.000099
33,Lai,0.963203,-13.201186,0.986358,0.972273,-0.427540,-25.000000,10.188817,207.958191,190.812897,0.022993,-12.943049,-13.201186,-13.200992,0.000195
34,Mi10,1.041417,-0.651862,0.986358,0.974714,0.488133,-25.000000,9.547677,198.512787,203.374603,-0.046547,-0.647551,-0.651862,-0.651869,-0.000008
35,Mi13,0.969449,0.073624,0.986358,1.012015,-0.029181,-25.000000,10.640506,190.157440,202.362625,0.038596,0.075810,0.073624,0.073637,0.000013
36,Mi14,1.009823,2.774789,0.986358,1.012199,0.256542,-25.000000,10.681389,204.587524,199.908722,-0.040139,2.761787,2.774789,2.774802,0.000013
37,Mi15,1.021058,-1.653754,0.986358,0.980148,-0.430733,-25.000000,10.315774,190.226410,208.754486,0.028025,-1.636482,-1.653754,-1.653754,0.000001
38,Mi2,1.049492,1.179362,0.986358,0.974055,0.116762,-25.000000,9.292447,193.467270,209.830658,0.031524,1.177865,1.179362,1.179372,0.000010
39,Tm16,0.974645,-1.953353,0.986358,1.048230,0.318230,-25.000000,9.186221,200.436676,191.132217,0.025679,-1.942984,-1.953353,-1.953100,0.000253
40,Tm20,1.036955,0.620870,0.986358,1.029537,0.345179,-25.000000,10.315241,197.959137,190.712280,-0.036847,0.648480,0.620870,0.620958,0.000088
41,Tm21,1.007624,1.560178,0.986358,0.955601,-0.323064,-25.000000,10.558462,191.298920,197.281067,0.013563,1.553912,1.560178,1.560232,0.000054
42,Tm27,1.035807,1.249706,0.986358,1.035039,0.292661,-25.000000,9.155770,207.950439,194.579666,0.045524,1.244519,1.249706,1.249699,-0.000007
43,Tm5a,1.047925,-1.219714,0.986358,0.990215,-0.310278,-25.000000,10.426130,202.300354,199.351166,0.013321,-1.204420,-1.219714,-1.219691,0.000023
44,Tm5b,1.037721,-0.691171,0.986358,0.958412,0.355574,-25.000000,10.645393,197.777786,202.961823,0.047743,-0.676601,-0.691171,-0.691127,0.000044
45,Tm5c,0.974286,0.591050,0.986358,1.041723,0.107701,-25.000000,9.405671,203.962784,204.716873,-0.016163,0.606688,0.591050,0.591018,-0.000032
46,Tm5f,0.977815,0.782526,0.986358,0.968500,-0.088026,-25.000000,10.750535,193.524826,204.339539,-0.040178,0.780187,0.782526,0.782535,0.000009
47,TmY10,0.961234,-0.388878,0.986358,1.033237,-0.199224,-25.000000,9.230015,202.660385,208.660538,-0.045050,-0.383111,-0.388878,-0.388814,0.000064
48,TmY11,1.028130,-4.922633,0.986358,0.961057,0.367214,-25.000000,10.050200,202.009811,193.698410,-0.029744,-4.904720,-4.922633,-4.922290,0.000343
49,TmY14,0.965842,6.201225,0.986358,0.981006,0.371283,-25.000000,10.956777,195.910660,197.706497,-0.047686,6.176371,6.201225,6.201245,0.000021
50,TmY15,1.017178,5.647567,0.986358,1.038158,-0.304207,-25.000000,9.951431,193.819611,191.810791,0.019676,5.617623,5.647567,5.647615,0.000048
51,TmY3,0.995481,2.618427,0.986358,0.990510,-0.498859,-25.000000,9.756671,197.789291,208.888748,0.032837,2.604309,2.618427,2.618684,0.000257
52,TmY4,1.039175,1.290779,0.986358,0.978086,0.477240,-25.000000,10.684642,209.095016,203.173203,0.007242,1.289929,1.290779,1.290812,0.000033
53,TmY5a,0.990694,2.860913,0.986358,0.993597,-0.190229,-25.000000,10.121472,192.805466,202.120819,0.034992,2.842392,2.860913,2.860968,0.000055
54,TmY9q,1.003672,1.855426,0.986358,0.970323,0.282719,-25.000000,10.331789,202.393906,208.929810,-0.043442,1.851596,1.855426,1.855441,0.000015
55,TmY9q__perp,1.044411,1.207803,0.986358,1.048407,-0.416708,-25.000000,10.002516,193.536346,190.591629,-0.017726,1.203096,1.207803,1.207836,0.000033
