,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,1.038417,,,1.044133,1.001818,0.983308,0.967855,,,,,,,,,,,,,,,,,,1.034461,,,,0.997996,1.017321,,,,0.960150,,,,,,,,,,,,,,,,,,,,,,
R7,,,1.021150,1.020718,,0.950283,,,0.966047,,0.977011,1.024110,,,,,,,,,,,,,,,,,,1.017374,1.046581,,,0.979510,1.025073,,,1.009461,1.023234,,1.019931,,1.007910,1.041025,0.992459,0.973009,0.991381,,,,,,,,,
R8,,1.008344,0.985266,1.023501,0.965804,1.004127,,1.049712,0.973775,,1.032770,1.042672,,,,,,,,,,,,,0.987541,,,,1.031469,0.987329,0.983834,0.974778,,,1.016861,,1.043294,1.000162,1.011475,,0.987529,0.969662,,,1.046084,0.950415,,1.003626,,1.002117,,,,,0.951510,
L1,1.015712,1.002596,0.970753,1.022288,0.963249,1.045305,1.000748,1.024609,0.952491,0.960446,1.025673,,,,,,1.020636,1.000957,,,,,,,1.036406,0.966390,0.964400,,0.973266,1.013754,,1.011569,,1.029193,,,,0.970419,0.997481,,,,1.049388,,,,,,,,,0.991599,,,,
L2,0.966066,,1.045201,1.038975,1.026577,0.991705,0.972969,1.032535,1.034087,0.979864,0.956275,0.972170,,,,,0.952099,1.009067,1.043454,,,,,,0.954616,1.043002,0.983781,,1.001871,1.036936,,,,0.950284,,0.957375,0.994660,,1.029769,,1.044559,,,,0.951461,,,,,,,1.009112,,,,
L3,,0.952697,0.979910,0.995187,1.002728,,,,0.970020,,0.976152,1.004955,,,,,0.979008,1.017972,1.032915,0.996014,,,,,0.981831,,,,1.009572,0.991935,1.007193,,0.969349,,0.982562,1.039751,,1.036306,0.968640,0.965682,0.984460,1.043764,1.017820,0.972904,0.987859,0.954021,0.986872,0.965551,,,,,1.046797,,1.012670,1.025564
L4,1.012270,,,1.039642,1.011485,0.958464,0.979465,1.043802,0.995267,,,0.996913,,,,,1.020735,1.008373,0.962563,0.984207,,,,,,0.999512,,,,1.032267,1.039314,0.990610,,,,0.981510,1.004485,,,,,,0.959410,,,,,,,,,1.031051,,,,
L5,,,,1.003337,0.961728,,,0.991475,1.027517,0.993980,1.017011,1.031349,,,,,1.048593,1.019615,1.003368,,,,,,0.955681,0.958665,0.964416,,1.003432,1.031701,1.001947,1.042825,,0.951668,0.972389,0.970138,0.994169,0.981488,1.002458,,0.963857,1.026466,0.959536,,1.007483,,,,0.992311,1.026562,1.033141,1.008287,,1.041447,,
Mi1,,1.049836,1.039387,1.025501,1.025823,,,0.978409,1.019039,0.993764,1.000593,1.034166,0.963118,0.968666,1.034866,0.960845,0.980223,1.023788,0.958373,,,,,,1.015260,0.965008,1.008930,0.964302,0.991588,1.010559,0.984070,1.037399,0.954171,,1.014309,1.012992,0.959979,0.988605,1.046929,,0.999013,1.047300,1.002419,,,1.038584,,1.009389,1.028437,0.968300,0.962476,1.046493,0.958581,0.966716,1.021041,0.953046
Tm3,,,,0.989034,0.997271,,,,1.011660,1.032328,1.012774,1.000924,0.960128,0.983424,1.021106,0.960569,,,1.038355,,,1.035003,,1.030920,,1.046330,0.977173,0.960564,0.990918,0.985645,1.049762,0.962748,,,0.974785,1.001439,1.005584,,,1.006245,,,1.032730,,,,0.996713,,0.989792,0.961096,1.007404,1.001635,,0.960223,,
